datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-08-26,3,10,"""luggage was lost/delayed""",D Schiffner,"Not Verified |  The service on the flights is great. Free movies and texting. Pay for full wifi. The flight crew we're very friendly. However, our luggage was lost/delayed during our 11.25 hour overnight layover in Seattle. The Seattle-Tacoma Airport had issues with their sorting systems, but with so much time between flights and it being an overnight layover, the lost/delayed luggage seems rather unacceptable. Compensation was not offered upon arrival at our final destination until I asked about it. The airline sent an email telling us about the issues at the Seattle airport, 6 hours after we had already checked our bags and were enroute to Seattle. Extremely disappointed in the handling of our belongings which included gifts purchased while on vacation and medications.",,"{'Aircraft': 'Boeing 737 max', 'Type Of Traveller': 'Couple Leisure', 'Seat Type': 'Economy Class', 'Route': 'Cancun to Edmonton via Seattle', 'Date Flown': 'August 2024', 'Seat Comfort': 1, 'Cabin Staff Service': 4, 'Food & Beverages': 2, 'Inflight Entertainment': 4, 'Ground Service': 1, 'Wifi & Connectivity': 4, 'Value For Money': 2, 'Recommended': 'no'}"
2024-08-19,1,10,"""The worst experience""",s Gerten,"✅ Trip Verified |   The worst experience I’ve ever had with an airline. We were set to fly out at 9am and we got notified around 4am our flight was canceled, not delayed, fully canceled. We immediately called customer support and it was a 4 hour wait. We got a call back around 11am and they said there are no other flights going out and they were not sure when another one would go out to Seattle. We tried later in the evening to check if any flights were available and there were a few but all $500+ per ticket (triple what we paid) and had a full day layover. We would waste half our trip trying to just catch a flight out. We had no other option but to cancel the entire trip and try to get refunds. Within their contract they are responsible to put us on the next outgoing flight and they failed to do so. Support was not any help and often rude about the situation. We’re still waiting on our refund from the airline and still trying to get a refund from our hotel we booked too.",,"{'Type Of Traveller': 'Couple Leisure', 'Seat Type': 'Economy Class', 'Route': 'Orlando to Seattle', 'Date Flown': 'August 2024', 'Ground Service': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-08-19,1,10,“crews are unhelpful”,S Sanderson,"✅ Trip Verified | I had a bad experience on the airplane. The seat is uncomfortable it can’t be adjusted, lavatory is dirty and stinky. The crews are unhelpful, comparing to other airlines, this airline is not worth paying at all.",,"{'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'San Diego to New York', 'Date Flown': 'August 2024', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Inflight Entertainment': 1, 'Ground Service': 1, 'Wifi & Connectivity': 4, 'Value For Money': 1, 'Recommended': 'no'}"
2024-08-02,1,10,"""Worst experience ever""",Redi Gjojdeshi,"Not Verified |   Worst experience ever accompanied by the highest negligence. Tried to take a weekend vacation and it was absolutely destroyed by this company. They put the wrong gate and destination name was reversed to what was on the board. I was sent to the other side of the airport to a gate they didn’t use that took a half hour dragging luggage, then running back with it after it was determined that they printed the wrong gate on the ticket. Name on the ticket for the destination was San Lucas Cabo while on the board was Los Cabo as you can imagine not under C nor S. Missed the flight and their customer service rep couldn’t help herself but to continue raising her voice although I reminded numerous times to lower it and keep it leveled with mine, after all she wasn’t the one that missed her flight and had to run around the airport. Charged me to rebook the flight the next day, wouldn’t cover or compensate hotel nor car rides for being stuck in a different city. Then found out that they had misspelled my name on the rebooked ticket that took over an hour on the phone to fix. But the fun didn’t stop there, while I had paid for premium that included checking bags, they didn’t have the same level the next day but while not willing to refund the difference even, charged a me for checking in the bag. Still not done with their shenanigans, the next day, after we waited in line to go through security, once we made it there, the flight they had assigned to my wife’s passport was different than the one showing on the app so couldn’t go through, had to get out of the line and go wait on the checking bag line to get it fixed then go back to the security line to go through. Proof of the ticket and events were provided to their customer service and a week after supposed review, they admitted the fault and their offer was $250 credit towards the next flight with them, my tickets were over $2,000 for both of us. You couldn’t pay me enough to fly with this company. If this is the last choice to fly, I’m staying home.",,"{'Type Of Traveller': 'Couple Leisure', 'Seat Type': 'Economy Class', 'Route': 'San Francisco to Cabo', 'Date Flown': 'July 2024', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Food & Beverages': 1, 'Inflight Entertainment': 1, 'Ground Service': 1, 'Wifi & Connectivity': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-07-21,1,10,"""never fly this airline again""",Yiwon Joo,Not Verified |   I had a horrible experience with this airline. The seats were pretty standard and the legroom was very tight. The were not that friendly either. I would never fly this airline again,,"{'Type Of Traveller': 'Family Leisure', 'Seat Type': 'Economy Class', 'Route': 'San Diego to Seattle', 'Date Flown': 'August 2023', 'Seat Comfort': 3, 'Cabin Staff Service': 1, 'Ground Service': 3, 'Value For Money': 1, 'Recommended': 'no'}"
2024-07-08,1,10,"""TRIPLE charged me for my suitcase""",M Peters,"✅ Trip Verified | One of the airline employees at check-in was rude and TRIPLE charged me for my suitcase. She made 2 of the charges under bogus flight codes so Alaska Airlines employees “can’t find” the charges to cancel them. They blame my bank and take no responsibility for their own incompetent employees. So basically, I was overcharged $200 (billed $300 for 1 bag which should’ve been $100). If you must fly Alaska, be prepared for huge unnecessary bills and rude employees.",,"{'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'Minneapolis to Seattle', 'Date Flown': 'July 2024', 'Seat Comfort': 3, 'Cabin Staff Service': 4, 'Ground Service': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-07-01,4,10,"""used to be much better"" ",Bruce Moffatt,"Not Verified |   My wife just returned from a conference in Nashville using Alaska Airlines #1269. Alaska used to be a much better airline as far as service, cleanliness and simple amenities. Her flight had a filthy bathroom (sometmes that happens) and one that had not been cleaned well for a LONG time. When you enter the bathroom and there is mold around the switches and sliders and mold on some of the contact surfaces you know that this plane had not a had a decent cleaning for many days or months. We used to prefer Alaska but lately we look for JetBlue, Delta and SW itineraries first.",,"{'Type Of Traveller': 'Couple Leisure', 'Seat Type': 'Economy Class', 'Route': 'Nashville to Portland', 'Date Flown': 'June 2024', 'Seat Comfort': 3, 'Cabin Staff Service': 2, 'Food & Beverages': 2, 'Inflight Entertainment': 2, 'Ground Service': 2, 'Wifi & Connectivity': 2, 'Value For Money': 3, 'Recommended': 'no'}"
2024-06-24,1,10,"""avoid this airline at all costs""",C Keane,"✅ Trip Verified |  We experienced 2 delays with the total just under 3 hours. We weren’t notified a single time. Denied lounge access as they had changed their policy after we had already booked our first class tickets with the intention of using the lounge. No meal vouchers offered during prolonged delay. Once on board our seats were dirty and not sanitised according to covid standards. Seats were covered in crumbs from past passenger, menus were torn and covered in food. Staff could not confirm if our special order meals were dairy free even though we had specially selected them for allergy reason. There was no access to entertainment and this could not be troubleshot. Our bags were not placed as priority so we were even later for the commitment we were attending. Customer service were very unhelpful and unsympathetic. They offered us a future discount code but we are not from America so it is of no use to us. We would not use this. I offered to be reimbursed with partnership flight miles to which they declined. Do your future self a favour and avoid this airline at all costs.",,"{'Type Of Traveller': 'Couple Leisure', 'Seat Type': 'First Class', 'Route': 'Portland to Los Angeles', 'Date Flown': 'June 2024', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Food & Beverages': 1, 'Inflight Entertainment': 1, 'Ground Service': 1, 'Wifi & Connectivity': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-06-11,3,10,“customer service refused to hear me out”,James Ketchel,"✅ Trip Verified | As a handicapped mobility challenged paraplegic veteran I most recently was charged $150 extra for a luggage charge on one bag that carried my prosthetic mechanical leg braces, and catheters and misc. Other medical equipment I require. I was told there is no waiver for medical items and the customer service refused to hear me out. I was willing to open the bag and show them but to no avail and I was charged. I'm sick to my stomach thinking about it as I'm prepared to finish this trip on Alaska Airlines.",,"{'Aircraft': 'Boeing 737-8', 'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'Anchorage to Sacramento', 'Date Flown': 'June 2024', 'Seat Comfort': 5, 'Cabin Staff Service': 3, 'Food & Beverages': 1, 'Ground Service': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-06-07,1,10,"""Do not trust Alaska Airlines""",Hamid Towhidian,"Not Verified |   I traveled with Alaska Airlines on 06/27/2023 from Los Angeles to Washington. I had a terrible in flight experience as well as afterwards when trying to relay my concerns with the airline about my experience. In flight, they did not honor my first class ticket because first class was full. They also destroyed my luggage. I tried to negotiate with them for the damages for almost a year. Eventually I had to take them to court and I got judgement against them for the damages. Do not trust Alaska Airlines.",,"{'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'Los Angeles to Washington', 'Date Flown': 'July 2023', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Ground Service': 1, 'Value For Money': 1, 'Recommended': 'no'}"
