datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-09-19,1,10,"“no PA announcements, no text messages”",Travis Brewer,"✅ Trip Verified | My boarding pass said my flight was supposed to be boarding at Gate B5a. But the departure gate was changed to B15 without any notification. I was consequently unaware of this change and missed my flight. The only notification was the departure screen which is barely readable as it is constantly changing. There were no PA announcements, no text messages, no phone calls, apparently no alerts to App holders, but I don’t fly frequently enough to justify it. My friend who helped me book the flight does, but he didn’t give me any warning either so I was unawares. At least they got me another flight, 4 hours later than my scheduled flight.",,"{'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'Seattle to Portland', 'Date Flown': 'September 2024', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Ground Service': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-09-13,2,10,"""they were not going to be responsible""",M Guarnizo,"Not Verified |  Delta Air Lines broke my luggage that was located in the hold of the plane while I was on an international flight with the airline in question. The value of the suitcase on the market is $180 dollars. When I arrived I immediately claimed at the counter, I showed them the suitcase and they only told me to do it online without receiving any help, they ignored me. Rest for 2 days after you arrive. and I returned to activities in the United States and tried to communicate again and it was impossible. Finally an advisor answered me and the damaged luggage claim page was not working either by cell phone or by a laptop computer. 7 days passed and when I was finally able to make the claim they told me that 7 days had already passed and that for that absurd reason and their platforms were not working they were not going to be responsible for my luggage. They gave me a 100 dollar voucher to travel with them. Who in their 5 senses would travel with that airline after they damage your luggage and then they don't want to pay you for the suitcase and you have to put your money to buy another one when they were the ones who damaged it? DELTA y su persona en una etapa del proceso rompió mi equipaje que iba ubicado en la bodega del avión mientras cursaba un vuelo Internacional con la aerolínea en mención. El valor de la maleta en el mercado es de $ 180 dólares. Cuándo llegué enseguida reclamé en el counter les mostré la maleta y sólo me indicaron que lo hiciera en línea sin recibir ayuda de ningún tipo, se desntendieron. Decanse los 2 dias luego de que llegue. y retorné actividades en Estados Unidos y volví a tratar de comunicarme y fue imposible. Finalmente me contsetó un Asesor y la página de reclamación de equipaje averiado no estaba funcioando ni por ceclular ni por un computador Laptop. pasaron 7 dias y cuando finalmente pude hacer la reclamación me cotestan que ya pasaron 7 días y que por ésa razón absurda y sus plataformas no funcionaban no iba a responder por mi equipaje. Me dieron un bono de 100 dolares para viajar con ellos. ¿Quién en sus 5 sentidos viajaría con ésa aerolinea despues de que estropean tu equipaje y luego no te quieren pagar por la maleta y debes tu poner de tu dinero para comprar otra cuando fueron ellos quién la dañaron?",,"{'Type Of Traveller': 'Family Leisure', 'Seat Type': 'Economy Class', 'Route': 'Bogota to New York', 'Date Flown': 'June 2024', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Food & Beverages': 1, 'Inflight Entertainment': 1, 'Ground Service': 1, 'Wifi & Connectivity': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-09-08,1,10,"""Lost my baggage"" ",Philip Rome,"Not Verified |   Lost my baggage more than a week ago and no answer. Terrible service, employees don’t care and super frustrating that I will need to sue for such a small issue that they are unable to fix.",,"{'Type Of Traveller': 'Business', 'Seat Type': 'Economy Class', 'Route': 'San Francisco to New York', 'Date Flown': 'September 2024', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Food & Beverages': 1, 'Inflight Entertainment': 1, 'Ground Service': 1, 'Wifi & Connectivity': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-09-07,1,10,“staff have been completely unhelpful”,Teresa Vaghi,"Not Verified | I honestly would give negative 5 stars if I could. On 30th June, Delta cancelled our flight and couldn’t get us on another flight for 3 days. I have emailed them multiple times trying to get my expenses refunded and it’s been 2.5 months and I’m not even close to getting a resolution. Our boarding was delayed and when we got on the plane it was discovered a passenger with the same name as somebody on our flight, but who was meant to be flying on another airline, had made their way onto our flight (don’t even get me started on how much of a security risk that is, that’s a whole other issue!). As the flight to Johannesburg is 16 hours, the extra delay meant a crew member would’ve been over their hours if the flight took off (again, don’t even get me started on how you can schedule so that small delay can cause this). We sat on the plane for 3 hours before being told the flight was cancelled and to go to customer service in the airport to rebook our flight. Imagine hundreds of passengers at 1am with 3 customer service agents trying to get onto other flights. We were also on the phone to customer service at the same time as queuing. There were flights available with partner airlines but they wouldn’t put us on any of those, I assume because it would’ve been very expensive last minute. Eventually after hours of queuing and being on hold on the phone they said the next flight would be 3 days later. So now we are stuck in Atlanta for 3 days. I live in Cayman Islands and my sister lives in NYC. Even though my sister and I are not booked on the same ticket they expected us to share a room. I said that I wanted my own room and I was eventually given my own voucher. We got to the hotel after nearly 24 hours of no sleep only to be told that the hotel was full and that delta daily sends delayed passengers with no regard that the hotels are fully booked. We then had to walk with all out luggage to another hotel. When we got to the second hotel they said my sister had a voucher for 3 nights but mine was only for 1 night. So I was forced to share with my sister. What if she wasn’t with me? I would’ve had to pay out of pocket for a hotel room (which I wouldn’t be refunded for because delta is doing everything possible not to refund me). The hotel was also really far away, there was only fast food in the area so we had to Uber everywhere. Of course the airline won’t refund us for any of that. Not to mention that we had to entertain ourselves for the 3 days and I was completely unprepared for 100 degree weather as I was traveling to South African winter. This meant I had to buy new clothes. The cost of the delay is hundreds of dollars but they would only refund my sister $125 and they are delaying processing mine. Two and a half months later and I still don’t know how, when and how much my refund will be. I feel like delta is using constant delay tactics so they don’t have to pay me the refund. Also, absolutely no mention of any compensation for a 3 day delay which resulted in us missing a family event and we didn’t get to see our aunt who had been unwell and passed away shortly after. In all this the Delta staff have been completely unhelpful. The person who has been dealing with my refund keeps asking me for a tax number which we haven’t got in the Cayman Islands as we don’t have tax. I have told them 3 times that we don’t have it and they just keep telling me to ask my bank.",,"{'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'Cayman Islands to Johannesburg via Atlanta', 'Date Flown': 'June 2024', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Food & Beverages': 1, 'Inflight Entertainment': 1, 'Ground Service': 1, 'Wifi & Connectivity': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-09-07,6,10,"""not one offer of a drink or snacks""",Peter Pomeranze,"✅ Trip Verified |   Everything started well. Decent breakfast served immediately after take off by an efficient attendant. Following that there was no service at all. For over 4 hours there was not one offer of a drink or snacks. I guess if I had rung the call bell I could’ve got something but it was pretty surprising not to have a single walk through by the guy. When I went to the rest room he was snoozing on the jump seat. In addition no seat belt/ back check before landing. The guy in front of me had his seat reclined for touch down. So not just service, but safety issues. Not ok! Not an inexpensive ticket either.",,"{'Aircraft': 'A321 neo', 'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'First Class', 'Route': 'Seattle to Kona', 'Date Flown': 'September 2024', 'Seat Comfort': 4, 'Cabin Staff Service': 2, 'Food & Beverages': 4, 'Inflight Entertainment': 5, 'Ground Service': 5, 'Value For Money': 3, 'Recommended': 'no'}"
2024-09-05,10,10,"""a wonderful experience"" ",Peter Pomeranze,"✅ Trip Verified |   I had a wonderful experience on this short flight.A full meal was served by an efficient and friendly flight attendant. The entertainment, seat comfort, and service (including baggage delivery) were all excellent. Literally nothing to complain about. An unusual pleasant trip.",yes,"{'Aircraft': 'Airbus 220', 'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'First Class', 'Route': 'San Francisco to Seattle', 'Date Flown': 'September 2024', 'Seat Comfort': 5, 'Cabin Staff Service': 5, 'Food & Beverages': 5, 'Inflight Entertainment': 5, 'Ground Service': 5, 'Wifi & Connectivity': 5, 'Value For Money': 5, 'Recommended': 'yes'}"
2024-09-03,2,10,"""my worst travel experience ever""",M Hayle,"✅ Trip Verified |   Flight from JAX to ATL on September 1, 2024, with a connecting flight in ATL to YUL, and a 38 minutes layover in ATL. JAX depart time was suppose to be 7:10 AM and arrive in ATL at 8:23 AM. Depart time in ATL was suppose to be at 9:01 AM and arrive in YUL at 11:39 AM. Due delays in JAX, we only arrived in ATL at 8:45 AM instead of 8:23 AM. With this being said, I missed my connecting flight from ATL to YUL because of delays in JAX and we also got stuck in ATL tarmac for another 10 minutes before the aircraft got connected to the aerobridge. While running through the aerobridge to catch my connecting flight, I was also preparing my boarding pass on my phone and there it says, ""we are sorry you missed your flight"" and the Delta was offering an alternative flight with a layover for 12 hours. It asked me to accept the proposal which I did not hoping that I'd find another earlier flight. To my disappointment, all the flights they had for ATL to YUL was from 9:00 PM with arrival time of 11:49 PM. After rechecking my phone again, Delta rebooked me for the 9:00 PM flight with arrival time of 11:49 in YUL. I didn't have a choice in this situation so I had to sit all day and long hours (12 hours in total) at the airport. Airport was so crowded and hot and humid and food was expensive. I will never fly Delta again and never take Atlanta airport for layover or connecting airport. This was my worst travel experience ever.",,"{'Aircraft': 'Boeing 757', 'Type Of Traveller': 'Couple Leisure', 'Seat Type': 'Economy Class', 'Route': 'Jacksonville to Montreal via Atlanta', 'Date Flown': 'September 2024', 'Seat Comfort': 3, 'Cabin Staff Service': 3, 'Food & Beverages': 1, 'Inflight Entertainment': 3, 'Ground Service': 1, 'Wifi & Connectivity': 3, 'Value For Money': 2, 'Recommended': 'no'}"
2024-09-02,1,10,"""12-hour flight with no entertainment""",John Acree,"Not Verified | I had to pay $70 to upgrade to an aisle seat, then ended up with an entertainment monitor that did not work. I was forced to endure a 12-hour flight with no entertainment at all. The airline’s response was to offer me a $50 credit towards a future flight. What a joke!",,"{'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'Economy Class', 'Route': 'Tokyo to Detroit', 'Date Flown': 'August 2024', 'Seat Comfort': 1, 'Cabin Staff Service': 1, 'Food & Beverages': 2, 'Ground Service': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-08-27,1,10,“tried to call Delta but was left on hold”,K Keenan,"Not Verified | Our flight was delayed so we were late to arrive at LAX airport so our friends that flew United had to wait a couple of hours for us. When I picked up my carry-on that they forced me to check due to space, a wheel was completely missing. It was 3:30 AM my time and I could not find any Delta Reps for me to show it to in baggage claim. I had to struggle with the bag out of the airport, to the rental car, to the hotel and back again on the return trip. I had a busy schedule of college visits on only a few hours sleep. I tried to call Delta several times, but was left on hold for long periods. I was not able to get through to Delta until after 24 hours had passed, so they would not replace the luggage they broke. Delta asked me to fill out a baggage complaint with pictures and still denied to fix the baggage. It is not fair that they made it so difficult for me after they forced me to check my bag and then broke it. Who has time to sit on hold for at least 20 minutes, especially while traveling.",,"{'Type Of Traveller': 'Family Leisure', 'Seat Type': 'Economy Class', 'Route': 'Boston to Los Angeles', 'Date Flown': 'August 2024', 'Seat Comfort': 2, 'Cabin Staff Service': 2, 'Food & Beverages': 1, 'Inflight Entertainment': 1, 'Ground Service': 2, 'Wifi & Connectivity': 1, 'Value For Money': 1, 'Recommended': 'no'}"
2024-08-26,1,10,"""not be flying Delta again""",Lacey Barnes,"Not Verified |  Having a service animal I have flown with a couple of airlines, I flew with delta for the first Time on 8/24/24 and after 2 weeks prior to my flight I submitted my service dog paperwork 4 different times and delta special assistance services never approved or got back to me regarding my paperwork. after calling delta regarding this issue the lady I spoke with was either not listening to me or didn't understand my situation. She kept telling me there was nothing on my account regarding a service animal, I know that, that is why I was calling because no one was reviewing my paperwork. instead she kept insisting my ""comfort animal was not allowed on flights"" only service animals. I have to repeat to multiple times, my service dog was not a EMA. Overall she was unhelpful and ignorant toward the end. I needed help with my service animal paperwork getting reviewed and instead she wanted to try to tell me the difference between an emotional support animal and service animal. Delta is the first airline I have had to deal with so much issues regarding my service dog. I have flown many domestic and international Arlines over the years and Delta has been by far the worst when it comes to dealing with service animals. I ended up having to go to the airport with my paperwork hoping they were able to add it to my reservation. After this experience I will not be flying Delta again as my service dog paperwork is still not on my account and I had to submit it again for my return flight.",,"{'Type Of Traveller': 'Solo Leisure', 'Seat Type': 'First Class', 'Route': 'Washington to Atlanta', 'Date Flown': 'August 2024', 'Seat Comfort': 4, 'Cabin Staff Service': 3, 'Food & Beverages': 3, 'Inflight Entertainment': 4, 'Ground Service': 3, 'Wifi & Connectivity': 1, 'Value For Money': 3, 'Recommended': 'no'}"
