datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-09-20,1,10,"""rude and yelling at people""",Don Moffett,"✅ Trip Verified |   The employees in baggage, customs, and particularly the security area before catching connecting flights, were rude and yelling at people. Even the lady announcing luggage claim carousel on the intercom was too loud and sounded angry. This has been a problem for a long time. Frankly, I'm embarrassed for the horrible first impressions for foreigners entering the US. Fix it please.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'September 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 2, 'Food Beverages': 0, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-08-24,1,10,“Rude and unhelpful staff”,S Cook,Not Verified | Terrible airport. Avoid. Immigration had 2 officers for over 500 passengers. Took over an hour to enter for 1 hour. Rude and unhelpful staff. I thought MIA was bad but Atlanta is worse.,,"{'Experience At Airport': 'Transit', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-07-22,2,10,"""trash and food on the floor""",L Kitson,"✅ Trip Verified | Horrible, gross, totally messy, dirty, trash and food on the floor of the waiting areas, people almost camping around in the waiting areas, where is the cleaning staff? This is unbelievable.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 4, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-07-20,1,10,"""a mad house with no structure""",Michael Ohara,"Not Verified |   On 18 July I traveled to Hartsfield-jackson airport to pick up my daughter and family. I have traveled throughout the US, Europe and Asia. The experience in Atlanta airport was the worst in my 75 years on this earth. All parking on the domestic side was full. I was directed to the International terminal parking by one of the many rude employees there. In the end, I parked off site until my daughter arrived picking her up at exit S2. Honestly, 'the fish rots from the head down' I ask that Governor Kemp order a top down evaluation of senior management at the Atlanta airport. The place is a mad house with no structure and few employees who care a whit about the clientele. Suggest they use the airport in Seoul to model their way ahead. If the Koreans can get it so right so can we Americans.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 4, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-07-10,3,10,"""never seen such foolishness""",T Mayle,"✅ Trip Verified |  Never connect through ATL on an international flight. You have people getting off flights from 2 different ends of the airport and one side has to walk all the way to the other side to get in line behind hundreds of people. Once you make it through customs and show your passport, then you pick up your checked bags and redeposit them around the corner. At this point you think you are done and can head to your gate, but no. Now you have to wait in another long line to go through security again. This is after you have been on a long international flight. Like seriously, what could I have picked up from the jet bridge to standing in the customs line? You finally make it through security and then you have to catch the train to your terminal! I have never seen such foolishness! None of this makes sense at all! If I cleared security once, why should I have to do it again?  There has to be some logic, but I don't understand it!",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 3, 'Airport Shopping': 1, 'Wifi Connectivity': 4, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-07-04,2,10,"""opposite from progress""",Jack Favre,"Not Verified |   A couple of illogicals at Hartsfield. Arriving from international flight to get to Marta (as instructed by 3 different staff) traveler is required to go through the security checkpoint. This not just inconveniences tired traveler arriving from international flight that has already gone through customs, but also additionally chokes always long security check lines. At domestic terminal 3 of the staff man entrance to restrooms, and if you're arriving from the ticket counter side they instruct you to go around, back through food court, by entrance to security checkpoint and only if you're arriving from that side you can enter the restroom. Not only inconvenience to traveler but also waste time of 3 if the staff. Is that really necessary? It seems Hartsfield is moving in direction opposite from progress.",yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'yes'}"
2024-07-01,1,10,"""some of the most rude people""",M Greg,"Not Verified | This was my absolute worst experience I’ve ever had in an airport. It was not just the TSA although yes, they were their typical bossy, irritating organization. But the staff trying to guide us from an international arrival through passport, control, and baggage retrieval and whatever else were some of the most rude people I’ve ever encountered. I was so upset that this was going to be some of the people on my flights first experience in the United States, and they’re being yelled at and laughed at. If you fly, you know that an unfamiliar airport can be confusing. People would ask questions. Sometimes two people would ask the same question. One person I gave my passport to just flick his wrist slightly and looked at me like this. Is your passport take it the security wanted to see inside my bag and set it aside. It sat completely unattended for 10 minutes. I didn’t want to say anything to anybody because by this point, my experience had been so lousy, I figured they would purposely extend it and I might miss my connection. Restaurants are overcrowded lines of 100 people long at a Wendy’s. Bathrooms you can’t navigate because they’re too tight and people are toting bags all over the place. Flights that get delayed are not uncommon, but they seem to be more than common at this airport. I will purposely pay extra to never have to fly through this airport again. If I never see Atlanta, I will be happy. Who has a hub there, needs to act or they are going to lose customers. Because I have zero interest of flying through their hub ever again.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-10,3,10,"""worthwhile to avoid ATL"" ",Adam Cardenas,"Not Verified |   This airport is to be avoided if at all possible. Like many large airports, it is very busy; unlike many other airports, though, the vast majority of staff have no interest in helping anyone. Parking is full - staff waves you away without any information about alternative lots. Baggage check lines are long, staff sits on their butts, occasionally helping a customer every 5 minutes or so. Security officers are so busy yelling instructions to everyone that they can't answer a question, then lose their marbles if you do something wrong (I took my laptop out of my case like the majority of other security lines; the women started screaming like I was a child). Most restaurants inside the airport have employees staring at their cell phones, and both the service time and food quality reflect this. The only positive I can write is that this airport does allow direct flights to many places. However, I have begun to look at other airports (e.g., Columbia, SC and Charlotte, NC) to use - the extra hour or two drive is worthwhile to avoid ATL.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-09,1,10,"""no clear directions in airport""",Michael Graham,"Not Verified |   Our first flight was a bit late, no clear directions in airport and most of the staff are mean as hell and look lost themselves. Be warned, you won't have time to get all the way across the airport and catch a connecting flight they end all boarding sessions 30 minutes early so it is very misleading and the staff are very mean spirited.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-07,1,10,“the least convenient airport experience”,B Lewis,"✅ Trip Verified | Atlanta wants to be an international city but the international terminal at Heathrow provides the least convenient airport experience I have ever encountered. On arrival in Atlanta, if you want to take public transport — the MARTA subway train — you have to get a bus from the international terminal back to the domestic terminal where the train station is located. The busses run infrequently, are hard to identify, crowded, and are manned by surly drivers, They drive you around the whole large airport so it takes around 45 minutes. We’d already waited that long for a bus just to come AND spent an hour getting through a long passport control queue. Why London airports can have e-gates you breeze through in minutes and Atlanta cannot is beyond me. If you think you’ll avoid all this hassle by renting a car, think again as to access the rental car centre you have to take the same slow airport bus to domestic PLUS then a shuttle out to the rental hub. All of it adds up to it taking a very long time to just get away from the airport after an already long international flight. Signage after baggage pick-up is also very poor which makes me feel very sorry for non-English speakers or really anyone arriving in Atlanta for the first time.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 1, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
