datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-06-08,3,10,"""CLEAR is lacking manners""",S Harina,"✅ Trip Verified |  At the Austin airport, it was presumed by the CLEAR agent that I was not a CLEAR member so when I entered the line, they tried to re-direct me. I stated I had clear, they again re-directed my “all the way down” to a different clear line, maybe? I instead opted for the TSA line which was adjacent to the CLEAR station I was at, however when I entered the TSA line… same clear agent screams “all the way around the corner, that’s not the line, it’s not the line” to which I responded I’m doing TSA pre-check instead so she again ye;;sacross asking “but is that on your boarding pass?”  oblivious that I have TSA pre-check and CLEAR. Furthermore, CLEAR always makes me show my ID despite it advertising as ID-less. All in all, TSA precheck is a more efficient, respectful, organized process. CLEAR is lacking manners.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-08-25,8,10,"""many good places to eat""", M Hayes,"✅ Trip Verified |  I have a been a frequent traveler of Austin-Bergstrom Airport (AUS/KAUS) since the airport opened back in 1999. I have seen the airport grow and change over the years. The changes over the years have been for the better! Notable things about Austin-Bergstrom International (AUS): - there are two terminals the (main) Barbara Jordan terminal where all the restaurants, lounges and stores are, and the South Terminal currently Allegiant and Frontier Airlines. - there is a family viewing area outside the airport for watching planes and having a picnic. There are currently 4 lounges (AA, UA, DL and a Chase Sapphire Terrace) - there are many good places to eat including many local restaurants (my favorite are Taco Deli, Salt Lick BBQ, Second Bar + Kitchen, Annie's, and Juiceland. - it takes about 20 minutes to walk from one end of the terminal to the other, along the way you will see lots of places to eat, drink and shop. Pros: clean, great dining, bars, and rest areas. The Delta lounge is the nicest lounge in the airport. Cons: restaurants close early, so if you arrive on a late(ish) flight you will not have food options.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 5, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Recommended': 'yes'}"
2023-08-14,2,10,"""what a lousy setup""",Anthony Rollett,Not Verified |  Making your customers walk in the searing heat halfway across the airport to find taxis and rides is pathetic. Any chance I get I will tell people what a lousy setup it is. Also there are too few elevators to deal with the people.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Signs': 2, 'Food Beverages': 3, 'Airport Shopping': 3, 'Recommended': 'no'}"
2023-04-17,2,10,"""Very poorly managed""",Prabhat Telidevara,Not Verified |  Getting through security early in the mornings is a nightmare. Very poorly managed. Almost missed my flight. It is necessary to have at least 2 of the 3 checkpoints open any time of the day.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 4, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-03-11,7,10,"""the bathrooms didn’t used to be this dirty""",T Kemp,"✅ Trip Verified | I’m from Austin, and the bathrooms didn’t used to be this dirty. Since Covid I’ve traveled 10-15 per year, and the bathrooms have consistently been getting dirtier. Even just now, there’s water all over the floor, multiple stalls have no toilet paper, there’s one stall that was too gross to mention, soap and water all over the sinks and mirrors. Please fix this so Austinites can go back to being proud of our airport.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'March 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 5, 'Food Beverages': 3, 'Wifi Connectivity': 2, 'Airport Staff': 3, 'Recommended': 'no'}"
2022-11-25,1,10,"""Nowhere accepts cash""",C Howard,"✅ Trip Verified |  Been traveling for a week only have my petty cash left. Get to the airport in Austin Texas expecting to get something to eat and drink for my six year old. Nowhere accepts cash in this  airport except conveniently enough all the bars serving liquor do! Tell me why the staff here find it laughable that I can get a cocktail and pay in cash, but getting a juice is not happening.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'November 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-11-19,2,10,"""This was and is disgusting""",Penny Ward,"Not Verified |  I had ae three hour lay-over and my first time in Austin's airport. From the time I walked into the bathroom, the stench was overwhelming, I actually had to vomit. There was toilet paper all over the floor and body fluids from people utilizing the bathroom on the toilets, floor and especially the most disgusting part tissue holder. I went to find a sandwich to take on my flight and decided to sit at the countertop. The tables were filthy, the trash cans were overflowing. There was no one to ask to assist or call to have someone clean the area. I will avoid at all cost never to go through this airport again. This was and is disgusting.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'November 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-08-23,1,10,"""there’s no one to help""",Mari Kostanyan,"Not Verified |  Never been so disgusted at customer service before, I am usually not the type to ever write a bad review but everyone I spoke with was rolling eyes and talking with attitude, not to mention there’s no one to help get around considering not everyone knows what exactly to do. dirty bathrooms, extremely crowded and it made me super uncomfortable. I just got off a 4 hour flight, super tired just want to go home, my flight got delayed which isn’t their fault because of the weather but overall so disappointed. This is the first time I have ever been so disappointed in an airport and I have flied many times to many different countries. And we should have higher standards for American airports. How does that happen seriously so disgusting. I have lived here 18 years and have never been more disappointed!",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-05-11,2,10,"""Do better Austin Airport""",Carlise Richmond,"✅ Trip Verified |  As a nursing mother the lactation pod as the only option for privacy was absolutely disgusting. Filthy, dirty, dusty, sticky. Wrappers everywhere. Unacceptable to say the least. I used my wipes to try and clean it. And they were almost black. Do better Austin Airport.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 3, 'Recommended': 'yes'}"
2022-05-06,1,10,"""airport is absolutely disgusting""",M Rayne,"✅ Trip Verified |  This airport is absolutely disgusting. Trash and food everywhere, packed full of people, rude staff, and limited food options. Not to mention that every time I fly out of here, my flight is delayed. There’s gang stickers all over the place. Just sit down and look around. (If you can even find a seat) The only positive thing I can say is that they offer Disabled Veterans free parking.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 1, 'Wifi Connectivity': 5, 'Airport Staff': 3, 'Recommended': 'no'}"
2021-12-22,5,10,"""has limited food options""",B Kristen,"Not Verified | AUS has limited food options, specifically at breakfast. Those with a 0500 flight time have no real breakfast options. Additionally, I was disappointed the airport didn’t prepare better for holiday travel. Austin has had an influx in its population and the airport already struggles. The holiday travel rush was not well prepared for and the patrons struggled. Open airline check in earlier and security to better serve their customer.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'December 2021', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 1, 'Airport Staff': 2, 'Recommended': 'yes'}"
2021-12-12,1,10,"""2 hours to get through Security""",Mark Godleski,"Not Verified | Austin-Bergstrom International Airport was chaos this morning.  We've already eaten the cost of Delta Airlines tickets, and we're scrambling to get on another airline. There were hundreds of people Outside the doors of the airport at Each security line! It took 2 hours to get through Security this morning. We went to American Airlines where the folks in front of us had missed their flight and they were trying to rebook, and the family behind us had missed their flight and they were trying to rebook. It's 5:45 AM, clear skies, no weather problems. I hope I Never have to use this airport again.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'December 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 2, 'Recommended': 'no'}"
2021-07-26,2,10,"""The south terminal was a nightmare getting to/from""",Boone Wyatt,✅ Trip Verified | The south terminal was a nightmare getting to/from. They must have been short handed because the shuttles were about 30 minutes apart and could only hold around 10-15 people at a time. Definitely needs better logistics getting from main terminal to the south terminal.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2021', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 3, 'Recommended': 'no'}"
2021-07-13,2,10,"""no place to sit down or eat""",Lori Toney,✅ Trip Verified |  Terrible experience at this airport! Spent too long waiting for transport to South terminal. Once there no place to sit down or eat! Felt punished for choosing to fly Allegiant!!,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 4, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-04-28,7,10,"""escalators and elevators were turned off""",Daniel Stilwell,"Not Verified |  Upon returning my car rental on the 3rd floor of the rental garage, all escalators and elevators were turned off. Since the car was returned there was no way to go down without walking the entire length of the escalator with luggage. Other passengers that were in wheel chairs had children and the elderly could not get down. There were no attendants to assist anyone. This was at 5:30am on a Monday. These should be on 24 hours a day since you can return your car anytime.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2021', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 2, 'Recommended': 'yes'}"
2020-10-22,2,10,"""no social distancing or hand sanitizers around""",Kary Newman,"Not Verified |  There was no social distancing or hand sanitizers around, people were just crammed in lines, no one was even worried about it. Every other airport took it seriously and had hand sanitizers everywhere. Austin didn’t seem to take it seriously at all.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'October 2020', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 0, 'Airport Staff': 2, 'Recommended': 'no'}"
2020-01-08,3,10,"""seems to continue its decline year after year""",Natalie Ciavarella,"Not Verified |  
Austin airport seems to continue its decline year after year. Moving taxis and rideshares to an inconvenient spot that is poorly marked (albeit improved from a few months ago) is compounded by poor shuttle service for those traveling with luggage. The interior is beautiful and I love that they’re bringing in more local businesses, however this could never mask the abysmal experience in trying to leave the airport. The “shuttles” to the taxi stand don’t even assist with luggage anymore. It is such a hassle getting out of this airport I would avoid it at all costs if I didn’t have to go for work.",yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'January 2020', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 5, 'Terminal Seating': 4, 'Terminal Signs': 1, 'Food Beverages': 4, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 4, 'Recommended': 'yes'}"
2019-10-11,4,10,"""a surprisingly disappointing airport""",W James,"✅ Trip Verified | Simply put, Austin Bergstrom is a surprisingly disappointing airport. Before I venture into the negatives, I do want to highlight the positives of the airport: The terminal opened in 1999, and has largely, recently been renovated. The dining options in the terminal are largely from very local, and locally-themed, restaurants, something unique to airport terminals around the world (as opposed to a local restaurant being located amongst a terminal full of chains). The airport's clean, modern and fairly spacious even given its small size. The seating areas feel more like very nice doctor's offices than the traditional airport seating arrangements. Parking is close to the terminal, even economy parking, and it's reasonably priced. Access off Highway 71 is easy, whether coming from Austin and I-35 to the west or Bastrop and Houston to the southeast. The airport doesn't feel particularly crowded, even during peak passenger traffic hours. And yet, I can't bring myself to give this airport any more than a 4/10 overall rating. I don't particularly enjoy flying out of here. For one, the signs directing drivers to parking areas, arrivals, departures, and the correct lanes for regular vehicles and buses/livery are poorly marked, in my opinion. Even chaotic airports like LAX and O'Hare have better signage for such, strangely. Secondly, once you're within the airport, signage to direct people to check-in areas, rideshare and taxi pickup areas, and security isn't exactly the clearest, not the worst I've seen, but enough to make a small airport relatively confusing. Thirdly, once you're past security, it's surprising to find that the restaurants that serve tacos, meals, margaritas, beers - the things you'd expect to find in an airport in Austin and Texas are slowing down or even closed after 8.00pm. Fourthly, the personnel that work here are very hit and miss, but generally unfriendly. For example, the ticketing agent for Spirit Airlines (not exactly the budget airline with the best reputation) was very pleasant and courteous. The TSA agent who checked my driver's license, a super friendly and chatty guy. But, the shuttle bus drivers between economy parking and the terminal were little more than manner-devoid rubes. The actual x-ray screening agents for TSA were some of the biggest smart-asses (and not the fun kind, but the unpleasant kind) that I've ever met in my life, period. The restaurant servers and bartenders don't give customers eye contact while providing service, and can often be found tapping their feet while interacting with customers and not interacting with one another at all while working. That's the part that leaves me cold; for all the talk of Texas hospitality, it is sparse in this airport. In summary, there are much worse airports in the USA, but there are also much better airports in the USA and abroad. Only fly into Austin if you must!",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2019', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 2, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2019-09-28,9,10,"""the best experience we’ve ever had entering the USA""",P James,✅ Trip Verified | This was the best experience we’ve ever had entering the USA. We were literally the first off our plane through an extremely quiet immigration area and greeted by the most pleasant Customs Officer ever. He was so charming and full of local advice and obviously very proud of his city. He even searched for events for us to go to and could not have been more helpful. It is a quieter airport compared to somewhere like Miami so maybe they are more laid back but the difference it made to the start of our holiday was amazing. Well done Austin.,yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'September 2019', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Signs': 4, 'Food Beverages': 0, 'Airport Staff': 5, 'Recommended': 'yes'}"
2019-09-26,1,10,"""Very unprofessional""",Jeff Adams,"Not Verified |  None of the vendors take cash. None of the food service people understand that folks have flights to catch. Slow as molasses like they could not care less with 5 others in the back. Very unprofessional. Where is the Starbucks? I’ve tried all the coffee places with the many trips I have taken and none come close. I just want a large, (big) iced coffee when I get off the plane like any other airport. Of the many airports I travel through, Austin gets the worst rating.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2019', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 4, 'Recommended': 'no'}"
2018-07-23,1,10,"""rude and inefficient""",E Clay,Not Verified | Austin International Airport fail. Waited 30 minutes to open the airplane doors. 10 electronic passport control machines for nearly 500 passengers. 8 work. Had to stand in line to recheck our bags to our final destination behind all the people that were originating in Austin (we had just flown 11 hrs in from Lisbon.) Other airports do a simple recheck right after customs. TSA very rude and inefficient. I’ve never had to separate carryon snacks for the X-ray at any other airport. Of course our bags didn’t make it and the airline won’t deliver them since the recheck made them categorized as late. Alaska personnel were fantastic but I will avoid Austin at all costs from now on.,,"{'Experience At Airport': 'Transit', 'Date Visit': 'July 2018', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Shopping': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2018-05-23,1,10,"""very hard to see in the dark""",J Masters,"❌ Not Verified |  The parking garage also houses the rental car companies. The garage is under construction and the signage for Rental Car Return is so dusty it is very hard to see in the dark (5.45 am on May 19, 2018). I missed it twice and had to ask airport security where it was. It took 30 minutes to find it, causing me to miss my flight. (Also, on entering the terminal there is no signage showing which airlines are to the left and to the right.) Fortunately my airline re-booked me on the afternoon flight at no extra charge. The chances are very low that I will never use this airport again.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2018', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Shopping': 2, 'Airport Staff': 3, 'Recommended': 'no'}"
2018-05-20,5,10,"""Hard to find where you need to go""
",M Simpson,❌ Not Verified |  Shuttles to and from parking areas and south terminal involve a long wait in the heat and a rather long ride. Shuttle drivers are courteous. Hard to find where you need to go because directions are not clearly posted. All in all rather inconvenient. Maybe it will be better when construction is complete.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2018', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 4, 'Terminal Signs': 2, 'Food Beverages': 3, 'Airport Staff': 3, 'Recommended': 'no'}"
2018-04-09,2,10,"""surprised how filthy it was""",Al Creech,"❎ Not Verified |  I have traveled all over the world and have used some digusting mens rooms. Today, I felt like I entered a 3rd world men's room this morning. Had to clean my own toilet seat. My wife used the ladies room the same time. She was surprised how filthy it was. Someone should lose their job.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2017', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Signs': 5, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 5, 'Recommended': 'yes'}"
2018-02-23,8,10,"""a pleasant airport""",Carter Welch,"✅ Trip Verified | Austin-Bergstrom is a pleasant airport. The lines at TSA were very mild while we were at this airport, and the design of the airport is open and clean. Check-in with Southwest was as easy as usual, staff were friendly. The seating at the gates was plentiful, something which is surprisingly uncommon across the US. However, food and shopping options seemed severely limited and the airport was undergoing construction.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'February 2018', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'yes'}"
2018-01-20,2,10,"""Long delays due to technical difficulties""",R Andrews,"✅ Trip Verified | Long delays due to technical difficulties at the airport. On my original day of departure, the Austin computers were down and the flight was expected to be delayed by 45 mins due to manual checking process. Since I was going to miss my Atlanta connection, I rebooked my flight for the next morning and stayed an extra night in Austin. The next morning the jetway was broken at my gate and the flight was delayed yet again for more than 45 mins. Both times, it seemed to take much longer than necessary to adjust to or fix these problems which is just unaccectable. Austin airport is currently not able to adapt to the increased traffic of this city.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'January 2018', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Shopping': 2, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
