datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-03-31,3,10,"""poorly planned annex wing"" ",J Devito,"Not Verified |   I'm not sure what ultimate plan is for gates C4- C11 is, but in its current state, its awful. I have never walked as much as I have in an airport as I have here. The shuttle bus process is really bad. Driving in a fully loaded bus with NO air is un excusable. The two tiny windows that were letting a tiny bit of air were not enough. We ended up sitting on the bus for a good 4 or 5 minutes while we waited for 3 Southwest planes to pass. When the last jet went by and started throttling up we got a nice HOT blast of the smell of jet fuel.  I can't say that I won't be back, but we may change airlines so we don't need to endure the poorly planned annex wing.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 5, 'Terminal Signs': 1, 'Food Beverages': 3, 'Airport Staff': 5, 'Recommended': 'yes'}"
2024-03-22,3,10,"""Poor design and poor governance""",Bryan Blair,Not Verified |  Shuttle between terminals to get to bag claim takes forever. Very poor design has shuttle bus.  Absolutely no controls at ride share pickup. Ubers double parried everywhere created 15 minute traffic jam delay. If you come to Nashville airport plan to wait. Everything takes three times longer than required. Poor design and poor governance.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-12-28,1,10,"""Worst experience arriving""",S Lavin,"Not Verified |  Worst experience arriving to an airport. Have to stand in extremely long line waiting for shuttle to take you to main terminal to then get your bags and rental car. Took over 15 minutes standing in line with no official information from the airport staff. All information came from locals who were also in the line. Worst experience, arriving in a city. No soap on the ladies bathroom. Finally get on the shuttle to stand on the runway waiting for planes to taxi in and out. So now on a crowded shuttle watching planes move all around and still not to the terminal. Absolutely ridiculous and a miserable introduction to a city.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'December 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-11-26,5,10,"""employees had zero sense""",Michelle Addy,"✅ Trip Verified |  After having stood in line with my family for an hour and finally reaching the check-in counters for our airline, we were told to wait while while another 20+ people checked in before us, causing us to wait another 30 minutes. We were the only ones going to a separate state, so it would have been so easy to just check our 2 bags when we first got to check-in. So because adults couldn't plan ahead and get to the airport with plenty of time for their flight, we were the ones that had to stand there and wait for them. We finally made it to our gate with 10 minutes to spare. To say I was angry and frustrated that the employees had zero sense, is an understatement.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'November 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 5, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-10-31,10,10,"""Had a great experience""",S Palen,"✅ Trip Verified |  Had a great experience. Going through security was fast, had no wait time. They had great local beers on tap and even a smoking section. It costs 10 bucks to enter, but considering I haven't been in an airport that had one in 15 years it made the wait SO much better. 10/10 will layover in.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 5, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 4, 'Recommended': 'yes'}"
2023-04-04,2,10,"""unsatisfactory and unacceptable""",O Allen,✅ Trip Verified | I am writing to complain about the cost of long-term economy parking. I have lived in large cities around the country and long-term economy parking is around 8-10$ per day. This airport has continuously raised its long-term parking fee over the last few years to a now astronomical amount of 18$ per day! That is unsatisfactory and unacceptable. There have been no improvements to the parking lot and there are not buses running more often to them. Why the unreasonable raise. The traffic at the terminals themselves is also horrible. People will be waiting for almost an hour to pick someone up around the holidays.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'April 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 3, 'Airport Shopping': 3, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-04-03,1,10,"""everything is worse than was before""",E Hanes,"✅ Trip Verified |  Getting in and out of the airport is now a real problem. Traffic does not flow around and is backed up constantly. New design has added stop lights which just backs up traffic even more. Years ago, BNA built a parking deck, then 2 years ago tore it down to do the new terminal and parking. Now everything is worse than was before. Even the shuttles to the parking areas are affected and now take forever to go to and from the pickup/drop off areas. Parking spaces are blocked off, constant construction. Cell phone lots have moved off site causing drivers to “Park” on the road. Traffic cops at arrivals do not enforce people from parking and moving on causing traffic to back up all the way around the short term parking area.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'March 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 1, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 1, 'Airport Staff': 3, 'Recommended': 'no'}"
2022-12-23,2,10,"""Very very dissatisfied""",Tanny Crawford,Not Verified | Flight 1101. Dec 23 12:23AM: We have been sitting on the tarmac for 2 hours tonight. Yes there was some snow here. We were told there are no open gates. Get the other passengers off the planes at the gates if they aren’t going to fly out. There is no reason for planes to stay boarded sitting and blocking the gates. Ridiculous. Very very dissatisfied.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'December 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 5, 'Terminal Signs': 1, 'Food Beverages': 0, 'Recommended': 'no'}"
2022-11-21,9,10,"""super customer friendly service""",Mary Koets,✅ Trip Verified | Fantastic. Ample and clean restrooms. Great restaurants. Napping rooms available to rent. Everyone was kind and assisted as needed. They asked me if I needed help. Super customer friendly service.,yes,"{'Experience At Airport': 'Transit', 'Date Visit': 'November 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 4, 'Airport Staff': 5, 'Recommended': 'yes'}"
2022-09-16,2,10,"""Extremely noisy""",M Williams,"Not Verified |  Extremely noisy. Loud music, requiring loud announcements. In C terminal floor constantly shakes, it seems to be an engineering flaw. Avoid if you need to layover.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 4, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 4, 'Recommended': 'no'}"
