datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-08-29,2,10,"""absolutely worst experience"" ",LeRoy McDonald,"✅ Trip Verified |   I had the absolutely worst experience at Logan airport today (8-28-2024) First, we were in the security line when the scanners broke down. So, we had to leave the line and get into another line. Fine, this happens, so we move to the back of a different line. Then as we finally got to the point when it was our turn. Then an airport person comes with a wheelchair person and goes before us, no problem. Now it's our turn again, but then another airport person comes with someone else, not handicapped and the two of them just rudely walk right in front of us. No explanation. No ""sorry or ""excuse us"", nothing. Of course, at this point I am now tired of trying to get through this line, so I had said ""Excuse me"". The airport person started flipping her airport badge at me saying she can do anything with this badge. She was scary, and I was really taken aback by her attack. Instead of saying ""Sorry I needed to get this lady through security"", she started yelling that she could call security or the police on me. I was looking to the person that was in the process of taking our ID and she did not understand what was happening either. We were just grateful that this rude, person was walking away now. I probably should have called security on her right away but didn't. This incident really bothered me the rest of the day and I really regret that I did not get her name. This incident happened around 12:30 PM on 8/28/24 in the security line",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 5, 'Terminal Signs': 2, 'Food Beverages': 0, 'Wifi Connectivity': 5, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-07-15,3,10,"""This airport was so lame2",L Boden,"✅ Trip Verified |  I flew into Boston Logan from Athens. I was four hours early for my next flight. I didn't know what terminal to go to. There was no info desk. A bunch of us were confused. I flagged down a worker and he said to take the elevator up. No one on the elevator knew the airport. In Athens, there was a huge info desk. I went to the Delta sky lounge, which was packed and dirty. And the food unappetizing. Mac n cheese, pressed meat. Why can European airports offer baguettes and great salads? And South Korea and Singapore have live music, beautiful seating areas and lovely lounges with showers. This airport was so lame.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-06-27,4,10,"""One of the worst experiences""",Sharon Dean,"Not Verified |   On Monday June 24, 2024 my Granddaughter and I were in line to get our tickets and check 2 bags in. There was a long line - when an employee came over and questioned all of us in line where we were going. She was one of the rudest airline employees I’ve ever encountered. She actually engaged in an argument with someone standing in line. When I told her the kiosks weren’t operating properly and that I’d never done a bag drop off and could she help me, she just walked away. I started asking her another question, and someone just interrupted her - and she attended to him! My granddaughter and I were in line for over an hour - yes, lots of people had issues and were at the counter for half an hour - but someone could have created a line with people who didn’t have any issues - just a simple need of a ticket and checking in a bag. One of the worst experiences I’ve had at Logan Airport!",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 5, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 5, 'Airport Staff': 1, 'Recommended': 'yes'}"
2024-05-23,2,10,"""the filthiest I have ever seen""",Donna Richardson,"Not Verified |   I had to go to and come back to Logan from Heathrow. The flight out was delayed an hour. But the airport impressed me as possibly the filthiest I have ever seen, including in the old Soviet Union. One of the women's toilets had eight stalls, FOUR of which were either unflushed or blocked up! I reported this to someone cleaning another toilet, who was totally uninterested in doing anything about the problem. Everything in the airport looked battered and worn, basically as if not upgraded for, well, a millennium. It was a dump--an unsanitary dump. It was an absolute nightmare for foreigners whose first impression of the U.S. would be this filthy pit.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-01-20,8,10,"""very modern airport terminal""",Mahmud Noormohamed,✅ Trip Verified |  This review is limited to Terminal A. I haven't flown through Terminal A in years but it still remains a very modern airport terminal. It is spacious with plenty of seating and dining options especially at Gates A12-121. There is a rather long underground walkway from these gates to the main terminal A. The walkway is beneath the tarmac and runways. We dined at Legal Seafoods before departure to DFW. Excellent food. The terminal was very busy given the snowstorm and delayed flights. Bathrooms were okay but could have been cleaner. WiFi was very fast and easy to connect too. Kudos to Logan airport snow clearing crews and the crews de-icing planes. Our flight to DFW was delayed but we managed to take off. Throughout the storm planes kept taking off and landing.,yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'January 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 5, 'Wifi Connectivity': 5, 'Recommended': 'yes'}"
2023-10-18,5,10,"""the most unpredictable airport""",G Zach,"Not Verified |  Born and raised in the Northshore of Massachusetts, Logan is the only choice I have really when flying anywhere; domestic or international. My last experience at Logan was when I was traveling to Indianapolis with my partner to visit with his family back in July (2023). I've had both sides of the coin in terms of experiences with Logan over the years; really good experiences here with nice staff, everything being clean and organized to awful experiences where staff are rude, the bathrooms are gross, seating areas are dirty, disorderly queues and more. Both times going there ranged from fair to poor; bathrooms need serious cleaning and the interior needs an update & it looks like some areas haven't been swept or vacuumed in ages. The gap between great experiences and worst experiences at Logan Airport is one of the worst I've ever dealt with in my life. I feel like I have been going to Logan at the best times and the worst times and it is the sharpest gap between good and bad that I've ever witnessed. The airport in Indianapolis on the other hand is way better; way cleaner, way more organized, way more selections to choose from, etc. Logan Airport itself is not a bad airport, but overall there is better airports out there. Logan is in need of improvement though I wouldn't recommend it because there is such a sharp gap between the good and bad here; you may get the really good or the extremely bad. Better options out there. Sadly this is my only choice to travel. But to others: beware. You never know what you will get. Logan is the most unpredictable airport you'll ever witness. Think twice.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 2, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-10-03,2,10,"""bathrooms were disgusting""",Shannon Yu,Not Verified |  Upon arrival into gate B9 the bathrooms were disgusting. Our next flight info was not listed as the monitors only had domestic flights displayed. Asked the counter they only told us terminal E no gate number. Then had to walk/run a mile to my connecting flight. Couldn’t stop for any decent food. The first Dunkin’ Donuts was so slow if you are rushing for a flight you def would have missed it waiting for your coffee. After running through the dumbest maze like airport to find E10 at the opposite end.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 1, 'Food Beverages': 2, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-10-01,2,10,"""worst airport experience ever""",Candy Fowler,"Not Verified |  We’ve traveled the world and last night we were coming from Morocco and had a 12 hour layover. The Immigration and TSA lines were the worst. We in line for hours waiting. Someone had vomited 3 times in the line and no one cleaned it up…disgusting! Agents were not friendly and were so slow. Once we left that area to pick our bags for a transfer for our next flight, that’s when we really hit hell. Long, long, ridiculous walks, no directions, no signs, no staff to assist. Never did find anyone at the Delta bag drop so once we entered Terminal A, the place was empty and cold plus only a few seats and we were stuck overnight with our luggage. Where are passengers suppose to wait? Airport hotel was way overpriced so we were forced to sleep on cold, dirty floor with obnoxious music playing. We’ve never, ever been to such a terrible airport. I feel really bad for visitors to the USA to have this as they’re welcome. Boston has plenty of money. Absolutely the worst airport experience ever. I will never travel thru this airport.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-09-22,3,10,"""Very rude and insensitive security staff""",I Schulz,"✅ Trip Verified | Very rude and insensitive security staff! Checking in the luggage was kind and quick. But then the security check. I forgot a little handkerchief in my pocket. The security staff and the female officer was so rude. I apologized and went to put it back in my pocket. The female officer was yelling at me to keep it out and things I didn’t understand. I didn’t know what to do and what they wanted me to do. It is not right to expect that everyone in the world speaks und understands perfect and fluent English. Specifically at an airport you can’t expect that. The staff should be kind and understanding, But they were rude and insensitive. Speaking as fast as a high speed train and I didn’t understand. Worst experience at a airport ever. The female officer seems like she was thinking she is something special because of her uniform. Seems like they see every person as a criminal. Very bad experience. The staff should have further education in kindness and sensitivity or they shouldn’t work with customers and human.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 4, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-08-10,3,10,"""over one hour to get through security""",Mick Blobby,"Not Verified |  Awful airport. Inefficient with rude uninterested staff, under manned. Arrival was a joke, over one hour to get through security. Checking in we had the rudest person who had zero customer service skills. We will never travel to Boston again. The worst airport experience we have ever had.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
