datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-08-22,4,10,"""they don't accept cash"" ",Robert Isenhart,"Not Verified |   This airport is horrible, they don't accept cash. Read the notes, it's legal tender. What a rotten rule,is this the USA or not. Whoever made these rules is a complete fool. Insensitive elite losers. Many people use cash we don't want to be taken advantage of by these banks and institutions that hate people.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-10-29,10,10,"""so warm and thoughtful"" ",S Danes,"✅ Trip Verified |   Getting through this airport was such a breeze, our home airport is Pearson, which is insanely busy. We were able to apply for TSA cares for our autistic family, Tameeka helped us from start to finish of security and was so warm and thoughtful in helping us navigate their first time through! Highly recommend using this service if you have a family member with disabilities. We applied for the same program at Orlando and no one helped us, the staff were rude and the lady guarding the family and disabled line tried to turn us away. Thoroughly disappointed especially compared to Buffalo! We will definitely be flying out of Buffalo in the future!",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-08-19,1,10,"""by far the worst""",B Jones,✅ Trip Verified | I fly to a lot of airports through out the country Buffalo is by far the worst when it comes to ground crew present at arrival and time to baggage claim. I don’t remember one time that ground crew was ready when the plane arrived.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'August 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 3, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-01-10,10,10,"""cannot pay anything with cash""",M Dean,"Not Verified |  In Buffalo Airport, you cannot pay anything with cash. So if you don't have a credit card, you cannot buy any food or drink or anything else there (and of course, they take away your drinks at the security check!). This is a nightmare, especially for travellers who don't bring credit cards.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'January 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'no'}"
2019-11-27,1,10,"""absolutely atrocious""",Meghan Kowalik,"Not Verified | Well I went to pick up my Uncle because he is flying in for Thanksgiving. He was waiting at pillar 7. The person in front of me cut me off, and the person behind me pulled up so tight to me that I couldn’t back up to get out and the parking person or security person who directs you out of the pickup area came over and was absolutely atrocious. Swearing at me repeatedly. I will never fly out of this airport again and my family will never arrive by this airport again.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'November 2019', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 3, 'Terminal Signs': 5, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2018-10-30,1,10,"""Security gave bad information""",Seth Dobso,"Not Verified |  Security gave bad information on where to pickup Megabus. This is a chronically late bus service and security knew they weren't giving good info. It's not marked in the bus area. The whole situation is sketchy. I never got to take my trip, lost a lot of time and some money on a chilly morning. Really had it with these people, thanks again for keeping us safe.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'October 2018', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 0, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2018-10-13,5,10,"""small airport with a simple design""",Hung Nguyen,"✅ Trip Verified | This airport is a small airport with a simple design. There are not many shops as well as restaurants. Therefore, there are not many things to do at this airport. The line before the check-in counter of Delta Air Lines was not too crowded.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2018', 'Type Of Traveller': 'Business', 'Queuing Times': 4, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'yes'}"
2015-10-04,8,10,"""good views of the apron""",D Bingham,"Nice Airport. Well organised checkin for B6 and speedy transit through TSA, roomy concourse and nice Buffalo wings. There was a fire alarm while we were there which was dealt with with only minor disruption, good views of the apron and active runway. A good alternative to Toronto for Niagara.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2015', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2015-09-30,6,10,"""a nice experience""",Tyler Patterson,The Buffalo Niagara Airport was quite an experience. It was easily accessible and was fantastic with the hotels right across the road. The staff were okay. We were flying early in the morning so they might have been tired but they seemed alright. The airport was larger than I expected. The parking was easy and cheap. Overall it was a nice experience.,yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2015', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 3, 'Recommended': 'yes'}"
2014-03-27,3,10,Buffalo Airport customer review,R Liria,I was trying to find a parking spot for more than 70 minutes in the only small enclosed parking and finally I left to park outside. Can't believe an airport with that traffic and weather don't have a covered parking area for people who would like to pay for it. Really bad service.,,"{'Queuing Times': 2, 'Terminal Cleanliness': 4, 'Airport Shopping': 2, 'Recommended': 'no'}"
