datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-08-30,2,10,"""my night was so miserable""",C Horten,"✅ Trip Verified |   This is the second time I write about this airport. Last time it was about TSA and this time this passenger passed through quickly without any delay to to my disability. However when the plane touched down after a day of travel this passenger decided to wait at the aiport overnight. Well, after overnighting at the SFO, I thought this would be just an ordinary thing. However my night at Baltimore Washington Airport was so miserable that I must record several warnings. 1) All the eateries and cafes are closed by 11pm 2) The workers are about as friendly and responsible as formerly at greyhound 3) hourly wage mentality prevalent, so whatever is not spelled out in the handbook is okay, including for instance having ground crew workers on break purposely sitting by visitor repeatedly. 4) actually the supervision is so loose that the people going in and out of gate doors to the tarmac/cargo holding area can be wearing any ID. The guy that was eying me at Terminal C had an ID badge but he was taking a lot more breaks than a job allows. 5) all the workers seem to take a lot of breaks and sit around throughout the terminals talking, even socializing like at Terminal A. 6) At terminal C, while I was quietly sitting and napping the red-alarm bell on the ceiling at the gate went off ""by itself' several times. It also did that at the gate across where I was sitting. The alarm went on-and-off ""by itself"" four times at least, and each time, when I was sort of dozing off. I had commented to myself that the music was objectionable, and they ""changed the music to soft jazz."" So evidently the security was looking and listening to me throughout my stay, since obviously very few passengers stay here during the early morning hours. 6) When I walked to Terminal A (where I hoped there would be no alarms) the security speaker announced my last name and terminal location and that security was ""on it."" So apparently even though I am an older disabled person with no record or history of vagrancy or crime, the airport security were ""alert to my whereabouts"" to the point of announcing my last name and location so all the workers could hear. 7) At Terminal A, another ground crew again tried again to sit nearby during his ""break."" When I sort of had enough of this and was muttering to myself, that evidently was shared with some cleaning staff, and two burly janitors (twins) who were heading to clean one of the men bathrooms in Terminal A loudly and repeatedly jeered at me. ""Why does she have to keep moving around that ch*nk as if they was after her?"" that kind of thing. 8) At Terminal B it was quieter because by 4am I found of group of nonwhites who were sitting in a section. However again, another ID-badge worker tried to sit near by while I was napping. 9) Workers were also resting or napping in the food-hall area. As a consequence even though the food-halls and other shops look very attractive, I will not have any desire to eat here. 10) The nice thing about this was that while there were no formal guards questioning anyone, there are apparently enough ""night crew"" who keep going in and out of gate-doors (plus the other hidden cameras and mics) that they don't need them. The strange thing is it was hard to tell who was actually a hired worker and a part-timer with a badge who just sits around and tries to harass visitors. This is obviously why unlike at the SFO or LAX nobody wants to overnight here, period.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-29,2,10,"""International Terminals are the worst""",Tracy Steedman,"Not Verified |   BWI International Terminals are the worst I have been. As a former resident of Baltimore it's embarrassing. No variety, nothing open in the early am and the worst lounges. It can do way better considering the number of International travelers.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-02-12,2,10,"""TSA worker screaming at everyone""",E Colton,"✅ Trip Verified |  TSA worker screaming at everyone. She removed purse, shoes and jacket from the bin where I was told to place them. She threw each item on the belt individually. Never stopped hollering.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'February 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-01-03,10,10,"""your kindness is noticed""",M Walker,"Not Verified |  My adult daughter had just returned from her connection in Las Vegas to Baltimore Airport in route to her final home destination in Maryland. My daughter had difficulty locating her car and had gotten on the wrong airport bus. Now normally this is frustrating for anyone, but my daughter is autistic so trying to problem solve while in a heightened emotional state is a big struggle for her. Morgan is higher functioning and prides herself on how independent she is, but after a night of flying across country and running to connection flights, she was feeling defeated and concerned about finding her vehicle as the sun was going down. A bus driver named Chris on bus 407 was her guardian angel. He went out of his way to get her to the correct bus before it got dark when the main office confirmed they were too swamped to assist. He even had to deal with an angry traveler yelling at him for taking the extra time of getting Morgan to the correct bus connection although Morgan said he was very efficient and quickly navigated her to the correct destination. Thank you Chris, your kindness is noticed and the world is a better place because of people like you!",yes,"{'Experience At Airport': 'Transit', 'Date Visit': 'January 2024', 'Type Of Traveller': 'Solo Leisure', 'Terminal Signs': 3, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-12-29,1,10,"""said that it wasn't as late as I thought""",S Kaylen,"✅ Trip Verified |  After arriving at BWI Airport around 5 PM from Detroit, I had to wait for two hours after touchdown for the handlers to begin bringing out the luggage and my suitcase was not among those that arrived. Upon enquiry at the Lost Luggage room, I was told that the plane was too heavy, so my suitcase (which was not anywhere near being overweight) had been randomly selected to be rerouted (thrown off the plane) to another airport. It would therefore now arrive at 10 PM from Chicago Midway. So I was given two choices: wait at the airport till 10 PM for my bag to arrive, or go home and wait ""two days"" for them to ""Overnight"" the bag to me via FedEX.  Really, how much extra fuel would it take for my normal-weight suitcase to be included in the original flight? I opted for the former option and prepared to settle in for a three-hour vigil at the BWI airport. At 10 PM I was at the conveyor belt that ground staff said I should stand at to wait for my suitcases. They said the plane would be 12 minutes late. And so I waited. Eventually another showed up. She was there to pick up her elderly mother who was on that plane from Chicago. She expressed concern as it was the first time her mother was flying using a walker. I would periodically check with ground crew if I was really standing at the right place. They always replied with the same thing: when the suitcases start arriving from Chicago they would be at belt 3. But it wasn't until well after 11 PM that I saw the belt I should be standing it was now Belt 4. The ground crew had not bothered to tell me about the change, even though I was standing near their desk and in regular conversation with them. The bags started rolling in and by 11:43 PM I was finally able to retrieve my suitcase. When I questioned the ground crew about the delay, they were very defensive and said that it wasn't as late as I thought because it took a long time for the plane to reach a gate, and they count the delay from the moment it does so. So there you are. This was my unplanned adventure on December 27. I hope your experience with Southwest Airlines and the BWI Airport is better than mine has been of late.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'December 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-08-04,3,10,"""requested wheelchairs but no attendants""",Toni Clark,Not Verified | We had requested wheelchairs but there were no attendants to push them so we loaded our bags onto them and pushed them from Terminal A to Terminal D to board our flight to West Palm Beach.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Signs': 4, 'Food Beverages': 0, 'Airport Staff': 4, 'Recommended': 'no'}"
2023-07-03,1,10,"""Terrible customer service""",C Kovacs,"Not Verified |  Overall employees from the shuttle bus driver to the ticket desk to TSA have a rude and unfriendly attitude. All employees seem to have a hourly based personality, only do was is absolutely necessary, nothing more. Most employees focus is talking to other employees and seemed bothered to have to do anything at all. Terrible customer service and willingness to help.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Signs': 1, 'Food Beverages': 0, 'Recommended': 'no'}"
2023-05-11,1,10,"""worst service with respect to baggage""",Jennifer Carter,Not Verified |  BWI consistently has the absolute worst service with respect to baggage. We have waited up to a full hour for bags to be delivered to the baggage area. Larger and busier airports do a much better job. This department should be ashamed of their job performance.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-05-10,2,10,"""The TSA here is so rude""",Chad Leschefsky,"✅ Trip Verified |  The TSA here is so rude it’s funny. They treat you like cattle, yelling, belittling, and anger is a great way to describe these winners. I would avoid this airport at all costs if possible.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-01-21,2,10,"""staff at security were very rude""",Z Crawford,"Not Verified |  The staff at security were very rude. I passed the security guy my passport then he mumbled something I didn’t hear. He then shouted at me to put my phone on the scanner to scan my ticket. Then I was about to walk through the security gate and one security worker was shouting in an irritated tone “push your bags through the scanner!” And as I was doing that she proceeded to shout it two more times. I heard her the first time. After that she said to her coworker “I don’t know how many times I have to say it” and her coworker said “yeah must’ve been about 4 times. I’ve stopped because nobody listens” They’re so disrespectful! Security is already overwhelming enough, especially for people with autism, anxiety etc. the first guy literally mumbled then yelled at me when I didn’t hear him. What if I had a hearing problem? The security workers need to have more respect and patience for others. The staff at Starbucks and auntie Anne’s however I didn’t have an issue with and for the most part were polite.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'January 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 4, 'Airport Shopping': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
