datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-07-21,5,10,"""TSA rude, obnoxious, and, slow",A Wil,"Not Verified |  | I fly a decent amount for work so I have gone to the TSA in a lot of airports in the USA yet, somehow Cleveland TSA seems to go out of their way to be rude, obnoxious, and, slow. This last time they confused a portable monitor for a tablet and got annoyed at me for their ignorance, and said I had four laptops. I had just one laptop for work and a small tablet. I have been the TSA at BNA, ATL, GSP, ORD, SFO, ONT, MKE, and Monteray (MEX) with the same gear this year without a problem. Yet Cleveland TSA has got to be obnoxious about it. The Airline ground staff at Cleveland has always been amazing, especially with Delta, and United, friendly helpful, and present, in my opinion, they make up for a lot of the facility's shortcomings.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 4, 'Airport Shopping': 1, 'Wifi Connectivity': 4, 'Airport Staff': 5, 'Recommended': 'no'}"
2024-03-04,1,10,"""problem is poor staffing and planning""",Barry DiJulius,"Not Verified |  Flew back in December from Hopkins and spent 90 minutes in line for security. Today, 3/3/24, I checked my bags and saw that the line for security was the entire length of the airport! While we were waiting in line, we were offered “CLEAR” for a faster way through security. We never would have made our 10:50am flight, despite arriving at 8am. So, we spent the large sum of money on “CLEAR” to ensure our vacation was not ruined. The people in security used the excuse that traffic was high for spring break. I didn’t see any groups of young people that looked like they were going to a beach. Spring break is still a week or two away! The problem is poor staffing and planning. I use to fly twice a week through Hopkins for 12 years and never experienced the ridiculousness that I experienced in December and again today. This is the age of “It is no one’s fault and no one takes ownership.” Remember when Cleveland was the best location in the nation? Well, the Plum has worms!",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 0, 'Wifi Connectivity': 5, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-06-30,1,10,"""Dirty disgusting bathrooms""",D Kovacs,"Not Verified |  Cleveland airport is awful. Dirty disgusting bathrooms all the time, trash outside and cigarettes. No pride at all. I’m embarrassed when I have people come here as this is my home.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 2, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-04-20,3,10,"""Very user unfriendly""",Tom Mack ,"✅ Trip Verified |  Parking is inadequate and chaotic, understaffed. Late inbounds flights frequently have no gate crews so you get in late, then wait even longer. Very user unfriendly.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'April 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 2, 'Airport Staff': 2, 'Recommended': 'no'}"
2022-08-15,8,10,"""having to walk great distances""",K McDermid,Not Verified |  Getting in yesterday was ok except for having to walk great distances when my partner and I have hip issues. Being offered a ride on an electric cart that did not happen. Then today we sat in the check in area for more the an hour waiting for someone to push our wheelchairs to our gate. We were taken to the head of the line only to have to wait. But everyone was very nice.,yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 0, 'Airport Staff': 4, 'Recommended': 'yes'}"
2022-03-24,2,10,"""harassment on every level""",C Hastel,"✅ Trip Verified |  I fly 2-3 times a month throughout the U.S. for work. Every time I go through security at Cleveland is unnecessary slow and some issue with TSA. They are the rudest agents that look for problems and overreact to everything. I fly LAX and ATL frequently with no issues ever. This trip out of Cleveland they wanted to do a full pat down because a coin sized yellow dot came up in my jeans pocket area when I went through the x-ray machine. I asked to check my pockets and go back through and they refused, used intimidation tactics of getting in my face to make me submit to a pat down. I refused and was kicked out. Checked my pocket and a penny had snuck up in crease. You would think professional TSA agents would be able to recognize a coin when they see it and not subject a traveler to be felt up. Other airports wouldn’t have done that. They also wouldn’t allow me to touch my cleared luggage or purse until I submitted to pat down. Complete harassment on every level.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'March 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-10-23,2,10,"""It’s ridiculous""",S Jeff ,Not Verified |  I have been flying again for business and Cleveland Hopkins is the only airport where you can land and sit and wait 20-40 minutes for a gate to open up. It’s ridiculous.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'October 2021', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 2, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 4, 'Recommended': 'no'}"
2020-05-15,2,10,"""few airports as poorly run""",C Stewart,"Not Verified |  I travel frequently and have found few airports as poorly run as CLE. I would much prefer to use Canton/Akron but end up using CLE when the deal is just too good to pass up. I flew out this past Saturday and watched a bunch of employees walk around with little idea of how to get a crowd through security while employing some type of social distancing. One woman walked around simply shouting ""6 feet"" and an employee standing in the CLEAR aisle actually argued with a customer about why CLE just wasn't prepared for the crowd that morning. I do not pay for pre-check, but the gentleman in front of me did, and he was irate that there wasn't even a pre-flight aisle open and he was stuck in the same inefficient line with the rest of us. I returned to CLE from Orlando and experienced none of the problems there that I did at Cleveland Hopkins.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'May 2020', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 0, 'Wifi Connectivity': 4, 'Airport Staff': 1, 'Recommended': 'no'}"
2020-03-09,4,10,"""This is absolutely unacceptable""",P Clark,Not Verified |  We waited two hours for our baggage. The entire flight had to wait two hours. This is absolutely unacceptable. We were so excited to land at 11.06pm and be able to get home a little earlier.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'March 2020', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 0, 'Recommended': 'no'}"
2018-10-26,8,10,"""shuttle service so far away""",E Bell,"Not Verified | Why did they move the shuttle service so far away? In order to get to ticketing or from baggage carousels, you have to go down one escalator, with your bags in tow, then drag them to the next escalator to go up. Then you have a long walk to get to your shuttle! Not convenient for a 66 year old woman who travels alone. Please return the shuttles back down to the arrival area.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2018', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 4, 'Airport Staff': 4, 'Recommended': 'yes'}"
2018-08-13,1,10,"""everything is terrible""",T Hueni,"Not Verified | Terrible. Food, people, etc. everything is terrible. Landed here at 6 and didn’t get bags until 9. Security before getting on plane and after. Baggage claim numbers are wrong. Do not come here unless you have no other choice.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'August 2018', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2018-07-12,4,10,"""Inconvenient and frustrating""
",W Davis,"Not Verified |  While going through security check we placed our boarding passes in the bin with our shoes, purse, belt, etc. When the bins came out of the check point our boarding passes were gone. I immediately notified an employee who was working at this particular security clearance gate. He looked around the the scanner and underneath it as well, and told us we would have to get new boarding passes printed at out departure gate. Inconvenient and frustrating, but even worse was the attitude and disrespect this employee displayed. Wondering how they can claim to screen for weapons, etc., yet lose 2 boarding passes before their very eyes?",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2018', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2017-04-10,1,10,"""This is ridiculous""",Sue Martin,Customs is horrible here. We had to wait to get our luggage and then we all stood in a mob style type line with one person checking our photos. Then we got the pleasure to stand in another line waiting for a shuttle that arrives every so often. Now they are loading elders into a wheelchair and can seem to not load any other people. Maybe there should be more than one shuttle or let us walk through a concourse. This is ridiculous.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'April 2017', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 3, 'Recommended': 'no'}"
