datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-07-14,6,10,"""this place is filthy""",E Fane,"✅ Trip Verified |  Lots of good food and shops. Amazing love piano playing, and fun Wicked Weed food court. However the reason I’m writing is because this place is filthy! I don’t want to touch a surface! I know they’re under construction but that doesn’t account for counters and corners and floors that obviously haven’t been scrubbed in a long time. Gross! Embarrassing! The survey asks if I would recommend this airport, and my reply is mixed. First off, airport choice is pretty arbitrary as it just depends on where you’re going, and also some aspects are great. The cleanliness however is terrible.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 3, 'Recommended': 'yes'}"
2024-07-14,3,10,"""Charlotte was very crowded""",E Keale,"✅ Trip Verified |  In spite of being a large facility, Charlotte was very crowded. Finding a place to sit at our gate was impossible. The restaurants are far apart from one another so if you need something near your gate, your choices are limited. The bathrooms are messy, with broken soap dispensers and stall latches. But really, crowd management between gates needs to be better.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 5, 'Food Beverages': 2, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 4, 'Recommended': 'no'}"
2024-07-13,1,10,"""rudest and most unprofessional staff""",Evan Bailey,"Not Verified |   The gate agents and customer service agents from American Airlines are pretty much the rudest and most unprofessional staff I have ever met. They have no manners and are extremely rude to people throughout the airport. This airport also I don't think has ever had a flight take off on time, so it's extremely inconvenient to be connecting through here, I will try my best to never come through here again, as well as never fly with American Airlines. Waste of my time and money.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 4, 'Food Beverages': 5, 'Airport Shopping': 4, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-07-12,2,10,"""Ripped up carpet, lots of it""",Beth Wigner,"Not Verified |   Ripped up carpet, lots of it, American renew and redo replacement of bathrooms and kiosks. Crowded noisy. Worst was the absolutely filthy carpet not being ripped up, all around gates. I seriously wondered how they manage to clean it at all ... and how diseases could be spread. Wouldn't it be better to have no carpet and mop overnight?",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Airport Staff': 4, 'Recommended': 'no'}"
2024-07-06,3,10,"""has gotten worse and worse""",E Pirton,"✅ Trip Verified |  Over the years, my experience with the Charlotte Douglas airport has gotten worse and worse. I don’t think that I’ve had a positive interaction with an employee there ever. They are very off-putting and rude. This is my home airport and it’s a shame that this is the impression that we give to people. No one is helpful. They don’t seem to want to be friendly or even pretend that their jobs is bearable. They are unprofessional and do not care to help anyone. There is a lack of seating in the airport. For some reason Concourse C is an absolute disaster at peak times. The wireless chargers seem cool at first, until you realize that most of them don’t work. Even the new ones. The walk time to get to your gate is average. No complaints. It’s expected for a major airport. My last flight had to be diverted for 4 hours due to the Charlotte Douglas employees not dumping the lavatories. Nice. Great job. We won’t even get started on the circus that is the arrivals area. Major traffic back ups. Construction with lanes closed. Employees blowing whistles. Yeah, that was a great idea and helped tremulously. Note my sarcasm. The management of the airport needs to get it together or hire someone who can. A hire standard should be held for employment there. You are embarrassment to the state of North Carolina.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-07-04,1,10,“Please begin customer service training”,Noelle Upah,"Not Verified | The TSA checkpoint C is the absolute RUDEST place I have ever dealt with in the airport. They consistently cut the line and force people to walk to the A TSA checkpoint. This morning they closed the line but instead of closing after the 4 people in line, they cut it and made 4 people walk down to A with 1 worker rather than close the line at the end. This is the 2nd time this has happened and the gentleman was extremely rude. Please begin customer service training since this is not the Charlotte experience and represents our city very poorly. I would not write this review if it was not a reoccurring pattern. Terrible experience.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 5, 'Terminal Seating': 3, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 3, 'Airport Staff': 1, 'Recommended': 'yes'}"
2024-06-28,1,10,"“chaotic, crowded, disorganized”",Bruce Lundy,"✅ Trip Verified | The reviews of chaotic, crowded, disorganized is all true. Possibly the worse in the states. Everything for arrivals and departures is going to be stressful to most travellers. Plan ahead and be prepared for long lines, small confined areas crowded. Plan to sit on floor or stand. Gate C12 had 36 seats for a plane carrying 162 passengers. Food courts, restaurants were crowded with long lines. At all cost don't use this airport for transfers and layovers.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-26,1,10,“Complete nightmare with rude service”,Jennifer Lowstuter,"Not Verified | This airport has been trying to upgrade for over 6 years. It could have been something beautiful but you feel like you are in a third world country. It’s chaos with no clear instructions on where to grab an Uber, restroom, eat. Complete nightmare with rude service. Went through security and noticed a left laptop. Told security. She said “they will come back and get it”. She just left it out. Flights never take off on time, ever! It’s dirty, loud and even the lounges are gross and dirty. I cannot believe it hasn’t been voted worst airport in US. I will never go to Charlotte again.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-23,1,10,"""disorganized airport luggage area""",N Galven,"✅ Trip Verified |  Landed from an international flight waiting at baggage area waiting for luggage. Absolute chaos, display boards are not correct, staff shouting to people to move between gates C1, C2 and C3. At this point an hour since landed and luggage not appeared. People moving in mass between C1 and C3 based on word of mouth. Have flown 1000’s if flights across US, Caribbean, Europe and even Africa. This is the most disorganized airport luggage area ever experience, ranks as the worst. This is even before renovations. When is CLT going to get there act together, maybe bring in someone who knows how to run this?",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 1, 'Food Beverages': 3, 'Airport Shopping': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-20,2,10,"""a mismanaged American airport""",H Eriksen,"✅ Trip Verified | Another example of a poorly operated American airport. I arrived early to the airport and greeted to very long security lines. Once it the airport I found the options for a simple breakfasts limited. After waiting in a long line I purchased a cup of the worst coffee I ever had. I would have returned it but I expected they would not know how to handle it. I tossed it in the trash. I headed to my gate via the very crowded halls. I stopped to use the restroom only to find it unusable. The facilites were dirty and wet paper was on the floor of the stalls. There were hole in the walls exposing plumbing repaired long ago. At the gate, several adjacent flights were delayed causing a large crowds to overflow into surrounding gate areas. Just another typical trip from a mismanaged American airport.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 1, 'Wifi Connectivity': 1, 'Recommended': 'no'}"
