datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2023-07-26,3,10,"""Ridiculous long wait for bags""",Jeff Wood,"Not Verified |  Airport was nice, however very long walk from arrival gate to baggage claim. Ridiculous long wait for bags to arrive on carousel. We flew from Dallas to Cincinnati, the flight was a bit over two hours, it took nearly that long (just under two hours) for our bags to arrive in baggage claim. The person at the baggage desk was not able to provide any information about the status of the bags. We had trackers on them and could see they were sitting at a different terminal for well over 90 minutes after our arrival. Talking to other passengers and the Uber driver, apparently this is very common. We were told the airport is expanding operations, without upgrading infrastructure or adding staff to handle the extra traffic. If you have appointments shortly after you arrive plan on being late.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-07-06,1,10,"""It was very unorganized""",S Keane,"✅ Trip Verified |  At Arrival, it took an excessive amount of time for my luggage to arrive at the claim area. At departure, there was a minimal line (when we got there) at TSA being funnelled into 2 open lanes (2 out of 10!) . The open lane we were put into hardly moved, as all wheelchairs and ClearPass passengers were moved in ahead of the line, rather than having their own independent lane for scanning & baggage check. Then the luggage machine broke, and we stood there for 20 minutes, until one worker finally decided to more the line over to the next machine. It was very hot in this area and after waiting almost 90 minutes to get through I felt nauseous. It was very unorganized and of all the airports I have flown through, never have I had these issues.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 3, 'Wifi Connectivity': 2, 'Airport Staff': 3, 'Recommended': 'no'}"
2019-06-03,2,10,"""This is unacceptable""",Thomas Antonio,Not Verified |  It has been 45 and I am still waiting for my bags to arrive! Never have I waited longer than this at any airport in the United States. This is unacceptable!,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2019', 'Type Of Traveller': 'Business', 'Queuing Times': 4, 'Terminal Cleanliness': 5, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 4, 'Recommended': 'no'}"
2019-05-21,1,10,"""Busses were non existent""",M Kemp,✅ Trip Verified | Horrible time waiting for valupark. Busses were non existent. When they did come they packed us in like sardines. They claimed it was due to construction but I had seen 3 fast pass busses before I had seen 1 valupark bus. Then when I inquired upon if they had any extra busses with a airport employee. He stated it was due to work being done. Next time go with fast pass if you don't want to wait.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2019', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2019-04-11,10,10,"""an employee named Karen""",R Beale,"✅ Trip Verified |  I want to recognize an employee named Karen. I first ran into her while leaving the Thrifty Car rental shuttle & entering the hallway to the ticketing/check in area & she saw that I was crying....she kindly stopped & asked if I was okay...her kindness made my cry more but in a wonderful way, if that could make any sense at all but very true. This sweet girl took my bags & insisted she carry & drag them for me to the check-in, asking if she could do anything to make things better for me or help me in any way, she would. I opened up & she listened, still pulling my luggage & carrying another bag of mine. Who does this?? A super person like her, that's who. Karen went above & beyond in her representation of Cincinnati Airport & I'm hoping whom ever reads this will go the extra mile, as Karen did & find her last name & get this to her manager. It's stories like this that we need to report & in my opinion, as important as a complaint. Please help this get to the correct department so credit is given to this very special employee. Thank you Karen for your kindness.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'October 2018', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 0, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2018-12-12,2,10,"""its all about the money""",James Goodwin,"Not Verified |  If you are handicapped and bringing another handicapped person to this airport, make sure you bring someone else to babysit your car while you are getting the other handicapped person into the airport. I am recovering from stage 4 throat cancer and brought my 92 year old mother here for a flight to Phoenix, while taking her in and the car sitting with the handicapped sticker in the windshield, yep they ticketed it after being told by airport personnel to leave it and get her inside it would be ok. But we do understand its all about the money. People do not have a conscious these days, they are greedy here and that is sad.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'November 2018', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Signs': 1, 'Food Beverages': 0, 'Airport Staff': 5, 'Recommended': 'no'}"
2018-10-12,1,10,"""50 minutes to get bags""
",H Mitchell,"Not Verified |  Why does it take 50 minutes to get bags at the baggage claim for a flight that arrived at 1.05 am? Are they so busy with the one flight that arrived at that time? Absolutely, unacceptable!",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'October 2018', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 0, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2018-06-29,4,10,"""extremely rude and unprofessional""",J Johnson,"Not Verified |  I fly from CVG (Cincinnati/NKY International Airport) frequently, for business and pleasure. My airport experiences are typically normal, with few issues, with the exception of the departure traffic attendants. They are extremely rude and unprofessional. They yell and do not give you adequate time to drop someone off and pull out of your parking location. There is no need to be unprofessional and unfriendly. I would not recommend this airport.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2018', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Staff': 2, 'Recommended': 'no'}"
2018-06-26,4,10,"""signage is not adequate""",Phillip Kenney,"Not Verified |  Beware of navigating this airport by motor vehicle. The signage is not adequate for those unfamiliar with the airport traffic patterns. The worst violation is the sign at the cell phone exit into the airport. The road consists of four lanes, two for arrivals or departures, the other two for commercial vehicles and exiting the airport. The sign for this pattern is overhead at the exit from the cell phone lot so you just have to guess and take your chances. Navigating out and back is sketchy. What were they thinking?",yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2018', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 3, 'Terminal Signs': 1, 'Food Beverages': 0, 'Recommended': 'yes'}"
2018-06-26,7,10,"""security moves pretty fast""",Kat Stealey,"Not Verified |  Airport is nice, security moves pretty fast and it doesn’t get too crazy busy like most airports. The only problem I have had is with the employees that work in the Starbucks near concourse B. They treat their customers with the upmost disrespect, and the store is always filthy. These people chose to work at an airport Starbucks, and get paid to be there but act like every customer is a burden. You guys should really do more research on the employees before you hire them.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2018', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 1, 'Wifi Connectivity': 4, 'Airport Staff': 5, 'Recommended': 'yes'}"
