datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-04-25,6,10,"""I found the Airport was improving""",Ziauddin Ahmed,"✅ Trip Verified |  I used this airport several times past few years. This time I was traveling to Greenville, SC. I found the Airport was improving in terms of services and facilities. This airport is not too large one, but it has all basic facilities. Moreover, it is located in the central of Washington DC.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'yes'}"
2023-12-02,8,10,"""barely a wait to go through security""",Mahmud Noormohamed,"✅ Trip Verified |  This review applies only to Terminal 1 (Arrival & Departure). For one of the busiest days of the travel season (Sunday after Thanksgiving), the terminal was busy but surprisingly uncrowded. From the boarding areas, there are views of the airfield and parking apron. Seating is plenty though at busier times there can be a dearth of seating. Food options are limited given the size of the terminal. To order food, the iPads which contained flight info, links to newspapers and magazines have been eliminated. U now have to us a QR code to scan the menu from your phone. WiFi service is excellent. Easy to connect and fast. There was barely a wait to go through security with TSA-Pre. The bathrooms on both arrival and departure were clean with an attendant cleaning the bathrooms frequently. Terminal 1 lacks a lounge, nonetheless its a good terminal.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'November 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 5, 'Food Beverages': 5, 'Wifi Connectivity': 5, 'Recommended': 'yes'}"
2023-10-27,8,10,"""Overall, a good airport""",Mahmud Noormohamed,"✅ Trip Verified |  This review applies to Terminal 2 only (American Airlines). Transited through a rather busy Reagan National. There are great views for the airfield from the D concourse, terminal building and E concourse. The walk from the end of D concourse to the end of E concourse is rather long and with only a 40 minutes connection, I made it to the connecting gate in E concourse with 10 minutes to spare. Overall, a good airport and terminal to transit through.",yes,"{'Experience At Airport': 'Transit', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Signs': 5, 'Food Beverages': 0, 'Recommended': 'yes'}"
2022-09-24,5,10,"""purchase option was with a smart phone""",Barbara Rusher,Not Verified |  I was disappointed in the fact that I wished to purchase an alcoholic beverage during my layover with Southwest Airlines and found out that the only purchase option was with a smart phone. I don't have that type of phone and there wasn't an available restaurant that could accommodate me. I feel that was discrimination for the public that doesn't use that type of phone. What are you doing to accommodate that portion of the population? We're not all what you would like. if you want us you need to make it easier.,,"{'Experience At Airport': 'Transit', 'Date Visit': 'September 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 5, 'Food Beverages': 1, 'Airport Shopping': 3, 'Airport Staff': 3, 'Recommended': 'no'}"
2022-08-29,2,10,"""Waiting on the tarmac for an hour""",Ralph Daswani,"Not Verified |  Arrived in time but getting a gate took an hour, and same happened when going from Washington to New York. This has got to be the worst airport. Waiting on the tarmac for an hour both ways is preposterous.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'August 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 3, 'Airport Shopping': 2, 'Wifi Connectivity': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2022-05-31,3,10,"""Time to improve DCA authorities!""",Marisol Castro,"Not Verified |  I live in Alexandria, VA. I do not travel very often but I made a trip to Tampa, FL. this past Memorial weekend. My review or complaint is about the public restrooms service in DCA, small spaces, uncleaned, sinks clogged, broken faucets, no refilled soap dispensers, no coat/purse hooks, in resume a restroom service failure. DCA is the capital airport! What a shame! When I was in Tampa Airport waiting for my flight back to DC, I used the restroom, it was almost impeccable, also I saw an airport staff with a checking list. Time to improve DCA authorities!",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 2, 'Recommended': 'no'}"
2021-08-27,1,10,"""worst run airport in the world""",Paul Cohen,Not Verified |  DCA is the worst run airport in the world. Nobody knows what is going on. The gate sign said closed at gate 47. After asking several airport workers the sign came on for gate 47. After 20 minutes the gate was changed to a different city. Do they told me gate 52. At gate 52 it said closed after the announcement on the public address said 52. They told me it is gate 48. At gate 52 they had no sign and told me they were going to another city. Later the sign changed to White Plains. The signed said boarding in 4 minutes. The only problem was the plane was not in. All I can say this is the worst run airport in the world. If you like wild goose chases it is for you.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2021', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Signs': 3, 'Food Beverages': 1, 'Recommended': 'no'}"
2019-11-13,4,10,"""45 minutes for the bags to arrive""",D Wilson,"✅ Trip Verified | 
Quite a bad experience when arriving late. They could not get the jetway to work for perhaps 20 minutes. We just had to stay there in the plane. Then it took 45 minutes for the bags to arrive. It seemed that only one carousel was being used. We had to wait for another flight’s bags to be offloaded first.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'November 2019', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 3, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2019-03-09,8,10,"""There is plenty of seating""",Mahmud Noormohamed,"✅ Trip Verified | This review applies to Terminal A. Transited through Reagan National. Its a very busy airport with Southwest, Frontier and Air Canada all operating from this terminal. There are great views of the airfield from the boarding area. There is plenty of seating however at peak times, there can be a dearth of seating. One of the new innovations is the dining area where orders are taken on iPads which have flight info and links to several newspapers and magazines as well as online games. WiFi service is very good and fast. Limited number of shops given size constraints of this terminal. The only thing I wish this terminal had is an airport lounge. However, given the space constraints in Terminal A, I do not see an airport lounger being built here. Overall, a good airport and terminal to transit through.",yes,"{'Experience At Airport': 'Transit', 'Date Visit': 'February 2019', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 5, 'Airport Staff': 4, 'Recommended': 'yes'}"
2018-12-01,9,10,"""left the terminal very fast""",Zoltan Szabo,✅ Trip Verified |  We arrived before some minutes 11 p.m. The aircraft stopped in the front terminal. I left the terminal very fast. My checked baggages waited for me. I caught the last Subway to city center.,yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'October 2018', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Signs': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
