datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-08-09,1,10,"""Horrible for traveling with disabilities""",C Barton,"✅ Trip Verified |   Horrible for traveling with disabilities. We had purchased a ticket requiring wheelchair assistance. Upon arrival, we had to wait for assistance, it was not there despite the flight arriving late. A buggy arrived that could not take us to the required terminal. The supervisor was helpful and called for someone, telling us to wait. No one came after 10-16 min. We found out that despite being told to wait, my mom’s name was not on the list of passengers requiring assistance. We then spoke with attendants at the nearby gate. They frantically texted and called as the boarding time for our next flight was looming. Finally someone arrived and stated that she was unable to take us as her shift would end past the time since the terminal was so far away. Fortunately 2 more assistants had arrived with her with wheelchairs (3 people requested assistance). One of them offered to take us. The other guy with the wheelchair left (presumably thinking that we were the only ones needing assistance), so the remaining passengers did not have the help they needed either. The porter that took us to the gate was wonderful, a man from Ethiopia. He ran with my mother in the wheelchair. I had to take the moving sidewalks to keep up with him. We arrived at the gate right as the next flight was boarding. It was extremely stressful. It took over and hour of waiting for assistance, and we narrowly made our connection. I would avoid booking a layover in this airport in the future, unfortunately we’re traveling through again on the way back. Hopefully our experience will be better but I have my doubts.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-08-06,2,10,"""Baggage service agents are rude""",Kim Davis,"Not Verified |  Flight was delayed for weather, completely understand the need for safety and rerouting for fuel in Salt Lake City, postponing arrival by 3.5 hours, however, waiting another 80 minutes is horrible. Baggage service agents are rude, as if paying customers should just accept being at the airline’s mercy.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Signs': 1, 'Food Beverages': 3, 'Airport Shopping': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-05-17,1,10,"""I'd rather fly through Newark""",B Holmes,"✅ Trip Verified | This is not an airport, its extortion scheme for TSA pre. Avoid this airport for business travel unless you don't need to pay employees for travel time (if you do, then pay the bribe to the TSA for pre-check, you'll save money). Arrive two hours ahead of boarding time if you have a rental car. Security has been a complete disaster for years and has only gotten worse. The line now greets you on the sidewalk outside. Once you get through security, you'll need to fight your way through the mob trying to board the trains and continually preventing the train doors from closing (no TSA Pre will save you here). Congratulations, you made it to your terminal where you must now navigate the miles long slalom course of random kiosks, broken conveyors, food lines, other desperate travelers etc. So that you can stand in the next line at customer service, when you inevitably miss your flight, where an airline employee will complain about the airport with you while rebooking you on a later flight. Then sit down, have a coffee and spend the time waiting for your next flight to go post angry reviews that no one will ever read. Denver is not an airport, it is an elaborate scheme to trap you in their building and sell you garbage you wouldn't need if they could actually get you to your airplane, like a normal airport. Seriously, I'd rather fly through Newark, at least they're honest about how poor they are.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 1, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 2, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-11-05,2,10,"""try to avoid this connection for sure""",Lyn Matthews,"Not Verified |  English is not the first language here? Announcements in English are at the end. Isn't Denver still in the US? Airport seats are low and hard, very uncomfortable, and not enough charging stations. Bathrooms aren't properly stocked and trash is overflowing. A lady was vomiting with the stall door open and a worker walked in and didnt pay any attention. Aren't they supposed to report that? Airport is dreary and you have to walk forever to find food. If there was a reno, they need it again. Looks worse than when I was here 20 years ago. I will try to avoid this connection for sure, oh and my layover is 8 hrs today. Not a good Airport for that!",,"{'Experience At Airport': 'Transit', 'Date Visit': 'November 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 2, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-10-30,1,10,"“A terrible, awful, ridiculous airport”",R Rajacich,"Not Verified | A terrible, awful, ridiculous airport. Virtually unmanageable. You’d better have a minimum of two hours to make a connection- anything less and you’ll be running. Food choices lousy, bathrooms disturbing. Tons of ‘construction’, but not a single actual worker. I have been spoiled by the airports in Minneapolis and even Albuquerque. Flew out of LaGuardia in NY, which was pretty fabulous in every way. We will never fly through Denver again, no matter what we would have to do to avoid it. Even LAX is a dream by comparison. They really ought to be ashamed.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-10-25,1,10,"""Where are the restaurants?""",Judy Susak,"Not Verified |  Where are the restaurants? I have an hour and a half between flights, my departure gate is 10 gates from my arrival gate. The closest actual restaurant is 50 gates in the wrong direction and none of the moving sidewalks work. I'm over 70 years old I'm not going to run. My only other choice is not-great-looking vending machine sandwiches at $17. (Several Gates away, the one near my flight is closed at 5:45 p.m.)",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-10-20,1,10,"""This place keeps getting worse""",H Martin,"Not Verified |  This place keeps getting worse. There is absolutely no point for TSA precheck to take 30 min when there is no line. The general security line was 20 min faster than precheck. The TSA agents are so slow and rude, it’s not like any other airport I’ve ever visited. They made me walk through the scanner 6x, then take off my shoes, then my shawl, then the decided it was a good idea to have me go through the X scanner. This place makes me so angry every time I visit. I saw them swabbing a woman’s leg cast for explosives. Another woman was asked to open her (previously unopened) brand new powdered chai because TSA can concerned about explosive in there.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 5, 'Terminal Seating': 3, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-09-14,2,10,"""The concourse shuttles were terrible""",Patricia Lyles,✅ Trip Verified | The concourse shuttles were terrible. I arrived at concourse A and every stop to baggage was 10 minutes. Then luggage did not arrive until over an 1 1/2 hours later. My flight with Southwest Airlines was very good. But I have never had such a bad experience at Denver airport as I did this time.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 5, 'Terminal Signs': 5, 'Food Beverages': 0, 'Recommended': 'no'}"
2023-09-11,1,10,"""waited 1.5 hours for bags on arrival""",K Lee,Not Verified |  We waited 1.5 hours for bags on arrival (JetBlue) - other airlines (Frontier) got their bags first even though they arrived later. On departure after the bag drop we joined the security queue which snaked all the way around the airport - we had to walk all the way round after finding out at the start of the queue that it was the right Q ! Then halfway through the queue an airport staff diverted us up escalators and back down to the start of the queue to walk ALL the way round to the Back of the queue again.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 1, 'Terminal Signs': 4, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-09-04,2,10,"""disruption due to construction""",Michael Armstrong,"Not Verified |  Terrible airport.  Restrooms stink. There is no provision for traveler information in the main terminal. Half the elevators we encountered were out of order. Others were blocked by construction. There is so much disruption due to ""construction"" but even on a weekday there seemed to be no hurry to complete the job - no workers in sight. Few restaurants in the main terminal area and those had little or no seating. Outside the restaurants there was even less seating. The arrival sign at the international arrival didn't work. Signs to TSA screening were confusing and misleading, though TSA itself seemed to be efficient. Internal security is a joke - there are few if any visible security officers. When I did find two Denver officers and tried to make them aware of an unattended bag they just grunted and waddled off. Perhaps worst of all, vehicle theft in airport parking is a serious problem and again, there doesn't seem to be any Denver police presence.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Shopping': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
