datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-07-23,5,10,"""host was very evasive""",G Timmons,"✅ Trip Verified | We were told to go through security downstairs at MacNamara. We had a Delta flight. The security ""host"" said the lines were shorter there. I tried to talk with the ""host"" but he was very evasive and brushed me off. When we got there we were forced to go back upstairs. Everything else was fine.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 3, 'Wifi Connectivity': 5, 'Airport Staff': 1, 'Recommended': 'yes'}"
2024-06-14,1,10,“no signage”,Mark Jones,"✅ Trip Verified | There is no signage to tell someone who has never been here before where ""rideshare"" is. We did not see a sign for rideshare in the whole place until 3 different people had to tell us how to get across the street. Not even the Uber driver thought to say anything about where we were or why he couldnt find us... while we watched people being picked up for 40 minutes.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-01-15,2,10,“left us there with no explanation”,M King,"✅ Trip Verified | Myself and 3 other passengers were traveling together and we all needed wheelchairs. Well they put us in the wheelchairs when we arrived in Detroit at gate A63, but they left us there with no explanation! The two young men that were there said nothing and they left us! Well 2 of the seniors are blind! We asked several staff members, including a ticket agent across from gate A63 to call someone, she just quickly said they will be back and went back to her gate! Well she didn't call. I stopped a maintenance staff person, he took the time to call someone. Then a young man we saw working with wheelchair staff for help and he informed us he knew about the situation and knew the person who left us! He was a supervisor, but he could not push one of us to baggage claim! Well we sat there until 4:30pm until we got help! A few choice words were passed by one of the seniors! We got to baggage claim but this should not have happened at all! Detroit Metro staff dropped the ball on this one! You do not leave 4 seniors waiting in wheelchairs without help! 2 blind and 2 over 70 that can't walk thru the airport!",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'January 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'yes'}"
2023-07-14,10,10,"""always clean, convenient""",Michelle Prephan,"Not Verified | Detroit Metro is always clean, convenient and well maintained. Staff is usually pleasant and helpful. We travel through DTW about 3-4 times per year and we have always had a positive experience.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-04-02,1,10,"""This airport is horrible""",Joe Alexander,"Not Verified |  After arrival the departure roads were completely backed up, so no shuttles could get in. Didn’t matter because my family has been waiting over 2 hours for our baggage. Still waiting. This airport is horrible.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'April 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Signs': 1, 'Food Beverages': 0, 'Recommended': 'no'}"
2022-11-18,2,10,"""stuck for an hour trying to pick someone up""",Trev Lee,"Not Verified | When it comes to arrivals, no airport, does it worse. It is a parking lot. There is no security moving traffic along or making people go and you get stuck for almost an hour just trying to pick someone up. Every other airport I’ve ever been to has security that makes cars continue to move and not just park. It’s like this literally every time which is why I’m starting to pick up arrivals at departures.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'November 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Signs': 1, 'Food Beverages': 0, 'Wifi Connectivity': 1, 'Recommended': 'no'}"
2021-11-08,3,10,"""the proper social distancing is not happening""",Brian Matthie,Not Verified |  The problem here is that there are several people who are not wearing masks. There is no security at the 'check in' level and the proper social distancing is not happening either. This is a setup for an outbreak to happen anytime. Its like people don't even believe there is a pandemic going on. What do they believe is happening I wonder and why isn't there someone to enforce the mask rule. My wife is in the 'vulnerable group'as she has just gone through Cancer treatments recently and there is nothing we can do about this.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'November 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 5, 'Airport Staff': 4, 'Recommended': 'no'}"
2021-07-24,1,10,"""Idiotic food and beverage staffing management""",William Shireman,"Not Verified |  Idiotic food and beverage staffing management. Covid excuses: One poor overworked worker responsible for managing a full bar plus long line of customers for Grobbel's sandwiches. Poor woman at Grobbel's isn’t allowed to take orders so has to wait for the overworked one to get to her customers before she makes their sandwiches. Separately, the Starbucks in Terminal B has a rude closed sign with no info on alternatives. Probably 400 customers a day are confused and misdirected, and their irritation is invisible to you. Clean it up.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2021', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 5, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 4, 'Recommended': 'no'}"
2021-06-12,2,10,"""This airport was extremely disappointing""",T Albrecht,"Not Verified |  We had a four hour layover here (added by the airline after reservations were made). This airport was extremely disappointing. Very few places open. In the 5-6 hours we spent here (delays!), I never went in a clean bathroom, never saw anybody cleaning anything. I tried to use some hand sanitizer. It was empty! Our gate was changed several times. Nobody told us anything to keep us apprised. They just sent us a text. If your phone was still in airplane mode, that would do no good. Right now, we are still waiting to board. Nobody is even at the counter and we are supposed to depart in 13 minutes. We've already been delayed 5 times.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2020-06-10,10,10,"""it is seamless, clean, and very efficient""",R Handly,"Not Verified |  This airport is amazing. I was connecting from a very small airport from a regional flight. I step off the plane in concourse b. I then go through the underground tunnel to connect to Paris CDG. I take the tram and stop at chick-fil-a. The tram is very nice and quiet with lots of room. I stop at the skyclub and it is one of the best I've ever seen. You can walk, take moving walkways, or the tram. The airport is very efficient from connections with seats for everyone. If you want to shop there are stores there too. The McNamara is the only terminal I've been in and that will be the only terminal I will use. If I have the option to connect through here, then I will go for it, because it is seamless, clean, and very efficient.",yes,"{'Experience At Airport': 'Transit', 'Date Visit': 'May 2020', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Wifi Connectivity': 3, 'Airport Staff': 5, 'Recommended': 'yes'}"
