datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-07-16,8,10,"""large and well maintained airport""",Mahmud Noormohamed,"✅ Trip Verified |  This is a very large and well maintained airport located in Virginia. Given the size of this airport with its main terminal and then midfield terminals, give yourself plenty of time to get to your gate(s) especially the midfield terminals. On arrival I had to take the mobile lounges to the main terminal. The mobile lounges have frequent service from midfield terminal to main terminal. No more than a 5 min wait. Restrooms in baggage claim are were very clean. Departure was from Terminal C which necessitated using the labyrinth of escalators to get to the AeroTrains which run underground. When I lived in Centreville VA, Dulles was my airport of choice over Reagan National",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 0, 'Recommended': 'yes'}"
2024-04-23,6,10,"""Immigration process takes long time""",Ziauddin Ahmed,"✅ Trip Verified |  Dulles Airport is located in Virginia and bit far from Washington DC. Very large and well-maintained airport, very clean. Few sitting places. Immigration process takes long time. Boarding bridge works as bus to the airport terminal. Taxi and bus services are there.",yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 2, 'Recommended': 'yes'}"
2024-04-03,9,10,“everything went very smoothly”,Simon Fowler,"✅ Trip Verified | Having read reviews here I expected a nightmare, but everything went very smoothly. Terminal A seems to be new and very efficiently organised. Staff friendly and helpful and lines short. It was a quiet period, so it might be different at Thanksgiving and other busy times.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Staff': 5, 'Recommended': 'yes'}"
2024-03-30,1,10,"""The worst airport in the world""",Piotr Lasecki,"Not Verified |  The worst airport in the world. Us Customs and Border Protection - who manages this institution?  1 h 45 min waiting on passport control. In Los Angeles it was more than 1 hour. They don't treat tourists seriously but we, the tourists spend our money there. Fortunately on my list only San Francisco is left. Then I will avoid travelling to this country. There are more interesting places in the world.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-01-01,9,10,"""They have good food"" ",G Han,"Not Verified |   Going to Washington Dulles Airport is easy when departing and arriving, regardless of connections—good staff, lounges, and great AeroTrains and Mobile Lounges to connect different terminals. They have good food in various terminals and airline lounges.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'December 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 3, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-11-22,1,10,"""the worst design for an airport""",Shiva Chen,"✅ Trip Verified |  This airport is the worst design for an airport. Who cares if it’s architecturally significant? Always horrendous traffic to drop off or pick people up. The over the top threatening ways the traffic police rushes passengers and treats them like criminals is not seen anywhere else in the world and I’ve traveled aboard a lot to see family and seen it all. They need to move some of the airlines to a separate building to spread out the load of cars and people. Try to avoid this airport at all cost, it will ruin your travel experience every time. Not to mention having to walk through a maze for miles in addition to taking ground transportation or tram.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'November 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 5, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-09-26,2,10,"""Very poor range of restaurants""",Eva Winkle,"Not Verified |  Very poor range of restaurants. I did not even look at any shops, they all looked uninteresting. The airport is cold, the toilets without soap. Terrible place.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 4, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-09-15,1,10,"""like it’s stuck in time from 1960""",Jim Burton,"Not Verified |  I made the mistake of flying international out of Terminal 1 at Dulles. Thursday evening flight, I arrived at 4 pm. There are meant to be four restaurants, but two of them (Wolfgang Puck and an oyster bar) were boarded up closes. Carrabas was open until they told me the bar was closed. Bracket was the only place to get a beer left, and they have exactly zero electrical plugs. On a long international flight, you need power. I ended going to Volo Vino which had a plug (horray!) but not beer or spirits, just wine. I knew Dulles was a terribly managed airport, but this experience takes the cake. There were thousands of people in the terminal and nearly zero places to sit down and eat. Don’t ever ever fly international in or out of Dulles. It’s like it’s stuck in time from 1960. The reason I rated it 1 instead of 0 or -3 is because it was clean. There are plenty of places peddling their wares of course, but that’s about it. If you do get stuck flying out, you might consider bringing along a Sherpa and some oxygen. It’s not the airport staff’s fault either, it’s management.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 3, 'Wifi Connectivity': 1, 'Airport Staff': 4, 'Recommended': 'no'}"
2023-09-12,1,10,"""It looks old, dark and dirty""",K Andrews,"✅ Trip Verified | After long trip from Copenhagen we about 200 passengers were directed to funny “bus” - packed to the limits and very hot. We did arrival at what looks like United Airlines hub. We are Global Pass/TSA members so we got our face screen and after we had to pickup our luggage to place it back on the conveyor for transfer? There was no screening, no one checking why we had to do this? After we were directed to TSA check - why? We did our Global check which should include TSA? After a long wait we arrived in terminal where we had to walk fast the full length of terminal to catch our connecting flight. There was no place to sit and most of the restaurants had long waiting lines. For anyone specify for one’s arriving for the first time in USA this Capitol airport is total embarrassment! It looks old, dark and dirty. Airport management needs to invite Secretary of Transportation to visit this place as a regular passenger without any preparation for his visit.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-06-27,1,10,"""Worst airport WiFi""",K Steen,"✅ Trip Verified |  Worst airport WiFi. Has been the same since 2010 - no improvements. No cell coverage so WiFi is the only option - and it’s horrible. Plan on no connectivity and if you get it - it’s a bonus. Bring a hard cover or paperback book or a pillow and you will be happy. Plan on answering email or making a call & you will be sadly disappointed. If I could give a negative 1,000 rating I would. This is the 21st century. WiFi is cheap - use the surcharges to fund an upgrade. Your customers, employees, and vendors will be thrilled !",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 5, 'Airport Shopping': 3, 'Wifi Connectivity': 1, 'Airport Staff': 5, 'Recommended': 'no'}"
