datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-09-02,1,10,"""awful attitudes of the staff""",Katie Compton,"Not Verified |  We had a terrible experience at this airport mainly due to the awful attitudes of the staff.  We had orders barked at us and when we didn't understand something or failed to digest things said to us, we were shouted at like we were in a boot camp which I found very intimidating. I has my young son with me too. The staff are extremely unprofessional and when I said to the security worker that its also very stressful for us as passengers, she said ""I'm just doing my job"". No it's not your job to shout, intimidate and scare people. Its your job to remain calm, professional and give clear instructions. Not shout at ppl which scares them that much they're unable to digest what is being said. If I wasn't so tired & in a hurry to catch my flight I would have said way more and put her in a place. Also the girl checking passports & boarding passes screamed at me that much, her supervisor had to come and tell her to calm down. She didn't tell me what she wanted me to hand over, just shoved her hand out so I gave her passports and passes. She shouted I don't need those stop confusing everything just give me the passports. She was literally shouting at me.  They need to be trained better as I'm absolutely disgusted.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Seating': 5, 'Terminal Signs': 1, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-09-01,1,10,"""Worst TSA experience ever""",K Micherda,"Not Verified | Worst TSA experience ever! 30 booths and only 4 open. Had 2 hours to catch my connection and missed it, because of horrible organization of this airport! Staff kept on saying ""everyone has a flight to catch"" - well, they were not ones to miss the flight due lack of urgency on their part. Cost me $400 to get a hotel to catch another flight the next morning, not even counting my lost time. Never again will I fly by that airport.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-08-17,1,10,"""no nearby restrooms"" ",K Walton,✅ Trip Verified |   Why are there no nearby restrooms for people coming in internationally? This is terrible. The employees are  unprofessional and will yell while you’re standing right by them. Not yelling at me but just yelling and screaming at passengers in general. The bathrooms (when I finally ran through the place) were disgusting. You could tell they were not properly and regularly cleaned. This was hands down the worst experience I’ve had at any airport and I will do my absolute best to never have to transfer to/from here again.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-22,3,10,"""TSA was horrible""",Z  Carlos,"Not Verified |   TSA was horrible and gave us an incredibly bad feeling after bullying us through the screening. I didn’t get any names because we were concerned of staying longer than necessary, but one of the lead females were incredibly rude and treating her own co workers just as terribly. We understand everything TSA goes through and we are grateful for a team that secures our safety but that does not  give someone the right to yell at me or my wife! My wife is pregnant and they were savages about getting us through and getting a female to pat down my wife. We fly all the time and this is the ONLY time we had a TSA issue. I will be reporting this further if we have more problems, this needs to be brought to the attention of the employees and the culture needs to shift away from negative attitude to helpful security!",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 2, 'Wifi Connectivity': 2, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-06-15,3,10,"""airport is so overrun""",B Geere,"✅ Trip Verified |  This airport is so overrun that I had to wait an hour for Uber to make it through traffic to the pickup area, and it took us another 30 mins to get out. The cops were shouting at drivers and people as well, not decent cop behavior. The AT&T cell service was overrun, too (showing all bars but not able to text or make a call). Won’t be coming through here again!",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 1, 'Food Beverages': 4, 'Wifi Connectivity': 1, 'Recommended': 'no'}"
2024-06-06,3,10,"""Deeply disappointed""",Holly Ellis,"Not Verified |   We got in on a late flight to find long lines, disgusting restrooms, traffic problems, baggage backups, airport subway train closed at 12:15 which led to an excessively long walk to car and backtrack to terminal and no response on the valet phone for car. Deeply disappointed and embarrassed that this is an international airport.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 0, 'Recommended': 'no'}"
2024-05-29,2,10,“Passengers are treated like cattle”,Prakash Lele,"Not Verified | Of all the airports I have visited, this IAH airport is probably the worst. Which is surprising as I'm comparing it with airports in a few economically poor countries. The airport people seem disinterested in their jobs. Even minor rains are treated as major disasters, causing everyone to take shelters indefinitely. From experience, the wait times for baggage to be delivered is easily 1-2 hours more than the time for baggage delivery in countries like Japan, London,UAE, Ireland, and Italy. In fact, the fastest baggage delivery I've seen was at the Mumbai airport in India - the bags arrived before we reached the baggage claim. Coming back to IAH, international flights struggle to find a docking gate at terminal E. Terminal E is best described as a shanty at this point due to repairs/renovations that hopefully will conclude during my lifetime. We were forced to sit on tarmac for hours after a long flight. Passengers are treated like cattle - beware, if you're requesting wheelchairs, you'll probably be wheeled around the next day if you're lucky. Sad.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 1, 'Wifi Connectivity': 5, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-05-18,2,10,"""Terminal E is bad""",Juan Gamez,"Not Verified |   Terminal E is bad. Probably the worst I have seen. I’m not sure how an international terminal can be so small and not have any amenities, restaurants, etc. on both departure and arrival. Something needs to be done to upgrade this terminal.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 2, 'Airport Shopping': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-05-18,1,10,"""immigration takes ages""",A Ajay,"Not Verified |   Worst possible airport, immigration takes ages, security check socks, signs are inadequate, arrogant staff, no help on hand, poor facilities, over crowded. By any standard, this is the worst experience I ever had",,"{'Experience At Airport': 'Transit', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-03-15,1,10,“cannot support this corporate greed”,Heiko Horn,✅ Trip Verified | Staff at TSA and CBP even more rude than normal - I understand this is a cowboy state but you don’t have to treat people like cattle by yelling commands at them. Long line at global entry so what is the advantage of having it? At other airports I just breeze through. Prices for food have reached levels that I’m not willing to tolerate any more. More than $15 for a prepacked old Turkey sandwich at CIBO that I in addition would have to check out myself is simply unacceptable even though I could expense it. I simply cannot support this corporate greed! Toilets smell like in a 3rd world country. To use the “free” WiFi a ton of personal data is collected - no thank you!,,"{'Experience At Airport': 'Transit', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
