datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-09-21,1,10,"""Avoid like the plague""",P Draper,Not Verified |  Avoid like the plague. Waiting for 3 hours with 2 people processing the entire queue. Absolutely ridiculous. Asked why it takes so long and all I got was. It’s like this everyday. Sort it out people,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'September 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 3, 'Recommended': 'no'}"
2024-09-14,1,10,"""astonished by the customer service"" ",S Morton,"Not Verified |  Was going to security with me husband and son, appreciate all airports have there own way od doing things, but the girl at the conveyor bell was extremely rude raised her voice when my husband put his shoes in tray instead of putting them directly on belt, I then said in a raised voice also will admit that ok we heard her, she was passed off that I had spoken up, call another lady over who then asked Mr where all the luggage mine I said no, she asked my husband were we together he said yes , then she looks at me and said so these are all yours, I said nope that my husband had his luggage and I had mine, it wasn't even that hard to explain, it was her attitude over the whole thing, even at check in no acknowledgement no please or thanks, I work in customer service and to say I'm astonished by the customer service at this airport, never again will I use this airport, and I've been to many but my god this was the worst airport I've ever been in, customer service so low.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 4, 'Recommended': 'no'}"
2024-09-02,1,10,"""Avoid JFK at all costs""",F Richard,"Not Verified |  Due to flight delay, we were very tight for our connection flight. Using JFK on connections, we were forced to leave the secure area going from T5 to T7. This required us to recheck in at airline and go through the security screening process a second time. Airline facilitated us, but security were the rudest, uncaring, belligerent staff I had ever encountered. They simply barked to get to the back of the queue, which was huge. Avoid JFK at all costs.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-08-24,4,10,"""TSA staff rudeness""",Oli Parish,Not Verified |  The airport staff very rude and like it is not enough the trauma we have to go through with the checking time; we also need to experience the TSA staff rudeness and lack of emphaty. It is just sad how horrible we are all turning to be as human.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 5, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-07-23,5,10,"""specific for Delta Airline Check-in""",S Hao,"✅ Trip Verified |  It is specific for Delta Airline Check-in process staff at JFK airport! My flight was to Seattle on July 1, afternoon, ~4:00pm. I checked-in online before I headed to JFK Airpot and so I did not have too much time before departure time. In security check point, the officer told me that, the birth date in my ticket (My son booked the ticket for me. It is his/our fault, I know.) is not the same as that in my driver license. So he asked me to go back to the check-in point for correction. The waiting line in the check-in (Maybe most of them are for checking in baggages while I do not have.) that day is super long. If I lined up from the end, I probably I will miss the flight. So, I talked to staff around the check-in area. It was so crowded. Someone said, you go to there, pointing. Totally, I talked to 5 difference people around that area. Still no one is responsible for my issue. They were saying differently. It seems I have to line up from the end. In the end, I stick on one lady. She said, I understand your situation. I can do nothing about it. She hinted me I have to line up again. Finally, I have to cut into the line by some people's kindness to allow me to cut into the middle of the line. I am OK to line up, even it is long, if I did not check in online. I would leave more time to do that. My question is. For this kind of special situation, should Delta Airline have some specific rules to handle??? would you like the custom to miss their flight? Thanks!",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 5, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'no'}"
2024-07-18,1,10,"""most unhappy, rude people""",Bashore Halow,"Not Verified |   The border control employees are some of the most unhappy, rude people I have ever encountered. Why anyone would want to employ these nasty, aggressive, individuals to not only protect our border, but to be the first face of America that visitors encounter upon arrival, is beyond me. It's as though all of them did their customer service training at the DMV. Ironically, most of the immigrants they are charged with preventing from entering the U.S. could probably do their job 10 times better. Do the reputation of the U.S. and New York City a favor. Fire this surly, attitude-y, chip-on-their-shoulders crew. I gave the queuing time a bad score, because the staff's yelling and rude behavior actually inhibits the smooth processing of entrants.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Signs': 4, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-07-13,1,10,"""incompetent, unruly nightmare""",M Kelly,"Not Verified |   Border control absolute incompetent, unruly nightmare. Almost got crushed on the escalators because entire area was mobbed. Has to push my kids through the crowd so they didn’t get trapped and possibly injured as scores more people were pushed up the escalators behind us. There was one single staff member there to manage a crowd of hundreds, and he was nonsensical with his demands (“don’t merge!” - as if there was any semblance of lines that anyone could merge into), rude, and dictatorial. Lines weren’t moving at all; air conditioning wasn’t working; and invariably tempers began to flare in the confusion. I’d describe it as “third world” but most third world nations are better managed than this.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 0, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-07-11,1,10,"""miserable set of entitled jobsworths""",Stu Mason,"✅ Trip Verified |  What a miserable set of entitled jobsworths! We don't expect TSA staff to be grinning from ear to ear all shift long but do they all have to be so overtly rude and miserable? Can they read? They presumably did not read the job description. They must all feel very satisfied on completion of their shifts when presumably they go home and inflict their miserable selves on their families. Dead behind the eyes, not a good look.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 5, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-18,1,10,"""find a way to avoid this airport""",A Allen,✅ Trip Verified | If you can find a way to avoid this airport with the longest wait on earth and worst customer service you will thank me later. I had a connecting flight and I had to wait 2 hours to pass the CBP and then I had to pass again thru security check (over 2 hours) to get in my other plane - unbelievable.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-05-27,1,10,"""a shame of an airport""",J Perez,"Not Verified |   This is worst airport I ever been too! So rude, not helpful, why have an atm that you can take out money but not put in! Cashless system is fast way to lose customers, should be more people that are certified in different languages to help instead of make fun of them. New York JFK is a shame of an airport.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Signs': 1, 'Food Beverages': 0, 'Recommended': 'no'}"
