datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-08-17,10,10,"""compassionate and dedicated"" ",Brenda Letts,"✅ Trip Verified |   I can’t express enough how grateful I am for the exceptional help I received from Hilary, the gate check agent at Spirit Airlines. I was in a complete panic after losing my cell phone at the airport. With no way to contact my family and let them know when I’d be arriving, I was extremely stressed and worried that they’d be concerned about me. Hillary noticed my distress and went above and beyond by offering to let me use her personal phone to send a quick text to my family. Her kindness, thoughtfulness, and willingness to help me in a moment of crisis made all the difference. Thanks to her, I was able to let my family know when to pick me up, and I could finally breathe a sigh of relief. Never did find my phone but there was a silver lining. Hillary truly saved the day for me, and I can’t thank her enough for her generosity. Spirit Airlines is lucky to have such a compassionate and dedicated employee. Thank you, Hillary, for turning a stressful situation into a manageable one. You have no idea how much your help meant to me!",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2024-07-16,4,10,"""The bathrooms are filthy""",D Keares,✅ Trip Verified |  This airport is disgusting. The bathrooms are filthy with urine and unworking flush mechanisms. Floors throughout terminal 1 appear to rarely get swept or mopped. Im amazed the airport can pass a foodservice inspection. We ate breakfast at the wendys and the seating areas and tables had spilled drinks and food all around the dining space. Trash overflowing. It seems the cleaning crew are non existent or inept. Avoid this airport at all cost. Tsa was friendly and efficient but the rest is a zero.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 1, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 3, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-06-15,5,10,"""B concourse needs major renovations""",Mahmud Noormohamed,✅ Trip Verified |  Review limited to Terminal 1. Arrived at the D gates. The D concourse appears to have more amenities which appear to have more amenities than the B concourse. The concourse is bright and spacious. Departure was from B concourse. The B concourse has only 2 restaurants and lacks amenities. Slot machines take up most of the space at the gates which makes for a very crowded gate area. I didn't notice any in seat USB and/or power outlets. The B concourse needs major renovations to align it the modern and spacious terminals you see at other airports. There is no lounge at either B or C concourse. Free Airport WiFi is fast. We dined at PGA restaurant. One of the worst meals we've had. Our meals were comped (fish & chips) as it was not up to the restaurant's standards.,yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 2, 'Wifi Connectivity': 4, 'Recommended': 'yes'}"
2024-02-24,10,10,"""amazing lady from Flint Michigan""",Lance Wilkerson,Not Verified | God bless the amazing lady from Flint Michigan. I can’t remember her name. I threw my back out the day before my flight. I was hunched over and could barely walk. She got a wheel chair for me and took me though security and all the way to my gate. Waited for my plane and rolled me down the jet bridge. I don’t know what I would’ve done without her kindness! I hope she knows how much she’s appreciated!,yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'February 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 0, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-12-04,1,10,“TSA employees were very rude”,Y Zachery,Not Verified |  The TSA employees were very rude! TSA Pre Check was closed! The airport is one of most unclean airport’s I have ever visited. Seating at Gate A has no charging ports on the seats. The experience at LAS makes me extremely grateful to go back to my home airport #BNA.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'December 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-10-14,1,10,"""it was dirty and nasty""",S Harper,"✅ Trip Verified |   Sitting area is disgusting! Trash under chairs, carpet very dirty and bathroom were not clean. Water was all over the bathroom ladies room and it was dirty and nasty.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 5, 'Food Beverages': 0, 'Airport Staff': 4, 'Recommended': 'no'}"
2023-07-02,3,10,"""airport seems to hate their customers""",G Dan,"Not Verified |  This airport seems to hate their customers. Had a layover for a red eye, never a great situation but this airport is especially terrible between 1 am and 6 am. There aren’t many bathrooms in this airport to begin with, and then they shut down every bathroom in the airport at the same time for cleaning around 2am, so good luck. Need to sleep at the gate? Well, the seats have huge metal arm rests to prevent sleeping, so the gate was full of uncomfortable people trying to sleep upright. Then they have loud rock music playing nonstop. And, on top of that the person driving the floor cleaner up and down the walkway constantly honks the horn on it as she passes the terminal full of people trying to sleep. I get that it needs to be cleaned and there is never a great time for that, but blowing the horn nonstop was unnecessary.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-05-13,3,10,"""worst queues I’ve ever seen""",John Thomas,"✅ Trip Verified |  Terminal 3, wow. The worst queues I’ve ever seen. Just for TSA Pre Check, the line was backed up a quarter of a mile. The regular line was unheard of, there’s no way anyone is making their flights. Something needs to be done to make the security lines more efficient in Terminal 3.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 4, 'Terminal Signs': 2, 'Food Beverages': 2, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-03-20,2,10,"""rental car experience a fiasco"" ",Michael Kelley,"Not Verified |  Agree with other reviews rental car experience a fiasco. Embarrassing for City of Las Vegas. Will avoid in future for sure. Long lines for shuttle which took forever to show. Then, of course, further chaos at actual rental counters.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'March 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 0, 'Recommended': 'no'}"
2022-12-11,1,10,"""entire rental car experience is hands down the worst in the country""",K McDonalds,"Not Verified |  I travel all over the US. The entire rental car experience at LAS airport is hands down the worst in the country. The shuttle buses take forever to come and they send one of the time every 20 minutes to half an hour with hundreds of people waiting in line, then at the rental car center the lines get even worse. For one of the number one tourist destinations in the country this is absolutely awful and one of the most inefficient clusters at any airport. And today is Sunday, can’t imagine how bad it would be on Friday. This happened the last time I came in November 2022.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'November 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 5, 'Terminal Signs': 5, 'Food Beverages': 0, 'Recommended': 'no'}"
