datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2023-10-26,8,10,"""Restrooms are plentiful and clean""",Mahmud Noormohamed,"✅ Trip Verified | The new Terminal C is a significant improvement over the old Delta terminal. This is a spacious terminal with plenty of light from the floor to ceiling windows giving views of the airport runways/aprons and CitiField and Arthur Ashe Stadium. The walk from gate 75 to gate 97 was rather long. Restrooms are plentiful and clean; however, in some locations they could use more stalls given the number of passengers who traverse this terminal. Dining options are placed conveniently. I had a delicious lunch at one of the restaurants. The airport WiFi is very fast and worked flawlessly.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 5, 'Wifi Connectivity': 5, 'Recommended': 'yes'}"
2023-06-18,8,10,"""High marks for LGA new Terminal B""",F Kauner,"✅ Trip Verified |  High marks for LGA new Terminal B. The building is spacious with plenty of light. Long walks from check-in to the gates and one has to walk through the  shopping mall to get to one's gate. Arrived on a Thursday at 7:00. Went to the TSA PRE line. There were about 20 people ahead of me but, with 4 stations open to check ID, the line moved quickly. Found myself in a too-slow security lane. People, why do you wait until you get up to the scanner to remove your watch, belt, jewelry, etc. Especially if you're in PRE, you know who this works! Still and all, I arrived at 7:00, checked luggage and was through security by 7:15. Not at all bad for this newly refurbished airport.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 0, 'Airport Staff': 4, 'Recommended': 'yes'}"
2023-05-31,1,10,"""no signage to speak of for Frontier""",T Marston,"✅ Trip Verified |  Absolutely no signage to speak of for Frontier, very hard to figure out where to go amongst all the Competitor airline signage, very difficult to find the terminal to go to, and the ticket agents and bag person was rude. The only thing going for this terminal was the security desk, they were nice, and the person behind the screener checking the people images was sort of funny, other then that everyone else i dealt with was rude.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-10-18,4,10,"""Horrible experience""",Jane Lilja,"Not Verified | While arriving to La Guardia Terminal B from JFK after an international flight, we were too early to check in. There is no restaurant to relax in without going through security It was too early to check bags therefore could not go through security but had nowhere to have a drink & food & relax. Very few seats Those that we’re provided were backless benches. After a renovation it seems someone should have thought to provide food service for those arriving too early to check in. Horrible experience",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'October 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Staff': 4, 'Recommended': 'no'}"
2022-09-05,2,10,"""Its bad reputation is well earned""",S Tyler ,"Not Verified |  Terrible signage, inefficient layout, understaffed. Its bad reputation is well earned. Not much else to say. Ridiculous that they are trying to renovate the airport but simply better signage would go a long way.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Shopping': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-08-25,10,10,"""Delta Terminal C is elegant, convenient and modern""",N Vail,"✅ Trip Verified |  The new Delta Terminal C is elegant, convenient and modern. Restaurants, gate areas, and restrooms were all immaculate. Check-in went smoothly. Keep it up.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2022-07-25,1,10,"""I will never fly through La Guardia again""",Ynette Evans,"Not Verified |  I had a flight scheduled to leave a 6 in the morning connecting in La Guardia. Several delays and flight changes later, I finally managed to get on a plane, and then had to wait in the plane for another hour because La Guardia had shut down airspace. I will have to figure out another connecting flight because of this, and they made me check my carry on so God knows where that will end up. This has been a complete nightmare I will never fly through La Guardia again.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 2, 'Airport Shopping': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-07-23,1,10,"""a pathetic excuse for an airport""",O James,"✅ Trip Verified | This has to be the worst airport I’ve ever been too. Not only is every terminal a 20 minute drive but the ‘shuttle service’ drops you half a mile from terminal C. Wait it gets better, you have to walk another mile once you get through security to get to gate 67 because they refuse to open a closer security checkpoint site. This is a pathetic excuse for an airport and honestly should be shut down.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-07-14,9,10,"""The new terminal is unrecognizable and a huge improvement!""",Nathaniel Altman,"✅ Trip Verified | I hadn't flown from LGA in years and was very impressed with the new Terminal B (home to American Airlines and others). Beautifully designed, spacious, and easy to navigate with abundant dining and shopping opportunities. Check-in areas are spacious and efficient. Great rest rooms. The new terminal is unrecognizable and a huge improvement!",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 3, 'Airport Staff': 4, 'Recommended': 'yes'}"
2022-05-18,1,10,"""Don’t mind taking your money but don’t care if you get what you pay for""",Karen Roberts,"✅ Trip Verified | We flew from Dallas to New York where we had a lay over and changed planes before going to Portland Maine. We thought! However our flight to Portland was delayed several times and then cancelled late at night when shops closed. There were elderly people and handicapped people and some medical issues. No assistance was offered. The passengers stuck together and tried to help each other as much as possible. Had to ask for snacks and water but no wheelchairs, no blankets, no directions, just a lot of rudeness. We spent the night on the floor freezing in the airport, then next morning when trying to leave nothing but rudeness everywhere. Security screaming at deaf boy because they wouldn’t calm down long enough to realize or listen to us trying to tell them he was deaf. Eating places the same way. Don’t mind taking your money but don’t care if you get what you pay for and rude to boot. Check in very inefficiently run.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
