datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-09-14,2,10,"""better than what it was before""",S Newman,"Not Verified |  The airport has been updated and it’s much better than what it was before, but still doesn’t even have a business lounge or place to go to if your flight is delayed and every time I fly through MCI, the ladies’ bathroom in the Terminal always has a very long line, because the other option is the ALL Gender bathroom, but a lot of women don’t feel comfortable sharing a bathroom with men.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 2, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-04-21,8,10,"""like the size and style of the facility""",Evan Moser,"Not Verified |   Southwest 4 hour layover on a return trip from Cancun. Airport is quite nice and modern. With enough space to accommodate surges. I'll take this airport any day over an Atlanta Delta layover. Clearly a new addition to the Kansas field (did not experience old terminal). Customs/bag claim, re-check, and re-screen for TSA for the domestic leg was super quick. Really like the glass jetways. Friendly TSA and gate agents. Bag claim and TSA were all quite clean. Gate areas were dirty - and not in the post-rush kind of way. Heavy duty cleaning seemed neglected/deferred. One example that stuck out: Dusty and fingerprints on window area/sills, etc. Bathroom sink areas could have received more attention. Some soap dispensers not functioning. A small gripe: Impossible to get a bottled unsweet tea anywhere in the facility. Every retail business had the exact same drinks in their grab and go coolers. My guess is it is contracted out to Pepsico or something. What's the point of having multiple retail businesses if they all serve the same stuff? Overall, I really like the size and style of the facility. Will look forward to my next layover here, should the time come.",yes,"{'Experience At Airport': 'Transit', 'Date Visit': 'April 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 2, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-12-09,2,10,“What were they thinking” ,Bruce Wian,✅ Trip Verified | Getting from drop off to your gate takes forever. After you check in with airline they have you walk a country mile to get to security. Than its another country mike to get to your gate which was Delta but God help you if you took Southwest. The old airport was fast and easy. What were they thinking. Poorly designed.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'December 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 3, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-12-01,2,10,"""dirty floors, dusty everything""",P Dawsen,"✅ Trip Verified |  The bathrooms look like they haven’t been cleaned in weeks. Splatters on the back of the toilets, dirty floors, dusty everything. Looks like all they do is refill toilet paper and seat covers",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'November 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-11-27,1,10,"""The worst airport ever"" ",Boeun Won,Not Verified |   I have waited for about 1.5 hours to enter the gate. It was so disappointed and I haven’t experienced it before in any airport. The worst airport ever.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'November 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-11-09,1,10,"""Little to no signage for anything""",J Cahill,"✅ Trip Verified |  The old airport was great. Fast TSA, comfortable gate seating, no frills. The new one - not even close. Check in was very clunky, there's no real traffic flow, just a mass of passengers. Horrible, slow TSA (similar to Atlanta). Way too many shops and restaurants. Little to no signage for anything. The gate seating area only sat 55 passengers. More shops and restaurants, why are there any at all? An airport is not a destination, it's a thoroughfare. I attempted to find a bathroom and looked until I saw a sign flat on the door (no hanging sign). Overall a poor experience with something that was supposed to make life better. Next time I'll fly out of St Louis.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'November 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 0, 'Recommended': 'no'}"
2023-07-12,3,10,"""some important things missing""",J Rulo,Not Verified |  The new airport is very pretty but there are some important things missing. The signage is not great. They must have forgotten about signs for baggage claim because they only have sandwich boards in the main terminal area directing you to the baggage claim. We found NO SIGNS for rental car area. Finally got a broadcast on the PA regarding car rental location and shuttle. The TSA lines were very long even though not many people are here. They had the area roped of as if they were expecting a large crowd and didn't bother to shorten the lanes when not needed causing people to walk more than necessary. The new seats are uncomfortable. Our TSA person at the baggage check area was rude and didn't seem to know the rules for people over 75. I realize it is a work in progress but seems like some of these issues should have been obvious to the designers and planners. Lets hope it gets better as time goes by.,yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 2, 'Recommended': 'yes'}"
2023-07-06,7,10,"""modern necessities one would expect""",James Metz,"Not Verified |  Feedback on my initial visit to MCI (new terminal). I am a Kansas City native --- this review is critical, as it should be. Overall impression is outstanding compared to the 1970s era terminals. It addresses the needs of a 21st century Midwest airport with all the modern necessities one would expect as a flying customer. First impression walking in, it's big. It spans wide and the design incorporating natural lighting with an abundance of windows is refreshing. The evening sunlight streaming in through different angles really provides a ""non-restricted"" feel as you walk about the terminal. The respective airline check-in counter/placements are easy to identify and span the width of the front end of the terminal for easy access. Security access is fairly streamlined and the entire process is able to accommodate large volumes of travelers (non-TSA airport - VMD corp) more natural light as you progress through each arm of the terminal (A/B/C) with interior lighting not overbearing. The walkways are wide and allow for excellent views of the tarmac, exterior gates, and various angles of the entirety of the taxiways and runways. Additionally, the escalators and walking escalators are positioned nicely and push you through terminal in a speedy manner. More shops, etc. at each terminal branch, providing basically anything the traveler would need. The vibe and local venues are all a welcome addition and definitely fulfill the needs of the traveler. Individual gates and structured well and offer comfortable seating and ample wireless device charging. The one thing that seems odd is the placement of the gate flight monitor(s). It is essentially in the seating area of the individual gates. Why not place it directly behind/above the agent booth/desk for easy and quick access and explanation (poor design decision). Boarding the plane, the traveler is treated to long glass jet bridges that allow for excellent views of adjacent aircraft and outside weather conditions. This is a well thought out design that many major airports do not offer. Overall, the new MCI/KCI terminal is a massive upgrade to the Kansas City area. It has the opportunity for expansion and I would expect future modifications to address design shortfalls and customer feedback. We concluded it feels like a mall when walking though the new terminal. Three things need immediate addressing - (1) Men's restroom upkeep and sanitary conditions unacceptable. Need to revisit the options of installing automatic hand blower machines and look at the cleaning schedules to ensure conditions do not deteriorate to the point of being an embarrassment.  Cleaning crews need to maintain a regular schedule on vacuuming the terminal carpet - paper and debris everywhere.  Please explain how the gate flight monitors are controlled by the city? How is this beneficial to the traveler or airline staff? Local control to change/modify the monitors shouldn't even be a discussion. This new terminal is supposed to represent the pride of Kansas City aviation.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 2, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'yes'}"
2023-05-18,7,10,"""housekeeping services are poor""",D Schechter,"Not Verified |  Brand new airport that looks pretty nice but housekeeping services are poor in and outside the airport. They tried to make it local Kansas City restaurants only so don’t look for a Starbucks, you won’t find one. Seating at gates is sufficient with work table space as well.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 5, 'Terminal Signs': 3, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'yes'}"
2023-05-11,1,10,"""Poor lighting for road signs""",Anthony Peacock,"Not Verified | Poor lighting for road signs for rental car return. By the grace of God I was not killed, I was going head on to incoming traffic the wrong way because of poor lighting, it was 4 am on May 11 2023. Lack of signs and direction for rental car return. Please fix this problem before someone is hurt.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 1, 'Food Beverages': 0, 'Wifi Connectivity': 5, 'Recommended': 'no'}"
