datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-09-09,2,10,"""needs to improve the quality""",E Brown,Not Verified |  Leaving travelers sitting in the tarmac for over an hour when there is no weather on site after a cross country flight is not acceptable. We can see the weather now rolling on meaning this hour will be extended further escalating aggravation onboard. The airline was quick to clear us as landed in their system to give the facade of a timely travel experience but that is a complete fabrication of the truth. MCO needs to improve the quality of the experience for a city that is supposed to be welcoming of its travelers.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'September 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 3, 'Recommended': 'no'}"
2024-07-06,1,10,“I loathe this place”,S Warner,"Not Verified | Why is MCO getting worse with each passing week? As a frequent flyer, out of all three terminals, across several carriers, this airport is pathetic. Between the sheer lack of on site parking, the lack of employees that speak English and unimaginably poor ground service, I loathe this place. I will do anything I can to avoid checking a bag because I know I am in for a minimum of a 30 minute wait at baggage claim. That’s on a good day. The wait for a gate to taxi to, the wait for a jet way brought to the plane, then the incredible, inevitable wait at baggage. Carry on only isn’t always an option for me. As one waits, the announcements are made at times only in Spanish, but when they do make it in English, usually secondary to the Spanish, it’s incomprehensible. Listen at any baggage claim, you’ll hear passengers complaining about them. After a ridiculous wait, when you finally get your bag, it’s smash to bits. Every.Single.Time. Of every airport I travel, world wide, my home airport, MCO, is a disaster.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 2, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-05-16,1,10,"""TSA women are horrible""",H Tyler,"Not Verified |   The TSA women are horrible with no manners. They should be saying “thank you for visiting, come back again”. Instead they tell me this is not Universal this is Orlando International Airport when I’m going through the scanner. They speak harshly to some and are nice to some. Second time departing Orlando and they tell me I have something between my legs. They told me either they feel me all over in front of everyone or they take me to a room to strip down. Mind you I’m traveling with a small child. They really need to learn courtesy and be more polite. Is this how they are being trained? This is the Jet Blue TSA ; one had gray hair and the other had red short hair. They picked up my sun screen in my carryon but not the big Fuji bottle in my son’s bag smh. So much for checking and security!",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 5, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 4, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-05-13,1,10,"""does not have enough parking spaces""",Jose Ammirabile,"Not Verified |   My wife arrived on Flight AD8706 arrived 6PM sharp and my wife only left the luggage's/immigration at 7:50. Between the airplane get the finger, luggage available, it took 1 hour and 40 minutes. Immigration was quick. Also the terminal does not have enough parking spaces for it's current operations. This was the third time parking A and C where closed and I had to park elsewhere. Luckily I learned how to park at train station and walked 20 minutes to airport C, avoiding a 30 minutes walking from B parking to C.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-05-08,4,10,"""Very far behind the times""",B Warner,"✅ Trip Verified |  This airport has a extremely large number of visitors. Ground transport and flow to and from are fine. Concessions facilities and restaurants are far and few between 1 sit down bar restaurant for many gates waiting lines everywhere, all facilities both male and female have long lines. Very far behind the times, would rather fly to any other airport in they area.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-04-16,3,10,"""continues to get worse and worse""",Kimberly White,"Not Verified |   I live in Orlando, so use this airport frequently. I don't know what is happening but it continues to get worse and worse. I flew internationally for holiday and returned last evening (April 15th). I left out of Terminal A and returned to Terminal C. I parked in North Lot. Apparently you can take a shuttle from C to the South Lot but not the North Lot. WHY? So I had to take a shuttle to Terminal A to then take another shuttle to my vehicle in North Lot. The shuttle took forever to arrive to C. I saw other shuttles (Mears, off site parking etc) circle two or three times while I waited for the shuttle to take me to A. When it did arrive, me and other other 3 passengers all informed him we were going to A, however he dropped us at Terminal B and told us that was his only stop. So I then had to drag my luggage across the airport to get to Terminal A to catch the next shuttle. That shuttle arrived slightly faster, however the driver didn't even get out of his seat to help any of the passengers board. He just sat there staring at us. A nice passenger helped me load my luggage onboard. I had asked a couple people in the airport how to get where i was going and one girl actually told me ""it wasn't her job to answer that question"". When I did get to my vehicle and went to pay and leave the attendant couldn't have been any more annoyed that I was trying to pay her. She barely could extend her arm to take my payment and seemed severely pissed off she had to actually perform a function. I traveled to three countries and therefore three airports and am sadly embarrassed how our city is represented with regard to our airport. After customs and retrieving my bags, it took me 2 hours to get to my vehicle last night which is horrible. Why is there no shuttle to North Lot from C? Why doesn't the shuttle that is supposed to take you to A not actually take you to A? Why are the workers so rude and unhelpful. Really poor on MCO's part.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'April 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Signs': 2, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-03-28,2,10,"""Worst wheelchair assistance""",Nancy Willis,"Not Verified |  Worst wheelchair assistance experience ever. Attendant assigned to me did not speak enough English to understand my needs, ended up parking me off to the side and walked away!",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Wifi Connectivity': 1, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-11-08,1,10,"""the worst airport experience""",Jim Campbell,"Not Verified |  This was the worst airport experience in my life. Very Rude People. Very Few Facilities.  The public announcements were a joke and they were being read like it a joke by a person who sounded about 10 years old. They kept repeating that people are not allowed to use phones in the terminal, and yet looking around guess what, everyone is on their phones because that's what travellers need to do! Being asked to pay $30 for a baggage trolley. (£1 in the UK). Massive queues for the immigration lanes - we waited for over 2 hours. This terminal is very badly designed. No opportunity to purchase any refreshments and no seats. There are no shops whatsoever in the airport on the way to the hire car. (we rented a villa so a shop would have been really handy) Outbound - Similar experience, very few shops and no opportunity to buy any duty free. Encountered extremely rude & cranky TSA operatives. I ended up getting angry myself at the way I was being shouted at and left my iPad/tablet behind. It would have been fine but the tray with this item ended up on a different conveyer belt and I didn't realise I'd left it behind until I was on the flight. To add insult to injury, MCO Lost and Found have said the only option to get my item returned will cost me $349 via UPS. This is an absolute joke as the UPS website quotes me a fraction of this price. The item itself is worth about $150. When you consider MCO auctions thousands of lost electrical items for profit (ggauctionsonline.net), this little operation seems to be lining somebody's pockets at MCO. I had high hopes for this visit but I never dreamt I'd end up being financially exploited by the richest country in the world.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 5, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-10-29,1,10,"""staff and TSA were crotchety"" ",S Danes,"✅ Trip Verified |   The airport staff and TSA were crotchety, not at all helpful with my disabled family member either. A lady stands at the family and disabled TSA line entrance and basically gate keeps it. We explained we had an autistic family member and she still tried to deny us access, she was so rude. Not at all up on the TSA cares policy in the least!  Do not recommend. Oh but don't worry they gave me a sunflower lanyard that no one paid any attention to.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Wifi Connectivity': 5, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-09-25,9,10,"""a big improvement on previous visits""",P Robertson,"✅ Trip Verified | Arrival and departure into the new Terminal C at MCO. I have to say it was terrific. Through immigration in 10 minutes and into a rental car 15 min after that. Departure was equally as good. No Queues at security and a good selection of Eating places, including Shake shack. We only had hand luggage which is important to state, but it was a big improvement on previous visits.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'yes'}"
