datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-06-22,1,10,"""park n fly for me next time""",M Berg,"✅ Trip Verified |  I have been flying in and out of Midway for 30 years. I am writing a review about ground transportation. I have always used Midway's parking for almost every trip made, tonight June 21st is the last time. The nice and considerate bus drivers have been traded in for aggressive, rude tip hustlers who need to handle everyone's bag. I fly frequently and this is 3rd or 4th time with this aggressive behavior by drivers and I'm done with it. On to the park n fly for me next time.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 1, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-05-19,3,10,"""vending machines do not work!""",H Kuhns,"Not Verified |  How does a modern airport not have shops open when flights are departing? Ever since covid, Midway has been a 3rd-rate airport with almost no options for food. The vending machines (I can attest to this) do not work and every shop doesn’t open until 5 am. Flights are already departing and there is not a single open shop to even buy water. And again, the vending machines don’t operate. My home airport is Austin and a few shops are required  to be open prior to the first flight departing. What is wrong with Midway?",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Recommended': 'no'}"
2023-04-29,4,10,"""Getting food is a big challenge""",P Marpil,✅ Trip Verified |  I transit this airport 3 times in one month for my business trip. Getting food is a big challenge. I have seen so many restaurants are closed by 7 or 8 pm. even airports and flights are operating till very late. The second time I been to 5 different restaurants and all had bad attitudes. They are out of items. And if you are vegetarian then it's worst. They don't want to help you make anything vegetarian or even salad. Customer service is not good in those restaurants. Airport authorities need to ask those restaurants to open late and have more food.,,"{'Experience At Airport': 'Transit', 'Date Visit': 'April 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-10-03,3,10,"""rude attitude""",L Jach,Not Verified | A person at a security checkpoint for TSA pre-check told me that my disabled daughter could not go through because she wasn’t prechecked. I explained I didn’t have time to get that for her as she hasn’t travelled in years. She said too bad she’s over 18 she has to go through the regular line. I explained that she is legally disabled and we can’t be separated. She insisted. That’s the rules. I was annoyed that she was embarrassing my daughter like that. I said I am using a walker because I have severe back pain. I can’t go stand in those lines. That’s why I have a walker. She said just go over there and cut in the line. So we have to walk against the flow of people to another station. We get there and they’re like what are you doing? I pointed to the other agent and said she told me to come over here and I can’t stand in the line. Luckily they didn’t argue. The rude attitude instead of understanding treatment is inexcusable!,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-09-07,3,10,"""Super overpriced items""",Tom English,"Not Verified |  Super overpriced items in every kiosk. I know the rule is ""whatever the market will bear, but the prices at this airport are downright ridiculous. Expect LOTS of attitude from the bored, unfriendly staff.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'September 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-07-27,2,10,"""Midway has gone way downhill""",D Galsen,"✅ Trip Verified |  Awful airport for any type of layover or any restaurant. They tried to “update” Midway a few years back, removing staple restaurants like Harry Carey’s, Potbelly, and even McDonalds. Now, multiple restaurants including Vienna Beef, Cafe Espresso, Bill Goat Tavern, PorkChop, among others, all closed. Weekends and weekdays. Plus, Dunkin’ Donuts, only hot coffee. Zero variety. Employees are angry and overworked. Restaurant Bistro, which replaced a few of the old restaurants is awful. Midway has gone way downhill. Hate it here.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2020-12-29,1,10,"""this place is an operational mess!""",R Tim,"Not Verified |  Generally a good airport, but considering the covid, this place is an operational mess! The new security and system for wheelchairs is at a very low level. Customers with ADA accessibility is third-class, they simply are not equipped to handle these travellers. Lines are not clearly marked and wheelchair patrons are left to figure it out on their own. Security is mismanaged, no room for the chair itself. No seating once you get through security to get reset after going through the lines. Additionally, bathrooms are a disaster, no working soap during covid? Who is in charge of operations at Midway, they are not doing the job! No one is cleaning or sanitizing anywhere! Be aware, this management doesn't care, they make it look good in the photos, but actually come here and try to be safe, it's nearly impossible. Why don't the touchless hand sanitizer and towel machines work? Looks like cheap equipment to me, they are either empty or the sensors are poor. Very disappointing and wish Midway would be more serious about being clean, stay away if possible or try O'Hare.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'December 2020', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2020-10-12,1,10,"""This place is a complete dump""",R Emory,"Not Verified |  What a dump. Cramped seating areas, bad/slow food, narrow concourse, few 'walking' escalators, tiny bathrooms, short runways that necessitate abrupt, rough landings, very few (and ludicrously small) flight update boards - these are just a few bullet points on a lengthy list, which comprehensively and easily condemns Midway as the worst major airport in the United States. This place is a complete dump, and since Southwest essentially owns the joint, the blame lies squarely on their corporate shoulders. A renovation will not fix this mess - it's time to condemn and demolish Midway.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2020', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2018-11-04,10,10,"""went above and beyond""",F Cooper,Not Verified |  I had the best custermer experience at Midway airport. I had just gone through the TSA checkpoint when I realized I had left my work binder at the seating area on the way in. I was panicking and I asked a manager in TSA who took his time to walk me back though security and hunted down where I last saw it. There was a gentleman who told us that he saw another member of security take it to baggage claim. He went above and beyond to find the person who took it there and luckily it was descovered. Him and another member were able to get it back to me and I was in much relief. He was then able to help me get back though security so I could make my flight on time. I have never had such great customer service at any other airport.,yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'October 2018', 'Type Of Traveller': 'Business', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2018-11-01,1,10,"""a horrible experience""",Alison Smith,"✅ Trip Verified | As I go through the screening process, the TSA staff are extremely rude. I am the nicest, most patient person you’ll ever meet. However, when my pleasant trip becomes ruined by the screening people it has driven me to write a complaint. It important to give instructions prior to entering the scanner, but they don’t need to berate people. Then scold them for following your instructions but not exactly the way they like. It was a horrible experience and my trip is no longer happy. I don’t want to fly from here again. I would go back home if I could.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2018', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 0, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
