datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2023-02-23,1,10,"""What a dump""",K Pete ,"Not Verified |  What a dump. Arrived in the morning, only 2 coffee shops open and each had lines out the door. No other food options. On the return trip layover, I made the mistake of stopping by a Mexican restaurant. The menu was limited and food tasted like re-heated frozen food. The layout is poorly thought-out. The queues for the airlines spill out into the walkway. Anytime a flight is about to take off, you are unable to pass through the area. Worth avoiding if possible.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 0, 'Recommended': 'no'}"
2021-11-16,2,10,"""OAK is a total dump""",Reed Kilpatrick,"Not Verified |  Compared to SFO, SJC, and SMF? OAK is a total dump. Food selection is really poor. The airport closes food vendors, and the walls stay up for years. The terminal is very small. The location, and weather at OAK are good, but that’s it.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'November 2021', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 2, 'Recommended': 'no'}"
2019-06-27,1,10,"""One person helping over 500 people""",Anna Ziolkowska,Not Verified |  3 hours at custom check point. That never happened to me before. One person helping over 500 people. Will never go to that airport again for an international flight.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2019', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2019-04-29,1,10,"""Extremely discourteous""",T Davies,Not Verified |  A security agent found some old coffee in a mug in my carry-on and refused to dump it in the garbage can right next to us but made me exit and go all the way through security again. Extremely discourteous. There is no valid security reason to inconvenience someone this way when there is a garbage can right there. They order everyone through in a hurried rush but apparently don't care about increasing traffic and passenger delay by doing this. I tried to submit this complaint to the Oakland airport through its website but (surprise!) complaint messages aren't going through.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2019', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 3, 'Airport Shopping': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2018-11-22,10,10,"""will always fly into Oakland over SFO""",N Willis,"Not Verified |  If given the choice I will always fly into Oakland over SFO. It's small, efficient, and flights are most of the time on time. With the new BART connector train it's super easy to get to!",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2018', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 5, 'Food Beverages': 3, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2018-10-20,3,10,"""baggage service is deplorable""
",D Jackson,Not Verified |  The baggage service for incoming international flights is deplorable. I thought I would try Oakland instead of SFO because it seems like it would be more efficient since it’s 1/8 of the size of San Francisco’s airport. No wonder. I have been through immigration and I’m still waiting for my bag an hour later. How ridiculous. I will never fly into her from internationally again.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'October 2018', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Airport Staff': 2, 'Recommended': 'no'}"
2018-10-03,8,10,"""friendly wheelchair assist""",C Darwin,"✅ Trip Verified | Extremely friendly wheelchair assist personnel! I am disabled and was being moved from gate to gate and since I had some layover time I decided that I would like to get a snack at one of the fast food shops. The wheelchair assistant not only took me there, but he helped me get my order as well! The people everywhere were friendly. Cleanliness wasn't top grade but adequate.",yes,"{'Experience At Airport': 'Transit', 'Date Visit': 'September 2018', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 4, 'Airport Shopping': 3, 'Airport Staff': 5, 'Recommended': 'yes'}"
2018-07-04,1,10,"""Someone wasn't doing their job""",B Oliver ,"✅ Trip Verified | Flight DI 7073 landed at 4:15 and waited 45 mins for a gate at 5pm. After clearing immigration at 5:15 there were no bags. It as 6pm before we exited the airport - 1:45 after landing! Someone wasn't doing their job. That delay for bags, on top of lack of gate capacity, is unacceptable service. This isn't a one off. Other family members had a similar experience on June 26 for the same flight where they waited 15 minutes for a gate again and weren't allowed to deplane for another 15 minutes due to a backup in the immigration hall. Departing OAK June 8 was another exercise in lack of airport capacity. Check-in took an hour. The gate had people sat on the floor everywhere due to lack of space for the size of the aircraft. OAK isn't equipped to handle the number and size if international flights currently using the airport. There are similar reviews from a year ago. Clearly Oakland Airport management don't care about customer service.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2018', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 5, 'Food Beverages': 0, 'Recommended': 'no'}"
2017-10-27,9,10,"""arrival was amazingly quick""",Simon Fowler,"✅ Verified Review | We arrived and departed on the BA flight from LGW. Arrival was amazingly quick. It took less than half an hour to deplane, go through passport control and collect bags. Being a Club World passenger undoubtedly helped but even so we were pretty impressed. There was almost no queue to go through security at the time of departure (lunchtime midweek), so the process was painless. Again we were lucky that it was so quiet. A new business lounge has just opened by Gate 8. It's rather small, but has good food choice. Getting to San Francisco is a cinch using the BART connector shuttle to Coliseum and thence onwards to downtown San Francisco. In fact the whole experience is much better than at SFO. And because of the competition between BA and Norwegian fares from the UK are very reasonable at present.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2017', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Signs': 4, 'Food Beverages': 0, 'Airport Staff': 4, 'Recommended': 'yes'}"
2017-10-05,1,10,"""they've changed their queuing""",G Thomas,"✅ Verified Review |  Typically the best airport to travel from in country. I travel out of Oakland 15+ times per year. Today, however, they've changed their queuing and the wait times are 30 minutes plus despite only about 100 people in line. Miultiple agents checking IDS at A-List queue with no one in line. Agents are insulting if asked a question. Is this a sign of Oakland airport taking a turn in the wrong direction? Hope not.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'October 2017', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'yes'}"
