datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-07-23,10,10,"""people we spoke to were awesome""",J Holten,"✅ Trip Verified |  On July 23rd we arrived at in Maui due to flight cancelations during a trip to Kauai. Sadly, my wife misplaced an expensive item in a washroom not discovering it until we had passed through security. We asked staff for assistance and the people we spoke to were awesome. They took our phone number as we're only there 1 day but recovered the item before we even left the airport. You guys most certainly brought some stress down on the start of a Hawaiian vacation for us. Mahalo!",yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Signs': 4, 'Food Beverages': 0, 'Wifi Connectivity': 3, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-02-26,5,10,"""This airport is desperate for some help""",Kristi Ottmar,Not Verified |  All Day long our family reported gate issues. We had 16 people arrive today. All were parked on the tarmac for at least 30 mins. This airport is desperate for some help. If anyone can get me a gate so I can deplane I’d be grateful.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'January 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 5, 'Food Beverages': 2, 'Airport Shopping': 3, 'Wifi Connectivity': 2, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-02-23,1,10,"""Sat for 45 minutes on the tarmac upon arrival""",P Miyasato,"Not Verified |  How can you accept planes and not have a gate to deplane? Sat for 45 minutes on the tarmac upon arrival and then was delayed 3.5 hours on departure. Once we boarded, we had to wait another 45 minutes for someone to put gas in our plane. Baggage claim was a hot mess. Multiple passengers getting only some of their bags. We needed to wait for two other planes to unload their luggage before getting our second bag. Hundreds of people waiting for flights that disappeared from flight boards. Lines of customers waiting to speak to service agents that came and left the area without explanation or serviced people outside of the established lines. There was another desk with three uniformed staff members carrying on conversations amongst themselves and a sign stating the desk was closed. Sassy, condescending updates far and few between. TSA line longer that regular check in.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'February 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 5, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-01-21,1,10,"""the worst of the worst""",Stephen Lyons,"Not Verified |  I travel for a living and have been through most of the international airports in the US. Kahului Maui Airport, is hands down the worst of the worst. Visiting Maui isn't worth having to go through the airport here. I'll avoid it for layovers in the future as well. Save your self and avoid at all costs.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'January 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-09-23,1,10,"""plain horrible in every regard""",Dewey Richardson,"Not Verified | Just plain horrible in every regard. Arrival: waited 20 minutes on the tarmac for a gate to open, waited another 20 minutes at carousel for baggage (even after a bathroom stop!). Departure: Absolutely pointless agriculture inspection (agents don't even look!), Long line at security checkpoint, EXTREMELY rude TSA agent at escalator, our gate was not marked in main hallway - had to hunt and peck to find it, boarding agent was nothing short of a jerk, and this is the most rundown airport I have ever seen. In case you didn't get the gist of this review, this airport sucks!!!",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-04-10,3,10,"""worst TSA experience we have ever had""",C Robles,"Not Verified |  The worst TSA experience we have ever had. All three TSA agents were incredibly rude, even to my 9 year old son. They lacked any customer service skills at all. I have never seen such a rude security staff.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Seating': 4, 'Terminal Signs': 2, 'Food Beverages': 0, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-12-14,3,10,"""OGG really needs updating and a better design""",David Cohen,"Not Verified |  My wife I have been coming to Maui each year for 39 years. When we first came, the airport was wide open, no real gates, no real baggage claim. Now, there are buildings but it is unwieldy. As an example, the United counter is at the far right end of the terminal, TSA is then 2/3 of the way to the left. Your first very long walk. No pre-check. Very limited food options when you finish with the TSA. Then what seems like a one mile walk to Gate 1 or 1 mile the other way to gate 39. Very few moving sidewalks especially in the lower gate numbers. OGG really needs updating and a better design. Less walking. More food. Better security checkpoint. The airport is recommended only because there is no other way to fly commercially to or from Maui.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'November 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 3, 'Recommended': 'yes'}"
2021-09-24,1,10,"""Security line was outrageous""",H James,"✅ Trip Verified | Security line was outrageous. Longest security line ever encountered in my life. So many passengers in the airport missed their flights, I bet it must have set a record. Some airlines like American delayed their departure, but of all airlines, you’d think Hawaiian would have delayed theirs, but no. The airport was filled with passengers who missed their flights on all airlines due to the ineptness of the airport. This needs to be addressed. This is a disgrace! This cost how many people extra $$$ without any sympathy from the airport.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 0, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-08-05,4,10,"""Staff were extremely rude and obnoxious""",Brian Mccain,"Not Verified |  The airport itself was nice but the TSA was horrible. Staff were extremely rude and obnoxious. If you asked any questions about the process they mocked you and made you feel stupid even though there were no signs posted about what you can and can not bring on a plane. I was told by one staffer that bottled water has never been allowed on planes since the beginning of time, which is a lie. The floors where you have to walk barefoot was very dirty and sticky and they treat you like cattle, yelling and pointing at you like a prisoner. They would throw your carry on luggage around like a beach ball. Once you get past that it’s a nice airport.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2021', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 1, 'Terminal Seating': 5, 'Terminal Signs': 1, 'Food Beverages': 5, 'Airport Shopping': 5, 'Airport Staff': 2, 'Recommended': 'no'}"
2021-08-01,1,10,"""this airport is a super spreader event in progress""",Bob Smith,"Not Verified |  During covid pandemic huge lines - no distancing in lines or seating or on flight. No mask enforcement. Basically this airport is a super spreader event in progress. Shame on the state of Hawaii, shame on the county of Maui, shame on Maui airport and shame on Southwest Airlines. Understaffed, impatient and rude at all levels Maybe this review should be titled - there’s a pandemic but what the heck we can still milk profits. 600,000 dead - what’s a few more.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2020', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 0, 'Recommended': 'no'}"
