datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2022-12-15,1,10,"""Incompetent and typical for California""",Victoria Norwich,Not Verified | It's inconceivable that ONT International airport has to delay flight until the sun melts the ice off wings of planes. Frontier Airlines should have left at 5.45 a.m. and they could not de ice their plane ruining everyone's connections. Still sitting waiting for the sun to rise and maybe melt ice despite temperature will be the same at 7.32 a.m. Incompetent and typical for California,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'December 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-07-12,10,10,Ontario Airport customer review,K Sal,"Not Verified |  I love flying Ontario Airport. It’s convenient, never busy like the LAX nightmare. It’s small fast and convenient. They have China Airlines flights but not many International flights. Popular flights to Las Vegas Hawaii and Seattle. Nice and clean.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2021', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 4, 'Recommended': 'yes'}"
2021-05-25,1,10,"""Nothing but issues""",Jeannie A Gephart,Not Verified |  This is the rudest airport I have ever been to. Nothing but issues. Issues with going through security with a 1 yr old and all they did was yell and did not seem to understand or even help. I will never fly to or from this airport again and I will be letting family and friends know how the experience was. Also the place is very dirty and disgusting.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2021', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-03-29,1,10,"""someone does need to care""",S Grafton,"Not Verified |  Well, obviously no one reads this or even cares about it as nothing happens and my issues are similar to the ones everyone else is having. Staff are extremely uncooperative and using language that is not understandable. A person just said, “You alarmed” as if we were supposed to know what that means. Next thing we know is that they need to check our hands because we could be hiding something on our hands. Next thing they say it’s just lotion or something. Does the advanced technology that we use not tell the difference between harmful substance and lotion? I know nothing will happen from this as no one even cares, especially those from the airport, but someone does need to care.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'March 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2020-12-01,3,10,"""have consistently experienced long waits""",K Cox,Not Verified |  I have flown into this airport several times and have consistently experienced long waits for rental car shuttle buses. The buses are sometimes too small to handle the waiting crowd and are never timely. The airport apparently doesn’t know how to update what baggage claim bags arrive into also.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'November 2020', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Staff': 4, 'Recommended': 'no'}"
2019-10-29,1,10,"""this one was the worst experience""",W Wendy ,"Not Verified |  
They are restricting Uber/Lyft but there should be a Cab at Airport. We have to call a cab to go to the Airport which is ok but when we arrived there was no cab. We tried to call several cab companies but they would not come to the Airport. There should be phone numbers listed so it would be easy for Arriving passengers. When we got a cab the driver told us that due to some reasons no one wants to come to the Airport so there are very little cabs available. We travel lots so used John Wayne, LAX, San Diego Airport but this one was the worst experience on getting transportation. How you can develop airport without proper transportation?",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2019', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 1, 'Recommended': 'no'}"
2017-09-19,1,10,"""understaffed and unprepared""",F Jenkins,✅ Verified Review |  At 6am on a Monday morning there were literally hundreds of people waiting to go through security. Clearly everyone is frustrated with this idiocy. I travel for a living and I can tell you this is unacceptable and incredibly incompetent to be so understaffed and unprepared. Foolishness.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2017', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Staff': 3, 'Recommended': 'no'}"
2016-10-07,6,10,"""staff member at security spoke poor English""",Kayla Krueger,"Incoming flight to Ontario was good, departing flight no lines and we had a TSA PreCheck. Staff member at security spoke poor English and we could not understand what they wanted us to do, made us take off our shoes even with the TSA pre-check. Not very clear for giving instructions. If you work in the United States you should be able to communicate clearly in English.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2016', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 0, 'Wifi Connectivity': 3, 'Airport Staff': 2, 'Recommended': 'no'}"
2016-08-16,4,10,"""it's a ghost town""",P Burqe,"Red eye to Dallas on American. Easy drop off, but it's a ghost town. Absurd that you can't bring drinks or food through security. Every single vendor was closed. Hadn't flown out of Ontario in over ten years, I use LAX, SNA, and Long Beach. Don't see me using Ontario again any time soon.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2016', 'Type Of Traveller': 'Business', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Recommended': 'no'}"
2016-02-03,10,10,"""plenty of seating""",Max Davidson,One of the easiest airports to access both inbound and outbound that we have ever experienced. Staff on the information desk in Terminal 4 were extremely pleasant and helpful when we asked for assistance. Public areas very clean and well kept. Plenty of seating for passengers. Great food outlets and some interesting local shops as well. A real treat to travel through this southern California airport.,yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'January 2016', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
