datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-08-30,3,10,"""not helpful security staff""",Jakob Hansen,Not Verified | Super arrogant and not helpful security staff. Cannot imagine going through security check not being able to understand english. The staff I encountered was the worst person ever!,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 2, 'Airport Shopping': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-08-16,2,10,"""Terrible experience"" ",H Kan,"✅ Trip Verified |   Terrible experience at this airport! The labeling of the airport transit system is totally confusing. The train stations are labeled 1,3,4,5. What happened to No. 2? Then there is another station after 5 but not labeled with a name! That’s the station we needed to get to but it looked like it was Station 5! Also the parking lots should have different naming system from the terminals. We parked in G lot. But G is also one of the terminals! When riding the train, we thought we should get off at station 4 where G terminal is but actually we needed to get off at the last station, the one with no name! The design of the naming system is a mess!",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Staff': 3, 'Recommended': 'no'}"
2024-08-03,9,10,"""give credit where it was due""",M Skinner,Not Verified |   We found one particular member of ground staff at the automatic check in extremely helpful & friendly as we were having difficulty using it.. Also for my first time I needed wheelchair assistance ( twisted knee). These staff also were helpful thro security and to the gate. Most customers are quick to complain but slow to compliment so I wanted to give credit where it was due!,yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 3, 'Terminal Seating': 5, 'Terminal Signs': 4, 'Food Beverages': 0, 'Wifi Connectivity': 3, 'Airport Staff': 5, 'Recommended': 'yes'}"
2024-03-27,4,10,"""lack of cleanliness"" ",Carolyn Fleming,"Not Verified |   As a lifelong Chicagoan, I was embarrassed at the lack of cleanliness outside the terminals at O'Hare. Please power wash the sidewalks and paint structures. Gum is stuck all over the sidewalk and its filthy. Mayor Daley would never have put up with this!  I wish I had taken photos.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-03-27,1,10,"""does not justify her behavior""",M Silva,Not Verified |  I’m an international student and I had to stop at Chicago airport to get a flight to LAX and my mom was with me. We needed to recheck in our bags and I mistakenly went to the wrong room. Since I was the only one who spoke the language I went to an old lady to ask her where I could recheck in my bags and then she questioned me and started to scream at me and my mom who doesn’t know the language. Then we went back in and checked our bags again. After I left I went to apologize to her and she told me to “go and learn”! Like I get it that I made a mistake but that does not justify her behavior towards me and my mom,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'December 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-03-11,1,10,"""terrible experience transiting""",D Kanadia,"✅ Trip Verified |  We had a terrible experience transiting at this so called airport. At security checking we ended up queing twice in the wrong queue because they only informed us as you get nearby the entrance! The time wasted meant we go without washroom breaks and any shopping, else we miss our flight. We arrived at gate B14 and departed at C11, a very long walk. Also need to point out, for some reason the man doing the security checks in our cue was extremely slow at his job, we could hear other passengers also saying “why is this man so slow at his job”. Why was there no supervisor present to notice these inconsistencies. We will be avoiding US airports in future travels.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Signs': 2, 'Food Beverages': 0, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-02-04,1,10,“Avoid this airport”,Ethan Suta,"Not Verified | Avoid this airport, disaster at every opportunity. I understand it’s a very big and busy place but management has their heads so far up their keysters they can’t see the light of day. Make a strategic effort management take a step back and replan, redo and re-execute the entire operation from beginning to end. Give the customer what they need and deserve.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'February 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-01-17,2,10,“staff not willing to assist”,Sharon Jepsen,"Not Verified | Unable to find an outlet that was functioning to charge my phone, staff not willing to assist, very dirty, multiple gate changes and poorly updated on gate changes.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'January 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 4, 'Food Beverages': 4, 'Wifi Connectivity': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-12-26,2,10,"""It was unfriendly, confusing"" ",Melissa Carr ,"✅ Trip Verified |  My husband and I were traveling home from European vacation. Our flight itinerary included a connection to final flight home (Orlando) through O'Hare. The entire experience was a complete cluster with no clear direction or informative staff. The process for visitors to exit the customs area from international arrivals was embarrassingly long and lacking in clear directions. I was chatting up a baggage handler to get some logistical direction for how to proceed from the customs verification area. The long, long line of people trying to get out of terminal 5 and make their way toward connecting flight terminals or even to exit airport was appalling. There should have been multilingual employees serving as ambassadors to assist passengers who did not speak English well or at all. We had to pick up our luggage and literally re-check it AND go through security protocol all over again as if we had just walked in off the street to begin our journey. We had to interrupt airport staff from personal conversations to ask for direction! We had to ask several times from more than one person who we assumed worked for the airport, which way to get to our terminal (had to move from terminal 5 to 1 to catch connecting flight), which way to TSA pre-check for security, and which line to get in when there appeared to be redundant, contradicting signs. There needs to be some intensive review of the entire customer experience for this airport. It was unfriendly, confusing, and left much to be desired for welcoming international guests. Logisics is #1 need followed by customer service training as #2.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'December 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Signs': 1, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-12-13,3,10,"""Confusing and absent signage""",Amber Crane,"Not Verified |  Better than Midway, but that’s an extremely low bar. Confusing and absent signage. Not enough elevators for people with disabilities or strollers. Some staff extremely helpful while others couldn’t care less. This place can be hectic and crowded on any given day, but overall it seems disorganized between check in and baggage. I would say the biggest issue is spread out layout, and need to travel really far to get to one place and then another. Missed more than one flight because elevators were full and people standing around in line blocking walking paths. Needs to be streamlined and simpler. Who designed this corn maze of an airport anyway?",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'December 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 1, 'Food Beverages': 3, 'Airport Shopping': 4, 'Wifi Connectivity': 3, 'Airport Staff': 3, 'Recommended': 'no'}"
