datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2022-06-30,6,10,"""airport feels slightly dated""",John Walker,"✅ Trip Verified | Portland's airport feels slightly dated, not run down by any means, but still pleasant and functional enough. A lot of construction taking place at this time in the check-in area, I guess in an effort to modernize the airport and expand passenger capacity. The terminals themselves, again, are a little dated, but still nice enough and functional. TSA Pre-Check operates smoothly here, even where there are a lot of Pre-Checkers in line. Personnel, whether they're working at check-in, for TSA, in a restaurant, or at the boarding gate, are usually super bubbly, but still professional, helpful and polite. PDX is neither stellar nor bad, it's above-average but with a lot of potential. And, it's better than Sea-Tac!",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'yes'}"
2022-06-23,7,10,"""efficient and helpful staff""",Simon Fowler,"✅ Trip Verified |  A quiet afternoon at PDX. Short queues to get through security with efficient and helpful staff. As the space allocated for security was fairly small, I can imagine at that at busy times there could be problems.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Signs': 4, 'Food Beverages': 0, 'Airport Staff': 4, 'Recommended': 'yes'}"
2022-06-18,2,10,"""they only had drinks and chips""",J Pritchard,"Not Verified |  We were pressed for time so we didn't stop and eat, our plane was scheduled to leave at 9.15pm. We arrived an hour and 45 minutes early but nothing was open except a place across from gate E11 and they only had drinks and chips. I realize there is a labor shortage but if you look at the chart that depicts the busiest time at this airport 9pm is the busiest. Wouldn't you think that would be the best time to schedule staff?",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2020-02-19,2,10,"""should really get their act together""",D King,"Not Verified |  I used to think the PDX was an ok airport, and after tonight’s security fiasco, I am changing my tune. 10 people got through the security line in 30 mins. She said my neck pillow, which had grains in it, could be explosive. She swabbed it on the outside then took out the sealed insert and swabbed the inner layer. And said “people try and take explosives, it could be explosive” my response was. “It's a neck pillow” if those weren’t allowed to take on flights, then put a sign up! The arrogance of the TSA staff is ridiculous. 30 minutes to let through 10 people! The two families with small children in front of me are not security risks. They’re now super stressed out single moms! Because you took apart all of their children’s things and made them wait in a line for no reason. It felt just like they were being mean and literally searching through every persons bags. It was the worst security experience ever, and I’ve flown through JFK and it’s not like the other TSA agents were doing anything, at least 10 of them they were just standing around talking about their weekend. Flying can already be stressful, there’s no need for the drama over neck pillows. It was ridiculous. Portland International Airport should really get their act together and maybe use some more common sense in the hiring of their TSA agents.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'February 2020', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2020-01-22,9,10,"""not a bad little place""",David Coffing,"Not Verified |  This is my local airport and not a bad little place. Yes, at times TSA slows things down to a crawl, but the TSA workers here seem to actually have a sense of pride and a sense of humor. I have a steel hip and this has caused numerous delays in other airports but either they know me by now or they have their collective ish together. Food offerings are decent and the Powell's Bookstore is a great place to grab a book for your flight. My only bummer is that it IS a smaller metro airport and thus fewer international nonstops.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'November 2019', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 4, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2019-12-03,2,10,"""they enjoy menacing people""",K Skach,"Not Verified | Arrived at the top deck outside the ticketing counters to pick up my college-age daughter (American Airlines Flight 6088) after waiting near the airport to receive a text telling me she was approaching the exit. Airport traffic was light with several empty spaces for cars to pull up to the curb. I had been there no more than 2-3 minutes when a military-looking airport security guard suddenly started pounding on my passenger window. ""Get out of here!"" I rolled down the window to tell him I had waited for notice my passenger was available and he leaned all the way into my car and shouted, ""If it was alright for you to be here, would I be talking to you?"" I pulled my head back so fast I smacked the driver's door. He was completely out of control and shouting as if a major emergency were happening. I sincerely thought he was going to hit me or continue striking my car. I saw my daughter out of the corner of my eye and was immediately afraid for her safety. I pulled away as fast as I could so he wouldn't realize she was connected to me. I'm 62 and a small woman. Portland International Airport doesn't deserve all the high ratings. This isn't the first time I've had their airport personnel act like they enjoy menacing people. Whoever trains their security people needs to be trained themselves.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'November 2019', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 5, 'Airport Shopping': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2019-11-27,2,10,"""nothing is open here""",Julie Jedlanek,"✅ Trip Verified | What is wrong with this place. My flight is leaving at 12.30 am and literally nothing is open here. You can get nothing here after 10pm apparently. Utter nonsense. They call themselves an ""international airport""? Get real-it's a parochial bastion of complete boredom with no libations.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'November 2019', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2019-09-23,5,10,"""international arrival system sucks""",R House,"✅ Trip Verified |  The international arrival system sucks. There are about 15 machines to verify your password and to answer customs questions which worked great, but then you get in a very slow moving queue with 2 customs officers to ask the same questions you just answered. Do the math 15 machines then down to two agents guess what happened ... we all got through the machines quickly just to get stuck in a slow moving line for the worthless additional step. Then you grab you luggage and yet another agent only one this time checks your customers and passport again. Then you get on a bus to take you to the main baggage pick up area, why can’t you just walk like the rest of the airport access. And yes there was another line for the bus. Seriously PDX you can do better ... lovely carpet only goes so far.",yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'September 2019', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 4, 'Airport Shopping': 4, 'Airport Staff': 3, 'Recommended': 'yes'}"
2019-08-06,1,10,"""TSA is horrible at this airport""",Tarre Smith,"✅ Trip Verified |  TSA is horrible at this airport. I don't hear well, but I'm well versed in the procedures we are forced to go through. Staff kept screaming something at me, I had no idea what, but I knew what was expected so ignored him and was just waiting my turn to go through the screener; he actually grabbed me by the shoulder and pulled me back! I am nearly 70 years old, female, I jerked away and he pulled me back and screamed at me to empty my pockets! I do not have things in my pockets, good grief.  Got to my boarding area, Southwest C12, and sat down to read and wait ... looked down and the metal bar between the seats was covered with filth. It was so thick you could run your fingers through it. So disgusting, I got up and looked for a clean seat, and they were all filthy, so I just got some exercise and walked for two hours. I cannot believe how filthy it was.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2019', 'Type Of Traveller': 'Business', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 4, 'Food Beverages': 4, 'Airport Shopping': 5, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2019-05-19,2,10,"""I hate this airport""
",Susan Hill,Not Verified |  40 minutes to get through security. 25 in line and then the worst was the arrogant attitude of all TSA when my bag was pulled to be checked - it sat there for 5 minutes. 4 workers stood right there within 3 feet of it talking to each other. After 5 minutes another woman walked nearby and I went to her and said my bag has been there 5 minutes - she had an arrogant attitude as well and said with an annoyed tone - someone will get to it. I waited another 3 minutes - 2 of the 4 talking walked the other direction and 2 still talked a minute or more - I tried to get their attention but was ignored. I saw another man standing around and told him my bag had been there almost 10 minutes - same attitude - “someone will get to it”. With an attitude a minute later a still waiting - I saw a woman who I complained to and she said same thing with an attitude. Meanwhile a TSA man had gone to the next row over and started checking 2 or 3 bags that had come out way after mine - mine was only bag for a full five minutes at least. It took 15 minutes. Rude people that don't care and think they are god because they have so much power over your life and you can’t do anything about it. I hate this airport.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2019', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 4, 'Airport Shopping': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
