datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-09-19,4,10,“very confusing to navigate”,Joy Omorogbe,"Not Verified | I found Philadelphia International Airport very confusing to navigate. Fortunately, we had requested wheelchair assistance for my mum who has limited mobility. The guy Cordell who helped us was friendly, approachable and kind which made our experience so much more pleasant!",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 4, 'Airport Staff': 4, 'Recommended': 'no'}"
2024-08-31,1,10,"""scanner was obviously malfunctioning"" ",Thomas Hayes,"Not Verified |   I was subjected to a very intimate search three times by two different TSA agents. The scanner was obviously malfunctioning. How do I know? Well, I was clean but it kept saying I wasn't.  Then, walking on the tarmac to the plane, a baggage handler insisted that I had to ""valet"" my carry-on bag. Once inside, seeing the mostly empty luggage bays, I complained to the flight attendant. She went and brought the bag to me with apologies Arrival was okay, but the I had to follow a ""bread crumb"" trail of corridor, stairs and turns -- all with inadequate signage. Eventually I arrived at two luggage bays and was (at first) relieved to see my flight posted as ""unloading."" But it turned out that we did not get our luggage in hand for 1hr 50mins. No information from the uncommunicative employee in the Baggage Office. She said they were trying to find the agent to ""see if he has any more bags."" (I'm being generous here). She told me to scan a lost baggage claim code -- which did not work.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-08-23,1,10,"""no peace or calm between flights""",B Mahone,"Not Verified | They play non stop super LOUD ads at the gates while you wait. That with the combination of fluorescent lights, It creates the absolute worst atmosphere that you can imagine. There’s no peace or calm between flights while you wait.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 4, 'Food Beverages': 3, 'Recommended': 'no'}"
2024-08-20,2,10,"""cleanliness of the gate was atrocious""",Shubhangi Pai,Not Verified |  I have been waiting in terminal b gate b8 since 4pm 8/19/24 for a flight which has been delayed 4 times and by 7 and 1/2 hrs. No information given over the speakers as to any changes. We have to constantly check the app. No airline attendants at the gate at all to ask any questions. (This is for aa flight 437). The lounge air was freezing and people were not prepared for that. Also the food areas that the airport offers in this section have no prices in the menu and he. You look it up online who the heck is paying $25 for a burger. Not even in London airports are they that expensive. And the cleanliness of the gate was atrocious. No one came by to clean up the trash all over the floor. It just seems like the airport did not care enough to provide good customer service. And the airline was a joke in giving us current information over the speaker system. I am rating this a 2/10 and that is generous!,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-24,1,10,"""cleanliness is embarrassing""",E Bartel,✅ Trip Verified |  Over an hour wait for a gate. Seems like it happens every time. Apart from the wait - the condition of the public restrooms and general cleanliness is embarrassing. The Philly airport aligns with Philly’s nickname - Filthadelpehia - why can’t we be better than this? Ideas - larger bathroom stalls so an individual traveling by their self can enter with their luggage? Warm water and soap to wash hands. Sensors that actually work and stay on while you are washing. Better coordination of empty gates. Clean more frequently. Power wash the exterior - gum and cigarette butts everywhere - yuck Ban smoking within 200 yards of the terminal Plant flowers,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 3, 'Recommended': 'no'}"
2024-05-24,3,10,"""such deplorable conditions""",Sue Veracka,"Not Verified |   Specifically Terminal C: ladies rooms were filthy dirty and smelled terribly. Gate lounges were dirty and no trash picked up. Quick food place by gate 19 had gross looking sandwiches behind case, husband saw worker touch garbage then pick up slices of ham without washing his hands. Workers, including stores, restaurants, airline workers had bad attitudes, some not even acknowledging you spoke to them or asked a question of them. I have honestly never seen such deplorable conditions at an airport, hope basic manners and cleanliness return soon.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 2, 'Wifi Connectivity': 2, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-04-26,2,10,"""shocked at how few seats there were"" ",D Maynor,"✅ Trip Verified |   My first impression of this airport was the huge queue for passport control. I counted three desks open for hundreds of arriving passengers, it took around an hour to get to the front where I was greeted by a surly immigration officer. No smile, no ""hello"", just barking demands. Once I was through that I needed to change terminal to get my connection to Knoxville, which led to another problem, a distinct lack of signs. Eventually I found the shuttle bus and proceeded to security where a female employee was screaming, actually screaming at passengers. I overheard another employee ask her to dial it down but she ignored him and continued the screaming. Brilliant. Eventually made it to my gate only to find there was a distinct lack of seating, with people standing here there and everywhere. On my return trip I was heading to LHR on an AA 787, and was shocked at how few seats there were at the gate. Overall, it's a big airport with the staffing levels and seating provision of a small airport which also assumes passengers know the airport inside out and don't need signs to get where they need to be.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'April 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 0, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-04-21,1,10,"""Worst airport, worst service""",Neelam Jagtiani,"Not Verified |   Me and my son arrived from Doha via American airlines on April 20, 2024 at 2:55 pm. We had a connecting flight Air Canada same day at 4.35PM. We had to pick up our bags and go thru security check again. They sent us thru a second Agriculture security check. We begged them that we are Canadian citizens but they would not allow us to bypass the queue for inspection of bags. We missed our onwards flight. We dropped of our bags after security and bags left for Toronto on April 20 and we were left behind. We check into a hotel as there was no night flight, bought new American Airlines tickets and left on April 21 at 8.35am.We lost $1600 for no fault of ours. Worst airport, worst service and very rude staff. Avoid this airport if you can,",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-04-18,1,10,“lack of transparency and honesty”,B Harvey,"Not Verified |  Baggage claim, terminal A- 3 carousels but only one in use. Hundreds of people clamoring for luggage. Then our luggage was lost- INSIDE THE AIRPORT. AirTag and the AA app confirmed the luggage had arrived. But the geniuses at American couldn’t locate it. We all waited 2 hours for them to finally find the bags they misplaced. The lack of transparency and honesty made it worse than it had to be. PHL sucks.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'April 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-04-10,1,10,"""lack any kind of civil behavior""",Jay Rao,"Not Verified |   They have staff who are fairly adept at their job but have accepted that the airport is abysmal, its pretty sad, that no one is responsible or has any idea on what to do. Their general demeanour is passing the buck to someone else. It would be generous to say they had any idea of how baggage control works. They have passengers running from one belt to another, like musical belts early in the morning or late in the evening, often losing passengers baggage because of connecting flights with the very lethargic excuse, well its not here. As someone who has never had missing baggage prior to my experience in Philadelphia, I was disappointed. There are one or two young members who were exceptional in the baggage area, one young man and a young lady working for Air Lingus, really adept at their work inspite of their young age. The rest of the Airport is hopeless, from security to check in to any other member of staff, completely lack any kind of civil behavior.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'April 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-03-11,8,10,"""comfortable seating, good dining options""",Sarah K DeGuire,"✅ Trip Verified |  It was really warm in the airport as a whole. The staff was nice, comfortable seating, good dining options. I love the water bottle refill station. The womans restroom near D9, I used a stall and bumped the hook on the back of the stall door causing a small puncture and bleeding. Thanks for what you do!",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 4, 'Airport Shopping': 3, 'Wifi Connectivity': 1, 'Airport Staff': 4, 'Recommended': 'yes'}"
2024-03-07,1,10,"""rude, filthy and mismanaged""",Kate Erickson,"Not Verified |  Philadelphia has to be the worst airport in the US. It is such a filthy and in some cases unhygienic (bathrooms at baggage claim) experience. It’s embarrassing to know international travelers arrive and this is the first impression they will have. Only to then have their experience topped by airline, TSA, airport staff who scream at passengers while relaying messages. American Airlines desk agents really are something else in Philly. If you’ve never been aggressively screamed at, at 6am for no reason other than to inform you of bag check procedure while waiting in line, come to PHL. The family in front of me asked if this was a normal occurrence. Another passenger assure them it was indeed. The contrast to European or South American airports is jarring. I fly for work once a week and still am in constant disbelief of how little management seems to care about any of it. Employees unwilling to answer question while taking breaks lounging all over the terminal, on their phones blaring TikToks, trash strewn in random corners, displaced people often with mental health challenges living out of baggage claim (often times yelling at arriving passages as I experienced last night). I could go on. Lower every expectation to zero and you will still be disappointed by your experience at PHL. Consistently rude, filthy and mismanaged.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 4, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 3, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-02-25,4,10,“better than I expected”,Don Elsey,"Not Verified | The airport was better than I expected - clean, fairly organized, easy to get to. Baggage claim was abysmal - coming back from San Francisco - 30+ minutes waiting for luggage...ridiculous.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'February 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'no'}"
2024-02-19,1,10,"""baggage claim is delayed""",H Malten,✅ Trip Verified |  I travel frequently and this is the worst airport. Every time baggage claim is delayed for over 30-40 minutes.  Today I'm arriving from Orlando at American airlines AA 241 and we have been waiting for over half an hour in carousel 13. I have never came to the airport here without problem in baggage claims.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'February 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 1, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-11-02,1,10,"""This airport was awful""",D Harsan,"✅ Trip Verified |  This airport was awful. I was disgusted by nearly every aspect of this facility and the staff. It was shocking. Upon arrival we were yelled at and glared at and mistreated by agents and staff. The airport was absolutely filthy and in disrepair.  There were few people willing or able to answer questions or give directions but plenty of employees standing around chatting. The TSA agents were horrible beyond belief. The employees had a power high for no reason as they yelled at any and everyone. It was absolutely chaotic. Every single interaction was horrible, the entire experience at the Philadelphia airport was shameful and I was so embarrassed that this was an experience so many people will have due to people wanting to travel to Philly.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
