datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-09-09,10,10,"""Thanks TSA - I made my flight"" ",James Devney,"Not Verified |   Forgot my identification. TSA usually gets a bad rap, but I'm here to tell you they were awesome today. I was taken to the side where an alternate route of id verification was sought. I was treated promptly and with the utmost in professionalism. Thanks TSA - I made my flight.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2024-07-15,9,10,"""terminal 3 is really excellent""",Pierre Ferrandi,✅ Trip Verified |  Phoenix is the easiest of all major US airport to get in and out of. I picked Phoenix as my home based in part because I needed a reliable airport considering how often I fly and PHX does not disappoint. The new terminal 3 is really excellent and the improved lounge situation at Terminal 4 is really appreciated.,yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 3, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 3, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2024-03-12,1,10,“Easily the worst airport”,A Knutzen,"Not Verified | Easily the worst airport I have ever traveled through. To transfer from one US flight to another flight wholly in the US you have to reclear TSA. They don't have free wifi, Anchorage Alaska can manage free wifi WTF Phoenix. The airport is so spread out and disconnected forget getting something from another terminal.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-01-08,3,10,"""fails to live up to its false moniker"" ",Ritchie Mantz,"✅ Trip Verified |  ""America's Friendliest Airport"" is false advertisement. Phoenix Sky Harbor is anything but and fails to live up to its false moniker. From baggage claim, it is impossible to find the Rental Car Center on your own because the signage for such could not be found. At 10:30 PM, I could find no airport personnel to help and an airline employee whom I was able to find seemed genuinely annoyed and displeased that I was asking him for assistance. Upon my return, the rental car return was extremely confusing and nobody from the rental car agency could be found to assist me. I just dropped my car and prayed that I had left it in the right spot and wouldn't incur any additional charges. Once I arrived at my terminal from the Sky Train, signage initially directed me to ticketing and check-in, but then the signage abruptly stopped when I reached the escalators and a four-way intersection. I looked all over and there was no more signage to tell me where to go. Another passenger saw my confusion and directed me where to go. Once I received directions, I looked for additional signage in the direction I was sent, and could find none.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'January 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-08-07,10,10,"""I will never forget her""",Pam Fischer,"✅ Trip Verified |  I truly believe that the woman at Passport Control saved my life on Thursday, July 20, 2023. After being the last to disembark from a British Airways flight from London, I mustered up what little strength I had as I approached Passport Control. The woman at the entrance to Passport Control took one look at me and said, ""You are having a medical emergency. Come with me to the wheelchair line."" She whisked me to the front of that line and waited for the EMT staff to wait on me. I was taken to the Banner Medical Center via ambulance where we discovered I had an acute case of Pulmonary Embolism. I was going to try to push through my final flight to Tucson and get tomy home city. Had she not recognized the acute state of emergency I was in and taken me to get care, I may well have died. I will never forget her.",yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-04-21,1,10,"""One of the worst airports""",Doug Roberts,"Not Verified |  One of the worst airports I’ve been to. Surly employees, no bars only cheap food in overpriced chain style beer pubs or family grab and go’s. And not one place to get a drink in Terminal 3.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-03-03,1,10,"""Half the restaurants were closed""",S Mayes,"✅ Trip Verified |  Terminal 3 restroom across from gate 6 was filthy and there wasn’t any paper towels to dry your hands. Half the restaurants were closed, not enough choices although it was only 6:30pm.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'December 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 5, 'Airport Staff': 1, 'Recommended': 'yes'}"
2023-02-28,2,10,"""40 minutes for wheelchair assistance""",S Harson,✅ Trip Verified |  Phoenix Sky Harbor is not set up up to accommodate people with injuries or disabilities. I flew in and out of there in January and February with an injury and had bad experiences. In January I had to walk long ways to get from rental car return to Sky Train and then waited 40 minutes for wheelchair assistance. In February walked long distances again. There needs to be assistance provided from rental cars to airline ticket desk.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'February 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 4, 'Wifi Connectivity': 3, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-01-15,8,10,"""like consideration for announcements in English and Spanish""",Tim Quinn,Not Verified |  Very good service but would like consideration for announcements in both English and Spanish. We are proud Arizonans for over 20 years having retired from the Army in southern Arizona.,yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'January 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 3, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-01-12,1,10,"""the worst TSA experience""",M Sheane,"✅ Trip Verified |  The TSA agents were the rudest I have ever encountered. I'm not sure if the TSA here trains their agents to intimidate passengers - like drill instructors in the military - but I met a few today that seem to have forgotten they are interacting with people just trying to get on an airplane to get home to their family. Very scary, unnerving experience and I will go out of my way to avoid this airport in the future. (Otherwise, service inside was lovely, great restaurant selection, super friendly people, clean and pretty airport. But the worst TSA experience of my life)",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'January 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-12-07,1,10,"""the floors were filthy dirty""",Melanie Border,"Not Verified |  Next to TSA pre the floors were filthy dirty, dust, hair, black stains on the floor. TSA had me take off my shoes and didn’t have socks so I had to step on that filthy floor bare foot.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'December 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 4, 'Terminal Cleanliness': 1, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 2, 'Recommended': 'no'}"
2022-11-28,8,10,"""restrooms are not clean enough""",S Sorkin,"✅ Trip Verified | Why there is no a nap/chapel/compassion room in terminal 3? There should be also a multi faith room, why there is no one? Also family restrooms are not clean enough.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'November 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 4, 'Recommended': 'yes'}"
2022-10-29,9,10,"""an extremely pleasant experience""",Pierre Ferrandi,"✅ Trip Verified |  Based in Phoenix, I often have to travel through both Terminals and it is an extremely pleasant experience, specifically when compared to many other airports in the US and abroad, It can get a little crowded specifically in winter but with Clear and TSA Pre I never spent more than 5 min waiting for Security. Facilities are clean, including brand new Terminal 3 and there are amazing food options. There is nothing I can complain about outside of the lack of International flight options with only 1 daily destination to Europe and None to Asia … a shame for an airport serving more than 40 million passengers per year!",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 4, 'Wifi Connectivity': 5, 'Airport Staff': 4, 'Recommended': 'yes'}"
2022-10-25,3,10,"""I am truly sorry I bothered you""",Carl Knapp ,"Not Verified |  Of the 5 service employees we encountered, only one was cordial and she was on her break. All the others were short and talked down as if they didn't want to be bothered. Bought food and asked for some napkins and was given only one for the two of us. I am truly sorry I bothered you.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-07-16,3,10,"""It is absolutely filthy""",Kari Woods,Not Verified |  I fly out and into this terminal many times throughout the year visiting family. It would be nice if the terminal was kept clean in terms of the floor and the garbage. It is absolutely filthy tonight,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 3, 'Recommended': 'no'}"
2022-06-29,2,10,"""What is going on in Phoenix?""",Shelly Mae,"Not Verified |  The most crowded, chaotic, and hectic airport I've ever been to. Poor foot traffic flow, not nearly enough seating, rude vendor employees. What is going on in Phoenix?",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 2, 'Recommended': 'no'}"
2022-06-18,5,10,"""It was violent and just a horrible experience""",Sonya Atencio,"Not Verified |  I was picking my son up on June 8th flew him out to help him recover from surgery. The flight attendants were great, just wonderful at helping him in his wheelchair but as we (my daughter was driving) pulled up to terminal 4 a male employee directing traffic began screaming at me to keep moving. I brought my daughter to do just that while I went in and wheeled him out. I was sincerely just trying to ask him a question and he refused to look at me or acknowledge me just kept screaming. It was violent and just a horrible experience. I really just had to share that with someone. What an obscene way for this airport to do business.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Signs': 5, 'Food Beverages': 0, 'Airport Staff': 3, 'Recommended': 'no'}"
2022-05-14,1,10,"""the airport was filthy""",Susan Braden,"Not Verified |  Most unfriendly airport ever! TSA were rude and spoke very condescendingly, like we were animals being herded! All the food vendors were rude and never said thank you, acted like we owed them. Inside the airport was filthy! Looked like the maintenance and janitorial crew went on strike! Ticket counters for Alaska Airlines were very friendly. I saw signs in the airport saying it was a friendly airport. It's a lie!",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-04-30,1,10,"""never had a worse airport experience""",Mary Long,✅ Trip Verified |  I have never had a worse airport experience. Never have I been treated so rude by airport employees and I fly monthly with my toddler. From TSA agents to the delta desk agent the were extremely inconsiderate and unhelpful to my small family. Usually the airport is a breeze for us but I will definitely avoid flying out of this airport in the future. And to top it all off there was someone openly watching porn and commenting on in in the terminal in front of children. I was mortified.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-04-25,1,10,"""not nearly enough seating""",C Bartel,✅ Trip Verified |  Bathrooms are filthy. There's not nearly enough seating for passengers and corridors are lined with people sitting on the floor. 1/2 of the restaurants are closed for no reason at all. And get this- you can't go to a restaurant bar before standing in a wait line. Everything is done wrong. Whoever is managing this airport needs to be replaced.,,"{'Experience At Airport': 'Transit', 'Date Visit': 'April 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 5, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'no'}"
2022-03-27,1,10,"""this was just too much""",C King,"Not Verified |  Flew out of Phoenix terminal 3 3/27/22. The bathrooms were horribly dirty. No toilet paper in over half the stalls in the women's concourse E bathrooms. There was debris all over the floors, and the trash was overflowing. It was disgusting. I fly almost weekly and let a lot go but this was just too much.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'March 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 4, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 2, 'Airport Shopping': 2, 'Recommended': 'yes'}"
2022-03-22,2,10,"""I feel service can be improved""",Thalia Casaus,"Not Verified |  So first time in a while that I've been to this airport. I got a little turned around and looked everywhere for someone to help, unfortunately everyone ignored me. Finally I went up to a desk and asked the lady attending the Hawaii desk and asked my question. She treated me rather rudely and cold. Don't usually leave reviews unless I feel service can be improved and I think it should be. Also have an anonymous tip line, it makes it easier.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'March 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-01-17,2,10,"""My experience was frustrating""",S Merton,"✅ Trip Verified |  I was dismayed to see that a few years ago, this airport received high ratings. My experience was frustrating. I went through Phoenix in transit. Flights were on time in my case. However I had a hankering for a smoothie since I ate some food brought onto the airplane. Since I had lots of time, I went to every set of gates. You can't even buy a smoothie in this airport. Panera Bread had some on the menu but were all sold out. Every flavor. No wonder! Many restaurants were not even open. I travel a lot, and this airport is now near the bottom.  Covid is no excuse because I have traveled much during the pandemic. A few other things.  The charging stations are all on little block tables that are always very crowded. Some of the outlets are so worn out that your adapter falls out or you have to shake it to connect. But usually you can find one that will work There are no outlets in lounge seats at all. Some signs do not show gates in both directions. Went towards the C-Gates and had to look backwards to see that I had to turn left for C1 to C9. I surmised that because I have airport experience but woe to the person who does not. I know to have very low expectations when coming through here. Hopefully I will not have to use this airport for anything in the near future.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'January 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 4, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Recommended': 'no'}"
2021-11-30,1,10,"""the worst international airport""",R Lewis,"✅ Trip Verified |  Do not travel through Phoenix Sky Harbor. Long lines, over zealous security having every other bag extra checked, the airport is dirty, they have everyone crammed into a small area and no restaurants are open. Hundreds of international passengers arriving from 10+ hour flights to this pathetic excuse for an airport. Travel through anywhere else. This is the worst international airport I have ever experienced.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'November 2021', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 2, 'Airport Staff': 2, 'Recommended': 'no'}"
2021-11-28,1,10,"""the worst traveling experience we’ve ever had""",G Saunders ,"✅ Trip Verified | For the last 3 years, I know there’s a pandemic, Sky Harbor has been the worst traveling experience we’ve ever had. Twice, we have reserved a rental car and showed up to no cars available. We make other arrangements now. The food and service options have taken a nose dive. The ‘we don’t care less feeling' is palpable from people working everywhere throughout food service options, which I might add is almost null. Maybe this is showing businesses that they need to pay people a living wage. We will be making other arrangements so we don’t have to eat in this pathetic excuse for an airport.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'November 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 1, 'Airport Shopping': 3, 'Recommended': 'no'}"
2021-11-25,2,10,"""barely any restaurants open""",Olivia Miller,"Not Verified |  There’s barely any restaurants open, half of gate A they are all closed and the other half of gate A is so packed you have to wait super long for a table which makes no sense. Opposite of covid safe and pretty ridiculous for people who have a long stressful day of traveling. Do better.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'November 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 0, 'Wifi Connectivity': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
