datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2022-08-25,6,10,"""were extremely rude this morning""",Juergen Huebsch,Not Verified |  One of the TSA Security Guys on C were extremely rude this morning. Lack of proper communication was a huge issue. Please tell me politely to not take my small electronics out of my carry on bag (which has always been the procedure before) instead of yelling the words so quickly that I did not have enough reaction time to process what was being said. Patience and kind words were all that I needed. Please work on this.,yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 5, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 2, 'Recommended': 'yes'}"
2022-06-17,10,10,"""employees are nice & very helpful""",Lucy Hebert,"Not Verified |  RSW is a great airport! The employees are nice & very helpful. The shuttle & parking employees are the best~ especially Theresa! My husband accidentally left his backpack (with meds, computer, & cash) on the shuttle in long term parking today! I drove Back 3 hours later & got it. Everything is there. They were so kind & helpful. Theresa had his backpack in the office. What a relief! So glad there are such good people in the world!",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2021-06-02,4,10,"""Lack of proper communication was a huge issue""",Erica Why,Not Verified |  Two staff members were extremely rude this morning. Lack of proper communication was a huge issue. Please tell me politely to not take my small electronics out of my carry on bag (which has always been the procedure before) instead of yelling the words so quickly that I did not have enough reaction time to process what was being said. Patience and kind words were all that I needed. Please work on this.,yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2021', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'yes'}"
2021-05-23,1,10,"""Staff were extremely rude""",Chris Sullivan,"✅ Trip Verified | Staff were extremely rude. Every part from ticketing, to security, to boarding all spoke down to us customers. Very disappointed in the continued disrespect. Security were also beyond slow. I can appreciate good security, but the airport wasn't busy at all and it took forever as they kept just taking their time.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2021', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-03-28,3,10,"""Fort Myers airport is so poorly equipped""",Joan Clark,"Not Verified |  Fort Myers airport is so poorly equipped with bathrooms, enough restaurants, stores that are open, and places to watch TV. There is not one TV in the waiting areas. If there is a delay, there just are no seats available. Breakfast food was not available at 9am. They were out of both breakfast food and coffee by 9 am. The lines for pre packaged food were 20-30 people long. They need to visit an airport like Grand Rapids MI to get it right. Grand Rapids is the same size town and so much more efficient and consumer friendly than this Fort Myers airport. Fortunately, the staff were friendly.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'March 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 4, 'Recommended': 'no'}"
2020-08-13,3,10,"""belittle their customers""",S Hays,✅ Trip Verified |  I think everyone can count on more than two hands the amount of rude experiences at an airport that they’ve had but today’s stood out more than usual! My boyfriend and I set our backpacks down after having gone through TSA already to go grab a bagel which couldn’t have been more than 10 minutes. When we came back to our seats there was a guard standing near our stuff with a dog. We didn’t think anything of it and then he approaches my boyfriend to belittle him in front of other people that you “can’t leave your bag unattended” and “it makes people unsettled”. He went on for about 5 minutes and then told us some other people may be coming to talk to us. All for a backpack ?! What is TSA for if you’re still worried about my bag?! Maybe this airports needs to put signs up saying not to leave bags unattended before they belittle their customers for their unwritten rules. Attached is a picture of the dangerous scary backpacks!,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2020', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2020-03-23,2,10,"""This is awful and disrespectful""",Diana Page,"✅ Trip Verified | We are under a pandemic and I am wearing a mask and gloves, respecting 6 ft distance. Workers at security didn't want us to maintain 6 feet and told me they didn't care if we all got sick. one guy called me sick girl and said you decided to fly, you should have stayed home. This is awful and disrespectful. Security needs to be more aware of the part they play in helping keep people safe. Otherwise, they can stay home.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'March 2020', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 1, 'Recommended': 'no'}"
2020-02-09,5,10,"""they have horrible wifi""",Karen Sanses,"Not Verified |  Small airport, clean and friendly staff. However, they have horrible wifi. Make sure you have a good data plan if you have to sit for a while for your flight.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'February 2020', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 5, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 2, 'Wifi Connectivity': 1, 'Airport Staff': 5, 'Recommended': 'no'}"
2018-09-30,8,10,"""clean and welcoming""",Margaret Whalen,"Not Verified | This airport is clean and welcoming. The problem I recognize is the preponderance of dogs not being carried or placed in a designated kennel. During my last visit, I saw an emotional support animal lying on the floor in the TSA queue. Three dogs on leashes were seen at the Jet Blue gate. Announcements about dog rules and regulations are made repeatedly but are ignored. Signage would be helpful enforcement is needed.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2018', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 5, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 3, 'Wifi Connectivity': 5, 'Airport Staff': 4, 'Recommended': 'yes'}"
2018-03-22,1,10,"""Parking there is a mess""",Linda K Cullen,❎ Not Verified |  We dropped off and picked up twice in March and went to cell lot to wait. Parking there is a mess! Cars are parked everywhere they shouldn’t be and people can’t move or get out. Has no one ever checked this problem out? Wish I would of known I could of taken pictures and sent in. I will definitely next time!,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'March 2018', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 4, 'Recommended': 'no'}"
