datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-09-19,1,10,"""What a disappointment""",T Garrison,"Not Verified |  First time at this airport. What a disappointment after such a great cruise vacation. Long line backed into traffic just to get to departure gates. When we tried to check our bags at the kiosk, it wouldn't work so, we waited in line 15 minutes to get assistance only to be told that Seattle doesn't allow bags to be checked more than 4 hrs before flight. What the heck!! So now we're stuck standing with 4 pcs of luggage because AA pushed our flight back by 2 hrs. No place to sit! The 3 or 4 small eateries were quickly taken up with people dragging lg suitcases who refused to give up their seat once they finished eating. The area near luggage check quickly got overcrowded with people pulling many large suitcases. To have this ""4-hr"" policy & no general seating (handicap only), makes no sense. Once we finally checked the bags & went to TSA, another nightmare. An hour + at least in line. One of the employees directing people said the reason for the madness was 2 cruise ships just disembarked with 10,000 ppl. Miami doesn't have an issue. Workers are rude & not enough body scanners. I and my carry-on went through the metal detector only to be told that because my knees set it off, I should now go to the line 4 lanes over with a full body scanner. Crazy!! Put scanners at all the TSA lanes! Once we got to our gate (escalator was broken), it was dirty, torn seats and smelled. Only 1 working bathroom in that concourse & it was nasty with no soap in any of the dispensers (women's). The air at the terminal was stagnant & warm. Due to the construction, I don't think there was any ventilation. The icing on the cake is when I overheard an annoyed pilot speaking with a flight attendant saying how much he hates flying into this airport. If you can avoid this airport, do it!",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-09-09,2,10,"""avoid this airport if you can""",J Harvey,"Not Verified |  Late arrival due to fog. Global Entry couldn't read my info. Re-screening after customs is understaffed and slow. Reader boards are not working right, and don't match boarding pass gates. My assumption is that checked luggage will not make it to my destination with my connecting flight - it never has when passing through customs. Just avoid this airport if you can.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 1, 'Food Beverages': 3, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-09-08,1,10,"""Completely over crowded""",M Keane,"Not Verified |  Completely over crowded, not enough seating. Air is stagnant, hot, smelly. Food is outrageously overpriced and very low quality. Seating, when you find it, is dirty and old.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-08-13,2,10,"""TSA lines were very long""",Alan Burns,"Not Verified | Arrived on United flight early Saturday afternoon. The walk to baggage claim was long and confusing. Waited about 30 more minutes for bags to arrive. Arrival/pickup area outside was chaotic, traffic was 4 lanes deep, and stretched out from the terminal building. Departed on red eye Monday Morning. Kiosk check-in stations did not work, United rep confirmed they don’t work. TSA lines were very long, and TSA directions were not clearly posted or announced. There were not enough baggage totes to use for the X-ray machines. Long lines and confusing getting through TSA. Again the walk to the United gate was very long.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-06-30,2,10,"""now rivals LAX in terms of chaos""",Emily Miller,"Not Verified |   SeaTac now rivals LAX in terms of chaos, in my opinion. We waited in a line of 100+ people for the shuttle. (After spending about 20 minutes trying to even find where to go). There was no signage and the path to get there is a construction zone right now; we had to weave around various obstacles. We got on the 4th shuttle after about 30 minutes of waiting. Then we had to wait 45 min in line to actually get the car that I had already paid for and had already pre-checked in for (well that’s Budget’s fault, not SeaTac’s). Between these issues and taxiing on the runway, I didn’t leave the airport until 3 hours after touching down. I also had a bad experience last year when flying out of SeaTac, I almost missed my flight despite arriving 90 minutes early because of their “spot saver” program. People are allowed to just cut in line for the security check. This is not the regular pre-check program, this is just people who know about the app before they arrive to the airport and can sign up to skip in line",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Signs': 1, 'Food Beverages': 0, 'Recommended': 'no'}"
2024-06-24,1,10,"""This airport is a joke""",David Buchanan,"Not Verified |   This airport is a joke. So spread out. Poor/confusing signage. So difficult to move around the airport to gate locations. The ""train"" system is a farce. Takes so long to get between terminals. I suppose if you use the airport a lot you ""know"" the in's and out's of how it operates. If you are a first timer I am afraid it is an airport to lay down and avoid if you can. Took us 1.5 hours from time we arrived at the airport to get to the gate in the ""S"" terminal. TSA was slow, transiting inside the airport was slow. Then we missed the flight by 2 mins. That's another issue with Frontier! If you do have to use this airport I suggest you add at least 1.5 hours to what you normally expect at other airports. When we arrived it was no better. Took so long to get from the arrival gate to the off airport rental car location. The place is a mess and who ever designed it needs a head read. It's just nasty. Seems whoever owns this place is more focused on building a sprawling ediface than serving the people that use it. So sad in a first world country to have to endure a place like this. It would be interesting stat to know how many people have missed flights from Sea Tac in last 3 months? A lot would be my opinion.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-22,1,10,“single worst US airport experience”,Jay Mudrick,"Not Verified |  The single worst US airport experience I’ve ever had. I’m an extremely experienced traveler and have had better experiences in many third world airports. I will take connections, fly red eyes, drive coast to coast, or do whatever else is necessary to avoid this airport in the future.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 2, 'Wifi Connectivity': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-06-22,1,10,“Customer service was extremely lacking”,Stanton Ryals,"Not Verified | Customer service was extremely lacking in care and concern for their customers. Requests were ignored. Communication poor between agents. Travel through the airport was difficult because of the long distances with only two short people movers. Airport under construction so had to disembark to a shuttle, that broke down, then to a tram just to get to the terminal. For some needing a wheelchair, good luck; uncomfortable metal carts where the porters drop you off and left you there with no way to get around afterwards (bathroom, food, water) it took agents 30 to 45 minutes to get a wheelchair for assistance. Long long distances between bathrooms. Our ticket agent was very good trying to handle the request, just no help from other until boarding time then porter was helpful.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 0, 'Airport Shopping': 3, 'Airport Staff': 2, 'Recommended': 'no'}"
2024-06-17,1,10,"""just not a good experience",T Hoyer,"Not Verified |   Construction at the airport and it is an absolute nightmare. On my arrival it was very difficult to find the way out and there are no corresponding signs inside and outside to coordinate a meeting point. On my departure I arrived two hours before a domestic flight and missed my flight. The TSA lines were absolutely awful. There is no direction, no way to find the end of the incredibly long lines. You can pay for special lines (Clear and Pre-check) which seem to be better staffed but who knows if that would have helped. I was booked on a later flight so I stored my bags, very hard to find, another long line. The air-train into Seattle was great! Only $3 and easy to navigate. Once back for my later flight I had to wait forever to retrieve my bags and go back through security. It took almost an hour with a spot saver at a time the airport was not crowded. The closest bathrooms were closed, no bottle filler close by, just not a good experience at all. My plane was then delayed over an hour waiting for flight crew while we sat on the tarmac. In a city rich with technology, you would think the airport would be better.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 1, 'Food Beverages': 2, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-06-12,1,10,“customer satisfaction was not a priority”,J.S Haytread,"Not Verified | I recently had the misfortune of passing through Sea/Tac Airport, and I must say, it was an experience I wouldn't wish upon my worst enemy. From the moment I stepped foot inside, I was greeted with an atmosphere of disdain and hostility that permeated every corner of the terminal. The staff, if you can even call them that, were the epitome of rudeness. It was as if they had undergone special training in how to make passengers feel unwelcome and inconvenienced. Any attempt at seeking assistance was met with eye rolls, sighs of exasperation, and curt, dismissive responses. It's as if they viewed travelers not as valued customers, but as nuisances disrupting their day. The lack of basic courtesy was astonishing. It's one thing to encounter a grumpy employee here or there, but it seemed like a pervasive culture of indifference had infected the entire workforce. It was abundantly clear that customer satisfaction was not a priority for them. To add insult to injury, the facilities were woefully inadequate. Long queues snaked through the terminal, with no discernible logic or organization. Overall, my experience at Sea/Tac Airport left me deeply disappointed and frustrated. It's a shame that such a crucial hub for travel can be so poorly managed and staffed by individuals who seem to take pleasure in making passengers' lives miserable. I would advise anyone considering flying through this airport to think twice and explore alternative options if possible.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Signs': 1, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
