datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-07-14,2,10,"""stores at SFO do not have stated prices""",V Jelena,"Not Verified |   The stores at SFO do not have stated prices for most of the products they sell. We wanted to buy some candies and little presents for family and friends and found out that the choice is very poor for such an airport and a lot of prices were not stated, only savings if you buy two, three or more. The staff at the stores were also very rude when asked for the prices.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 5, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 5, 'Airport Staff': 3, 'Recommended': 'no'}"
2024-04-27,1,10,"""Did not help or direct us""",T Hayle,✅ Trip Verified |  This the worst transition flight I have ever had. Every single worker was absolutely disrespectful and rude. Did not help or direct us in the right direction. If I had the choice I would never come through here again.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'April 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 5, 'Terminal Signs': 1, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-04-25,2,10,"""pathetic excuse for an airport""",Liam Moulton,"✅ Trip Verified |  A pathetic excuse for an airport. After departures, eating options are limited and to make matters worse, everything shuts at midnight, which is no good if you have a midnight flight that is delayed for 2 hours or longer. The information provided as well was non-existent, other than by Philippine Airlines. San Francisco is supposed to be a global hub, so surely they could afford to make more effort for their passengers in terms of facilities, especially shopping and dining, after midnight. Staff could also be more helpful.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 4, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-03-01,9,10,“well organized and easy to navigate”,N Altman,"✅ Trip Verified | This airport is well organized and easy to navigate; it's become one of my favorite airports in the world. On this trip (JFK>SFO>TPE), I flew into and also left from Terminal One, recently renovated, attractive and spacious. It also contains quite a few spaces for relaxation, plus many restaurants and shops. On arrival, my bag arrived before I did. On departure, I checked in at the Interational Terminal, which is connected to Terminal One. Going through security at International was fast and easy. The only negative was that several of the restaurants in Terminal One were closed in the evening.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'February 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 5, 'Airport Staff': 4, 'Recommended': 'yes'}"
2024-02-11,9,10,"""share my exceptional experience""",E Morlan,"✅ Trip Verified |  I am delighted to share my exceptional experience with Officer Lucas at San Francisco International Airport. His assistance in locating my lost phone and guiding me to the correct boarding gate was invaluable. Not only did he ensure I found my belongings, but he also took the time to ensure my well-being before departing. I am sincerely grateful for his kindness and assistance.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'February 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 4, 'Food Beverages': 0, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-08-18,1,10,"""there was lack of workers""",Kamila Mynbayeva,"✅ Trip Verified |  Horrible. I was late for my transit because the line was huge. I had 2 hours for transit and I was in the middle of the line. Even though I was able to shortcut it and asked people to let me go, when an hour was left before the flight, I couldn’t check in for my flight due to the another line. In both check out and check in areas there was lack of workers! So after I missed my flight, I got new ticket for the next day at 8:45am flight number UA5872. I had to spend more than 10 hours in San Francisco and my airline didn’t provide any accommodation or compensation. I paid from my pocket! This is why I give 3 stars to airport staff and queuing time. Some staff workers were trying to help me, but there was lack of them so they couldn’t do much.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'August 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 5, 'Airport Staff': 3, 'Recommended': 'no'}"
2023-08-18,2,10,"""1h30m and nothing is moving""",B Johnson,"✅ Trip Verified | We got here with more than 2 hours delay due to weather conditions, landing at 9:30PM. SFO did not plan any crew to take care of the suitcases and we ended up laying down on the floor next to a stopped carousel at the baggage claim. There is no seat here. No vending machine. We heard unclear messages but it's already 1 hour and 30 minutes and nothing is moving. Not serious at all",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'August 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 5, 'Food Beverages': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-07-17,1,10,"""the rudest airport I have encountered""",D Geck,"Not Verified |  I am quite disappointed about how I was treated by the ""people with power"" here at SFO, namely immigration officers and employees at security. Perhaps these people have an inflated sense of their own importance, shouting out orders, asking questions in a suspicious tone, and not seeing the need for the most basic politenesses (no ""please"", no ""hi"", no ""thank you"", no smiles). Perhaps it would be good for their employers to remind these people that they are dealing with TRAVELERS, not PRISON INMATES. While I have noticed rudeness at other airports, San Francisco is now the winner - as the rudest airport I have encountered.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-01-13,5,10,"""functional and clean enough""",H Kohiso,"✅ Trip Verified |  The airport itself is functional and clean enough for an American airport. The transit is a drag, especially if you're going south, but you can survive. There are some nice (even if overpriced) restaurants as well. One unexpected experience was with the Global Entry program. I had applied to it earlier in 2022 so that I could get enrollment on arrival interview. Instead, the agent told us that they were not offering any interviews at this time and that we should schedule an appointment elsewhere (they seemed to be telling the same thing to everyone else). This seems to contradict what they say on their official website (which lists SFO and no other enrollment centers in the vicinity). I understand there is a surge in applications, but it felt disingenuous for a government agency to be refusing service it is promising to deliver on their official website.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'January 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 3, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-01-10,6,10,"""Two contrasting experiences""",Charles Laing,"Not Verified |  Two contrasting experiences within two weeks. I was a transit passenger (AKL-SFO-LHR then back again), and knowing that transit doesn't exist at most US airports in the sense that they do at most non-US international hubs, I didn't check in bags but loaded up the hand luggage instead. Thus, I didn't experience the inanity of having to get my luggage and put it back on a conveyor belt landside. On my first trip, it took 65 minutes from disembarkation to clear immigration at 6:45am in the International Terminal, G-Wing. Long queues and few immigration staff on duty. Going back through security into the same wing, the staff were poor. They were shouting at various people who had English as a second language - because that generally works - and giving instructions that contradicted the screens above their heads. (Sample screen message: 'Have your boarding pass and passport ready to show the officer.' Officer: ""Don't show me your ticket!"" Nice one, champ.) I made the mistake of having my passport in my back pocket when I was about to go through the scanner. I realised at the last second, so went to put it in the tray and got full barrels from one chap who clearly hates his job. I acknowledged my error, told him it was an oversight, that I'd just been on a 12-hour flight, and that different airports have different rules. He then started berating an elderly Indian man for putting his shoes in the tray at the wrong angle. Mate, if you do don't have patience for people, get a job where you don't have to deal with them. On the way back, totally different: eight minutes from disembarkation to clearing immigration, lots of desks open at noon, friendly and helpful staff. Within the G-wing, there's an outdoor area with not much of a view, but which affords a good burst of fresh air, which is nice when you're on a plane or in an airport for 30-odd hours. I had a 10-hour layover on the way back and liked the big chairs. Got some good sleep in them. Shops were fine: typically overpriced but it's an airport so you'd expect no less. Landside, before security, there's some pretty cool yesteryear display cabinets, showing menus and service on flights in the 70s and 80s, and some pretty interesting art / design displays too. Signage seemed straightforward enough to me. Showers / nap rooms were extortionate. You need a mortgage. In the past, I've done all I can to avoid transiting through the US. Hong Kong, Tokyo, or Singapore are much more straightforward and amenable, but when I booked the flights, HKG and Tokyo were still closed, and Singapore Airlines were a bit expensive. Nothing about SFO would make me favour it over those other three, but I'd recommend it over LAX as an international transit airport.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'December 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 3, 'Recommended': 'yes'}"
