datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2023-07-17,10,10,"""He went above and beyond his job""",Amelia Kirsten,Not Verified |  Our flight arrived very late and the hotel shuttle stopped running. Bryce was very kind to help us find transportation to our hotel. He went above and beyond his job to make sure we arrived safely. I was very satisfied.,yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'July 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2018-01-01,4,10,"""very unpleasant experience""",Marco Fernandez,"❎ Not Verified | As a rule of thumb, we avoid changing money at airports, unless the country we’re visiting isn’t “credit card friendly” or we’ve been advised to use cash for certain purposes. Although Costa Rica is credit card friendly, we read that changing money at the airport is advisable. This was a big mistake. In comparison to the exchange rate and charges at a bank in San José city, we “lost” around 15% due to changing at the airport — this was the largest percentage we’ve lost amongst all money exchangers at an airport. For us, this was a very unpleasant experience especially for incoming new tourists. Moreover, one of our luggage was “lost”, and there was only one person for the airline accommodating — it took us over an hour in the baggage claim/lost and found area.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'December 2017', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Signs': 2, 'Food Beverages': 0, 'Airport Staff': 4, 'Recommended': 'no'}"
2017-05-18,6,10,"""criminal price of food inside the terminal""",G Jones,"✅ Verified Review | San Jose is a small but plucky, tidy and efficient airport, marred by a couple of flaws and bottlenecks. It is modern and adequate for the passenger flow except Upon departing, the early morning flights (6 to 7.30) cause the security line to grow enormously, though it is processed in the most efficient way. While more and more airlines have switched to include the departure tax, the line can still be huge and at some points of the day it's poorly staffed. Upon arrivals, there is a critical rush hour at noon where several flights from the US, Mexico and Central America arrive at the same time, causing immigration lines up to 2 hours. Other than that, immigration is usually quick and baggage claim is very efficient (around 5-10 minutes). Customs clearance is also very quick. The other topic is the criminal price of the food inside the terminal. Costa Rica is an expensive country, but it goes to cringe worthy levels where you pay $6 for one Cinnabon roll (you pay $3 in CLT), $11-$15 for a burger with fries and refreshment. You seriously need to come with some food in your stomach (especially if you fly in the early morning flights). Another uncomfortable point is that there is no arrivals hall per se, and once you cross customs you'll be literally thrown to the street.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2017', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 5, 'Airport Staff': 4, 'Recommended': 'yes'}"
2015-09-08,8,10,"""gotten much better over the years""",Roy Arauz,"Juan Santamaría International Airport has gotten much better over the years. Clean and modern. The arrival process - customs and immigration - are as smooth as they can be. Departures are easy too, they could do better with the Exit Tax process - long lines and no where to fill out the forms (I understand some airlines will start allowing you to pay in advance which is excellent.) The food inside the terminal is ridiculously expensive - I paid $9.50 for a fast food breakfast sandwich. I still don't understand why they have to check each carry-on bag again at the gate when we were just screened and x-rayed going through security. It just slows the boarding process down.",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2015', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 4, 'Terminal Cleanliness': 5, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 4, 'Recommended': 'yes'}"
2015-05-13,7,10,San Jose Airport customer review,Helen Devries,Check in and security very fast and efficient but then you hit the overpriced shops and the limited and expensive catering options. They should let the cafe outside arrivals take over a spot inside they offer decent food at good prices. The place is clean the staff are pleasant and helpful but it doesn't make up for the over priced shops and the limited choice of food.,yes,"{'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Airport Shopping': 3, 'Recommended': 'yes'}"
2013-02-26,7,10,San Jose Airport customer review,C Harper,Used airport twice this month (Feb) other then being a bit short on eating places and those open were expensive passport check and luggage presented quickly.,yes,"{'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Airport Shopping': 3, 'Recommended': 'yes'}"
2012-08-24,7,10,San Jose Airport customer review,Rob Brook,Used this airport several times over the past decade at various times of the day and on long and short haul flights. A small pleasant airport where it is usually possible to find a quiet corner. Staff are helpful and usually smile. 'Dining' is American fast food variety and expensive. Pay the $26 departure tax in advance at your hotel. Avoid the post-security shopping as the prices are high.,yes,"{'Queuing Times': 4, 'Terminal Cleanliness': 4, 'Airport Shopping': 3, 'Recommended': 'yes'}"
2012-05-10,8,10,San Jose Airport customer review,Andre Franca,SJO is a very modern airport immigration is friendly but asks to see all your papers come prepared if you do not hold your tickets carpeted floor free wifi Internet expensive gift shops and food carts taxi fare is high 20 usd for a 15 minutes drive before checking in you must pay departure tax it now costs 30 usd you can pay with credit card overall good experience I will be back in the summer.,yes,"{'Queuing Times': 4, 'Terminal Cleanliness': 3, 'Airport Shopping': 3, 'Recommended': 'yes'}"
2012-05-01,7,10,San Jose Airport customer review,Carlos Moreira,Airport was quite easy to navigate. Exit tax is still $26 +$2 (fee for them to check your bags). I used my credit card and it goes through as a cash advance. There is no longer a smoking lounge if you want to smoke you need to do it outside before you even enter the airport. As for restaurants I hardly saw anything in the main terminal.,yes,"{'Queuing Times': 3, 'Terminal Cleanliness': 5, 'Airport Shopping': 4, 'Recommended': 'yes'}"
2012-02-20,8,10,San Jose Airport customer review,Sean Symon,Not a bad airport. Flew out of Terminal A with American Airlines. I thought Terminal B was nicer than Terminal A. Plenty of places to eat and view the runway. My only complaint was the longish wait at security. Other than that San Jose is a very functional airport.,yes,"{'Queuing Times': 4, 'Terminal Cleanliness': 5, 'Airport Shopping': 5, 'Recommended': 'yes'}"
