datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-07-28,3,10,"""Terrible airport""",Emory Zimmer,"✅ Trip Verified |  Terrible airport, no food on Sunday, folks working everywhere are lazy with a slow pace. If you want any food can’t find it until 1130, unbelievable. Bring your own food!",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 1, 'Wifi Connectivity': 1, 'Airport Staff': 3, 'Recommended': 'no'}"
2024-05-15,1,10,“the worst experience”,D Vincent ,"✅ Trip Verified | This was the worst experience trying to board the flight! The ticket agent didn't understand, or speak, English! She was saying 'no 1' over and over. She was trying to tell us to get at the end of the line because we were in the wrong zone! Then, they made us throw away our belongings even though the Cleveland airport had no problems with the same bags! I will never use this airport again!",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-01-28,1,10,"""Quality of food abysmal"" ",M Seaver,"✅ Trip Verified |  Took over an hour to get through security.  Quality of food abysmal. Terminal was changed several times for no reason forcing us to run across the airport then when we finally arrived at the last relocation (over an hour early) there were no seats left forcing us to stand or sit on the floor. For the WiFi they try to get you to fill out a full survey with contact information. Also to make everything somehow even worse there isn’t any sort of usable map available online, simply states “food” for restaurant locations. Good thing this place is a monopoly because otherwise they’d go under in a week.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'January 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-04-11,5,10,"""extremely rude with an attitude""",N Barlenez,✅ Trip Verified |  I was flying out of Puerto Rico through American Airlines and I must say this is the worst airport when it comes to customer service. I ask an American airline employee for help as I was trying to check my bag and she was extremely rude she told me no I don’t speak English. I then asked her in Spanish and she got irritated and told me no I don’t think so. Once I got to the counter the guy that check my bag was extremely rude with an attitude.  I’ve traveled through plenty of airports and this airport is cleaner than others airports I’ve been to. It’s not a lot of good variety of food.,yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 4, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 3, 'Airport Shopping': 4, 'Airport Staff': 1, 'Recommended': 'yes'}"
2022-08-07,3,10,"""water fountains are disgusting""",Greg Wallick,"Not Verified |  San Juan airport’s water fountains are disgusting. They are dirty and many are non-working. When they do work the water tastes like it came from a sewer. Since you have to dump liquids at security your only choice is to buy bottles of water. Two 16 oz bottles of Dasani are $8.96. That is obscene. Decent airports have water available in drinking fountains and refill stations for free. In addition to the obscene cost it is an environmental issue. We carry refillable Yeti bottles but the water is unfit for consumption. This opinion about the water quality is from a 20 year infantry US Marine who has drunk some pretty disgusting water. Clean, potable water is a basic function like toilets.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 3, 'Wifi Connectivity': 1, 'Airport Staff': 3, 'Recommended': 'no'}"
2022-07-17,1,10,"""Be prepared to starve and be frustrated""",Richard Feliciano,"✅ Trip Verified | Worst airport. Dirty. Layout makes no sense. Shops close at 6pm. Airport Staff rude and useless. TSA and USDA unprofessional and have no idea what they are doing. Food choices horrible. No real charging stations, have to sit on the floor. Have been to airports in 3rd world countries that are way better. If you ever go through this airport, come before 6pm so you don’t starve or better yet skip Puerto Rico and I’m ashamed to say I’m Puerto Rican and this is an embarrassment. Be prepared to starve and be frustrated.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'July 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-06-01,1,10,"""No urgency, no customer service, no humility""",Khiala Tyson,"✅ Trip Verified | Let me just say, this airport sucks! TSA literally has every single flight going through one TSA point. The agents are rude and I am just not sure what issue Puerto Rico has with Americans, like you do know we all don’t create policies and laws that may affect your country right? Don’t take the governments actions out on us. That being said, this airport moves slower than molasses. No urgency, no customer service, no humility. That airport is the most disgusting airport ever and whoever is over it should be ashamed of yourself.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-03-20,1,10,"""food venues close at 6pm on a Saturday night""",Fran Flo,"✅ Trip Verified | Bad service, food venues close at 6pm on a Saturday night during spring break. Traveling with kids flight delayed no food venues open, it doesn’t even makes sense. Not enough charging stations.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'March 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 2, 'Recommended': 'no'}"
2022-03-19,1,10,"""one of the worst airports ever""",Lucy Mills,"Not Verified |  This has to be one of the worst airports ever - on arrival in the middle of the night there was no one to ask for any help but the worst time was on departure the left luggage was full so we couldn’t leave our items and had to wait 8 hours in the airport, no internet at all even to pay for! Who doesn’t have internet, it’s dangerous especially when you have to sort out locator forms we had to pay for internet time at the airport hotel to ensure we could check in - no seats available at the airport and it was dirty and simply awful. Never again such a shame",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'March 2022', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2022-02-28,1,10,"""service at this airport is bad""",Abraham Rodriguez,✅ Trip Verified |  The service at this airport is bad and they don’t know how to treat customers. The service at store coffee roasters is very slow and the employees don’t treat customers good. Hope people buy their coffee at other concessions with better customer service.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'February 2022', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-10-18,2,10,"""airport is dirty, the service is horrible""",Jorge Caballero,"✅ Trip Verified | This is the worst airport I have ever travelled through. As a Puerto Rican myself, I am very ashamed that this airport is what tourists see when they come here. The airport is dirty, the service is horrible, the food is lacking, food court isn’t existent. Bar service, those that are open, is characterized by their rudest behavior. The prices are the highest I have ever seen and the food is awful. The people of Puerto Rico don’t deserve an airport so mediocre that only can compare with third world countries airports. Shame, shame.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'October 2021', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 2, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-03-06,1,10,"""it took me about 45 minutes to find somebody to help""",Keith Simpsons,"Not Verified |  Let me just start off by saying the communication between main land Americans and Puerto Rican Americans is so bad. I came from Arkansas on my way to the Virgin Islands and I had to layover in San Juan, it took me about 45 minutes to find somebody to help me, everyone I approached looked at me and with disgust and said they didn't speak English, I finally found a janitor that was willing to help me. I will never in my life go back through Puerto Rico or visit Puerto Rico, its such a shame the security screeners told me to go away. I was in distress and finally found where I was supposed to go, the walk was horrible like 20 minutes straight walking. I ended up having a panic attack.",,"{'Experience At Airport': 'Transit', 'Date Visit': 'January 2021', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
