datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-09-06,1,10,"""Restrooms are not clean""",John Kelsey,Not Verified | B Terminal is very hot. Like they're trying to save money on air conditioning. Restrooms are not clean - dirty seats. Paper Towels on floor.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-03-12,2,10,"""Horrible arrival experience""",Sue Dulaney,✅ Trip Verified |  Horrible arrival experience every time I've flown into Salt Lake City. Sat on the tarmac for 30 minutes at 1130 pm at night. Excuse was they didn't have a gate.  I saw plenty of gates available in the B concourse. If I had another airport to choose from to depart out of I would use it. SLC has expanded to make more money and shows their greed. Maybe they should hire more people to help run the airport.,,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'March 2024', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 2, 'Airport Staff': 3, 'Recommended': 'no'}"
2024-02-26,2,10,"""Terribly designed airport""",Darryl Adams,Not Verified | Terribly designed airport. It took an hour to get from my gate to baggage claim and get my bags. I assumed the very long terribly designed path from gate to baggage claim would allow my bags to get there before me. I was wrong. The long walk was rewarded with a very long additional wait for my bags.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'February 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 2, 'Food Beverages': 0, 'Recommended': 'no'}"
2024-01-07,1,10,"""never had a good experience""",S Hayle,"Not Verified |  The absolute worst airport in terms of check in, baggage check and security I have experienced. Have flown out of this airport multiple times and never had a good experience. Arrived over 2 hrs before scheduled departure and almost missed my flight. There are simply not enough personnel working baggage check and security, not to mention the security line is basically overrun by Clear. If we didn’t have family in Utah, I would never set foot in this airport again.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'January 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 2, 'Terminal Signs': 3, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 4, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-11-12,1,10,"""a guaranteed waste of time""",M Avila,"Not Verified |  This airport is a guaranteed waste of time. Domestic flights connecting east to west or vice versa are often dropped off on the tarmac in terminal A with 20 minutes to exit the plane, wait until you load on the lethargic bus driver inch to the ramp for not the terminal and sprint a mile to terminal D—for instance. Good luck making your connection. Between the way they have connections physically spaced and how closely they are scheduled, it’s like they are actively working to prevent connections. I am rescheduling all my flights to avoid this airport.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'October 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 5, 'Terminal Seating': 4, 'Terminal Signs': 3, 'Food Beverages': 2, 'Airport Shopping': 3, 'Airport Staff': 4, 'Recommended': 'no'}"
2023-09-16,3,10,"""Worst for people who have a hard time walking""",D Hofmann,Not Verified | Worst airport for people who have a hard time walking. No moving sidewalks or tunnel shuttles. No quick places to buy food in Southwest terminal.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 1, 'Terminal Signs': 3, 'Food Beverages': 1, 'Airport Shopping': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-09-11,3,10,"""Security is a complete mess""",Kat Koss,Not Verified |  This is a beautiful airport with a great selection of food & shopping. Unfortunately that is where it ends. I think it must have been laid out by a 5 year old. Getting to my Southwest gate from the car rental I had to change floor levels 5 times. Security is a complete mess and so disorganized. The different gate terminals are so long and the distance is ridiculous. I could never take an elderly parent to visit.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 2, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 2, 'Food Beverages': 5, 'Airport Shopping': 5, 'Airport Staff': 5, 'Recommended': 'no'}"
2023-05-31,1,10,"""a terrible experience going through security""",Charley Graybell,"Not Verified |  I had a terrible experience going through security. After standing in line I arrived to a dozen or so numbered check in points for boarding pass and ID, to the right and left. The TSA man there was visibly angry and yelled at me to “GO!” and waved his hand like he was flagging a cab. I  asked him politely which station I should go to. He became even more angry and said  “Just go, and someone will show you.” There were no other agents visible but eventually I found someone who would could direct me.  After going through the scanning procedure I went to pick up the tray with my belonging. An agent was flinging trays around so violently, he almost banged me on the head with a tray.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 3, 'Airport Shopping': 3, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-05-05,2,10,"""Arriving I’ve yet to have a good experience""",Janelle Bennett,"Not Verified | I have had recent knee replacement and then surgery from a broken ankle. I’ve flown 3 times from SLC airport with a requested wheelchair. Getting on the plane has been great. Arriving I’ve yet to have a good experience. The first time while still on crutches they pushed me to the elevator and said I had to walk to luggage from there. The second time there was a wheelchair there so my husband pushed me. I’ve been stranded trying to get to my plane and asking for help but no one would help. Even those pushing a vacant wheelchair in my direction. Yesterday was the final straw! When I got off the plane there were no wheelchairs for the three of us who requested one. We stood outside the plane for over 20 minutes. Finally when they came to get me, another lady did not have anyone to push her so an employee pushed both of us. He asked several people to help but they said they were not allowed. Two nice passengers helped for a short time. My daughters and our ride waited for some time for us to arrive. Your system needs revamped!",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 3, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'yes'}"
2023-04-02,1,10,"""This airport is ridiculous""",Becky Flores,Not Verified |  This airport is ridiculous. There is no accommodations for people with trouble walking long distances. The “close” gates are a mile walk if you go to concourse A god forbid you have a B concourse it could be up to 4 miles. The wait for a wheelchair for my 85 yr old grandmother was over 45 minutes. The powered walk ways barely help at all. How do they plan to be more ADA accessible because this is absolutely disgusting.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'April 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Signs': 3, 'Food Beverages': 0, 'Recommended': 'no'}"
