datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-08-06,2,10,"""restrooms were horrible""",Bob McPhail,"Not Verified |  The restrooms were horrible, dirty and no paper towels, disgusting, the attendant was outside the door with her phone. Men’s restroom smelled of urine.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'August 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 1, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 4, 'Wifi Connectivity': 1, 'Airport Staff': 3, 'Recommended': 'no'}"
2024-06-20,1,10,"""undersized for the traffic it has""",Chris Friend,Not Verified | This place is way undersized for the traffic it has. The restaurant selection is a joke. The main food court has been closed for months. Restrooms are dirty and small. Southwest needs to find a better Midwest hub,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 2, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-02-28,1,10,"""Wasn’t even welcomed by the staff""",Kris Burrow,Not Verified |  Was the worst experience of my life. Wasn’t even welcomed by the staff entering the airport plus I was trying to get all of the tags on the luggage’s and they just scolded us instead of helping us at the entrance.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'February 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2024-01-15,1,10,“Always a nightmare”,T Molly ,"✅ Trip Verified | Always a nightmare getting bags from baggage claim. I've never waited lass than 45 minutes for my bag, and usually it's at least an hour. Also, not enough seating. So many people have to stand or not on the ground while waiting for their plane. Absolute worst airport.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'January 2024', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 1, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-10-02,9,10,"""the true spirit of customer service""",S Keale,"✅ Trip Verified |  I recently had an unforgettable experience at the St. Louis airport that I felt compelled to share. It's not often that you encounter such exceptional customer service and genuine compassion in the service industry, but my encounter with two outstanding Huntleigh USA Corporation employees truly left me in awe. I found myself in a predicament when I was running late due to an unfortunate accident. Time was against me, and I was beginning to feel the stress and anxiety that comes with the fear of missing an important event. That's when Arlando Bolden and his colleague came to the rescue, turning my stressful situation into a heartwarming display of care and professionalism. Despite our best efforts, we arrived at our destination just a few minutes late. At this point, I had resigned myself to the possibility of missing my commitment, but Arlando and his coworker had other plans. They went above and beyond to ensure that I could still reach my destination. First and foremost, they helped me with the necessary arrangements, taking into consideration my convenience. This act of kindness was a relief in itself, but what truly touched me was their willingness to guide me personally. They recognized that my nerves were getting the better of me, and their calming presence made all the difference. Arlando Bolden deserves special recognition for his outstanding service and compassion. His dedication to his job and the well-being of customers is commendable. He was not just a helping hand but a beacon of support during a stressful moment. I am incredibly grateful to Arlando and his coworker for going the extra mile to ensure that I made it to my destination smoothly. Their actions exemplify the exceptional service that Huntleigh USA Corporation is known for, and I cannot thank them enough for their kindness. Huntleigh USA Corporation has earned my utmost respect and gratitude through this experience. They proved that they care deeply about their customers and are willing to do whatever it takes to make their journeys as pleasant as possible. I wholeheartedly recommend Huntleigh USA Corporation to anyone seeking reliable, compassionate, and customer-centric service. Thank you, Arlando Bolden, and your colleague, for restoring my faith in the kindness of strangers and for demonstrating the true spirit of customer service.",yes,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 3, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2023-09-22,1,10,"""Security was a joke""",Jonas Johnson,"Not Verified |  Probably the best example of ""afraid to lay off useless people"" I've seen in any airport. The check-in line for Southwest had to be a hundred people long with what appeared to be enough employees to shorten the line considerably. But no, they just stand around talking to each other with the occasional barking of doing everything yourself. Security was a joke, nobody around to tell you what to take out and leave in the bag - until after it's gone through the X-ray machine, then they tell you and call you back. Great examples of ""not my job"".",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'September 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 2, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-06-16,1,10,"""wish I could avoid this airport""",S Hamm,Not Verified | What a horrible airport. In all of my years traveling for business I have never seen such a disorganized mess of an airport. Security line literally out the door. No one seemed to know what was going on. TSA was terrible. I wish I could avoid this airport. If it wasn’t for work I would never fly here again. Stay away.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2023', 'Type Of Traveller': 'Business', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 2, 'Airport Staff': 2, 'Recommended': 'no'}"
2023-05-26,9,10,"""one of the smoothest travel experiences""",J Baker,"Not Verified |  I travel frequently both internationally and domestically, and St Louis Airport provided one of the smoothest travel experiences I have had to date. Staff were efficient and seemed to actually care about their jobs, food and beverage options were plentiful, and the terminal was easy to navigate. The security process was also extremely efficient and well-staffed. The only negative thing I have to say about this airport is that the seating areas at the gates could have been cleaner, as chairs had dirt and particles of who knows what all over and in between them. However, not all of the seating was like this, and it didn't bother me as there were many cafes and bars to hang out in. Overall one of the better airports I have been through, and I have been through countless. Great job STL!",yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 5, 'Terminal Cleanliness': 2, 'Terminal Seating': 4, 'Terminal Signs': 5, 'Food Beverages': 4, 'Airport Shopping': 4, 'Wifi Connectivity': 4, 'Airport Staff': 5, 'Recommended': 'yes'}"
2022-12-24,1,10,"""couldn’t be bothered to do his job""",Deanna Woodroffe,"✅ Trip Verified |  I have never been so angry. Because the security guard at the terminal two arrivals area couldn’t be bothered to do his job and manage traffic, people were parking and staying in spots long before their family arrived. This led to such a long line behind them that it took over an hour for my daughter to get through to pick me up. There was plenty of space at pick-up, but nobody could get through the single file line because of the idiots parking rather than driving around again. Had the guard just done his job it would have been fine.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'December 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Signs': 4, 'Food Beverages': 0, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-12-29,4,10,"""I’ve defiantly seen better""",M Shaw,"✅ Trip Verified | The C gates shops/restaurants offered very little to no vegan food options. I always eat a fruit or veggie tray when I fly but this was not available here. The bathrooms and gate area floors were dirty, anywhere that sold food had a very long line because multiple shops/stalls were closed. Headphones I was looking to purchase were marked for $149 here when on Amazon they are selling for $89. Not my worst airport experience but I’ve defiantly seen better.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'December 2021', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 2, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 2, 'Airport Shopping': 2, 'Wifi Connectivity': 1, 'Recommended': 'no'}"
