datePublished,ratingValue,bestRating,header,author,reviewBody,recommended,stats
2024-07-21,1,10,"""incredibly rude at TSA""",Gillian Crippen,"Not Verified | They were incredibly rude at TSA by the Southwest gate. They wouldn’t let me on to pick up my sons even though I had a gate pass. They said the machine couldn’t recognize my ID, despite me flying all the time. My ID and appearance match up. Finally a supervisor came over, after 20 minutes, looked at me, and said ok. The gate guy yelled to not get depressed over missing picking up my sons",yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'July 2024', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 2, 'Terminal Signs': 5, 'Food Beverages': 0, 'Recommended': 'yes'}"
2024-06-01,6,10,"""rude check in staff""",Val Rose,"✅ Trip Verified |  The customer service at this airport is the worst I have ever experienced. The staff just seem to shout instructions which are very unclear. I don’t think I have ever come across such a rude check in staff as the lady that was checking in the BA flight to London on 31st May at F gate. We were business class and we had our passports and e tickets. She shouted at us to leave the queue as we had the wrong tickets ( or that is what she thought ) we were confused as had used them earlier, she made us feel awful and when we said we had both e tickets and paper she said we had to use paper, with that she snatched them out of our hands, rolled her eyes and huffed, she then passed them on to a colleagues whilst we stood there waiting for one of them to give back both our tickets and passports. There had been no communication or advise when we checked our luggage in that you had to have a paper boarding pass. In this day and age it seems very out of date. I felt like I was being told off, awful experience. Collecting and returning car hire was good although a pain that you have to get two separate trains but pretty quick Also if you like a wander around shops this is not the airport for you.",,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'May 2024', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 4, 'Terminal Seating': 3, 'Terminal Signs': 4, 'Food Beverages': 2, 'Airport Shopping': 1, 'Wifi Connectivity': 4, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-08-09,1,10,"""Absolutely do not recommend""",L Anderson,Not Verified | The customer service was absolutely terrible during security. They yelled at everyone going through and we’re not giving clean instructions and then proceeded to get mad if you got confused. I am an anxious flier and this made it so much worse. The rudeness ruined my whole experience. Absolutely do not recommend.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 2, 'Terminal Seating': 3, 'Terminal Signs': 3, 'Food Beverages': 3, 'Airport Shopping': 2, 'Wifi Connectivity': 3, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-07-01,1,10,"""Worst airport for customer service""",Dennis Carey,Not Verified |  Worst airport for customer service. Automated boarding pass scanners don’t scan right and when you have an issue you can’t find an employee in sight and when you find one they do not care one bit. Don’t ask for a manager because they will start saying that you the customer is being disrespectful.,,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'June 2023', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Signs': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2023-05-19,3,10,"""Immigration hall is far too small""",J Penner,"Not Verified |  Immigration hall is far too small and the number of agents processing arriving passengers was far too few. There were only two agents processing arrivals (no kiosks available) yet about a dozen standing around with their thumbs hooked in their armored vests doing nothing but chatting with each other. Fortunately almost all the passengers on the flight I arrived on were American citizens and it seemed somewhat resigned to being treated with disdain by the immigration and customs agents. It's a pity if first time arrivals from a foreign country experience a ""welcome"" as such.",yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'June 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 4, 'Terminal Seating': 4, 'Terminal Signs': 4, 'Food Beverages': 3, 'Airport Shopping': 2, 'Wifi Connectivity': 4, 'Airport Staff': 1, 'Recommended': 'yes'}"
2023-04-20,3,10,"""disappointed in the design""",Robert Strzelecki,"Not Verified |  Nice airport. However, poor signage for pickup by Lyft or Uber. Baggage clam then have to go back upstairs to get picked up. Very poor design. A lot more walking for disabled. Any very confusing for someone not accustom to the area. Very disappointed in the design.",,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'April 2023', 'Type Of Traveller': 'Couple Leisure', 'Queuing Times': 2, 'Terminal Cleanliness': 3, 'Terminal Seating': 2, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 3, 'Airport Staff': 4, 'Recommended': 'no'}"
2023-04-18,10,10,"""going above and beyond""",C Martines,"✅ Trip Verified |  Tampa International Airport is huge and very confusing that I ended up going to the wrong direction upon exiting. I ended up in the sky center. I asked one of the people who I assume work there because he has an ID and he happily helped me and walked with me back to where I supposed to go. He worked as a chef in PF changs yet, he helped me. He was waiting for his ride after a long busy day at work, yet he got up and assisted me. Thank you Sir for going above and beyond. There really is hope in humanity.",yes,"{'Experience At Airport': 'Arrival Only', 'Date Visit': 'April 2023', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 5, 'Terminal Signs': 2, 'Food Beverages': 0, 'Airport Staff': 5, 'Recommended': 'yes'}"
2022-07-12,9,10,"""the cleanest airport""",Rose Thomas,Not Verified | TPA is the cleanest airport I have been in compared to ATL and BOS. This time I lost my ID and was frantic. The TA were so nice and said that it happens more than you think. There was a slight delay on Jet Blue but they made it up in the air. I prefer Jet Blue cuz I have never had a problem. Only once flying into Newark but it wasn't the airlines fault. Our flight was diverted because their was an explosion at Newark so all flights were diverted to LGA and JFK. Luckily I wound up in PA somewhere and they had to get us a hotel. Missed the wedding shower cuz then pilots were on overtime. Big mess. Finally I got to Newark and rented a car. Was glad to get back to Tampa.,yes,"{'Experience At Airport': 'Arrival and Departure', 'Date Visit': 'January 2022', 'Type Of Traveller': 'Solo Leisure', 'Queuing Times': 3, 'Terminal Cleanliness': 5, 'Terminal Seating': 5, 'Terminal Signs': 5, 'Food Beverages': 5, 'Airport Shopping': 5, 'Wifi Connectivity': 5, 'Airport Staff': 5, 'Recommended': 'yes'}"
2022-06-25,1,10,"""Airport staff offered no assistance""",Lena Hancock,"Not Verified |  Airport staff offered no assistance with flight cancellations or my wheel chair due to a significant injury to my foot. Personnel stood by while party struggled managing luggage, a 3 year old and my disability.",,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'June 2022', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 2, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
2021-08-19,1,10,"""Incredibly rude TSA employees""",Roseann Santella ,Not Verified |  Incredibly rude TSA employees throughout the entire check-in process. Going through security is the absolute worst. Every employee was rude. TIA service is terrible all around anymore. They used to be very polite.,,"{'Experience At Airport': 'Departure Only', 'Date Visit': 'August 2021', 'Type Of Traveller': 'Family Leisure', 'Queuing Times': 1, 'Terminal Cleanliness': 1, 'Terminal Seating': 1, 'Terminal Signs': 1, 'Food Beverages': 1, 'Airport Shopping': 1, 'Wifi Connectivity': 1, 'Airport Staff': 1, 'Recommended': 'no'}"
