datePublished,ratingValue,travellerType,seatType,route,seatComfort,foodBeverage,cabinService,inflightEntertainment,wifiConnectivity,groundService,valueForMoney,commentHeader,tripVerified,reviewContent,sentiment
2024-08-26,0.3,Couple Leisure,Economy Class,Cancun to Edmonton via Seattle,1.0,2.0,4.0,4.0,4.0,1.0,2,luggage was lost/delayed,False,"  The service on the flights is great. Free movies and texting. Pay for full wifi. The flight crew we're very friendly. However, our luggage was lost/delayed during our 11.25 hour overnight layover in Seattle. The Seattle-Tacoma Airport had issues with their sorting systems, but with so much time between flights and it being an overnight layover, the lost/delayed luggage seems rather unacceptable. Compensation was not offered upon arrival at our final destination until I asked about it. The airline sent an email telling us about the issues at the Seattle airport, 6 hours after we had already checked our bags and were enroute to Seattle. Extremely disappointed in the handling of our belongings which included gifts purchased while on vacation and medications.",-1
2024-08-19,0.1,Couple Leisure,Economy Class,Orlando to Seattle,,,,,,1.0,1,The worst experience,True,"   The worst experience I’ve ever had with an airline. We were set to fly out at 9am and we got notified around 4am our flight was canceled, not delayed, fully canceled. We immediately called customer support and it was a 4 hour wait. We got a call back around 11am and they said there are no other flights going out and they were not sure when another one would go out to Seattle. We tried later in the evening to check if any flights were available and there were a few but all $500+ per ticket (triple what we paid) and had a full day layover. We would waste half our trip trying to just catch a flight out. We had no other option but to cancel the entire trip and try to get refunds. Within their contract they are responsible to put us on the next outgoing flight and they failed to do so. Support was not any help and often rude about the situation. We’re still waiting on our refund from the airline and still trying to get a refund from our hotel we booked too.",-1
2024-08-19,0.1,Solo Leisure,Economy Class,San Diego to New York,1.0,,1.0,1.0,4.0,1.0,1,“crews are unhelpful”,True," I had a bad experience on the airplane. The seat is uncomfortable it can’t be adjusted, lavatory is dirty and stinky. The crews are unhelpful, comparing to other airlines, this airline is not worth paying at all.",-1
2024-08-02,0.1,Couple Leisure,Economy Class,San Francisco to Cabo,1.0,1.0,1.0,1.0,1.0,1.0,1,Worst experience ever,False,"   Worst experience ever accompanied by the highest negligence. Tried to take a weekend vacation and it was absolutely destroyed by this company. They put the wrong gate and destination name was reversed to what was on the board. I was sent to the other side of the airport to a gate they didn’t use that took a half hour dragging luggage, then running back with it after it was determined that they printed the wrong gate on the ticket. Name on the ticket for the destination was San Lucas Cabo while on the board was Los Cabo as you can imagine not under C nor S. Missed the flight and their customer service rep couldn’t help herself but to continue raising her voice although I reminded numerous times to lower it and keep it leveled with mine, after all she wasn’t the one that missed her flight and had to run around the airport. Charged me to rebook the flight the next day, wouldn’t cover or compensate hotel nor car rides for being stuck in a different city. Then found out that they had misspelled my name on the rebooked ticket that took over an hour on the phone to fix. But the fun didn’t stop there, while I had paid for premium that included checking bags, they didn’t have the same level the next day but while not willing to refund the difference even, charged a me for checking in the bag. Still not done with their shenanigans, the next day, after we waited in line to go through security, once we made it there, the flight they had assigned to my wife’s passport was different than the one showing on the app so couldn’t go through, had to get out of the line and go wait on the checking bag line to get it fixed then go back to the security line to go through. Proof of the ticket and events were provided to their customer service and a week after supposed review, they admitted the fault and their offer was $250 credit towards the next flight with them, my tickets were over $2,000 for both of us. You couldn’t pay me enough to fly with this company. If this is the last choice to fly, I’m staying home.",-1
2024-07-21,0.1,Family Leisure,Economy Class,San Diego to Seattle,3.0,,1.0,,,3.0,1,never fly this airline again,False,   I had a horrible experience with this airline. The seats were pretty standard and the legroom was very tight. The were not that friendly either. I would never fly this airline again,-1
2024-07-08,0.1,Solo Leisure,Economy Class,Minneapolis to Seattle,3.0,,4.0,,,1.0,1,TRIPLE charged me for my suitcase,True," One of the airline employees at check-in was rude and TRIPLE charged me for my suitcase. She made 2 of the charges under bogus flight codes so Alaska Airlines employees “can’t find” the charges to cancel them. They blame my bank and take no responsibility for their own incompetent employees. So basically, I was overcharged $200 (billed $300 for 1 bag which should’ve been $100). If you must fly Alaska, be prepared for huge unnecessary bills and rude employees.",-1
2024-07-01,0.4,Couple Leisure,Economy Class,Nashville to Portland,3.0,2.0,2.0,2.0,2.0,2.0,3,"used to be much better"" ",False,"   My wife just returned from a conference in Nashville using Alaska Airlines #1269. Alaska used to be a much better airline as far as service, cleanliness and simple amenities. Her flight had a filthy bathroom (sometmes that happens) and one that had not been cleaned well for a LONG time. When you enter the bathroom and there is mold around the switches and sliders and mold on some of the contact surfaces you know that this plane had not a had a decent cleaning for many days or months. We used to prefer Alaska but lately we look for JetBlue, Delta and SW itineraries first.",-1
2024-06-24,0.1,Couple Leisure,First Class,Portland to Los Angeles,1.0,1.0,1.0,1.0,1.0,1.0,1,avoid this airline at all costs,True,"  We experienced 2 delays with the total just under 3 hours. We weren’t notified a single time. Denied lounge access as they had changed their policy after we had already booked our first class tickets with the intention of using the lounge. No meal vouchers offered during prolonged delay. Once on board our seats were dirty and not sanitised according to covid standards. Seats were covered in crumbs from past passenger, menus were torn and covered in food. Staff could not confirm if our special order meals were dairy free even though we had specially selected them for allergy reason. There was no access to entertainment and this could not be troubleshot. Our bags were not placed as priority so we were even later for the commitment we were attending. Customer service were very unhelpful and unsympathetic. They offered us a future discount code but we are not from America so it is of no use to us. We would not use this. I offered to be reimbursed with partnership flight miles to which they declined. Do your future self a favour and avoid this airline at all costs.",-1
2024-06-11,0.3,Solo Leisure,Economy Class,Anchorage to Sacramento,5.0,1.0,3.0,,,1.0,1,“customer service refused to hear me out”,True," As a handicapped mobility challenged paraplegic veteran I most recently was charged $150 extra for a luggage charge on one bag that carried my prosthetic mechanical leg braces, and catheters and misc. Other medical equipment I require. I was told there is no waiver for medical items and the customer service refused to hear me out. I was willing to open the bag and show them but to no avail and I was charged. I'm sick to my stomach thinking about it as I'm prepared to finish this trip on Alaska Airlines.",-1
2024-06-07,0.1,Solo Leisure,Economy Class,Los Angeles to Washington,1.0,,1.0,,,1.0,1,Do not trust Alaska Airlines,False,"   I traveled with Alaska Airlines on 06/27/2023 from Los Angeles to Washington. I had a terrible in flight experience as well as afterwards when trying to relay my concerns with the airline about my experience. In flight, they did not honor my first class ticket because first class was full. They also destroyed my luggage. I tried to negotiate with them for the damages for almost a year. Eventually I had to take them to court and I got judgement against them for the damages. Do not trust Alaska Airlines.",-1
2024-06-03,0.1,Solo Leisure,Economy Class,Dallas Ft Worth to Seattle,,,,,,1.0,2,customer service was horrible,False,   Worst airline ever!? They even have Spirit beat by a long shot. This was my first time flying them. Never again! Someone else booked my ticket and accidentally booked 6am instead of 9am. I have to work the night before and don't get off till 7am. Tried to call the airline to get a simple time change and was willing to pay any difference and they absolutely refused. The customer service was horrible. No people skills. I don't know why anyone would give this airline their money. I understand no refunds,-1
2024-06-01,0.1,Couple Leisure,Economy Class,San Diego to Fresno,1.0,,1.0,,,1.0,1,terrible experience every time,True,"  I have a terrible experience every time I use Alaska. Last summer I flew home from Vegas and for whatever reason, the flight was delayed after we all boarded. So we sat on the tarmac for a freaking hour in the Vegas heat. Then I got my luggage from baggage claim and it was damaged. A big hole in the side of my Samsonite luggage. When I try to report it, they wasn’t a receipt for what I paid. What person has a two year old receipt? Are you kidding me. Got delayed three times on my way to San Diego, and  I’m delayed again trying to get home. I am so over this airline. I only use them because I get free miles, but I’d much rather pay for something reliable. Never again",-1
