datePublished,ratingValue,travellerType,seatType,route,seatComfort,foodBeverage,cabinService,inflightEntertainment,wifiConnectivity,groundService,valueForMoney,commentHeader,tripVerified,reviewContent,sentiment
2024-09-17,0.1,Business,Economy Class,Puerto Rico to Ft. Laughterdale via Las Vegas,1.0,3.0,1.0,3.0,2.0,1.0,1,terrible customer service team,False,"  Jetblue is a terrible airline. I am disabled, but the flight attendants do not care at all. I had a terrible experience where I actually fell and hit my head while trying to put my shoes on after going through security. In the process of doing this, I had torn my shorts. I had no idea until one of my children (I had both with me) pointed it out as I was boarding. I entered the plane and asked the first flight attendant that I was disabled and my pants were torn so bad that there was everything showing. He told me to go to the back of the plane and I could change in the restroom. I headed toward the back, as I was instructed (the plane was boarding and filling up) but I was stopped by a very nasty female flight attendant. She told me that I couldn't use the back bathroom. I told her what had happened, but she laughed at me and told me ""you're going to have to the the one at the front of the plane. Good Luck!"" I started crying and begged her not to make me walk with my backside exposed through the plane, but she laughed and ignored me. I went up front crying, and everyone was pointing and staring at me. Later, when serving soda, the same attendant came up to me and told me that I was rude because I was crying. Then, I told her that I would file a complaint and she laughed. She told me good luck, again. The thing is, she wasn't wrong. Jetblue has a terrible customer service team. No one would help me at all. I was told to take it to social media by the ""customer service rep"" and so I did. Their response was whoops, sorry. 'They won't talk to you directly, they won't do anything to make it better, and trust them (they forwarded my concerns). Then they quit responding all together.",-1
2024-09-07,1.0,Solo Leisure,Economy Class,New York to Chicago,5.0,3.0,5.0,5.0,5.0,5.0,5,amazing legroom,True," I checked in the day before on the JetBlue app, no hassle whatsoever. Arrived at JFK two hours prior to my flight, it was very crowded and took about 40 minutes to get through security. Boarding was done very fast and flew on brand new plane N3221J which had been delivered two weeks ago to the airline. Everything was sleek and new, tons of content to choose from on the inflight entertainment, free wifi, free snacks and drinks and amazing legroom on this two hour flight. Crew was professional but not so friendly aside from that it was a good experience on this short two hour hop to the Windy City.",1
2024-08-30,0.1,Family Leisure,Premium Economy,Cancun to Newark,1.0,,1.0,,1.0,1.0,1,"Avoid at all costs"" ",True,"   Worst airline ever. Avoid at all costs. The online managing of the trip doesn't work. Spent 45 minuted waiting to ""chat"" with agent without resolution. Can't check in, had to do it at the airport. Got overcharged to check in a bag because of that. Inflight Wi fi does not work.",-1
2024-08-30,1.0,Couple Leisure,Economy Class,,4.0,,5.0,,,5.0,5,JetBlue experience was terrific,False,"  We flew with JetBlue and Turkish Airlines back in early August. This trip was super important to my fiance and me because it was his first time seeing his family in three years. Unfortunately, our first connecting flight to Boston was delayed, and we would not make our next flight, ruining the whole trip. This trip could've taken a horrible turn and not happened at all. However, Alex, a JetBlue customer service agent at the airport, came to our rescue! She was super knowledgeable, understanding, and caring about our entire trip. Alex was able to help us through this stressful situation and change our flight schedule so that we would be able to make it to our final destination. During the process, she gave us every option we could choose, along with what had happened the past couple of days so we could make an informed decision. Alex also answered all 100 questions my fiance had about changes being made and confirmed time and time again that we would have our luggage and tickets for all flights. After working with Alex, our international trip was as smooth as an international trip can be! Our JetBlue experience was terrific, thanks to Alex! Sadly, JetBlue will no longer be at Charlotte Airport, or we would be repeat customers!",1
2024-08-27,0.1,Family Leisure,Premium Economy,Fort Lauderdale to San Juan,1.0,1.0,2.0,1.0,1.0,1.0,1,“they said they couldn't help us”,False," We got delayed more than 4.5 hours, they said that we would get a credit at the airport and just to call it in before 60 days, I just did today and they said they couldn't help us, they're liars, they were short on personnel that's not our problem.",-1
2024-08-26,0.1,Family Leisure,Economy Class,Fort Lauderdale to LaGuardia,4.0,4.0,3.0,4.0,4.0,1.0,4,entire experience was traumatic,True,"   I am writing to formally express my deep dissatisfaction with the treatment my family and I received during our recent travel experience with JetBlue. We were unjustifiably removed from the boarding line by a JetBlue supervisor, which caused significant distress and inconvenience. Upon arriving at the airport, we went through security and proceeded to the gate. Unfortunately, there was a gate change and ground delays, and we were not notified of this gate change via the JetBlue app or by text message. Despite checking in (before TSA ) and receiving our boarding passes, we were informed that the gate would be notified of our approach. However, upon arriving at the gate, which was still open with boarding in progress, the on barding crew member chose to yell at me and greeted me with ""its closed"". I then proceeded to tell them it's still open- the sign said boarding - so the supervisor allowed us into the line they even scanned our boarding pass. Because we were visibly upset at the way they were treating us (lacked emotional awareness, empathy, and intelligence) Something about my demeanor didn't rub the supervisor the right way and he kicked my husband, infant and I out of the line. He didn't care the gate had changed and we weren't notified, he didn't care we had a child and it was already an evening flight, he didn't care I was mosaic, he didn't care I was on time. It was his time to use his supervisor badge and assert his ""authority"". This was a deliberate act towards my family. The staff's attitude was both rude and lacking in compassion, further exacerbating an already stressful situation. We were ultimately rerouted to another airport at a later time, which caused additional inconvenience. Which by the way - he did not help us set it up. He actually looked at us in the eyes and said ""I aint helping you. Figure it out."" This entire experience was traumatic and reflects poorly on JetBlue’s brand, which is known for prioritizing customer service and care.",-1
2024-08-20,0.3,Family Leisure,Economy Class,Newark to Tampa,1.0,1.0,1.0,1.0,1.0,1.0,1,"my case was denied"" ",False,"  I purchased four tickets for my family to Newark and in my way back, flight was delayed three times, and at 11:00 pm, flight was cancelled. I came from a cruise, have no family member in NJ, and sleep in a hotel fof two days and I ended up purchase another ticket with allegiant that cost me $1335.07 , car rental $256.12 and Uber $216.00, and parking for my car at Tampa airport where I left my car $200.00. I have a master card with JetBlue which came an insurance, but my case was denied. See below email from JetBlue I just received. Hello Herold, We sincerely apologize for the disruption you experienced during your JetBlue flight 873 on 2024-08-06. We appreciate the opportunity to address your reimbursement request. Upon careful review, we regret to inform you that JetBlue flight 873 does not meet the criteria for reimbursement as this disruption was uncontrollable. The flight was canceled due to crew legality as a result of inclement weather throughout the day. We apologize for any inconvenience this may cause. We think it is important that you know exactly what you can expect from us if you ever experience a delay or cancellation. Our Contract of Carriage explains that in the event of a flight delay or cancellation, JetBlue is not liable for special, incidental, or consequential costs, including but not limited to ground transportation, fuel, wages, lodging, and food expenses. We value your choice to fly with JetBlue and want to assure you that we are committed to delivering exceptional experiences. We appreciate your understanding and look forward to providing you with a remarkable travel experience on your next JetBlue flight.",-1
2024-08-17,0.1,Business,Economy Class,Atlanta to New York JFK,2.0,2.0,2.0,2.0,2.0,2.0,3,the worst airline ever,True,"   Absolutely the worst airline ever, as a frequent traveller using the best and also the budget friendly airlines I have to rank Jetblue under even the budget. Sure you can tack on for everything- something Jetblue has done just like the budget airlines.  The attitude of JetBlue both on board and CS reflects a very bad atmosphere going on there. CS I have to rank an absolute 0. Not the first time I have had issues with them- but no more - I have given up my flight credit and ff miles and will never fly Jetblue again. The circumstances surrounding my delay/emergency landing/re-book were absolutely hideous! Jetblue can blame others for the issue but they are the ones to blame in the way they handled it.",-1
2024-08-15,0.1,Family Leisure,Economy Class,New York to Turks and Caicos,1.0,1.0,1.0,1.0,1.0,1.0,1,poor treatment and unhelpful staff,True," I recently had an incredibly disappointing experience with JetBlue Airways that I feel compelled to share. Despite arriving on time, my pregnant wife and I, along with our two small children, were not allowed to board our flight. This ordeal was not only highly stressful but also completely unacceptable. The gate agents were unhelpful and showed a complete lack of empathy towards our situation. Traveling with a pregnant woman and two babies is challenging enough without having to deal with such unnecessary obstacles. JetBlue's handling of this situation was appalling. We made it to the gate on time, yet we were turned away with no reasonable explanation. This level of customer service is simply unacceptable for an airline that claims to value its passengers. I expected much better from JetBlue and will think twice before booking with them again. If you're considering flying with JetBlue, be prepared for the possibility of poor treatment and unhelpful staff.",-1
2024-08-14,0.2,Solo Leisure,Business Class,Cancun to Ft Lauderdale,5.0,5.0,4.0,5.0,5.0,3.0,3,"Worst travel experience"" ",True,"   Worst travel experience, my flight was changed 10 times since this morning. This is not a serious airline. I called the customer service and spoke with Karla and she said that she didn't have a reason why my flight was changes many times in the past few hours",-1
