datePublished,ratingValue,travellerType,seatType,route,seatComfort,foodBeverage,cabinService,inflightEntertainment,wifiConnectivity,groundService,valueForMoney,commentHeader,tripVerified,reviewContent,sentiment
2024-08-24,0.1,Couple Leisure,Economy Class,Chicago to Knoxville,3.0,,4.0,,,1.0,3,I am fully disappointed,False, There was a carry on luggage bag size issue. I really didn't know that the size is not correct (which I'm still not sure) because when I checked it's dimensions on the scale it looks ok but the attendent told me that the size is bigger just by 1-2 inches. However I got charged twice for one luggage and the WORST CUSTOMER SERVICE failed to refund me. They were just telling their terms and conditions bla bla. I am fully disappointed.,-1
2024-08-13,0.3,Family Leisure,Economy Class,Newburgh to Punta Gorda,,,,,,3.0,3,"flight was canceled"" ",False,"   After delaying our 6:20 flight three times, we got to the airport and received a text that the flight was canceled and rescheduled for 2:30 the following afternoon. They offered us $175 back plus a $100 flight voucher. Does not cover the hundreds of dollars lost for a car rental and Airbnb for the night plus missing an entire day of our vacation.",-1
2024-08-12,1.0,Solo Leisure,Economy Class,Syracuse to St. Pete Clearwater,4.0,5.0,5.0,4.0,4.0,5.0,5,helped me when I got sick,False,"  Linda from Allegiant flight 2598 on August 8th, 2024 at 7:11 pm, was great. She helped me when I got sick on the way to Florida from Syracuse. I was so sick and she gave me a trash bag and took care of it. And no judgement.",1
2024-08-06,0.1,Family Leisure,Economy Class,Austin to Washington,,,,,,1.0,1,disappointing and outrageous,False,"  On August 4, 2024, I was scheduled to return home to Virginia from Austin, Texas, on Allegiant Air flight 1516. Since it was a 2:34 PM flight, I arrived at the airport with my two daughters and my 78-year-old mother two hours early to check in and wait. Starting around 1:40 PM, boarding was repeatedly delayed due to various issues, and eventually, we were informed that the plane needed to fly to Houston for refueling. (Delays due to refueling are a very frequent occurrence with this airline!) Since my children had their school orientation the next day, it was crucial for us to get home. Despite several delay announcements, we waited at the airport for over 7 hours before being told that the flight was canceled due to weather. The weather in Austin at the time of departure was clear, and there were no issues at the destination. We were told it was due to Tropical Storm Debbie, but I learned that if the flight had departed on time, it would have been unaffected. The airline’s response was disappointing and outrageous. The ground staff shirked responsibility, directing us to call the service center to reschedule or request a refund, offering only a flight on Thursday or a refund. After 7 hours of waiting and growing frustration, I protested but was threatened with being removed from the airport by security, seemingly because of my Asian descent. We were eventually forced to leave the airport and had to contact relatives in Austin to pick us up. Desperate to get home, I persisted in contacting the service center. After three lengthy calls and an hour-and-a-half wait, I finally spoke with a representative who offered the same irresponsible options I had faced at the airport: “The earliest flight is on Sunday, or we can offer a full refund.” Are you saying the next available flight is on Sunday, August 11th? What about the additional lodging and travel expenses? Am I expected to cancel a flight I booked months in advance at a low price and find a last-minute, expensive one-way ticket? This is unreasonable. I demanded the quickest option to get close to home and refused to hang up. As a result, I was offered a flight to Pittsburgh at 6:30 AM the next day. I accepted and rented a car to drive approximately 190 miles home. Due to the airline’s refusal to take responsibility, I endured two days of delays and confusion at the airport and incurred additional costs, including $500 for the rental car.",-1
2024-08-05,0.1,Solo Leisure,Economy Class,Minot to Florida,,,,,,,1,extremely disappointing experience,False,"  I had an extremely disappointing experience with Allegiant Air that felt nothing short of a scam. My flight 1233 from Minot International (MOT) to Orlando Sanford International (SFB), scheduled to depart on Monday, 05 August 2024 at 5:43 PM, was delayed to 12:30 PM on Tuesday, 06 August 2024. This last-minute rescheduling caused me significant financial loss and inconvenience. As a self-employed professional, I rely on timely travel to manage my business commitments. The delay resulted in a full day’s lost earnings and additional expenses for accommodation, meals, and transportation. Despite their claims of prioritizing passenger safety, Allegiant Air showed no regard for the financial and personal impact their delays cause. To make matters worse, when I reached out to Allegiant for compensation, their response was dismissive and inadequate. This level of customer neglect and mismanagement is unacceptable, and I feel cheated by their false promises.  I will certainly be taking my business elsewhere and advise others to do the same.",-1
2024-06-29,0.1,Family Leisure,Economy Class,Lexington to St. Petersburg,3.0,,2.0,,,1.0,2,"Delayed 3 hours"" ",True,"   Delayed 3 hours to get another plane. Overbooked flight while they begged for passengers to voluntarily reschedule. Landed at 7:54 pm should have been 4:47pm. After we landed it was lightning so when we were cleared there was no one to taxi in plane  By the time they got someone it was lightening again  So now currently still sitting here for an hour and a half on the runway. They said if we sit for 30 more minutes we get complimentary water and pretzels. I don’t want, I want off this plane.",-1
2024-06-23,0.2,Couple Leisure,Economy Class,Fort Wayne to Sarasota,1.0,3.0,3.0,,,1.0,1,make their phone hold times less?,False,"   Seriously, with the technical advances we have, they can't figure out how to make their phone hold times less? They can't figure out the logistics of seat assignments for different planes? They can't make refunds automatic when they have to change seats for their customers. I paid for front row seats months in advance and they can't refund me without a 45 minute hold time when they took those seats away? It's worth more money to fly another airline than to deal with their service.",-1
2024-06-18,0.3,Couple Leisure,Economy Class,Myrtle Beach to Rickenbacker,1.0,,1.0,,,1.0,2,overall experience was satisfactory,True,"  During our recent flight from Myrtle Beach to Rickenbacker, the overall experience was satisfactory. The flight proceeded smoothly, with a seamless takeoff, landing, and minimal turbulence. Onboard, we had a team of four flight attendants, three of whom carried out their duties effectively. However, one of the attendants exhibited concerning behavior. She displayed signs that suggested she may have been under the influence of some substance, as her actions appeared erratic and unusual. Additionally, we overheard her speaking in a sharp tone, expressing frustration regarding passengers fastening their seat belts and storing their luggage. Throughout the duration of the flight, she maintained a displeased expression, causing several passengers to comment on her apparent state.",-1
2024-06-17,0.1,Couple Leisure,Economy Class,Grand Rapids to Orlando,1.0,,2.0,,,1.0,1,just lost our future business,True,"  After a 5 hour delay and it may end up being longer, you just lost our future business. This has happened too many times. So many children here waiting to go to Disney and not one restaurant is open for them. What a rude, inconsiderate way to run an airline. Several here just experienced this same delay last Thursday. We have to call off work tomorrow because of this. You have no pilot even. Make this right to your customers.",-1
2024-06-16,0.3,Solo Leisure,Economy Class,Fort Wayne to Phoenix/Mesa,1.0,,3.0,,,3.0,1,"return flight was was canceled"" ",False,"   I fly into Fort Wayne, Indiana fine and on time. Apart from cramped seats the flight was acceptable. The departture flight was good. The return flight was was canceled less than 24 hours before departure. I needed to return by Monday and this was Sunday. Allegiant Air gave me a refund but not enough to pay for a last-minute flight on another airline. I was not happy. I was shocked as this never happened before.",-1
