datePublished,ratingValue,travellerType,seatType,route,seatComfort,foodBeverage,cabinService,inflightEntertainment,wifiConnectivity,groundService,valueForMoney,commentHeader,tripVerified,reviewContent,sentiment
2024-09-17,1.0,Solo Leisure,First Class,New York JFK to Honolulu,5.0,5.0,5.0,3.0,5.0,4.0,4,Truly an excellent flight,True,"   A near perfect flight. Very comfortable despite 2-2-2 seating. As a solo traveler I choose a middle aisle seat which is unfettered access and no one climbing over. The privacy divider is small but adequate. A full meal upon takeoff with two options plus a smaller one before landing also with options. Both meals were quite tasty and ample. The flight attendants were excellent combining true aloha with efficiency. The IPad entertainment system is clunky and with limited options but Hawaiian now has free Wi-Fi on most of their long haul aircraft so it’s not a big deal. Reception was excellent the entire flight. A short delay, due to a medical incident was made up for in the air. Truly an excellent flight.",1
2024-08-31,0.9,Family Leisure,First Class,Maui to San Francisco,5.0,4.0,5.0,4.0,5.0,4.0,5,"Wonderful comfortable flight"" ",True,   Wonderful comfortable flight with excellent gracious service provided by two attendants instead of the usual one on Delta American or United. Decent food and drinks. Good seat for 4%1/2 hrs. Free WiFi!,1
2024-06-14,1.0,Solo Leisure,First Class,Kona to Honolulu,5.0,4.0,5.0,,,5.0,4,rarely been disappointed,False,"   I've flown on Hawaiian dozens of times, both inter-island and long-haul, and have rarely been disappointed. For a KOA-HNL round trip everything was just fine as usual: Punctual, friendly service, inflight refreshments fine considering it's a 40 minute flight, and no hassles. I wish they weren't quite so pricey, but Hawaiian has been habitually very reliable.",1
2024-06-06,0.1,Solo Leisure,Economy Class,Auckland to Los Angeles via Honolulu,,,,,,1.0,1,Horrible Experience,True,"  Horrible Experience. They left me stranded in anther country. Had a round trip ticket for Auckland NZ. My flight home was scheduled on April 25th. I had confirmation #, flight details etc and my flight home disappeared! It simply did not exist when I arrived to the airport! They stopped flying to New Zealand while I was there! I did not receive any notification. I spent over $850 to get home on time for my father's funeral. They only offered me about half that amount. I have been waiting patiently for over 5 weeks for them to make this right before I decided to give them a bad review.",-1
2024-05-29,0.1,Family Leisure,Economy Class,Los Angeles to Honolulu,,,,,,,1,"They lost a client"" ",False,"   Be careful with their bait and switch credit card offers. Was given an in-flight promo code to receive 70,000 points after spending only one $1 within first 90 days. Applied for the card on their website, never saw a place to add the promo. Card was approved with a requirement to spend $2000 during the first 90 days. Immediately called the Barclays Bank provider and they said they could not take the promo after the card was approved. Poor customer service. So, I closed the card. After investigating around, here's what I found: If you apply from Hawaiian Airlines website https://www.hawaiianairlines.com you will NOT see a promo box. You have to go to https://www.myhawaiiancard.com to see a promo box before applying. It is the exact same application, but one does not provide a promo box. See the attached pictures. Deceitful credit card application design & careless customer service. They lost a client for life! And, their family, and their friends, and their influence group.",-1
2024-05-24,0.3,Solo Leisure,Economy Class,Hawaii to Sydney,1.0,1.0,5.0,1.0,1.0,2.0,2,seats were uncomfortable,False,"   Terrible airline, clearly cares about shareholders more than customers. The plane was outdated with old 10 year old entertainment systems that was slow clunky and lacked features. The seats were uncomfortable small and worn beyond acceptable levels for an airline that should be proud of it's service and reputation. Food was terrible, a sandwich for dinner? They cannot compete with even the most basic foreign airline. The staff were excellent and smiling and definitely the backbone of this airline professional and courteous, but I feel sorry for them serving up such poor products on a run down derelict old plane they should be proud employees. I'd avoid Hawaiian airlines and Alaska airlines, two of the worst quality flights I've ever experienced.",-1
2024-05-11,0.2,Family Leisure,Economy Class,Honolulu to Boston,2.0,1.0,1.0,1.0,1.0,2.0,1,“the worst service airline”,True,  Absolutely the worst service airline you can fly. Makes Spirit look like Emirates. No help when trying to change a flight other than “book it again and take it up with your insurance company” is what you’re told by the customer service manager. I will never fly this airline again simply due to the fact that you will get nowhere with the customer service team. Bought insurance to protect your flight and need to change a passengers name? Nope. You’ll have to eat the cost and book a totally new ticket and they will send the seat empty (Literally what the service manager told me was going to happen).,-1
2024-05-07,0.2,Family Leisure,Economy Class,Honolulu to Sydney Australia,3.0,1.0,1.0,3.0,3.0,3.0,2,“such an unprofessional flight crew”,False,"  I have never flown with such an unprofessional flight crew. Also lack of food for the 10 hour flight We had a very small meal the first hour at about 2 pm. I saw water being offered about three times in the afternoon which was good. No afternoon tea or snack, meaning tea or coffee or cold drinks and nothing to eat at all. When I asked about dinner, the male host seemed quite irritated that I expected dinner. He said it was going to be a snack. It was a sandwich that came around about an hour and a half before landing which was about 6:30 pm. The staff had no class, more likely they should’ve been back in Hawaii in the Hawaiian shirts serving in a beachside bar normally hosts annd hostesses are very professional but these were quite the opposite. I actually told the hostess this was the worst airline I had ever travelled on. My partner flew from Hawaii to Sydney on another airline and in a 10 1/2 hour flight so they had two proper meals and then a snack during the day, I feel this is a very honest review with no exaggeration.",-1
2024-04-03,0.2,Solo Leisure,Economy Class,Oalkland to Honolulu,1.0,1.0,2.0,1.0,1.0,5.0,1,We have no other options,False,"   I am very disappointed with all of the players in line to serve Hawaiian Islands and most importantly Hawaiian Airlines. I've lived in Hawaii since 2018 and the price and quality of the interisland travel not only has jump dramatically in the last several years (its not a longer distance, there are no improvements, the gas prices are stable,  but the service is bad, everything is in addition to an already 500% increased price. We have no other options but to fly from Oahu to Maui, Hawaii and Kauai, the only ferries left are between Maui and Lanai and Molokai. I used to be able to go see my family at least 2-4 times a year. Now I cannot afford it at all. Why are the Hawaiian airlines so greedy? Yes go ahead and charge international/intracontinental passengers whatever you want, but don't cut our wings when trying to keep our families and community connected. This is a huge problem! Hawaiian Airlines have not improved on the quality of customer service, or the comfort of their passengers, neither the availability of food or drinks, and finally flight times (flights availability), yet their prices jumped from $48-$55/ round trip with Mokulele who was an extremely reliable, fast and comfortable commuter between islands, to $250-300 for a 20 min fight? it is absolutely appalling and is extremely damaging for the interisland business and communities.  What is their problem acting like a discount airline, yet asking for TOP dollar. I believe Is because they can, no competition. It is ridiculous and we are stuck at their mercy. It is terrible for all of us locals..",-1
2024-03-17,0.1,Solo Leisure,First Class,New York to Honolulu,1.0,1.0,1.0,1.0,1.0,1.0,1,“Complete bait and switch”,True, Complete bait and switch. No pods. Open seats. No entertainment screen at seat. Worn out seat belt. Horrible. Demand 11 hour flight basically coach seat for first class no WiFi on board not even a tv screen. Complete ripoff my first and last time on this airline.,-1
2024-02-21,0.1,Family Leisure,First Class,San Diego to Honolulu,3.0,1.0,1.0,,1.0,1.0,1,“No help from anyone”,False," Horrific service. There was no sky cap, only one employee at the counter. We searched for first class check in, nothing. In horrible rain after leaving almost 4 hours early due to unforseen accidents and such they had nerve to say the cut off time for bags was 8:05 and as of now it just turned 8:07. I said what you have no employees where any other airline does are you serious. They wouldn't budge. We threw away a bag and my other friend was like no I can't throw all my stuff away. Horrible legacy to leave, rude employees I personally will never fly Hawaiian again in my life. No help from anyone just a trashy experience",-1
2024-02-18,0.1,Family Leisure,Economy Class,Oahu to Sacramento,3.0,2.0,3.0,3.0,2.0,1.0,1,"Didn't try to hold flight"" ",False,   The airline kiosk broke down. They only had 2 employees one of which decided to have breaks while the line was out the door. We were already checked in but just needed to tag bags and go. There were other people behind us in same situation. The line took an hour just to drop off bags. We got to desk with 55 minutes for departure and they told us no. Told us we had to fly standby the following day. Can't help us with getting a room. No rental.car. No comps. And she didnt show an ounce of concern or willingness to help. Staff refused to give us her name to contact company with a report. She said she would write up her own report and we didnt need her name. We finally got her name from a manager. There was only 1 manager on duty to help. We had to wait long time for manager. Didn't try to hold flight for several paying customers in same situation. We had 2 young children.  We had gotten the Hawaiian credit card for perks but now and canceling it.,-1
