datePublished,ratingValue,travellerType,seatType,route,seatComfort,foodBeverage,cabinService,inflightEntertainment,wifiConnectivity,groundService,valueForMoney,commentHeader,tripVerified,reviewContent,sentiment
2024-09-16,0.1,Solo Leisure,Economy Class,Fort Lauderdale to Columbus,1.0,,1.0,,,1.0,1.0,never fly with them again,False,"  Long story short, they refuse to make things right when they poorly manage their flights, passengers, and communicate for people who have connecting flights. I’ll never fly with them again. They’re going bankrupt for a reason, look at their stock falling over the past 5 years.",-1
2024-09-14,0.1,Solo Leisure,Economy Class,Fort Lauderdale to Nashville,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Don't fly Spirit,True,"   Don't fly Spirit. I paid more for my bag than my seat and they trashed my bag then refused to make it right my luggage was brand new before this flight and now it is seriously damaged but the loopholes in their 7 page contract says they are not responsible for their damage. Flight was terrible, seats are cramped. 5 dollars for a can of coke, and they changed my flights 6 times without my consent in a 3 month period of time.",-1
2024-09-04,0.1,Solo Leisure,Economy Class,Detroit to LaGuardia,,,,,,1.0,1.0,"never tolerate this again"" ",True,   Horrible experience this morning trying to get on the flight. I lined up and they scanned my ticket then the representative at the counter decided to pull me to the side because my little purse was in my hoodie’s front pocket. He said I was trying to trick them by sneaking sth that was not in my personal item bag. He made me step to the side and said that I can no longer get into that flight. When I demanded to learn about their policy on canceling people’s flight plans on a whim he said he didn’t like my attitude and wants to write me up to never fly with Spirit again. I had to buy a brand new ticket with Delta to fly to New York.  I will never tolerate this again.,-1
2024-09-04,0.2,Solo Leisure,Economy Class,Dallas to Boston,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"$90 for my personal item"" ",False,"   I traveled with Spirit airline before and never got into this issue before until yesterday. My personal item, my backpack which fits perfectly and the spirit in line display they have at the boarding gate. However, they still charge me $90 for my personal item. And threaten me that I'm going to miss my flight if I don't pay for the bag. So I ended up paying for my personal item that clearly informs in their website regarding their policy for personal item and it fits perfectly on the display they have but for some reason they still charge me. I strongly believe this is not right. Policy, false advertising and most importantly threatening me that I'm going to miss my flight. I had to pay for my bag. I have the picture of my personal item fitting perfectly.",-1
2024-09-03,0.3,Family Leisure,Economy Class,Fort Lauderdale to Detroit,3.0,2.0,5.0,1.0,1.0,2.0,2.0,Nothing is simple with them,False," I really wanted to like Spirit. It's a cheap option, and I am grateful for that. The flight attendants are nice, and the pricing is cheap, but the lack of a functioning website and customer service has taken a toll on me. We also get a delayed first flight and miss the connecting flight and have to stay in Florida every single time. The next flight out is always 2 days later. The website hardly works and you have to show up in person to get your boarding pass, which can ultimately make you miss your flight. The customer service people are so rude. They pass the buck every time they get a chance. It is getting really old. The only way to get a hold of anyone is with WhatsApp and most of the time the refer you to the customer service department at the airport. Nothing is simple with them.",-1
2024-08-31,0.1,Business,Economy Class,Florida to Columbus via Las Vegas,1.0,,1.0,,,1.0,1.0,"Horrible customer service"" ",True,"   Horrible customer service. Had a layover in Las Vegas flying from FL to OH…. Doesn’t make sense but whatever. They cancelled flight 2 nights in a row, then to remedy the situation they offered me a direct flight from FL to OH. Problem was we were in Vegas! So after 3 hotel stays we eventually had to rent a car & drive home. All in all was out over $2400. Just got notice that they approved my claim in the amount of $476 Regularly fly but will never fly Spirit airlines again",-1
2024-08-30,0.3,Family Leisure,Economy Class,Burbank to San Francisco,3.0,1.0,1.0,1.0,1.0,1.0,3.0,"extremely disappointing experience"" ",False,"   I had an extremely disappointing experience with Spirit Airlines. The staff were rude and careless, and the airline seems to be more focused on ripping off customers than providing decent service. We were traveling with our two kids, both under 5, each of whom wanted to bring their own luggage. Spirit charged us $150 last min for each child's luggage for $75 just because the wheels were designed to stick out slightly. When I requested seats with a view for the kids, as every child enjoys the experience of looking out the window, they placed us at the very back of the plane where there were no windows at all. To make matters worse, we were kept waiting for an extended period before being allowed to board and be seated. I strongly advise against using Spirit Airlines, especially for parents who are concerned about their children's needs and safety. This experience was far below what we expected, and I cannot recommend this airline to anyone.",-1
2024-08-29,0.3,Business,Economy Class,Atlanta to Los Angeles,1.0,,3.0,,,1.0,2.0,“the legroom was horrible”,False, I cannot believe it. Plane was in a huge mess and the legroom was horrible. My legs were squashed. Not to mention about the flight getting delayed by 2 hours. I was late for my meeting cos of that. 10/10 would not recommend!,-1
2024-08-28,0.1,Solo Leisure,Economy Class,Boston to Orlando,,,,,,1.0,1.0,5 delay emails in 30 min,False,"  How much money, time, and mental energy are you willing to waste? In all, the company has cost me over $700 in having to book with another company on the spot when they failed. They offer an ""apology"" and a $12 food voucher. 5 delay emails in 30 min. So I found the only other flight via Delta, and I believe that is the exact thing that happened last time too. If money and time are no problem to you, stick with Spirit.",-1
2024-08-26,0.1,Family Leisure,Economy Class,San Diego to Portland,1.0,,1.0,1.0,1.0,1.0,1.0,complete incompetence,True,"   Where do I start when every aspect of a flight was beyond negative? The flight was delayed, but ok, that’s understandable especially to someone who is also in aviation. The complete incompetence with seating, especially families with small children. The severe lack of basic customer service skills, which was beyond unacceptable; everyone was undeservedly spoken to like they are the bottom of the barrel of society. The trash was not picked up from the prior flight, resulting in open drink container splashing on bag and feet (there is photo evidence). When pointed out prior to take off, the first flight attendant said “it’s not my problem, someone else will come around.”, the next flight attendant ignored me, and finally, after take off, she snatched it out of my hand with a disgusted look on her face. A mom with a newborn was yelled at when trying to get up to sooth a crying baby, and another was yelled at for getting up to change baby’s diaper that was smelling up the entire plane. These are just the highlights. I understand that it’s a no frills airline, but this is unacceptable and shocking that they are still in business. One star, but we took off and landed, so that’s something.",-1
