datePublished,ratingValue,travellerType,seatType,route,seatComfort,foodBeverage,cabinService,inflightEntertainment,wifiConnectivity,groundService,valueForMoney,commentHeader,tripVerified,reviewContent,sentiment
2024-03-19,1.0,Family Leisure,Economy Class,Detroit to Salt Lake City,5,,5,,,5.0,5,took great care of daughter,False, The folks at Delta and Sky West were great. They took great care of daughter and her room mate on their way home for spring break. They made a special trip to get our bags at the Elko Airport.,1
2024-03-16,0.3,Solo Leisure,Economy Class,St. George to Denver,2,,3,,,4.0,2,"wasn't even close to fitting my carry on"" ",False,"   They had a measurement in the terminal that shows if your carry on can fit. My carry on fit just fine. But when I got to the plane, the overhead bin wasn't even close to fitting my carry on.",-1
2023-10-23,1.0,Couple Leisure,First Class,Chicago to Montreal,5,5.0,5,,,5.0,5,She is a perfect representative,True,"  Our flight attendant, Julie, was very friendly, attending to the needs of not only first class but coach, too. She remembered drinks and kept our thirst quenched. She was always busy and helpful. Always giving a beautiful smile to each customer. She is a perfect representative for Sky West and should be be commended for a job well done.",1
2020-12-15,0.6,Business,Economy Class,Houston to Harlingen,4,3.0,4,,,4.0,3,delayed because of mechanical issues,True,"  Both times delayed because of mechanical issues, very frustrating. From now on direct flights only! I don't understand how the same airline can have mechanical issues before take off so often?",-1
2018-06-03,0.2,Solo Leisure,Economy Class,Portland to Seattle,1,,1,,,1.0,1,fishing rod as an extra item,True,  Portland to Seattle. Their policy counted a fishing rod as an extra item requiring me to check a bag through my final destination jeapordizing the contents of in the bag. The lady scanning tickets was very rude and challenged the validity of my final destination. I would never book a flight with Sky West!,-1
2016-05-19,0.8,Solo Leisure,Economy Class,SGU to SLC,3,,5,,,5.0,4,big thank you to staff,False,,1
2015-07-20,1.0,Couple Leisure,Economy Class,SFO to SLC,5,,5,,,5.0,5,SkyWest Airlines customer review,False,,1
2015-04-23,0.3,,Economy Class,,0,0.0,0,0.0,,,0,SkyWest Airlines customer review,False,,-1
2015-01-05,0.7,,Economy Class,,3,1.0,4,1.0,,,3,SkyWest Airlines customer review,False,,1
2015-01-05,0.8,,Premium Economy,,3,1.0,3,1.0,,,3,SkyWest Airlines customer review,False,,1
2015-01-05,0.7,,First Class,,5,1.0,4,1.0,,,3,SkyWest Airlines customer review,False,,1
