datePublished,ratingValue,travellerType,seatType,route,seatComfort,foodBeverage,cabinService,inflightEntertainment,wifiConnectivity,groundService,valueForMoney,commentHeader,tripVerified,reviewContent,sentiment
2024-09-14,0.1,Business,Economy Class,Newark to Denver,1.0,,1.0,,,1.0,1,an unreliable travel partner,True,"   First time I tried United from New York to Orlando my flight got cancelled and my trip delayed by 2 days. This time my flight got delayed by 5 hrs. What gets me is the gate agents attitude, they are unhelpful and not very accommodating. United is an unreliable travel partner.",-1
2024-09-13,1.0,Solo Leisure,Economy Class,Chicago to Boston,5.0,,5.0,,,5.0,5,an exceptional and thoughtful person,True,"   Air Hostess Susie is an exceptional and thoughtful person. She went above and beyond to assist me on the flight. Because of her kind hospitality, I will continue to fly with United Airlines.",1
2024-09-11,0.1,Couple Leisure,Economy Class,Portland to Puerto Vallarta,1.0,,1.0,,,1.0,1,“gate agents not willing to be helpful”,True," Initially, our flight from Portland was cancelled. When this happened there was minimal to no accommodations for the flight. The gate agents were not willing to be helpful. Furthermore, they were scheduled off and so they were just trying to hand out cards to have people call customer service and reschedule. When I called customer service they continued to transfer me to three different people resulting in being hung up on. At the counter, as the passenger, I had to contact another airline and they were able to assist even though it was not their issue. The lady that was initially helping us was more concerned about whether or not she had clocked back in. To add, the customer service line that they opened had closed in the middle of trying to arrange our new flights. The supervisor on duty told us that the line was still open, and made zero efforts to try and open that line. As the customer I had to research the phone number to talk to reservations. The guy who was trying to switch the flights was getting very frustrated and visibly angry. As a customer we felt the same emotions but we needed the support from the airline in order to make our trip happen. To sum this up, United got us a flight on delta airlines. This flight was not properly confirmed when we got to the delta agent. The delta agent then was able to switch us to the flight that we originally wanted, making our travel day 20 hours rather than 36. United took over three hours to make accommodations and this would not of happened without me as the customer contracting both United and delta. I will never be flying United again because of how terrible this experience was. If I could leave a no star I would.",-1
2024-09-09,0.1,Solo Leisure,Economy Class,Newark to Norfolk,1.0,1.0,1.0,1.0,1.0,1.0,1,beware of this companies lack of care,True,"   On 7/15/2024 my connecting flight from NJ to VA was cancelled, rebooked for twelve hours later. Minor inconvenience so I spent the day in NYC to kill time. Upon returning to the airport for my rebooked flight, all passengers were told to debark due to mechanical issues. Still not the biggest problem, but now there is not rebooking. The gate agent was extremely volatile with multiple customers. United did not issue any hotel, rental, bus, train, or food compensation for this inconvenience. I called the customer service line and that got me nowhere. I asked to speak to a supervisor and was told they are not answering the call. I was trapped in the Newark airport for over a day with no help from United. I eventually booked an Amtrak train ticket to make a deadline I had at work the next day since I hadn't arrived home on the scheduled day 7/15/2024. Buyer beware of this companies lack of care for their customers time and money since the services were not completed.",-1
2024-09-01,0.1,Family Leisure,Premium Economy,Appleton to Seattle,,,,,,1.0,1,continues to deny our request to reimburse us,False,"  We booked a flight with United from Appleton, WI to Seattle, WA the day before our cruise was supposed to depart from Seattle. They cancelled the first leg of our flight from Appleton to Chicago so we drove to Chicago to get on the flight from there. They then continued to delay our flight continuously until they cancelled it at 1 am. It’s was then too late for us to get on a different flight to Seattle. We missed our cruise embarkation because of them. We were able to book another flight on Alaskan airlines two days later in Juneau, Alaska to catch up with our cruise in that port. United continues to deny our request to reimburse us for that airline ticket. We tried to book something thru them but they had no flights going into Alaska. We fly United on a regular basis but we will no longer be using their airline because of this. If they had cancelled our flight earlier we would have been able to book another flight to catch our cruise. Instead they delayed us 5 times and even had us on the plane for two hours and then deplaned us and delayed us repeatedly before cancelling. The whole situation is totally ridiculous. They were 100% at fault and offered no remedy or reimbursement.",-1
2024-09-01,0.1,Couple Leisure,Economy Class,"New York to Perth via LAX, Sydney",1.0,,1.0,,,1.0,1,“No replies and just automated messages”,False," Worst airline ever and they are probably aware of it - contacting anyone in the airline is impossible. We've tried webchat, calling and email. No replies and just automated messages. Do not expect to be treated fair if anything goes wrong. Did not even get on my flight as they delayed and cancelled and then had me flying out from somewhere else with no connection to it - they refuse to refund as they say we have used this flight ticket (that got rebooked departing wrong destination). Ground staff had no clue and gave no help.",-1
2024-09-01,0.1,Family Leisure,Economy Class,Washington to Huntsville,2.0,2.0,1.0,2.0,2.0,1.0,1,lack of respect for their customers,False,"  Boarded plane late only because of the lack of organization which I listed to as I stood by the counter. Once we boarded plane, literally sat on plane for 45 minutes, pilots said nothing over the intercom the entire time. Once they backed us out the gate, sat on runway for another 1/2 hour. Nothing for airline to blame it on, weather was great, etc. Pilots provided passengers nothing, what a lack of respect for their customers",-1
2024-08-28,0.1,Family Leisure,Premium Economy,Chicago to Portland,1.0,1.0,1.0,1.0,1.0,1.0,1,truly the worst airline ever,False," United is the worst airline ever I’ll never ever fly with them again I’d rather take Spirit or walk. They canceled our flights saying due to weather but we seen 5 planes take off and someone over heard them say they are short staff but telling people it’s “weather” did not put us in a hotel, did not help with food, very careless the people that work here have no clue about anything at all. Idk how this airline is still open they need to shut it down. We’ve been waiting for another flights for 14 hrs now had to sleep at ohare airport with my kids just a terrible experience they’ll never get a penny from me again! I thought Spirit was bad but no United is truly the worst airline ever!",-1
2024-08-28,0.1,Couple Leisure,Economy Class,Chicago to Minneapolis,1.0,,1.0,,,1.0,1,the worst US based carrier,True,"   United Airlines has got to be the worst US based carrier. These people have no business running an Airline. We arrived at ORD from an overseas trip. The departure time was changed 5 times. We boarded twice and had to disembark twice because lack of crew. Instead of taking off at 8:10OM we were asked to leave the plane at 2:20AM because of crew issue. No hotel voucher were given because they rescheduled the flight for 9:30AM. According to the agent we don’t have enough time to sleep and come back. No meal vouchers. We were told it will emailed, which it was not. We were told to go to another terminal near the day flight and cots will be provided. Very few cots weee there, not enough, and the cots are provided by the city of Chicago not US. I can write a book about the miserable experience provided by this miserable and poor excuse for an airline. Their staff was incompetent, lacking knowledge and unhelpful. They lied just to get rid of us. It turned out they knew they had a staffing problem with several flights, judging by the number of folks sleeping on the floor. They delayed announcing it in order to save money. It is 3:22AM and still no email, no text message and no vouchers. Flying United is a one-way ticket to hell. I will never fly them again.",-1
2024-08-27,0.1,Business,Economy Class,Guam to Boston via Honolulu,1.0,,1.0,,,1.0,1,"The worst travel experience"" ",False,"   The worst travel experience of my life. United will never get another penny from me connecting through Guam first United didn’t share that we had to meet in front of a specific door and only had eight minutes to do this so me and multiple other passengers, missed the open door and got trapped in the concourse for over two hours broke my bag. This is still an issue.",-1
