datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-09-20,0.1,Couple Leisure,2,3,3.0,2.0,0.0,,,2.0,rude and yelling at people,True,"   The employees in baggage, customs, and particularly the security area before catching connecting flights, were rude and yelling at people. Even the lady announcing luggage claim carousel on the intercom was too loud and sounded angry. This has been a problem for a long time. Frankly, I'm embarrassed for the horrible first impressions for foreigners entering the US. Fix it please.",-1
2024-08-24,0.1,Solo Leisure,1,2,3.0,3.0,2.0,2.0,,2.0,“Rude and unhelpful staff”,False, Terrible airport. Avoid. Immigration had 2 officers for over 500 passengers. Took over an hour to enter for 1 hour. Rude and unhelpful staff. I thought MIA was bad but Atlanta is worse.,-1
2024-07-22,0.2,Couple Leisure,3,1,1.0,4.0,1.0,4.0,3.0,1.0,trash and food on the floor,True," Horrible, gross, totally messy, dirty, trash and food on the floor of the waiting areas, people almost camping around in the waiting areas, where is the cleaning staff? This is unbelievable.",-1
2024-07-20,0.1,Family Leisure,2,4,1.0,2.0,3.0,3.0,3.0,1.0,a mad house with no structure,False,"   On 18 July I traveled to Hartsfield-jackson airport to pick up my daughter and family. I have traveled throughout the US, Europe and Asia. The experience in Atlanta airport was the worst in my 75 years on this earth. All parking on the domestic side was full. I was directed to the International terminal parking by one of the many rude employees there. In the end, I parked off site until my daughter arrived picking her up at exit S2. Honestly, 'the fish rots from the head down' I ask that Governor Kemp order a top down evaluation of senior management at the Atlanta airport. The place is a mad house with no structure and few employees who care a whit about the clientele. Suggest they use the airport in Seoul to model their way ahead. If the Koreans can get it so right so can we Americans.",-1
2024-07-10,0.3,Solo Leisure,2,1,1.0,2.0,3.0,1.0,4.0,1.0,never seen such foolishness,True,"  Never connect through ATL on an international flight. You have people getting off flights from 2 different ends of the airport and one side has to walk all the way to the other side to get in line behind hundreds of people. Once you make it through customs and show your passport, then you pick up your checked bags and redeposit them around the corner. At this point you think you are done and can head to your gate, but no. Now you have to wait in another long line to go through security again. This is after you have been on a long international flight. Like seriously, what could I have picked up from the jet bridge to standing in the customs line? You finally make it through security and then you have to catch the train to your terminal! I have never seen such foolishness! None of this makes sense at all! If I cleared security once, why should I have to do it again?  There has to be some logic, but I don't understand it!",-1
2024-07-04,0.2,Business,1,4,2.0,1.0,4.0,4.0,4.0,3.0,opposite from progress,False,"   A couple of illogicals at Hartsfield. Arriving from international flight to get to Marta (as instructed by 3 different staff) traveler is required to go through the security checkpoint. This not just inconveniences tired traveler arriving from international flight that has already gone through customs, but also additionally chokes always long security check lines. At domestic terminal 3 of the staff man entrance to restrooms, and if you're arriving from the ticket counter side they instruct you to go around, back through food court, by entrance to security checkpoint and only if you're arriving from that side you can enter the restroom. Not only inconvenience to traveler but also waste time of 3 if the staff. Is that really necessary? It seems Hartsfield is moving in direction opposite from progress.",1
2024-07-01,0.1,Solo Leisure,1,1,1.0,3.0,2.0,,,1.0,some of the most rude people,False," This was my absolute worst experience I’ve ever had in an airport. It was not just the TSA although yes, they were their typical bossy, irritating organization. But the staff trying to guide us from an international arrival through passport, control, and baggage retrieval and whatever else were some of the most rude people I’ve ever encountered. I was so upset that this was going to be some of the people on my flights first experience in the United States, and they’re being yelled at and laughed at. If you fly, you know that an unfamiliar airport can be confusing. People would ask questions. Sometimes two people would ask the same question. One person I gave my passport to just flick his wrist slightly and looked at me like this. Is your passport take it the security wanted to see inside my bag and set it aside. It sat completely unattended for 10 minutes. I didn’t want to say anything to anybody because by this point, my experience had been so lousy, I figured they would purposely extend it and I might miss my connection. Restaurants are overcrowded lines of 100 people long at a Wendy’s. Bathrooms you can’t navigate because they’re too tight and people are toting bags all over the place. Flights that get delayed are not uncommon, but they seem to be more than common at this airport. I will purposely pay extra to never have to fly through this airport again. If I never see Atlanta, I will be happy. Who has a hub there, needs to act or they are going to lose customers. Because I have zero interest of flying through their hub ever again.",-1
2024-06-10,0.3,Business,1,2,3.0,4.0,1.0,,,1.0,"worthwhile to avoid ATL"" ",False,"   This airport is to be avoided if at all possible. Like many large airports, it is very busy; unlike many other airports, though, the vast majority of staff have no interest in helping anyone. Parking is full - staff waves you away without any information about alternative lots. Baggage check lines are long, staff sits on their butts, occasionally helping a customer every 5 minutes or so. Security officers are so busy yelling instructions to everyone that they can't answer a question, then lose their marbles if you do something wrong (I took my laptop out of my case like the majority of other security lines; the women started screaming like I was a child). Most restaurants inside the airport have employees staring at their cell phones, and both the service time and food quality reflect this. The only positive I can write is that this airport does allow direct flights to many places. However, I have begun to look at other airports (e.g., Columbia, SC and Charlotte, NC) to use - the extra hour or two drive is worthwhile to avoid ATL.",-1
2024-06-09,0.1,Couple Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,no clear directions in airport,False,"   Our first flight was a bit late, no clear directions in airport and most of the staff are mean as hell and look lost themselves. Be warned, you won't have time to get all the way across the airport and catch a connecting flight they end all boarding sessions 30 minutes early so it is very misleading and the staff are very mean spirited.",-1
2024-06-07,0.1,Couple Leisure,1,2,2.0,1.0,1.0,,2.0,1.0,“the least convenient airport experience”,True," Atlanta wants to be an international city but the international terminal at Heathrow provides the least convenient airport experience I have ever encountered. On arrival in Atlanta, if you want to take public transport — the MARTA subway train — you have to get a bus from the international terminal back to the domestic terminal where the train station is located. The busses run infrequently, are hard to identify, crowded, and are manned by surly drivers, They drive you around the whole large airport so it takes around 45 minutes. We’d already waited that long for a bus just to come AND spent an hour getting through a long passport control queue. Why London airports can have e-gates you breeze through in minutes and Atlanta cannot is beyond me. If you think you’ll avoid all this hassle by renting a car, think again as to access the rental car centre you have to take the same slow airport bus to domestic PLUS then a shuttle out to the rental hub. All of it adds up to it taking a very long time to just get away from the airport after an already long international flight. Signage after baggage pick-up is also very poor which makes me feel very sorry for non-English speakers or really anyone arriving in Atlanta for the first time.",-1
2024-05-20,0.3,Solo Leisure,1,2,3.0,4.0,0.0,,,1.0,numerous stalls out of service,True,"  TSA wait on Monday 5/13/24 was over an hour with 3 TSA people working. I was also told that I could leave my iPad in my carryon, but at BOS Logan, that was not allowed and further it had to be placed in a separate bin. I appreciate security, and would also appreciate that they are trained properly. What else goes through unseen?  Departing BOS Delta 363 on Friday 5/17/24 arriving ATL Terminal A, the ladies restroom line spilled well out onto the concourse. When I got inside, there were numerous stalls out of service, several sinks out of service and no soap in several dispensers. Logan airport was super clean and very nice. Surely ATL can do better.",-1
2024-05-13,0.2,Business,1,2,2.0,4.0,3.0,3.0,3.0,1.0,Clear staff are horrible,False,"   Unfortunately this is my new home airport. I travel every other week for work from ATL to several other cities. The staff at ATL airport is by far the worst I’ve seen at any airport. Clear staff are horrible! I’ve had a problem with my ID the last 5-7 times I’ve gone through and no one has said why, then I go to New Orleans and Orlando Airport and they both told me what the issue was and how to fix it. Security and TSA are rude and power hungry. They scream across the lobby at guests, they ignore any questions and treat travelers as if we are beneath them-all because they know you will comply because you have no other choice. They are bullies. Almost anyone you speak to at the airport acts like they are annoyed that they have to do their job. I’m actually shocked when someone is friendly.",-1
2024-05-10,0.2,Family Leisure,2,3,2.0,3.0,1.0,1.0,2.0,1.0,not people friendly,False,"   Me and my sister are flying out of country for the first time. During our time in this airport, we’ve had to ask where to go, what to do, etc., which is expected from newbie travelers. Every staff member, employee, and retail worker that we’ve experienced so far from McDonald’s to the Info desk has been nothing but rude. Horrible attitudes, not people friendly, and seems like they do not like taking the time out of their jobs to answer questions. I have been here for about 12 hours on a long connection, have gained very little answers to my questions, and I have met no kind people who work in this airport.",-1
2024-04-29,0.6,Solo Leisure,4,3,3.0,4.0,0.0,,,4.0,his help was greatly appreciated,False,"   I would like to thank Kelvin for his assistance. Frontier is having issues with their app and were not helpful. Thought I was given a ticket, but it was not a boarding pass. After my 2nd trek back to the Frontier counter and heading for my 3rd, Kelvin not only got me fixed up and thru security quickly. I am in my late 60s and his help was greatly appreciated.",1
2024-04-29,0.6,Couple Leisure,1,5,5.0,5.0,5.0,5.0,5.0,2.0,just a very bad experience,True,"  My husband and I flew into Atlanta from Amsterdam on April 25, 2024. We had a connecting flight to Birmingham, AL following that flight that we needed to make. When we reached the Custom's line we realized that the line was extremely long and slow moving. We had enough of a layover where there should have been plenty of time to make it to where we needed to be, but there were only a few custom's officers working the arrival of an entire international flight. We asked for help from multiple employees so that we could make our connecting flight and were told that they could not help us. We were told that we would just have to miss our flight and reschedule it for the next day! This was extremely frustrating because we had recently had a similar experience in Amsterdam where the staff there had bent over backwards and had done everything in their power to help us make our flight.... so we knew that things could be done better. They have a system worked out to assist passengers with occurrences like these. Atlanta employees need to take a training class from the Amsterdam airport. I would have expected so much more from such a large airport (in the United States no less), for which I guess I just had higher expectations. We were able to make our connecting flight but only because we had to make a desperate run through an extremely large airport which left us feeling miserable, exhausted, and stressed. All in all, it was just a very bad experience that didn't have to happen. Do better Atlanta!!",-1
2024-04-04,0.1,Solo Leisure,1,4,1.0,1.0,1.0,1.0,4.0,2.0,“one of the worst in the USA”,True," Atlanta international airport is by far one of the worst in the USA. The customs process is excruciating, the officers don’t know how to properly separate the visitors and citizens line, the process to travel from the international terminal to domestic or for a rental car is by way of one shuttle bus that runs every 25 mins. This is by far the worst process I have ever seen in an airport, 3rd world countries do a whole better job than this, this is just flat out horrible.",-1
2024-04-01,0.1,Solo Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,disgusted with the staff there,False,"  I am horrified at the ignorance and lack of knowledge of the airport staff. There is a complete ""it's not my problem"" or ""I can't help you"" attitude ingrained in the work culture there. There is no way I should be led on a wild goose chase around the airport because no one has a clue or cares to find out where I was supposed to get my connecting flight. I wasn't allowed on my flight when I got to the gate with 5 min to spare. It is appalling the lack of knowledge from the staff and then being met with shrugs. I'm absolutely disgusted with the staff there.",-1
2024-03-19,0.1,Couple Leisure,1,1,,1.0,0.0,,,1.0,did not supply the wheelchair assistance,True,"  We had a horrible experience because they did not supply the wheelchair assistance that we requested. Our trip was from Salt Lake City to Atlanta then to Liberia, Costa Rico. Our trip home, we made a point of asking for wheelchair assistance. On our trip home, our flight was delayed an hour, so we had less time to go through customs. The wheelchair assistance was not there when we exited the terminal. There was a stray wheelchair so my wife pushed me. We kept on asking airport personnel for help and they kept on saying it is not my job. Some people offered to get someone, but that never panned out. When we picked up our bags because it was an international flight, we had three bags on the wheelchair with Ken (the person in the wheelchair) holding a wheeled 40 lb bag with a duffle bag attached to it while his wife tried to navigate to customs. At one point, a TSA official asked to take our bags, which we accepted. However we thought they would stay with us but they disappeared. We finally found the wheelchair assistance people and they did get us assistance, but was irritated that we were upset. They told us that our bags would be at our final destination and to quit worrying. They eventually took us to our terminal, although the person whined about how far it was. When we got there, the doors were closed but Delta allowed us to board. In Salt Lake, the wheelchair assistance was there and cheerfully helped us get to the luggage claim. However, I got a text from Delta stating that our luggage was still in Atlanta.",-1
2024-03-05,0.1,Business,1,1,1.0,1.0,1.0,1.0,1.0,1.0,“obvious lack of training”,True," Not only did one of the biggest airports in the US cannot open enough security lanes, but also there are over 100 TSA agents who do absolutely nothing and berate people while they are going through security. I waited an hour through security so to people who did the body scan berated me about my appearance and shirt. It’s too early in the morning and not warranted to be treating your customers this way. We pay good money for flights that are overpriced anyway. The least we can get is 5-star customer service. There is obvious lack of training, lack of discipline, and lack of vetting your employees to see if they have experience working with customers. Ridiculous.",-1
2024-02-29,0.1,Couple Leisure,1,3,,3.0,0.0,,,1.0,two hours to snake through the initial screening,False,"  My husband and I returned from Italy January 24th, 2024. We had a lay-over in Atlanta and went through customs at the Atlanta airport. We were diverted to the line with connecting flights. It took two hours to snake through the initial screening, grab our bags, go through a second line, and finally go through TSA security. The lines all moved at a glacial pace. When we finally were at TSA to X-ray the bags, there were two lines: one moved efficiently, the line we were in was a nightmare. The agents working the screening chatted with each other, stood by sipping water, and blowing battery-powered fans at their faces. My husband and I just made our connecting flight to IAD.",-1
2024-02-19,0.5,Solo Leisure,3,3,3.0,2.0,3.0,3.0,1.0,1.0,“the rudest TSA agents ever”,False," The longest TSA line with the rudest TSA agents ever. One actually made an announcement that we needed to get on the ""same page, same chapter, same book"" because we were irritating her as it should be a quick process. If you have not traveled to an airport with the same type of system, how would one know?? It would be more professional to intermittently provide a courtesy announcement of how the system works.",-1
2023-12-20,0.1,Family Leisure,1,3,3.0,1.0,3.0,3.0,,1.0,some of the most rudest workers ever,False,"  Out of all the places that I’ve traveled in this world, Atlanta has some of the most rudest workers ever. They speak to customers as if they’re angry for having to perform their jobs. Remember, who’s paying your salaries. If you’re not happy doing your job then I suggest that you go into another occupation. To add insult to injury, upon my return from a previous trip, someone had broken into my vehicle, located right next to security cameras. I reported it to the police and media and was told that the airport would pay for the repairs. That never happened. Moreover, I’m convinced that it was an inside job.",-1
2023-12-19,0.1,Solo Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,worst of the worst airports,False,"  The worst of the worst airports. Good luck finding anything with the lack of signage and the nasty attitude exhibited by all employees. I’ve flown with Delta the past three times out of this airport and they overbook the flight every time, making an already abysmal experience at this airport even worse. This airport needs to be heavily fined for its sins.",-1
2023-12-17,0.1,Solo Leisure,1,4,2.0,1.0,1.0,1.0,3.0,1.0,most inefficient and rude staff,False,"  Chaotic and least effective airport. TSA in Atlanta airport has the most inefficient and rude staff I have encountered at any airport. They all need a course on customer service. I arrived at 9pm at the domestic departure, experienced Long line 200+ passengers were waiting and only 3 security tables were open!  Staff were rude and useless. TSA and CLEAR closed early and there's no special lane to handle the irregular cases. Apparently, staff were customed to observing bottlenecks and didn't even aware there was an issue! They should adjust accordingly whenever they see traffic jam, like most average airports would open more security tables at rush hour. I will avoid to transfer to ATL Hartsfield ever!",-1
2023-12-13,0.3,Couple Leisure,4,3,3.0,2.0,5.0,4.0,,1.0,dysfunction is the TSA process,True,"  I’ve lived outside of the US for many years and have experienced many airports all over the world. Some were good and others, not as good. Common elements I’ve found in good airports is professionalism and positive interaction with customers. My experience with the Atlanta airport contained neither of these elements. The primary area of dysfunction is the TSA process. General interaction that staff has with customers is unprofessional. No instructions given to people when approaching the document scanner, then being rude when someone is confused about the process. I did not observe any positive interaction between security staff and customers. After getting this sense, I looked for positivity and saw no eye contact or smiles, but rather what appeared to be contempt for customers. I realize that airport security would be a difficult job, and that you would feel like you are dealing with the same issue over and over. However, I have been through countless airports where security was professional and positive. Everyone has to go through security, so a good experience is crucial to a positive view of the airport. Atlanta airport has many great features, but I would not recommend it to anyone based on the TSA experience. That is how negatively it impressed me. This area should be addressed to improve service to customers and make the airport what it is capable of being.",-1
2023-12-05,0.3,Solo Leisure,3,2,4.0,1.0,1.0,,,4.0,a very confusing airport,False,"  This is a very confusing airport. Too few signs giving directions and also to many needless signs and advertisement that clutter your attention. Also, way too few screens displaying flight departure information. Finally, not enough food stands for the amount of foot traffic. I will try to avoid Hartsfield the next time I need a connecting flight.",-1
2023-12-01,0.3,Business,4,4,2.0,4.0,1.0,,3.0,1.0,"Concourse D was tragic, it felt dreary",True,"  I had a connection from Boston to South Bend on Delta airlines. Traveling through the terminal was easy enough, and the plane train was simple. My experience though in Concourse D was tragic. It felt dreary like it was an afterthought and the two restaurants I went to acted like I was an inconvenience. The first (Mustard seed) had me sitting there for a bit before finally letting me know the kitchen was closed, at 6:45pm. And the next, all 3 employees decided they wanted to be on their phones instead of help a guest. Its sad because I grew up in ATL area and used to fly out of Hartsfield all the time. I have fond memories, but nostalgia wasn't enough to save this experience. I will probably avoid Delta just to avoid having a flight connection here",-1
2023-11-01,0.1,Couple Leisure,4,2,1.0,4.0,2.0,4.0,2.0,1.0,Worst ever!,False,  TSA in Atlanta airport has the most inefficient and rude staff I have encountered at any airport!! They all need a course on customer service! Worst ever!,-1
2023-10-29,0.3,Family Leisure,3,4,4.0,4.0,5.0,5.0,4.0,3.0,ATL airport is poorly run,False,"  I fly often, domestic and occasionally international. ATL airport is poorly run as compared to other airports. It is always understaffed and very chaotic. There's never a wheelchair attendant available upon departure. I always have a family member push me to the gate, after obtaining a special pass. This is never necessary to do upon departing other airports, only Atlanta! They are fairly good at providing attendants upon de-planing. However, one afternoon there was 1 attendant for 7 wheelchairs. One by one she pushed us from the jetway to the terminal and there we sat for 1 hr. Those of us who could walk a little, we decided to attempt to walk to the plane train, by holding the wheelchair and walk behind it. The TSA line for wheelchair people is ridiculous. No one is there to supervise the bottleneck of abandoned wheelchairs as we wobble pass the checkpoint. Do not blame the attendants! Its not their fault! Its the fault of the upper managers because they are not doing a good job of managing! It's shameful! The last trip I took there was a manager at the TSA line who was drunk and stepping on people and bumping into us and he was loud and laughing and clowning around with workers. Atlanta airport is disgusting!",-1
2023-10-24,0.6,Business,3,4,,4.0,0.0,,3.0,3.0,balmy 80 degrees inside,False," This is my home airport. It’s not bad considering the volume of people that pass through every day. TSA needs to be fully staffed and all machines working for the M-F business crowd. Also, why so hot? It’s barely fall and the airport is a balmy 80 degrees inside. Save energy, save the planet and keep it cooler. You’ve got people in the sky club stripped down to their tees. Seriously.",1
