datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-06-08,0.3,Couple Leisure,4.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,CLEAR is lacking manners,True,"  At the Austin airport, it was presumed by the CLEAR agent that I was not a CLEAR member so when I entered the line, they tried to re-direct me. I stated I had clear, they again re-directed my “all the way down” to a different clear line, maybe? I instead opted for the TSA line which was adjacent to the CLEAR station I was at, however when I entered the TSA line… same clear agent screams “all the way around the corner, that’s not the line, it’s not the line” to which I responded I’m doing TSA pre-check instead so she again ye;;sacross asking “but is that on your boarding pass?”  oblivious that I have TSA pre-check and CLEAR. Furthermore, CLEAR always makes me show my ID despite it advertising as ID-less. All in all, TSA precheck is a more efficient, respectful, organized process. CLEAR is lacking manners.",-1
2023-08-25,0.8,Solo Leisure,4.0,5.0,4.0,5.0,5.0,5.0,,,many good places to eat,True,"  I have a been a frequent traveler of Austin-Bergstrom Airport (AUS/KAUS) since the airport opened back in 1999. I have seen the airport grow and change over the years. The changes over the years have been for the better! Notable things about Austin-Bergstrom International (AUS): - there are two terminals the (main) Barbara Jordan terminal where all the restaurants, lounges and stores are, and the South Terminal currently Allegiant and Frontier Airlines. - there is a family viewing area outside the airport for watching planes and having a picnic. There are currently 4 lounges (AA, UA, DL and a Chase Sapphire Terrace) - there are many good places to eat including many local restaurants (my favorite are Taco Deli, Salt Lick BBQ, Second Bar + Kitchen, Annie's, and Juiceland. - it takes about 20 minutes to walk from one end of the terminal to the other, along the way you will see lots of places to eat, drink and shop. Pros: clean, great dining, bars, and rest areas. The Delta lounge is the nicest lounge in the airport. Cons: restaurants close early, so if you arrive on a late(ish) flight you will not have food options.",1
2023-08-14,0.2,Business,5.0,4.0,,2.0,3.0,3.0,,,what a lousy setup,False,  Making your customers walk in the searing heat halfway across the airport to find taxis and rides is pathetic. Any chance I get I will tell people what a lousy setup it is. Also there are too few elevators to deal with the people.,-1
2023-04-17,0.2,Business,1.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,Very poorly managed,False,  Getting through security early in the mornings is a nightmare. Very poorly managed. Almost missed my flight. It is necessary to have at least 2 of the 3 checkpoints open any time of the day.,-1
2023-03-11,0.7,Solo Leisure,3.0,1.0,2.0,5.0,3.0,,2.0,3.0,the bathrooms didn’t used to be this dirty,True," I’m from Austin, and the bathrooms didn’t used to be this dirty. Since Covid I’ve traveled 10-15 per year, and the bathrooms have consistently been getting dirtier. Even just now, there’s water all over the floor, multiple stalls have no toilet paper, there’s one stall that was too gross to mention, soap and water all over the sinks and mirrors. Please fix this so Austinites can go back to being proud of our airport.",-1
2022-11-25,0.1,Family Leisure,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Nowhere accepts cash,True,"  Been traveling for a week only have my petty cash left. Get to the airport in Austin Texas expecting to get something to eat and drink for my six year old. Nowhere accepts cash in this  airport except conveniently enough all the bars serving liquor do! Tell me why the staff here find it laughable that I can get a cocktail and pay in cash, but getting a juice is not happening.",-1
2022-11-19,0.2,Business,3.0,1.0,2.0,3.0,5.0,5.0,3.0,1.0,This was and is disgusting,False,"  I had ae three hour lay-over and my first time in Austin's airport. From the time I walked into the bathroom, the stench was overwhelming, I actually had to vomit. There was toilet paper all over the floor and body fluids from people utilizing the bathroom on the toilets, floor and especially the most disgusting part tissue holder. I went to find a sandwich to take on my flight and decided to sit at the countertop. The tables were filthy, the trash cans were overflowing. There was no one to ask to assist or call to have someone clean the area. I will avoid at all cost never to go through this airport again. This was and is disgusting.",-1
2022-08-23,0.1,Family Leisure,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,there’s no one to help,False,"  Never been so disgusted at customer service before, I am usually not the type to ever write a bad review but everyone I spoke with was rolling eyes and talking with attitude, not to mention there’s no one to help get around considering not everyone knows what exactly to do. dirty bathrooms, extremely crowded and it made me super uncomfortable. I just got off a 4 hour flight, super tired just want to go home, my flight got delayed which isn’t their fault because of the weather but overall so disappointed. This is the first time I have ever been so disappointed in an airport and I have flied many times to many different countries. And we should have higher standards for American airports. How does that happen seriously so disgusting. I have lived here 18 years and have never been more disappointed!",-1
2022-05-11,0.2,Family Leisure,5.0,1.0,3.0,5.0,5.0,5.0,5.0,3.0,Do better Austin Airport,True,"  As a nursing mother the lactation pod as the only option for privacy was absolutely disgusting. Filthy, dirty, dusty, sticky. Wrappers everywhere. Unacceptable to say the least. I used my wipes to try and clean it. And they were almost black. Do better Austin Airport.",1
2022-05-06,0.1,Family Leisure,2.0,1.0,1.0,2.0,1.0,,5.0,3.0,airport is absolutely disgusting,True,"  This airport is absolutely disgusting. Trash and food everywhere, packed full of people, rude staff, and limited food options. Not to mention that every time I fly out of here, my flight is delayed. There’s gang stickers all over the place. Just sit down and look around. (If you can even find a seat) The only positive thing I can say is that they offer Disabled Veterans free parking.",-1
2021-12-22,0.5,Family Leisure,1.0,4.0,4.0,4.0,1.0,1.0,,2.0,has limited food options,False," AUS has limited food options, specifically at breakfast. Those with a 0500 flight time have no real breakfast options. Additionally, I was disappointed the airport didn’t prepare better for holiday travel. Austin has had an influx in its population and the airport already struggles. The holiday travel rush was not well prepared for and the patrons struggled. Open airline check in earlier and security to better serve their customer.",1
2021-12-12,0.1,Couple Leisure,5.0,1.0,2.0,1.0,2.0,,,,2 hours to get through Security,False," Austin-Bergstrom International Airport was chaos this morning.  We've already eaten the cost of Delta Airlines tickets, and we're scrambling to get on another airline. There were hundreds of people Outside the doors of the airport at Each security line! It took 2 hours to get through Security this morning. We went to American Airlines where the folks in front of us had missed their flight and they were trying to rebook, and the family behind us had missed their flight and they were trying to rebook. It's 5:45 AM, clear skies, no weather problems. I hope I Never have to use this airport again.",-1
2021-07-26,0.2,Business,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,The south terminal was a nightmare getting to/from,True, The south terminal was a nightmare getting to/from. They must have been short handed because the shuttles were about 30 minutes apart and could only hold around 10-15 people at a time. Definitely needs better logistics getting from main terminal to the south terminal.,-1
2021-07-13,0.2,Couple Leisure,1.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,no place to sit down or eat,True,  Terrible experience at this airport! Spent too long waiting for transport to South terminal. Once there no place to sit down or eat! Felt punished for choosing to fly Allegiant!!,-1
