datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-08-31,1.0,Family Leisure,5.0,4.0,4.0,5.0,5.0,,5.0,5.0,handled the situation with excellence,False,"  I believe myself to be semi-well traveled and have experienced many airport scenarios in my lifetime (middle aged) and will have to give kudos to Dallas Love Field TSA agents for their remarkable work getting me from the baggage claim area for general boarding all the way to my gate “with time to spare” in as little time as I can possibly fathom. I actually witnessed a family who did not make their flight (one prior to mine but same gate) and persisted by raising their voices that the gate agent should have known they were there but because TSA took so much time, they were late. The truth later came out that they were ONLY in line for one hour, on a holiday weekend. That is exceptional but poor timing on their part. Everyone in the aviation world knows that on a holiday weekend, there is a 2.5-3 hour minimum time preparation period to make your flight. So a free plug for DLF, consider this!! Saying all of this, not only was TSA awesome in their timeliness, but the gate agents kept their cool and handled the situation with excellence.",1
2024-07-20,0.2,Business,1.0,1.0,1.0,5.0,2.0,4.0,3.0,1.0,This airport is horrible,False,"   This airport is horrible. Upon checking in, the tsa people in the front were extremely rude and talked to me like I knew how their machines work because apparently I was standing in the wrong area. They told me to go to counter 5 and the lady at counter 3 yelled at me for not being in her line. They walked around yelling at people standing in line directing them elsewhere even though they told us to stand where we were. There were limited seating once you got in through the screening. The center of the airport was packed and there was no seating when i got lunch. Some of the outlets had no power so you could not charge devices. My flight was delayed due to the tech outage and the lady at the counter was extremely rude if you had asked her any questions. I understand that they can have a bad day but every employee I interacted with either seemed like they did not want to answer my question or just looked like they did not want to he here. I hooked another flight out of here again for my next trip, but I regret it. Don't fly out of this location!",-1
2024-06-15,0.7,Couple Leisure,5.0,4.0,4.0,5.0,4.0,,5.0,,"The terminal is bright, spacious",True,"  The airport was very crowded for the upcoming Memorial Day weekend. Nonetheless, there was plenty of seating at the gates and dining options ranging from sit down restaurants to fast food. The terminal is bright, spacious and with plenty of windows through which to see the airfield. Going through security was a breeze with TSA-Pre. The Airport WIFI is easy to connect too and fast. The major drawback to this airport is the lack of bathrooms. The bathrooms are small and there are only 3 stalls in each of the men's bathrooms. On a busy travel holiday, this meant waiting times of about 10 minutes. Given the number of passengers that fly through the airport daily, renovating and/or expanding bathrooms should be considered.",1
2024-04-18,0.1,Business,5.0,5.0,3.0,4.0,3.0,3.0,,3.0,TSA and Clear staff are deplorable,True,"  TSA and Clear staff are deplorable at this airport! They are incompetent and entitled. I clearly understand how to respectfully express frustration. When faced with incompetence and ignorance. These organizations staff seem to think they are perfect and cannot accept respectfully communicating frustration with their failures / inconsistencies. TSA and Clear fail to train their staff. However, their staff is proficient at being rude, incompetent, and intolerant of being respectfully confronted regarding their rudeness and incompetence!",-1
2024-04-04,0.1,Solo Leisure,5.0,5.0,3.0,1.0,4.0,2.0,,,"used to love this airport"" ",False,"   If you are using Uber or Lyft do not use this airport. If you have a disability or are elderly it is extremely difficult to get to the area for pick up and there is a lack of signage and a lack of personnel for assistance. Use DFW. I used to love this airport but not anymore. Whomever made this decision did not take into consideration, people with disabilities or the elderly.",-1
2024-01-19,0.7,Couple Leisure,4.0,4.0,4.0,5.0,5.0,,5.0,,"security was a breeze"" ",True,"  Flew to FLL 5 days before Christmas. The roadway into the airport and the terminal were beautifully decorated for the season. For pre-holiday travel, the terminal was busy but not at all crowded. There was plenty as seating available as well as plentiful dining options from sit down restaurants to fast food to choose from. The terminal is bright and very spacious with plenty of windows through which to see the airfield. Even though it was night time, one could look out across the well lit airfield and see planes taxing and taking off. Going through security was a breeze with TSA Pre clearance.",1
2023-12-29,0.2,Business,2.0,2.0,,1.0,0.0,,,,“you keep walking and walking and walking”,True,"  The ways they are now making people hike from baggage claim to a garage 15 minutes away is obscene. Especially if you are a business woman wearing heals and toting luggage. What rocket scientist thought having the baggage claim so far away from taxi's etc,? It's the most ineffective, frustrating and idiotic change I have ever witnessed in any airport I've traveled through. Some genius needs to move the options back to the entrance of the baggage claim, duh. I really cannot believe they spent the dollars moving this so far away from the baggage pick up. It's twilight zone stuff...you keep walking and walking and walking.",-1
2023-12-02,0.1,Couple Leisure,3.0,5.0,1.0,1.0,4.0,4.0,4.0,1.0,location of ride share is terrible,False,  The location of ride share is terrible. The distance and directions are both very bad. With everyone using ride share today the airport should encourage its use and make it convenient. Love appears to make it as far and complicated as possible.,-1
2023-12-02,0.7,Couple Leisure,1.0,4.0,4.0,5.0,4.0,,4.0,,the lack of bathrooms,True,"  The terminal is bright, spacious and with plenty of windows through which to see the airfield. Surprisingly, the airport was not very crowded on the Friday after Thanksgiving. There was plenty of seating at the gates and there are plenty of dining options from sit down restaurants to fast food. The major drawback to this airport is the lack of bathrooms. The bathrooms are small and there are only 3 stalls in each of the men's bathrooms. On a busy travel holiday, this meant waiting times of about 10 minutes. Given the number of passengers that fly through the airport daily, renovating and/or expanding bathrooms should be considered.",1
2023-10-29,0.1,Business,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,I will never fly Love Field again,False,"  Love Field is now punishing passengers who choose to be picked up by Uber or Lyft. My arrival was at 8p. The airport was desolate and I discovered I could not be picked up at baggage claim, or even at the entrance where I was dropped off. No signage. My Uber driver told me. No signage or employee to alert passengers they had to go back into the airport, walk all the way back past check-in, up an unmarked escalator, then to the right and down an unmarked endless and not working sky walk to an unmarked elevator to a random spot in parking lot B. They say 10 minutes. MAYBE... if you're an athlete and know where you're going. I literally pushed a stranded and scared woman in a wheelchair. By the time I got to ""the spot"", I was with 20+ other passengers who were also tired, sore and pissed. All drivers had left. I will never fly Love Field again.",-1
