datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-08-22,0.8,Solo Leisure,3.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,I truly felt cared for,False," The wheelchair attendant verified everything for me! Verified with me, verified with the LYFT driver by asking his name, verify the LYFT ride by licenses plate, verified I felt ok and I knew where I was going. For me, it's humiliating to be pushed in a wheelchair. I never felt humiliation this time. I truly felt cared for. This trip wasn't the greatest vacay I've had but when I got home, I felt great. I want to thank this positive, smart, caring young man. Some ppl have a gift, a few share it in this way. If your lucky enough to meet this young man at DFW Airport, you'll know it's him I'm talking about here.",1
2024-07-25,0.2,Couple Leisure,2.0,4.0,3.0,2.0,1.0,,3.0,1.0,airport is also very outdated,False,"   Absolutely horrible experience! Hardly no staff working the lanes in customs, a line in security closed as people were trying to go through, the entire staff was extremely rude. The airport is also very outdated and set up very inconvenient and confusing.",-1
2024-07-17,0.1,Couple Leisure,1.0,1.0,,2.0,0.0,,,1.0,Time to do a major overhaul,False,   5 skytrains passed. Lots of people waiting. Horrible! Terminal C to terminal A wasn’t that long but really? One would think it’s efficient and quick- the airport was packed. Was good on the 80’s but more people travel. Time to do a major overhaul. Bathrooms were few and far they are tiny-3 or 4 stalls and 4 urinals so have to wait for someone else to get done before you can Will not be a choice in the future to fly through Dallas anytime soon,-1
2024-07-09,0.8,Solo Leisure,4.0,4.0,4.0,5.0,0.0,,,4.0,Terminals were clean,True,  What's not to like about DFW. You can park at any terminal and take the SkyLink to whichever terminal you're departing from. Departure from Terminal E and arrival at Terminal A. Parked across from Terminal E United Airlines gates. TSA-Pre took a little bit longer than usual to clear (10 minutes). Both Terminals A & E are spacious with plenty of shops and dining options. Terminals were clean.,1
2024-05-25,0.1,Family Leisure,1.0,2.0,1.0,1.0,1.0,,1.0,4.0,"Very limited seating"" ",True,   Very limited seating while waiting for a flight. In addition it seems that all the flights are scheduled out of the same gate area which causes the congestion. Also has poor information on how to get from terminal to terminal. However when you do figure out how to get to the next terminal the tram is an easy experience.,-1
2024-05-24,0.3,Solo Leisure,2.0,2.0,3.0,1.0,3.0,,2.0,1.0,This is the worst airport,True,  This is the worst airport. I am a solo blind traveler and always request a escort. I have never ever had one. Today i walk out and his buggy is full of 1 whom need assist and the others were family members. If you need special assistance bring someone with you because you most likely will not be the choosen few or better yet avoid this airport if possible.,-1
2024-04-29,0.1,Family Leisure,1.0,2.0,,1.0,0.0,,,1.0,never experienced a worse airport,False,"   Horrifying experience. We had a connecting flight in DFW to another US city and they forced us to go through customs, get our bags from baggage claim, recheck our bags and go through tsa security again. We requested wheelchair assistance and no one was there to help get us off the long ramp. All the disabled people had to walk to customs. We finally got someone to help us when we got to customs. Then they took over an hour to check in the wheelchair line. They closed off the general section and forced everyone able-bodied into the TSA pre check which defeats the whole purpose of pre check. When we finally got through security, we still had to wait longer with no shoes no phones waiting for the rest of our stuff. Then they didn’t let us bring in any of our duty free items because it didn’t fit in their tiny security scanner. Mind you everything was locked and wrapped properly in a duty-free security bag. Why on earth weren’t we told any restrictions before we even got to Dallas? So duty free is totally pointless when you’re forced to pay a fee to check in the items. All of that took over an hour and half and we almost missed our connecting flight. I’ve never experienced a worse airport in my life. I highly recommend avoiding any connecting flights to this airport or you will also experience a total nightmare. Edit: Forgot to mention that our connecting gate number was literally in the same terminal only 6 gates away. So we went through all this BS for a gate I could have literally walked to.",-1
2024-03-28,0.1,Family Leisure,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,a horrible experience,True,"  We flew into DFW from Denver via Frontier Airlines on Friday March 1st without incident. Frontier delayed our flight coming home on Sunday March 3rd. We initially were supposed to take off around 930pm. We were notified that Frontier had delayed our flight due to crew regulations to take off now at 115am. We had family at the hotel in Dallas, so we stayed at the hotel rather than hang out at the airport. We arrived at DFW at 11pm. We checked our bag at the Frontier baggage counter and went to the security line. We were in line and walking toward the screening. The employees could see us. They quickly closed the door on us, even though I was talking with them. They did not respond to my greeting or my question of why they were closing the door on us! They ran away! We were not able to make our flight, even though our luggage was checked and we were in line! Is this how DFW values their passengers? This incident has created financial and incredible emotional stress. If I can ever help it, I will never fly into DFW again. It was a horrible experience. I tried to speak to another security guard and his response was to laugh at us! He treated us with scorn and open hostility and told us we were out of luck and to come back the next morning! Wow",-1
2024-02-28,0.3,Solo Leisure,1.0,4.0,2.0,3.0,0.0,,3.0,2.0,Terribly long queues at immigration,False,"  Terribly long queues at immigration. Very inefficient system. Took longer than half an hour. Only 5 officers on duty for international checks. By comparison, London Heathrow Terminal 5 has over 20 including e-gates and it takes less than 5 minutes to go through.",-1
2024-02-26,0.8,Couple Leisure,4.0,4.0,4.0,4.0,0.0,,,,What's not to like,True,"  I don't understand the complaints about this airport. What's not to like about this airport. Parking is readily available across from whichever terminal you park in. Admittedly some garages lack elevators which can be inconvenient. Nonetheless, you can park in any terminal and take the shuttle between the terminals or the train between the terminal. On this particular trip, I flew out of terminal E. Found a parking spot directly across from one of the TSA checkpoint. As we didn't check luggage, we breezed through TSA Pre checkpoint and situated ourselves in the United Lounge. At this early departure, terminal was not crowded at all and the concourse are wide with plenty of windows giving views of the runways and airfield.",1
