datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-08-17,0.3,Solo Leisure,3,1,1.0,2.0,2.0,2.0,2.0,1.0,grown to hate this airport,False,"  I have grown to hate this airport. First and foremost, when folks are stuck here for hours on end waiting for their connecting flight or rushing to make their connection, the LAST thing we want to hear are your obnoxious and loud recorded messages about everything there is to do in Florida.  God forbid you try to focus on something else or get some semblance of peace because FLL airport will ensure it does not happen. Are you sitting at gate G2 waiting to board a flight? You, too, will hear messages about why you shouldn't park your car in the unloading area! You will not get peace in this airport and must deal with rude airport employees. Very disappointing.",-1
2024-03-05,0.1,Couple Leisure,3,4,1.0,3.0,2.0,3.0,,1.0,the worst airport I’ve been in,False,  This was the worst airport I’ve been in. We got there 5 hours before our flight so could not check our baggage yet. No seating in this area so we had to sit on the floor - I’m 81 years old so this was quite uncomfortable. When i was able to check luggage in the man was very rude. Told me I should have gotten my luggage tag. i thought that’s what he was supposed to do.,-1
2024-01-19,0.8,Couple Leisure,4,4,4.0,5.0,4.0,,5.0,,"terminal 1 is spacious, brightly lit"" ",True,"  This was my 2nd flight to FLL in 4 months after a 11 year absence. This review is limited to Terminal 1. Arrival was at the A Concourse gates 1-5 which mean a rather long connectors to the B/C concourses common area. One huge advantage of FLL airport over the others is the car rental facility which is directly across the airport roadway from the terminal. The renovated terminal 1 is spacious, brightly lit, and has a central TSA Entry point for all 3 concourses. Each concourse offers dining options a plenty. For Christmas Day travel, there was enough seating for all with power ports and USB ports at each gate. The bathrooms are very clean and maintained at regular intervals. Security was a breeze with no wait time for the TSA-Pre checkpoints. WiFi was easy to connect too and blazing fast. The refurbished Terminal 1 is a joy to travel through",1
2024-01-13,0.4,Couple Leisure,3,3,1.0,3.0,2.0,,,,"does not have a single chair"" ",True,"  Terminal 4 does not have a single chair to sit on. People sit and lie down on the floor, giving the terminal the aspect of a refugee camp. Not acceptable for a large international airport.",-1
2023-11-08,0.1,Couple Leisure,1,2,1.0,1.0,1.0,1.0,2.0,1.0,“airport attendants did not care at all”,True," Our flight arrived on time, but the airport was unable to receive the plane. We had sit again and wait in the plane. Then, they told us that they had no resources to unload the baggages from the plane and we had to wait another hour. Finally, there are way more travelers than what the customs could manage and we had to wait in the side and then we were moved to the line. Because of that we lost our connecting flight. We had 3 hours between arrival and departure which is normally more than enough for a so small airport. The airport is accepting much more flight than they can manage and the customers are who suffer only. The airport attendants did not care at all. In consequence we had to stay the night at the airport outside the security area with nothing to eat and no where comfortable where to seat. They were not willing to lay anything because they said it was a “uncontrollable” situation. We booked the flight a month ago so they knew how many flights were arriving, it was not an uncontrollable surprise. If I can control it I’ll never fly through Fort Lauderdale airport again.",-1
2023-09-07,0.9,Couple Leisure,5,5,5.0,5.0,0.0,,5.0,,refurbished terminal a significant upgrade,True," It's been 11 years since I traveled through Terminal 1. The refurbished Terminal 1 is a world class modern airport terminal. It is spacious, brightly lit with plenty of seating and dining options aplenty. There are oodles of power ports and USB ports at the gates; however, some of the power ports were not working. Bathrooms are very clean. The concourses are wide and directions easy to follow to baggage claim. Security was a breeze with no wait time for the TSA-Pre checkpoints. WiFi was easy to connect too and blazing fast. The refurbished terminal is a significant upgrade to the old terminal 1.",1
2023-08-29,0.2,Couple Leisure,1,2,1.0,2.0,1.0,,,1.0,missed a 3hr connection,False,,-1
2023-07-09,0.1,Couple Leisure,1,5,4.0,1.0,5.0,4.0,5.0,5.0,What a Zoo!,True," What a Zoo! For Jet Blue, Terminal 3, it was a 2 minute wait for a kiosk for checked bag. 45 minute wait to drop bag. Then, TSA pre-check and regular are in the same line for F Concourse! And regular line is backed up to easily before where you enter TSA Pre-Check. No waiting at TSA Pre-check line! Terminal 3. TSA has the entrance to TSA Precheck blocked off so that you have to wait in the regular line for 10 minutes before you can get to clear or TSA Precheck entrance.",1
2023-04-13,0.1,Family Leisure,1,1,1.0,1.0,0.0,,,1.0,"closed for the past two days"" ",True,"  Avoid Ft Lauderdale Airport like the plague. I would give this airport negative 5 stars. I had a flight out of Ft Lauderdale today to Cancun to celebrate my 50th birthday with a large group of close friends in Tulum. It’s been raining in all of south Florida for past three days, and due to this, Ft. Lauderdale Airport has closed for the past two days including today. I can understand weather being a major issue resulting in airport closures, but somehow Ft Lauderdale airport is the only airport that has closed. They are currently close and ironically it’s been sunny all day. All of my friends were able to fly out of Miami International Airport which is a 30 minute drive to the south and somehow Miami International did not close at all. And Miami is extremely prone to flooding as it’s lower than Ft. Lauderdale. West Palm Beach airport which is just to the north did not close either. So needless to say, all of my friends are celebrating my 50th in Tulum without me because the airport will not open till tomorrow with the airline not being able to book me another flight for next three days. Worst part is as we are all sitting in the airport waiting for some news, airport staff had no idea what was going on or when they would reopen. I will never fly out of there, heaven forbid it rains a little again and the airport is shut down for a week. What did Miami and West Palm Beach airports figure out what to do that Ft. Lauderdale couldn’t.",-1
2023-04-02,0.1,Family Leisure,1,2,2.0,3.0,0.0,,,1.0,Unbelievable waiting times,True,"  Fort Lauderdale-Hollywood International Airport (FLL) is a total shambles. Unbelievable waiting times to park the plane, to access the luggage area and another two hours for customs and immigration. It really is a disgrace to treat visitors like this. I travel a lot globally and this is much  worse than countries the US really does not want to be compared to. In Houston two weeks ago this thing ran extremely smoothly.",-1
