datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-07-16,0.8,Couple Leisure,4,4,4.0,4.0,0.0,,,,large and well maintained airport,True,"  This is a very large and well maintained airport located in Virginia. Given the size of this airport with its main terminal and then midfield terminals, give yourself plenty of time to get to your gate(s) especially the midfield terminals. On arrival I had to take the mobile lounges to the main terminal. The mobile lounges have frequent service from midfield terminal to main terminal. No more than a 5 min wait. Restrooms in baggage claim are were very clean. Departure was from Terminal C which necessitated using the labyrinth of escalators to get to the AeroTrains which run underground. When I lived in Centreville VA, Dulles was my airport of choice over Reagan National",1
2024-04-23,0.6,Business,2,3,2.0,3.0,2.0,2.0,3.0,2.0,Immigration process takes long time,True,"  Dulles Airport is located in Virginia and bit far from Washington DC. Very large and well-maintained airport, very clean. Few sitting places. Immigration process takes long time. Boarding bridge works as bus to the airport terminal. Taxi and bus services are there.",1
2024-04-03,0.9,Couple Leisure,5,5,5.0,3.0,0.0,,,5.0,“everything went very smoothly”,True," Having read reviews here I expected a nightmare, but everything went very smoothly. Terminal A seems to be new and very efficiently organised. Staff friendly and helpful and lines short. It was a quiet period, so it might be different at Thanksgiving and other busy times.",1
2024-03-30,0.1,Solo Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,The worst airport in the world,False,"  The worst airport in the world. Us Customs and Border Protection - who manages this institution?  1 h 45 min waiting on passport control. In Los Angeles it was more than 1 hour. They don't treat tourists seriously but we, the tourists spend our money there. Fortunately on my list only San Francisco is left. Then I will avoid travelling to this country. There are more interesting places in the world.",-1
2024-01-01,0.9,Family Leisure,4,3,4.0,5.0,5.0,5.0,5.0,5.0,"They have good food"" ",False,"   Going to Washington Dulles Airport is easy when departing and arriving, regardless of connections—good staff, lounges, and great AeroTrains and Mobile Lounges to connect different terminals. They have good food in various terminals and airline lounges.",1
2023-11-22,0.1,Couple Leisure,1,2,2.0,5.0,2.0,2.0,3.0,1.0,the worst design for an airport,True,"  This airport is the worst design for an airport. Who cares if it’s architecturally significant? Always horrendous traffic to drop off or pick people up. The over the top threatening ways the traffic police rushes passengers and treats them like criminals is not seen anywhere else in the world and I’ve traveled aboard a lot to see family and seen it all. They need to move some of the airlines to a separate building to spread out the load of cars and people. Try to avoid this airport at all cost, it will ruin your travel experience every time. Not to mention having to walk through a maze for miles in addition to taking ground transportation or tram.",-1
2023-09-26,0.2,Solo Leisure,3,3,2.0,3.0,1.0,1.0,4.0,2.0,Very poor range of restaurants,False,"  Very poor range of restaurants. I did not even look at any shops, they all looked uninteresting. The airport is cold, the toilets without soap. Terrible place.",-1
2023-09-15,0.1,Solo Leisure,1,3,1.0,1.0,1.0,3.0,1.0,4.0,like it’s stuck in time from 1960,False,"  I made the mistake of flying international out of Terminal 1 at Dulles. Thursday evening flight, I arrived at 4 pm. There are meant to be four restaurants, but two of them (Wolfgang Puck and an oyster bar) were boarded up closes. Carrabas was open until they told me the bar was closed. Bracket was the only place to get a beer left, and they have exactly zero electrical plugs. On a long international flight, you need power. I ended going to Volo Vino which had a plug (horray!) but not beer or spirits, just wine. I knew Dulles was a terribly managed airport, but this experience takes the cake. There were thousands of people in the terminal and nearly zero places to sit down and eat. Don’t ever ever fly international in or out of Dulles. It’s like it’s stuck in time from 1960. The reason I rated it 1 instead of 0 or -3 is because it was clean. There are plenty of places peddling their wares of course, but that’s about it. If you do get stuck flying out, you might consider bringing along a Sherpa and some oxygen. It’s not the airport staff’s fault either, it’s management.",-1
2023-09-12,0.1,Couple Leisure,1,1,1.0,2.0,0.0,,,1.0,"It looks old, dark and dirty",True," After long trip from Copenhagen we about 200 passengers were directed to funny “bus” - packed to the limits and very hot. We did arrival at what looks like United Airlines hub. We are Global Pass/TSA members so we got our face screen and after we had to pickup our luggage to place it back on the conveyor for transfer? There was no screening, no one checking why we had to do this? After we were directed to TSA check - why? We did our Global check which should include TSA? After a long wait we arrived in terminal where we had to walk fast the full length of terminal to catch our connecting flight. There was no place to sit and most of the restaurants had long waiting lines. For anyone specify for one’s arriving for the first time in USA this Capitol airport is total embarrassment! It looks old, dark and dirty. Airport management needs to invite Secretary of Transportation to visit this place as a regular passenger without any preparation for his visit.",-1
2023-06-27,0.1,Business,3,2,3.0,3.0,5.0,3.0,1.0,5.0,Worst airport WiFi,True,"  Worst airport WiFi. Has been the same since 2010 - no improvements. No cell coverage so WiFi is the only option - and it’s horrible. Plan on no connectivity and if you get it - it’s a bonus. Bring a hard cover or paperback book or a pillow and you will be happy. Plan on answering email or making a call & you will be sadly disappointed. If I could give a negative 1,000 rating I would. This is the 21st century. WiFi is cheap - use the surcharges to fund an upgrade. Your customers, employees, and vendors will be thrilled !",-1
2023-06-23,0.1,Family Leisure,1,3,,1.0,0.0,,,1.0,little signage or help,False,"  A debacle. International arrival at 8pm on a Monday. Non-US passport control took 2 hours with one desk open. Several people in line with connecting flights pleaded for help to no avail. Once through, there was little signage or help for direction to connecting flights. By 10pm, only one of two security screening areas was open after a long walk and much guessing.",-1
2023-06-19,0.3,Business,1,4,3.0,4.0,3.0,3.0,3.0,3.0,unnecessary traffic jams,True,"  Dulles airport recently created massive, unnecessary traffic jams on Departure by allocating two of the available five lanes in the Departure area to a completely unneeded Valet Parking service. On a regular Saturday evening in early June, we experienced a half-hour traffic jam because of this decision. The problem will be even worse at peak travel times, with added chaos created by people trying to do end-runs by dropping passengers in the arrival zones. All of this creates enormous stress for passengers and the airport security and support staff. Valet parking is used by very few. In the past, it was available in the parking lot just outside the terminal, without creating any disruption to traffic. Why take almost half the available traffic lanes in an area prone to traffic jams? This was an unimaginably bad decision. Please reverse it before the traffic jams get even worse.",-1
2023-03-25,0.2,Family Leisure,1,2,3.0,3.0,3.0,2.0,,,poorly maintained international airport,False,"  My family and I visited the USA to visit my cousins. We had to land at Washington Dulles International Airport as this was the nearest major international airport closest to my cousins residence. The arrivals experience was just pathetic! The immigration took forever to complete. Even though the lines are very long, there appeared to be only one or two guys in the immigration kiosks, which together combined made a terrible immigration experience as a passenger. After the immigration was done (finally!) and on entering the baggage claim and arrivals waiting area, I found the area to be poorly maintained and also found water leaking from a spot in the ceiling. The departure experience was a little better. But the security areas made me feel like I'm in a building that is under construction. To sum up, I don't think a major capital city like Washington DC deserves this kind of a pathetic, poorly maintained international airport.",-1
2023-03-07,0.2,Solo Leisure,1,4,2.0,4.0,0.0,,,2.0,beyond embarrassed for our nations capital,True,"  I am beyond embarrassed for our nations capital. Tourists waited inline for over two hours to get through immigration. Some were elderly and many with small children. Is this how we as Americans want to welcome guest into our nations capital? My experience: Yesterday I arrived at IAD and had to go through customs. There were hundreds of people in the immigration lines (that is not an exaggeration). I was told by an employee to downloaded the MPC app on my phone and I could join the shorter line. I did as instructed and got a QR code. I thought WOW, this is great! Not!! I was in line for just shy of 2 hours. There were only two custom agents for our line and they didn’t even look at my phone or need the QR code. Just wanted to see my passport. I do not have an answer but there has to be a better way in this day and age to do better.",-1
2023-01-17,0.1,Solo Leisure,1,3,1.0,1.0,3.0,2.0,1.0,3.0,everything is just so archaic,False,"  The first time I Landed in Dulles back in January 2022 worse the worst travel experience I had ever had, or so I thought till I landed there again in January 2023. What a horrible place to embark or disembark. The terminals, immigration, customs, everything is just so archaic, and as much as the the ground staff try to make your experience pleasant, they are up against a 7 headed beast that just refuses to die. This must be the worst airport in the world. The powers that be who run this airport ought to cringe in shame for putting their fellow humans through such an life changing ordeal.",-1
2022-12-21,0.5,Couple Leisure,2,1,1.0,4.0,3.0,2.0,2.0,3.0,ridiculous shuttle vehicles they force us into,False,"  Every time I fly back into the US through Dulles, I'm struck by the inanity of those ridiculous shuttle vehicles they force us into. Perfect reflection of Washington, DC: inefficient and outdated. Plus, they never seem to have enough customs officers at passport control, even within a couple of days of the Christmas holidays. Sad because leaving the US through Dulles has always been pretty efficient.",-1
2022-10-24,0.3,Couple Leisure,2,1,1.0,2.0,3.0,,,3.0,transit experience at Terminal D was very poor,True,"  After uncomfortable, cramped flights on United Airlines, the transit experience at Terminal D was very poor. Long walks between gates, no moving walkways, low ceilings, dismal decor, minimal gate area seating, and filthy restrooms were all on a par with a dingy Greyhound Bus Terminal.",-1
2022-08-27,0.1,Couple Leisure,1,3,1.0,1.0,0.0,,1.0,1.0,stood in a line for over 2 hours,False,"  Appalling. US customs system broke down, we stood in a line for over 2 hours, missed our connecting flight. Have to wait 25 hours for another flight. Most unhelpful staff ever, we are totally abandoned. United airlines are another disgrace. No hotel, food or even water offered to us. We are treated like dogs. Disgusting!! Will never fly into this horrible place ever again.",-1
2022-07-26,0.2,Solo Leisure,1,3,2.0,3.0,1.0,2.0,4.0,1.0,entering through immigration is a lesson in patience,True,"  As many have stated, entering through immigration is a lesson in patience. With approx 200 people ahead of me and 5 persons working the kiosks it took 1 hour and 28 minutes to get to the immigration. Once there, it took all of one minute to be processed, thus I do not know why it took so long. Once through, it was time to have my carryon inspected...another delay. In the bag, was a bottle of inexpensive rum that I bought at duty-free at my departing airport. It was in a sealed bag, but no receipt attached to it. I think she may have handed it to me and I simply threw it in the garbage. Well, the staff member at customs told me I could not take it. I spoke my opinion of why from that point forward I would avoid this airport and departed one bottle short. Welcome to ""Merricah""! Now, as an airport goes, Dulles is missing something. It is missing a ""T"" at the end of it's name. This place reminded me of something out of the movie Airplane. A place stuck in time. I had a 6 hour layover and that was the most boring layover I have experienced. Simply nothing to do. Typical of many airports, I grossly overpaid for a sub-par meal, but I was ready for that. The $15usd draft beer made me feel like I was at a Leafs game. The positives? My fight left on time so I did not have to stay any longer in Dullest Airport.",-1
2022-06-11,0.2,Couple Leisure,1,3,2.0,4.0,2.0,2.0,2.0,1.0,we all had to stand staring at each other for two hours,False,  Our flight from Paris arrived at 4.30. We went to customs and there were hundreds of people in line. The lines seem to be moving very well and look like everything was running pretty efficiently. Then at approximately 6 o’clock all of the agents left and went on break except for one or maybe two with 1000 people in line. This is not acceptable. We had many families with small children which had to wait in the line for two hours waiting for the one or two agents that were still there to get through all of these people. This is totally unacceptable if the agents had just stayed at their posts for another 30 minutes the room probably would’ve been cleared but instead we all had to stand staring at each other for two hours.,-1
2022-04-26,0.2,Business,2,3,2.0,2.0,3.0,3.0,2.0,1.0,arrival was awful!,True,"  Departure was fine, arrival was awful! After witnessing the efficiency of international arrivals at Heathrow, I was appalled at how awful Dulles was. As a foreigner in the UK, I was through immigration in less than 10 minutes, as I was able to utilize their automated kiosk, it did a facial scan to match my my face to my passport, then I went straight to my luggage, as I didn’t need to speak with an agent if I had nothing to declare. The entire time, every encounter with an employee at Heathrow was pleasant. I come back to my own country, and I’m treated like a criminal - get herded like cattle to wait in a long line because they only have four agents working, every agent has that arrogant facial expression and body language, and then I get yelled at by the agent because I declared items that I had bought on the electronic form prior to landing. “You didn’t need to do this.” They use facial recognition as well, but a human has to review it - why? Heathrow is much busier, and they’ve automated the entire process. If the CBP agents think they’re doing us a favor by doing their damned jobs, then automate the process and send them down to the southern border where they’re needed.",-1
2021-05-19,0.8,Solo Leisure,5,5,4.0,5.0,3.0,3.0,5.0,5.0,My gripe is about CBP agents,True," No gripes about Dulles Airport IAD per se - it is clean, well-lit, w/ good signage, the lounge space is a bit tight, but it works out - the shops and food purveyors are limping due to covid, so that is why they get marked down - this is no reflection on the airport, staff, or concessions. My gripe is about CBP agents. In a word they are arrogant. This is a bad reflection on our entire country for international arrivals. Personally, I used to go thru' IAD at least once a month, often more. Now only occasionally due to covid, and I can report that the CBP agents have had a chip on their shoulder for a long time - once I get pulled aside and sequestered for a random check (they found nothing), and the guy was offensively arrogant and rude. Two days ago I landed after 24+ hours flying and the CBP agent that took my GOES slip was just obnoxious. I am still angry that I was treated that way. His entire demeanor and his body language were overbearing and rude and arrogant. I don't know what it would take for the agents to offer a simple ""good day, welcome to the USA"" or similar pleasant greeting. How about a smile? I know that are in law enforcement, but do not treat us like criminals. If you have to exert your little ""power trip"" over passengers, perhaps a good psychotherapist can help, or why not better training - or just find another line of work. Anyway, I have figured out this reflects the CBP culture at IAD. My final comment is that the arriving traveler should get a pleasant greeting and a smile instead of a gruff, antagonistic ""gimme that slip"".",1
2020-09-02,0.2,Couple Leisure,1,4,,5.0,0.0,,,,"No urgency, no accountability, no interest",False,"  Although luggage delivery has been much improved over the years - and not surprisingly was very quick for the lightly used flight I was on (UA107 from Munich had 35ish passengers in the 787), CBP continues to perform poorly! It took me (US citizen) almost 90 minutes to clear immigration. There were at most 5 booths manned and for what felt like 20 minutes zero booths were staffed. Especially when comparing the immigration line to the efficient process of German passport control for citizens of the EU, one feels like a felon returning to a third world country: standing around waiting for the whims of uniformed personnel that stand around behind the booths chatting or staring at their monitor while not processing travellers. No urgency, no accountability, no interest!",-1
2020-02-17,0.1,Business,1,1,1.0,1.0,1.0,1.0,1.0,1.0,An embarrassment to America,True," “A third world hellhole” as a news outlet called Dulles is an accurate description. It is filthy. The employees resent travelers, many don’t speak English. TSA are utterly incompetent with jaded attitudes. I will pay a lot of money and waste a lot of time in the future to avoid them like the plague. An embarrassment to America.",-1
2020-02-15,0.1,Business,1,1,1.0,1.0,1.0,1.0,1.0,1.0,This airport is a national embarrassment,False,"  Dulles is a horrible airport! It is amazing to me that in one of the busiest regions in the Nation nothing has been done at this airport to address the remarkable and ridiculous sprawl, the unreal security lines for domestic travel, the terrible, inefficient busing system, the terrible service, and the totally inadequate train system. This airport is a national embarrassment!",-1
2019-12-26,0.8,Solo Leisure,3,4,5.0,5.0,5.0,5.0,,5.0,Dulles gets the job done,True," Traveling through Dulles now the past couple of years, as it is my primary international airport in Washington, has been pretty consistent. On average it takes me under an hour from check in to the gate, and under an hour on return from immigration to the arrivals curb outside. The TSA officers are efficient on departure, and the return of Mobile Passport is a godsend for immigration on returns. The main problems basically were the management of the mobile passport and Global Entry lines at immigration and of course the dreaded mobile lounges one has to take to immigration. But overall Dulles gets the job done.",1
2019-12-23,0.2,Couple Leisure,1,4,,3.0,0.0,,,2.0,Simply appalling,False," Simply appalling. Arrived about 9pm ex LHR, 3 officers on the international side initially, reduced to 2 part way through. We were there at least 1.5 hours and we were at the front of the line off our plane. Those behind must have been there at least 2.5 hrs. US public infrastructure is so often very poor. Pick another spot to enter if possible.",-1
