datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-09-02,0.1,Family Leisure,2,3,5.0,1.0,5.0,5.0,5.0,1.0,awful attitudes of the staff,False,"  We had a terrible experience at this airport mainly due to the awful attitudes of the staff.  We had orders barked at us and when we didn't understand something or failed to digest things said to us, we were shouted at like we were in a boot camp which I found very intimidating. I has my young son with me too. The staff are extremely unprofessional and when I said to the security worker that its also very stressful for us as passengers, she said ""I'm just doing my job"". No it's not your job to shout, intimidate and scare people. Its your job to remain calm, professional and give clear instructions. Not shout at ppl which scares them that much they're unable to digest what is being said. If I wasn't so tired & in a hurry to catch my flight I would have said way more and put her in a place. Also the girl checking passports & boarding passes screamed at me that much, her supervisor had to come and tell her to calm down. She didn't tell me what she wanted me to hand over, just shoved her hand out so I gave her passports and passes. She shouted I don't need those stop confusing everything just give me the passports. She was literally shouting at me.  They need to be trained better as I'm absolutely disgusted.",-1
2024-09-01,0.1,Couple Leisure,1,1,,1.0,1.0,1.0,,1.0,Worst TSA experience ever,False," Worst TSA experience ever! 30 booths and only 4 open. Had 2 hours to catch my connection and missed it, because of horrible organization of this airport! Staff kept on saying ""everyone has a flight to catch"" - well, they were not ones to miss the flight due lack of urgency on their part. Cost me $400 to get a hotel to catch another flight the next morning, not even counting my lost time. Never again will I fly by that airport.",-1
2024-08-17,0.1,Family Leisure,1,1,2.0,3.0,0.0,,,1.0,"no nearby restrooms"" ",True,   Why are there no nearby restrooms for people coming in internationally? This is terrible. The employees are  unprofessional and will yell while you’re standing right by them. Not yelling at me but just yelling and screaming at passengers in general. The bathrooms (when I finally ran through the place) were disgusting. You could tell they were not properly and regularly cleaned. This was hands down the worst experience I’ve had at any airport and I will do my absolute best to never have to transfer to/from here again.,-1
2024-06-22,0.3,Family Leisure,4,2,3.0,4.0,3.0,2.0,2.0,2.0,TSA was horrible,False,"   TSA was horrible and gave us an incredibly bad feeling after bullying us through the screening. I didn’t get any names because we were concerned of staying longer than necessary, but one of the lead females were incredibly rude and treating her own co workers just as terribly. We understand everything TSA goes through and we are grateful for a team that secures our safety but that does not  give someone the right to yell at me or my wife! My wife is pregnant and they were savages about getting us through and getting a female to pat down my wife. We fly all the time and this is the ONLY time we had a TSA issue. I will be reporting this further if we have more problems, this needs to be brought to the attention of the employees and the culture needs to shift away from negative attitude to helpful security!",-1
2024-06-15,0.3,Solo Leisure,1,4,4.0,1.0,4.0,,1.0,,airport is so overrun,True,"  This airport is so overrun that I had to wait an hour for Uber to make it through traffic to the pickup area, and it took us another 30 mins to get out. The cops were shouting at drivers and people as well, not decent cop behavior. The AT&T cell service was overrun, too (showing all bars but not able to text or make a call). Won’t be coming through here again!",-1
2024-06-06,0.3,Family Leisure,1,1,2.0,2.0,0.0,,,,Deeply disappointed,False,"   We got in on a late flight to find long lines, disgusting restrooms, traffic problems, baggage backups, airport subway train closed at 12:15 which led to an excessively long walk to car and backtrack to terminal and no response on the valet phone for car. Deeply disappointed and embarrassed that this is an international airport.",-1
2024-05-29,0.2,Family Leisure,1,3,1.0,3.0,1.0,,5.0,1.0,“Passengers are treated like cattle”,False," Of all the airports I have visited, this IAH airport is probably the worst. Which is surprising as I'm comparing it with airports in a few economically poor countries. The airport people seem disinterested in their jobs. Even minor rains are treated as major disasters, causing everyone to take shelters indefinitely. From experience, the wait times for baggage to be delivered is easily 1-2 hours more than the time for baggage delivery in countries like Japan, London,UAE, Ireland, and Italy. In fact, the fastest baggage delivery I've seen was at the Mumbai airport in India - the bags arrived before we reached the baggage claim. Coming back to IAH, international flights struggle to find a docking gate at terminal E. Terminal E is best described as a shanty at this point due to repairs/renovations that hopefully will conclude during my lifetime. We were forced to sit on tarmac for hours after a long flight. Passengers are treated like cattle - beware, if you're requesting wheelchairs, you'll probably be wheeled around the next day if you're lucky. Sad.",-1
2024-05-18,0.2,Business,1,2,2.0,2.0,2.0,1.0,,2.0,Terminal E is bad,False,"   Terminal E is bad. Probably the worst I have seen. I’m not sure how an international terminal can be so small and not have any amenities, restaurants, etc. on both departure and arrival. Something needs to be done to upgrade this terminal.",-1
2024-05-18,0.1,Business,1,1,1.0,1.0,1.0,1.0,1.0,1.0,immigration takes ages,False,"   Worst possible airport, immigration takes ages, security check socks, signs are inadequate, arrogant staff, no help on hand, poor facilities, over crowded. By any standard, this is the worst experience I ever had",-1
2024-03-15,0.1,Business,1,1,2.0,4.0,1.0,,1.0,1.0,“cannot support this corporate greed”,True, Staff at TSA and CBP even more rude than normal - I understand this is a cowboy state but you don’t have to treat people like cattle by yelling commands at them. Long line at global entry so what is the advantage of having it? At other airports I just breeze through. Prices for food have reached levels that I’m not willing to tolerate any more. More than $15 for a prepacked old Turkey sandwich at CIBO that I in addition would have to check out myself is simply unacceptable even though I could expense it. I simply cannot support this corporate greed! Toilets smell like in a 3rd world country. To use the “free” WiFi a ton of personal data is collected - no thank you!,-1
2024-02-20,0.6,Couple Leisure,2,4,4.0,4.0,0.0,,5.0,,able to breeze through Immigration,True,"  Transited through Terminal E (International terminal). The airport is massive and the distances from domestic terminal to international terminal are vast. Terminal E has a wide spacious open concourse with all the amenities. Seating is plentiful at the Gates. Give yourself plenty of time 2h.5 hrs minimum to make connecting flights. The distances from the gates to Immigration and Customs are very long. The terminal was very crowded however with Mobile Passport Control, we were able to breeze through Immigration. The only drawback is that one has to exit the secured area and go through TSA security all over again with very long lines. From the transfer area one has to take the train to reach the domestic terminals. The free airport WiFi is very fast.",1
2023-09-30,0.3,Family Leisure,2,2,1.0,3.0,2.0,2.0,,1.0,screening process is excessive,False,"  Overpricing is a bit worse here than other airport shops I've seen. The screening process is excessive and very time consuming. Unsure if it is generalized, but on our screening, the TSA agent was one of the least courteous, rudest, pushiest, most impatient i have seen. Watched her shout at an elderly man at least 4-5x to empty his pockets while he was trying to do so. She showed no respect, no patience, and no courtesy. Extremely memorable and unpleasant experience.",-1
2023-09-25,0.1,Solo Leisure,1,3,3.0,1.0,0.0,,,3.0,really heavy screening,True,"  One of the worst arrival and transfer experiences I've ever had. Long lines - even with advanced traveller programs (Global Entry + TSA Precheck). Just horrible - really heavy screening, questions, etc. Almost missed my 90 min connection time. Global Entry is basically useless - they take your pic like everywhere else - and then you have to go through all the passport checking, 30 questions. Then you have to walk really far to get your bag and to recheck your bag to final destination. Then you take a train to another terminal where only half the train doors opened,  then run to make a connecting flight.",-1
2023-09-08,0.1,Family Leisure,1,1,4.0,2.0,1.0,1.0,1.0,1.0,departure staff at check-in were incompetent,False,  Upon arrival had to wait over an hour in passport control. Upon departure staff at check-in were incompetent. Said I was overweight and had to take out 5 items and go back to the end of the check in line and wait 45 min again! Seriously the dumbest thing that has ever happened to me and I have been traveling by air for 50 years.,-1
2023-08-18,0.1,Couple Leisure,1,5,2.0,3.0,2.0,,,,international pickup area is torture,False, The international arrival pickup area (terminal E) is a torture. Too crowded (jam packed with people on a narrow street side corridor/barrier) - outdoors with little shade - and it takes 45 minutes and an hour last year for our ride to snake around the terminals to get to you. Not nice when it is 100F outside. Or any time. They have construction going in - but it was the same a year ago and doesn't look like they are prioritizing this area. Worst i've ever experienced. It's a mad house. So chill when going thru this gauntlet. Really is bad for IAH to put people thru this.,-1
2023-08-14,0.1,Family Leisure,1,1,1.0,1.0,1.0,2.0,,1.0,Not suitable for families,True,  Easily one of the worst airports in the world. Just spent 12 hours stuck here with 3 kids. There was no care from any staff. They all pretty much just sit there and say it is what it is. Used to love Texas but the airport experience here will make our family think twice before ever visiting again because of the airport experience. Not suitable for families.,-1
2023-08-03,0.1,Family Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,Customer service is non-existent,False,"  Worst airport. Very much like all the other reviews. Customer service is non-existent. Workers are rude, slow, shout at you, and make an already hectic airport, a challenging experience. I will never travel through this airport again if I don’t have to. This is the only airport where you have a two hour layover and can barely make your next flight due to all the lines you need to go through when you’re traveling internationally. There are never enough custom lanes open. The security lines are long and make you fear that you will miss your flight.",-1
2023-05-29,0.2,Couple Leisure,2,1,,1.0,3.0,2.0,,,no customer seating at the gates,False,"  Taking a trip from United at Terminal C. I was amazed to find there is no customer seating at the gates. Everyone is looking for a place to sit and mostly sitting in restaurant seating which are few bathrooms are dirty, poorly serviced.",-1
2023-05-23,0.1,Solo Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,unorganized and unclean,True," The airport is unorganized and unclean. Food courts lack clean dining tables, the seats are uncomfortable at any gate, they lack adequate and up-to-date ATM machines, and the signs directing people are straight up confusing.",-1
