datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-08-17,1.0,Business,5,5,,5.0,5.0,,,5.0,"compassionate and dedicated"" ",True,"   I can’t express enough how grateful I am for the exceptional help I received from Hilary, the gate check agent at Spirit Airlines. I was in a complete panic after losing my cell phone at the airport. With no way to contact my family and let them know when I’d be arriving, I was extremely stressed and worried that they’d be concerned about me. Hillary noticed my distress and went above and beyond by offering to let me use her personal phone to send a quick text to my family. Her kindness, thoughtfulness, and willingness to help me in a moment of crisis made all the difference. Thanks to her, I was able to let my family know when to pick me up, and I could finally breathe a sigh of relief. Never did find my phone but there was a silver lining. Hillary truly saved the day for me, and I can’t thank her enough for her generosity. Spirit Airlines is lucky to have such a compassionate and dedicated employee. Thank you, Hillary, for turning a stressful situation into a manageable one. You have no idea how much your help meant to me!",1
2024-07-16,0.4,Couple Leisure,4,1,4.0,5.0,3.0,5.0,5.0,2.0,The bathrooms are filthy,True,  This airport is disgusting. The bathrooms are filthy with urine and unworking flush mechanisms. Floors throughout terminal 1 appear to rarely get swept or mopped. Im amazed the airport can pass a foodservice inspection. We ate breakfast at the wendys and the seating areas and tables had spilled drinks and food all around the dining space. Trash overflowing. It seems the cleaning crew are non existent or inept. Avoid this airport at all cost. Tsa was friendly and efficient but the rest is a zero.,-1
2024-06-15,0.5,Couple Leisure,4,3,2.0,4.0,1.0,2.0,4.0,,B concourse needs major renovations,True,  Review limited to Terminal 1. Arrived at the D gates. The D concourse appears to have more amenities which appear to have more amenities than the B concourse. The concourse is bright and spacious. Departure was from B concourse. The B concourse has only 2 restaurants and lacks amenities. Slot machines take up most of the space at the gates which makes for a very crowded gate area. I didn't notice any in seat USB and/or power outlets. The B concourse needs major renovations to align it the modern and spacious terminals you see at other airports. There is no lounge at either B or C concourse. Free Airport WiFi is fast. We dined at PGA restaurant. One of the worst meals we've had. Our meals were comped (fish & chips) as it was not up to the restaurant's standards.,1
2024-02-24,1.0,Solo Leisure,5,5,5.0,5.0,0.0,,,5.0,amazing lady from Flint Michigan,False, God bless the amazing lady from Flint Michigan. I can’t remember her name. I threw my back out the day before my flight. I was hunched over and could barely walk. She got a wheel chair for me and took me though security and all the way to my gate. Waited for my plane and rolled me down the jet bridge. I don’t know what I would’ve done without her kindness! I hope she knows how much she’s appreciated!,1
2023-12-04,0.1,Business,1,1,1.0,1.0,1.0,1.0,1.0,1.0,“TSA employees were very rude”,False,  The TSA employees were very rude! TSA Pre Check was closed! The airport is one of most unclean airport’s I have ever visited. Seating at Gate A has no charging ports on the seats. The experience at LAS makes me extremely grateful to go back to my home airport #BNA.,-1
2023-10-14,0.1,Couple Leisure,5,1,1.0,5.0,0.0,,,4.0,it was dirty and nasty,True,"   Sitting area is disgusting! Trash under chairs, carpet very dirty and bathroom were not clean. Water was all over the bathroom ladies room and it was dirty and nasty.",-1
2023-07-02,0.3,Family Leisure,3,1,1.0,3.0,1.0,1.0,,1.0,airport seems to hate their customers,False,"  This airport seems to hate their customers. Had a layover for a red eye, never a great situation but this airport is especially terrible between 1 am and 6 am. There aren’t many bathrooms in this airport to begin with, and then they shut down every bathroom in the airport at the same time for cleaning around 2am, so good luck. Need to sleep at the gate? Well, the seats have huge metal arm rests to prevent sleeping, so the gate was full of uncomfortable people trying to sleep upright. Then they have loud rock music playing nonstop. And, on top of that the person driving the floor cleaner up and down the walkway constantly honks the horn on it as she passes the terminal full of people trying to sleep. I get that it needs to be cleaned and there is never a great time for that, but blowing the horn nonstop was unnecessary.",-1
2023-05-13,0.3,Business,1,3,4.0,2.0,2.0,,,2.0,worst queues I’ve ever seen,True,"  Terminal 3, wow. The worst queues I’ve ever seen. Just for TSA Pre Check, the line was backed up a quarter of a mile. The regular line was unheard of, there’s no way anyone is making their flights. Something needs to be done to make the security lines more efficient in Terminal 3.",-1
2023-03-20,0.2,Couple Leisure,1,3,3.0,4.0,0.0,,,,"rental car experience a fiasco"" ",False,"  Agree with other reviews rental car experience a fiasco. Embarrassing for City of Las Vegas. Will avoid in future for sure. Long lines for shuttle which took forever to show. Then, of course, further chaos at actual rental counters.",-1
2022-12-11,0.1,Business,1,5,,5.0,0.0,,,,entire rental car experience is hands down the worst in the country,False,"  I travel all over the US. The entire rental car experience at LAS airport is hands down the worst in the country. The shuttle buses take forever to come and they send one of the time every 20 minutes to half an hour with hundreds of people waiting in line, then at the rental car center the lines get even worse. For one of the number one tourist destinations in the country this is absolutely awful and one of the most inefficient clusters at any airport. And today is Sunday, can’t imagine how bad it would be on Friday. This happened the last time I came in November 2022.",-1
2022-11-01,0.5,Business,1,4,3.0,1.0,4.0,4.0,,2.0,a less than pleasant experience,False," Slowest baggage claim I have ever encountered. Arrived 11 PM on Southwest in Terminal C. Very poor signage directing which of many carousels our bags would unload on. When I finally located the correct carousel, the switched it. Poor signage directing travelers to appropriate doors (there are many, many doors) for rental cars. No airport staff on hand to assist. No readily sighted baggage service areas if my bags hadn't showed up (and again, no one I could have asked.) All rent a cars are located in a terminal about 15 minutes away. You have to queue for a common bus to take you there. Long wait for busses both arriving and returning to airport. Bus operations staff generally rude and unhelpful. The departure side of the operations was somewhat better but the rental car return was again, not well run. (The airport part of it, not the rental companies themselves, those were fine) good food options. Overall a less than pleasant experience.",-1
2022-07-03,0.3,Business,1,2,,2.0,0.0,,1.0,,They make it as difficult as possible,False,"  I had to pick up my husband after he dropped off a rental car. I've been here before, but apparently the traffic gnomes came and made a huge mess out of everything around here. Forget using your GPS or maps. They make it as difficult as possible. Think I wound up going through Tijuana and back. Not to mention the locals drive like they are going to rearrange your bumper.",-1
2022-05-30,0.1,Couple Leisure,4,3,4.0,3.0,1.0,2.0,3.0,3.0,extremely reluctant to ever use LAS again,True,  The catering facilities in the departure lounge of Las Vegas airport on the 28th May 2022 was appalling. There was only one food outlet open selling any food and that was Burger King. All of the others were closed. This was at 4pm on a Saturday afternoon. For such a large and busy airport on memorial weekend it is just not good enough. Can someone from the airport management please explain this. I would be extremely reluctant to ever use LAS again.,-1
2022-05-16,0.1,Couple Leisure,1,1,1.0,2.0,1.0,1.0,1.0,1.0,The TSA agents are extremely rude,True," The TSA agents are extremely rude, Bathrooms were not kept up, paper towels all over floor, no toilet paper in stalls. Inadequate seating in waiting area, people having to sit on floor! Terrible airport overall.",-1
2022-04-01,0.2,Couple Leisure,1,1,1.0,2.0,0.0,,3.0,1.0,poorly organised airport,False,"  The queues were to long to get in to the country, minimal staff working hour and a half standing in the queue. No where to sit. Got to the front of the queue and the man left for his break, we asked if we were able to join another queue but he shouted and told us to get behind the yellow line. Extremely rude, poorly organised airport.",-1
2022-03-20,0.4,Couple Leisure,3,3,3.0,3.0,3.0,3.0,3.0,2.0,there's no reason to treat people that way,False,  Rudest TSA agent I've ever ever encountered. He yelled a profanity at us because we didn't realize our suitcase had to go into a tray. I understand of you're having a bad day and that TSA can be a difficult job but there's no reason to treat people that way.,1
2022-02-24,0.1,Couple Leisure,1,1,3.0,3.0,2.0,,,1.0,the least efficient airport in the U.S,False,"  Probably the least efficient airport in the U.S. when it comes to rental car rental and return, and the shuttle transportation from the rental car area to the airport. You do not want to be cutting it close to get to your departure gate if dropping off a rental care here, because they certainly aren't in a hurry and the shuttles are few and far between.",-1
2021-12-29,0.7,Solo Leisure,1,4,3.0,4.0,4.0,3.0,,1.0,There is a taxi problem every time I fly into Las Vegas,False,  Once again a 100+ person taxi line and no cabs. McCarron needs to have at least minimal cab service of some level to meet customer demand. There is a taxi problem every time I fly into Las Vegas.,-1
2021-12-27,0.1,Couple Leisure,3,1,2.0,3.0,3.0,3.0,3.0,1.0,such a disgusting airport,False," In the many flights I have been on I have never seen such a disgusting airport. When I say unclean I mean, you don't even want to put your shoes on the floor. No moving sidewalks were working. All tables and counter space were sticky and had trash everywhere. Bathrooms were so bad that I waited to use the one on the airplane. Due to a delayed flight I sat there for 6hrs and saw 1, I repeat 1, cleaning lady come around and smash the trash down instead of taking it out.",-1
2021-12-08,0.2,Solo Leisure,3,1,1.0,3.0,,,4.0,4.0,It was a chaotic mess,False,"  I was so disappointed with McCarren Airport on December 6th. Terminal 1 was so over crowded and no one making sure people were wearing mask. It was a chaotic mess. Announcements constantly over the top of each other. Constant gate changes, dirty and broken down woman’s bathroom and overcrowded mess., That terminal created so much stress to everyone. Please, with all the constant traffic through that airport you must do better. I was there on a Monday evening and not a Holliday, could it be worse? It’s a bad experience for customers and I am sure it’s stressful for employees. Way to crowded in all areas and out of control.",-1
2021-10-20,0.8,Couple Leisure,5,5,5.0,5.0,5.0,5.0,5.0,3.0,Going through TSA was another story,False,  My husband and I are going to see our grandson in MN. We are 71 and 79 years old. We have not flown in 2 years. We are Pre TSA and are flying Sun Country. The check in for Sun Country was great. Going through TSA was another story. The gentleman at the walk through scanner was very rude. I set the beeper off. I said it was probably my anklet. He said that was not possible. I told him that it had happened before. He told me again that was impossible. I removed my Apple Watch and two bracelets. I then was able to go through the scanner. I felt that he was very rude. I understand there can be frustration when dealing with the public. This is the only recourse that I have to express my unhappiness.,1
2021-10-13,0.2,Family Leisure,1,3,4.0,3.0,4.0,3.0,5.0,1.0,security check point is slow,True,"  American Airlines kiosk not work and unacceptable personal for need and slow service in the baggage drop off, security check point is slow and rude personal for family members including kids.",-1
