datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-07-16,0.5,Solo Leisure,2,3,,3.0,1.0,,,2.0,“This is just highway robbery!”,False, $10 for this rinky dink breakfast sandwich that has one paper thin small piece of ham on it to call it a ham sandwich. This is just highway robbery!,-1
2024-06-17,0.1,Business,1,1,1.0,1.0,1.0,1.0,1.0,4.0,Some things just never change,True,  To be a premium passenger at Tom Bradley Terminal is deplorable for 2024. The line for a $12k ticket in business class is always horrible. They need a separate line so passengers can enter and start spending money! You lose so much revenue people standing in a line and not buying food or drinks Or retail. Some things just never change and keep LAX in the bottom of airports on the world.,-1
2024-05-27,0.4,Solo Leisure,2,2,2.0,2.0,1.0,4.0,,,International terminal very crowded,False,"   Arrive at Alaska air terminal and walked to international. Underground tunnels let you skip shuttle bus. These are very narrow, long and drab and you need bag on rollers. Signage is sparse. International terminal very crowded and seems duty free oriented. Food is limited to very expensive fast fare. Enough seating but few places to charge phone. Not a great to spend 5 hours, but I’ve had worse.",-1
2024-05-15,0.3,Family Leisure,3,1,1.0,2.0,1.0,,4.0,,“As usual gate changed twice”,True, As usual gate changed twice necessitating walking between terminals. Happened every time visited this airport. Most restaurants shut down at 9:30pm which means no food on internal flights.,-1
2024-04-27,0.2,Family Leisure,5,5,5.0,5.0,5.0,5.0,5.0,1.0,this is unacceptable.,True,"  My family had a stopover in LAX a few weeks ago. My elderly father is disabled and also has a cognitive disability. We told a female LAX employee he can't walk on his own. She offered to drive him on her cart but told us we (my mom, my aunt, and I) we couldn't go with him. Then she drove off without telling us where she was going to drop him off. After we went through security, we did not see my father. We started to panic and frantically looked for him for him all over the airport. We asked a few LAX employees where we could possibly find him. They shrugged and acted like they didn't care. None of them got on their phones or walkie-talkies to communicate with each other. We also informed a customer service agent behind a glass booth and told him we couldn't find my father. He was unhelpful and wouldn't go on a public speaker to page my father. After over an hour, we randomly found my father at an Alaska Airlines counter. The airline we were supposed to fly with was Air Canada. LAX, this is unacceptable. You should let family members travel with disabled passengers and train your staff to communicate with each other and with passengers.",-1
2024-02-20,0.8,Couple Leisure,4,3,4.0,4.0,0.0,,4.0,3.0,"things have changed, for the better",True,"  It's a few years since we last landed or left LAX and things have changed, for the better. Ahead of the game, LAX has installed new scanners so passengers do not have to remove liquids from their bags, liquid sizes seem to be the same as before. Body scanners are widely used and seem to indicate things in pockets or concealed regularly. On entry and leaving it said there was something in the groin area (something unusual that is) causing me to have a very thorough frisking around that area. A few more shops and refreshment options airside now than before. The Star Alliance lounge for my transit and the One World Lounge coming home are okay. Seating was easy to find and the buffet and drinks were plentiful, if simple.",1
2024-02-06,0.4,Family Leisure,4,5,,5.0,0.0,,,2.0,TSA worker was very rude and disrespectful,False,"  After enduring the crazy night traffic of LAX, there was a TSA worker who was very rude and disrespectful, causing a verbal spat between a couple and myself with my mother. We were instructed, by another TSA agent, to find any open space for the bins and use it. A couple in front of us obviously didn't know how this TSA worked, and neither did I, in addition, to taking their time and holding up the line. In the mean time, the older women TSA agent wasn't paying attention and was making small talk with the couple. I had already placed items in 2 bins, and stacked another because she wasn't paying attention and her male co-worker was giving my mom (who was unable to move bins because of surgery) instructions to put a heavier suitcase in a bin. The way the luggage line is set up, there is a divider and the TSA agent has to pull the bins from the customer side to allow them to move toward the xray area on their side to create space. I attempted to maneuver the bins and then waited, but there was still no space in front of me, so I took one of the two spaces that the  couple was not using, because the older TSA agent wasn't paying attention. The TSA agent then gets an attitude with me and tells me that I took the white woman's space that was in front of her; but, the woman of the couple had 2 spaces without bins and she was holding up the line and I needed to get to my flight. So I proceeded to tell the TSA agent that I was helping my mother because he coworker was instructing my mother to put items in a new bin and rushing her along and my mother wasn't able because of her arm, and I asked her, since she wasn't moving the bins in front of me to create space, what did she expect me to do, and she stated to ""hold it (the bin)!"" Really?! I attempted to explain to her that her coworkers instructions and her instructions were conflicting and that I was trying to help my mother. She continued to go back and forth with me. The male coworker was apologetic after we told him of my mother's condition, but the older agent continued to be rude, which caused me to also respond. This could have been resolved if the TSA agent was paying attention and moving the bags along and instructed the female to place her items in one of the spaces and allow me to place my items in the other space. The couple continue to talk about me and the situation and my mother became upset because they were saying I was mean and inconsiderate but that couldn't have been furthest from the truth. The situation only escalated after the couple, along with the TSA agent, continued to be inconsiderate of others trying to make their flights.",1
2024-01-15,1.0,Solo Leisure,5,5,,4.0,0.0,,,5.0,staff were just absolutely amazing,True,"  I was well on my way to missing my connection flight from Cancun on United to Brisbane via LAX on Qantas. The Cancun delay of 1 hour 30 had changed my connection time to one hour. Usually an impossible task. I was in luck and was travelling using disability services due to a broken foot. The disability services had been arranged for each leg and when I mentioned my predicament the staff were just absolutely amazing. Firstly the lady who name I can’t remember got me through customs and bag pickup in minutes, handed me over to a waiting disability transfer van she had called ahead for. Once in the international terminal a gentleman by the name of Lyn made a personal effort to get me through all the check points radioing ahead to let all staff know he had a passenger whose flight was boarding. Once through all checks he got me on a golf cart and raced me to my gate. Without the tremendous kindness and effort of these staff members I wouldn’t have made it. I made an extra effort to be courteous, kind, thankful and called everybody by name. It’s amazing how far people will go if you are actually thankful and polite. The bus transfer lady and I had a lovely conversation whilst getting between terminals. I’m forever grateful to those individuals. Thank you LAX for giving me the experience I never thought I’d receive.",1
2024-01-06,0.1,Business,1,4,1.0,1.0,1.0,,,1.0,I could not get a wheelchair,False, Not inclusive to folks that need assistanc - I waited over an hour before my flight started to board which they never showed up. If you travel to LAX and need assistance don’t expect help here. I actually hurt myself worse because I could not get a wheelchair,-1
2023-12-15,0.1,Solo Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,shocked and appalled how bad it was,False, I was shocked and appalled how bad it was. Absolutely filthy and dilapidated.  No markings on where to go. Incredibly slow and crowded. Nowhere to sit. I'm glad I had I 3 hour layover because I spent every bit of it just getting to my connecting flight. TSA was incredibly rude and wouldn't look you in the eye when talking to them.  I still cant believe its an airport on US soil. Its shameful. I will never transit through there again.,-1
