datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2023-10-26,0.8,Solo Leisure,5,4,4.0,4.0,5.0,,5.0,,Restrooms are plentiful and clean,True," The new Terminal C is a significant improvement over the old Delta terminal. This is a spacious terminal with plenty of light from the floor to ceiling windows giving views of the airport runways/aprons and CitiField and Arthur Ashe Stadium. The walk from gate 75 to gate 97 was rather long. Restrooms are plentiful and clean; however, in some locations they could use more stalls given the number of passengers who traverse this terminal. Dining options are placed conveniently. I had a delicious lunch at one of the restaurants. The airport WiFi is very fast and worked flawlessly.",1
2023-06-18,0.8,Business,5,5,3.0,4.0,0.0,,,4.0,High marks for LGA new Terminal B,True,"  High marks for LGA new Terminal B. The building is spacious with plenty of light. Long walks from check-in to the gates and one has to walk through the  shopping mall to get to one's gate. Arrived on a Thursday at 7:00. Went to the TSA PRE line. There were about 20 people ahead of me but, with 4 stations open to check ID, the line moved quickly. Found myself in a too-slow security lane. People, why do you wait until you get up to the scanner to remove your watch, belt, jewelry, etc. Especially if you're in PRE, you know who this works! Still and all, I arrived at 7:00, checked luggage and was through security by 7:15. Not at all bad for this newly refurbished airport.",1
2023-05-31,0.1,Family Leisure,1,1,1.0,1.0,,,,1.0,no signage to speak of for Frontier,True,"  Absolutely no signage to speak of for Frontier, very hard to figure out where to go amongst all the Competitor airline signage, very difficult to find the terminal to go to, and the ticket agents and bag person was rude. The only thing going for this terminal was the security desk, they were nice, and the person behind the screener checking the people images was sort of funny, other then that everyone else i dealt with was rude.",-1
2022-10-18,0.4,Couple Leisure,3,4,1.0,1.0,1.0,,,4.0,Horrible experience,False," While arriving to La Guardia Terminal B from JFK after an international flight, we were too early to check in. There is no restaurant to relax in without going through security It was too early to check bags therefore could not go through security but had nowhere to have a drink & food & relax. Very few seats Those that we’re provided were backless benches. After a renovation it seems someone should have thought to provide food service for those arriving too early to check in. Horrible experience",-1
2022-09-05,0.2,Solo Leisure,2,2,1.0,1.0,2.0,2.0,,1.0,Its bad reputation is well earned,False,"  Terrible signage, inefficient layout, understaffed. Its bad reputation is well earned. Not much else to say. Ridiculous that they are trying to renovate the airport but simply better signage would go a long way.",-1
2022-08-25,1.0,Couple Leisure,5,5,5.0,5.0,5.0,5.0,5.0,5.0,"Delta Terminal C is elegant, convenient and modern",True,"  The new Delta Terminal C is elegant, convenient and modern. Restaurants, gate areas, and restrooms were all immaculate. Check-in went smoothly. Keep it up.",1
2022-07-25,0.1,Solo Leisure,1,2,1.0,2.0,2.0,2.0,,1.0,I will never fly through La Guardia again,False,"  I had a flight scheduled to leave a 6 in the morning connecting in La Guardia. Several delays and flight changes later, I finally managed to get on a plane, and then had to wait in the plane for another hour because La Guardia had shut down airspace. I will have to figure out another connecting flight because of this, and they made me check my carry on so God knows where that will end up. This has been a complete nightmare I will never fly through La Guardia again.",-1
2022-07-23,0.1,Couple Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,a pathetic excuse for an airport,True," This has to be the worst airport I’ve ever been too. Not only is every terminal a 20 minute drive but the ‘shuttle service’ drops you half a mile from terminal C. Wait it gets better, you have to walk another mile once you get through security to get to gate 67 because they refuse to open a closer security checkpoint site. This is a pathetic excuse for an airport and honestly should be shut down.",-1
2022-07-14,0.9,Couple Leisure,4,4,4.0,5.0,4.0,4.0,3.0,4.0,The new terminal is unrecognizable and a huge improvement!,True," I hadn't flown from LGA in years and was very impressed with the new Terminal B (home to American Airlines and others). Beautifully designed, spacious, and easy to navigate with abundant dining and shopping opportunities. Check-in areas are spacious and efficient. Great rest rooms. The new terminal is unrecognizable and a huge improvement!",1
2022-05-18,0.1,Family Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,Don’t mind taking your money but don’t care if you get what you pay for,True," We flew from Dallas to New York where we had a lay over and changed planes before going to Portland Maine. We thought! However our flight to Portland was delayed several times and then cancelled late at night when shops closed. There were elderly people and handicapped people and some medical issues. No assistance was offered. The passengers stuck together and tried to help each other as much as possible. Had to ask for snacks and water but no wheelchairs, no blankets, no directions, just a lot of rudeness. We spent the night on the floor freezing in the airport, then next morning when trying to leave nothing but rudeness everywhere. Security screaming at deaf boy because they wouldn’t calm down long enough to realize or listen to us trying to tell them he was deaf. Eating places the same way. Don’t mind taking your money but don’t care if you get what you pay for and rude to boot. Check in very inefficiently run.",-1
