datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-09-14,0.2,Business,3,4,3.0,4.0,2,2.0,2.0,2.0,better than what it was before,False,"  The airport has been updated and it’s much better than what it was before, but still doesn’t even have a business lounge or place to go to if your flight is delayed and every time I fly through MCI, the ladies’ bathroom in the Terminal always has a very long line, because the other option is the ALL Gender bathroom, but a lot of women don’t feel comfortable sharing a bathroom with men.",-1
2024-04-21,0.8,Solo Leisure,5,2,4.0,5.0,3,3.0,5.0,5.0,like the size and style of the facility,False,"   Southwest 4 hour layover on a return trip from Cancun. Airport is quite nice and modern. With enough space to accommodate surges. I'll take this airport any day over an Atlanta Delta layover. Clearly a new addition to the Kansas field (did not experience old terminal). Customs/bag claim, re-check, and re-screen for TSA for the domestic leg was super quick. Really like the glass jetways. Friendly TSA and gate agents. Bag claim and TSA were all quite clean. Gate areas were dirty - and not in the post-rush kind of way. Heavy duty cleaning seemed neglected/deferred. One example that stuck out: Dusty and fingerprints on window area/sills, etc. Bathroom sink areas could have received more attention. Some soap dispensers not functioning. A small gripe: Impossible to get a bottled unsweet tea anywhere in the facility. Every retail business had the exact same drinks in their grab and go coolers. My guess is it is contracted out to Pepsico or something. What's the point of having multiple retail businesses if they all serve the same stuff? Overall, I really like the size and style of the facility. Will look forward to my next layover here, should the time come.",1
2023-12-09,0.2,Solo Leisure,3,3,3.0,4.0,3,,4.0,3.0,“What were they thinking” ,True, Getting from drop off to your gate takes forever. After you check in with airline they have you walk a country mile to get to security. Than its another country mike to get to your gate which was Delta but God help you if you took Southwest. The old airport was fast and easy. What were they thinking. Poorly designed.,-1
2023-12-01,0.2,Couple Leisure,3,1,3.0,3.0,2,,,2.0,"dirty floors, dusty everything",True,"  The bathrooms look like they haven’t been cleaned in weeks. Splatters on the back of the toilets, dirty floors, dusty everything. Looks like all they do is refill toilet paper and seat covers",-1
2023-11-27,0.1,Couple Leisure,1,1,1.0,1.0,1,1.0,1.0,1.0,"The worst airport ever"" ",False,   I have waited for about 1.5 hours to enter the gate. It was so disappointed and I haven’t experienced it before in any airport. The worst airport ever.,-1
2023-11-09,0.1,Family Leisure,1,2,1.0,1.0,0,,,,Little to no signage for anything,True,"  The old airport was great. Fast TSA, comfortable gate seating, no frills. The new one - not even close. Check in was very clunky, there's no real traffic flow, just a mass of passengers. Horrible, slow TSA (similar to Atlanta). Way too many shops and restaurants. Little to no signage for anything. The gate seating area only sat 55 passengers. More shops and restaurants, why are there any at all? An airport is not a destination, it's a thoroughfare. I attempted to find a bathroom and looked until I saw a sign flat on the door (no hanging sign). Overall a poor experience with something that was supposed to make life better. Next time I'll fly out of St Louis.",-1
2023-07-12,0.3,Couple Leisure,3,4,1.0,1.0,4,4.0,4.0,2.0,some important things missing,False,  The new airport is very pretty but there are some important things missing. The signage is not great. They must have forgotten about signs for baggage claim because they only have sandwich boards in the main terminal area directing you to the baggage claim. We found NO SIGNS for rental car area. Finally got a broadcast on the PA regarding car rental location and shuttle. The TSA lines were very long even though not many people are here. They had the area roped of as if they were expecting a large crowd and didn't bother to shorten the lanes when not needed causing people to walk more than necessary. The new seats are uncomfortable. Our TSA person at the baggage check area was rude and didn't seem to know the rules for people over 75. I realize it is a work in progress but seems like some of these issues should have been obvious to the designers and planners. Lets hope it gets better as time goes by.,1
2023-07-06,0.7,Family Leisure,4,2,4.0,4.0,4,4.0,4.0,3.0,modern necessities one would expect,False,"  Feedback on my initial visit to MCI (new terminal). I am a Kansas City native --- this review is critical, as it should be. Overall impression is outstanding compared to the 1970s era terminals. It addresses the needs of a 21st century Midwest airport with all the modern necessities one would expect as a flying customer. First impression walking in, it's big. It spans wide and the design incorporating natural lighting with an abundance of windows is refreshing. The evening sunlight streaming in through different angles really provides a ""non-restricted"" feel as you walk about the terminal. The respective airline check-in counter/placements are easy to identify and span the width of the front end of the terminal for easy access. Security access is fairly streamlined and the entire process is able to accommodate large volumes of travelers (non-TSA airport - VMD corp) more natural light as you progress through each arm of the terminal (A/B/C) with interior lighting not overbearing. The walkways are wide and allow for excellent views of the tarmac, exterior gates, and various angles of the entirety of the taxiways and runways. Additionally, the escalators and walking escalators are positioned nicely and push you through terminal in a speedy manner. More shops, etc. at each terminal branch, providing basically anything the traveler would need. The vibe and local venues are all a welcome addition and definitely fulfill the needs of the traveler. Individual gates and structured well and offer comfortable seating and ample wireless device charging. The one thing that seems odd is the placement of the gate flight monitor(s). It is essentially in the seating area of the individual gates. Why not place it directly behind/above the agent booth/desk for easy and quick access and explanation (poor design decision). Boarding the plane, the traveler is treated to long glass jet bridges that allow for excellent views of adjacent aircraft and outside weather conditions. This is a well thought out design that many major airports do not offer. Overall, the new MCI/KCI terminal is a massive upgrade to the Kansas City area. It has the opportunity for expansion and I would expect future modifications to address design shortfalls and customer feedback. We concluded it feels like a mall when walking though the new terminal. Three things need immediate addressing - (1) Men's restroom upkeep and sanitary conditions unacceptable. Need to revisit the options of installing automatic hand blower machines and look at the cleaning schedules to ensure conditions do not deteriorate to the point of being an embarrassment.  Cleaning crews need to maintain a regular schedule on vacuuming the terminal carpet - paper and debris everywhere.  Please explain how the gate flight monitors are controlled by the city? How is this beneficial to the traveler or airline staff? Local control to change/modify the monitors shouldn't even be a discussion. This new terminal is supposed to represent the pride of Kansas City aviation.",1
2023-05-18,0.7,Business,3,2,5.0,3.0,3,3.0,4.0,3.0,housekeeping services are poor,False,"  Brand new airport that looks pretty nice but housekeeping services are poor in and outside the airport. They tried to make it local Kansas City restaurants only so don’t look for a Starbucks, you won’t find one. Seating at gates is sufficient with work table space as well.",1
2023-05-11,0.1,Business,5,5,5.0,1.0,0,,5.0,,Poor lighting for road signs,False," Poor lighting for road signs for rental car return. By the grace of God I was not killed, I was going head on to incoming traffic the wrong way because of poor lighting, it was 4 am on May 11 2023. Lack of signs and direction for rental car return. Please fix this problem before someone is hurt.",-1
2023-04-05,0.4,Business,3,4,3.0,3.0,3,3.0,3.0,3.0,Very inconvenient airport,True," Brand new, pretty and nice but very inconvenient. They did not provide enough space to check is thus creating chaos. Confusing lines, no one was helping. For departing passengers using parking shuttle you get down on arrival area then get to upper level to ticketing, only 1 escalator going up and down. If not working you have to carry your check in luggage. very high escalator, did not see option for stairs and minimal number of elevators. Once you check-in getting to your terminal is a long walk not enough moving walkway. Beautiful but not functional, poorly planned new airport. Spent money to make it beautiful but poorly functional. Very inconvenient airport. If I don’t live in Kansas City, will surely avoid this airport.",-1
2023-02-11,0.1,Business,3,1,2.0,1.0,0,,,1.0,by far the worst I've been in,False,"  I fly 20-30 trips per year and KC Airport is by far the worst I've been in. We almost missed our transfer flight because doorways exiting terminals were not adequately marked so we had to go through TSA again. Another lady said she had the same experience. TSA people took my reusable water bottle because it was full of water from last airport and would only let me leave airport and pour out. Before all this happened, I went to the restroom, which was shockingly filthy, broken doors, non working towel dispensers, half smashed toilet paper dispensers.",-1
