datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-08-19,0.1,Business,1,2,,1.0,0.0,,,1.0,"“confusion, delays and closed sections”",True," Every time I arrive from international flights there is confusion, delays and closed sections to go from customs to connecting flights. On this occasion you had to exit the airport security after i rechecked bag then re entere to the terminal, I had duty free bottles of wine so i asked the bag check attendant and told since it's duty free it should be fine... not a chance had to check my back pack and hope it makes it without breaking. Also When Sky train has non functioning station there is a sign for it after you've gone all the way up to the station. I always try to avoid this airport for international entry.",-1
2024-08-04,0.1,Family Leisure,1,3,2.0,1.0,0.0,,,1.0,an intense nightmare,True,"   Started with rude traffic officers when my husband was helping bring my 7 year old son across the street. The baggage check is confusing, signs don’t matter and there’s virtually walls of people and no one helping direct you. I was redirected to a different entrance 3 times, even though I was following the signs properly. TSA was rude. No bins for small items or your bags. After getting to the gate it was fine but going through back check and TSA was an intense nightmare. It’s fine for solo travel I guess but traveling through this airport with children was awful",-1
2024-07-04,0.2,Couple Leisure,1,3,2.0,2.0,2.0,,5.0,1.0,TSA staff rude,False,"   TSA staff rude. Moved about without purpose or care - slowly with apathy. One rep on their phone. 2 security lines open. One line jammed up due to having to take a bag off line to check. Waited 15 minutes in the line. Said they were short staffed and didn’t have anyone to check the bag. When we moved over to the next line because the one we were in directed us to, the other rep yelled at us and said she had customers waiting before us. Are we not also her customers that were waiting? She then glared at us and was whispering to another rep about us. Condescending and rude to travelers. They were laughing at people trying to get through, including airline crew and airport staff for being frustrated. This causes anger and frustration and a poor overall mood for passengers when good and positive attitudes would support happy and positive travelers and less issues on airplanes. Embarrassed for this country with international travelers when other countries are kind and calm to travelers because they know it is important for commerce, mental health, and relations with other people. When we finally made it through there were 15 TSA staff standing just inside the concourse having a meeting. Gate staff were kind as well as the staff at the Juan Valdez coffee shop, otherwise would have given a zero.",-1
2024-06-18,0.2,Solo Leisure,1,1,2.0,1.0,4.0,,4.0,1.0,crowded and confusing,False,   Worst customs ever. Consistently crowded and confusing. Staff are condescending and rude. Facilities are dirty. The connecting flights lines were very disorganized and people were panicking had a 2 hour layover barely made it to my connection. Trash bins were overflowing in terminal D. No water stations. Very outdated.,-1
2024-06-08,0.2,Business,1,2,1.0,4.0,3.0,3.0,1.0,2.0,keep a lot of time to complete security,False,"  Really sad airport, not clean, equipment breakdowns but keep a lot of time to complete security checks. They do not open multiple security check areas which basically means that up to 10 flights use the small security check areas. It took me 1.5 hours to clear this.",-1
2024-06-03,0.3,Family Leisure,3,2,2.0,3.0,3.0,3.0,1.0,3.0,third world services and facilities,True,  Shameful. A city with the international importance and financial opulence as Miami cannot have third world services and facilities like MIA. I used to like this airport but in the last year there has been a significant decline.,-1
2024-05-20,0.1,Family Leisure,1,1,1.0,1.0,1.0,3.0,5.0,1.0,Worst experience ever,True,"  This place must be a joke. No, seriously, how is it even possible an airport like this one in a city like Miami? Worst experience ever. If you are flying to/from Miami please be careful.",-1
2024-05-13,0.1,Couple Leisure,1,1,1.0,2.0,1.0,1.0,2.0,2.0,no decent restaurants,False,"   What is wrong with the people running this airport? Dirty, no decent restaurants at least on concourse G. Minimal electrical outlets. Bus had to take us to two separate sides to unload the bus. When was this airport built?",-1
2024-04-09,0.3,Family Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,What a joke of an airport,True,  Dirty airport. Surly retail people. There was a fight that broke out and I told 2 workers to get police and they couldn’t understand English. What a joke of an airport.,-1
2024-04-06,0.1,Family Leisure,1,4,4.0,4.0,1.0,1.0,2.0,2.0,Such a messy place,True,  Such a messy place. It’s a very crowded place with not enough staff. Due to air traffic my flight got delayed from the departure city. At the arrival due to the same issue it took us awhile to get off the plane. Once out we had to walk miles to get to the passport control area where we found hundreds of people waiting in line. Many of us having a connection flight and there were only a few agents working so because of this a lot of us were late for the connection flight. After this the check point took even longer to get through and once again not enough staff was there working. Also I had to pick up my luggage and drop it for the connection flight something I never had to do with any other airline. We traveled with American Airlines (not recommended) after getting through all of this we had to walk miles again to get to our gate which was at the very end of the hallway only to let us know that we had lost our flight and there was nothing to do other than placing us at a standby list and hope for the best only because it wasn’t the airline fault. According to the American airlines agent this had to do with the controllers and the air traffic so they wouldn’t offer us a hotel room or food just because this was the airport fault. We ended up spending a whole night there where we couldn’t even get a bag of chips because they got rid of vending machines so they have no food options passed 11 pm. Honestly a pretty bad experience. I’ve been to plenty of airports and they’re never this disorganized. Miami you need to step up!,-1
