datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-08-25,0.2,Solo Leisure,1.0,1.0,,2.0,0.0,,,1.0,“Shame on the management”,True," Our Amsterdam flight arrived at time precisely. 1.5 hours wait on the tarmac because of the gate agent, because of other reasons. In the international arrival hall > 500 people, 3 officers to check passports, > 2 hours waiting. In civilized countries, usually helpers are asking passengers about tight connections and help them through to catch their flights. The assistants here were few and could not care less about us. The luggage’s checked in and out for customs - the re- check points with other assistants (watching their phones) directing passengers how to put their luggage on the right position - not helping or moving a finger in the process. Security - same rude treatment: we supposed to push our bags through the tunnel - at the flashing red light - who would know? workers standing there and screaming at us, not helping at all. I had to run like crazy to catch my flight and I would have never be able to do it without the help of a kind fellow passenger. Shame on the management to allow this to happen. “Welcome to the USA “ was written on monitors. It was a mess and a far cry from anything welcoming. I will try never to go through that airport again.",-1
2024-06-15,0.1,Couple Leisure,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,TSA line was long,False,   TSA line was long. The wait said it was 25 minute but it was 45 minutes. TSA security check didn’t say a word to get the process moving. They don’t tell anyone to take off their shoes or about electronics to be prepared. Everyone was upset because they didn’t communicate which made the process longer. One person was yelling at someone in a wheelchair.,-1
2024-06-12,0.1,Business,1.0,1.0,2.0,1.0,2.0,,2.0,1.0,"airport is obviously poorly managed"" ",True,"   You be prepared to walk a lot. Then at the Arrivals/Baggage Claim the cars are double, triple parked and will sit there for 20, 30, 40 minutes blocking traffic and making it impossible to load your car. We saw some cars just sitting there for over an hour while our man went to get our rental car. Security is non-existant, we never saw a guard until some dude threatened us while we were trying to back our car in to load, then one slow-witted airport security dude shows up, and basically does nothing because ""that's always how it is here...and I'm supposed to be on my break."" Eventually four real police arrived to deal with a situation that never should have happened in the first place. Try double parking at LAX Arrivals for longer than three minutes and see what happens. Stop letting people quadruple park at Arrivals before someone gets violent, because it will happen eventually if it hasn't yet. This airport is obviously poorly managed, and security is lazy.",-1
2024-02-14,0.1,Couple Leisure,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,worst experience I’ve had,True,"  I normally don’t review, however my experience at the Minneapolis airport was the worst experience I’ve had at any airport I’ve traveled to. I agree with other reviewers, if you can fly somewhere else, do that. The rudeness I encountered from the staff made me feel belittled, unwelcome, and left me shocked. We pay a lot of money to fly through your airport. And then, if you do try and say anything to any workers, about how awful they're treating you, your in the wrong because they work there. That’s not right.",-1
2023-04-23,0.4,Solo Leisure,1.0,3.0,1.0,2.0,0.0,,,1.0,Go somewhere else if you can,False," So getting checked in and boarding is easy. It's the customs that can't get things figured out. You know how many planes are arriving, and how many people are on each flight, then you should have enough staff to move people in a timely fashion. Yet the simplest jobs your in a 3hr waiting line. Go somewhere else if you can.",-1
2023-03-29,0.3,Couple Leisure,3.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,"Airport restrooms unkept"" ",False," We are on a layover from Cancun to Portland, the deboarding, customs area had one, filthy gross restroom. The Delta wing of the airport has very few restaurants choices or shops to browse/entertainment while stuck here. We ate at Mill Tavern, although the customer service was great, the food was not, very few choices and very over priced. They offered to remake my burger as the first one was too raw, the second was cooked done, it was just wasn't good, fries soggy and flavorless. Airport restrooms unkept, poor food choices and/or restaurants with comfortable seating to waiting. Hope I don't have to visit this place again!",-1
2022-09-06,0.2,Family Leisure,3.0,4.0,4.0,4.0,4.0,,3.0,1.0,"disrespectful, ill-tempered employee",False,"  Security is a big deal, and everyone just wants to get though the most efficient way possible, but I have never seen such a disrespectful, ill-tempered employee ordering passengers about as I did today at Security checkpoint 1. I witnessed an extremely elderly couple arrive at the TSA que. They were traveling alone and obviously had trouble getting around. They did not have the correct boarding documents, but instead of showing compassion, or helpfulness, the airport employee yelled at them and told them to get out of line & go back to the ticketing counter. The elderly woman asked if her husband could wait there ( he had a very hard time walking) but the grouchy employee said,” No, you have to take him with you! I don’t have anywhere to stash him!” Like he was a piece of luggage or something. Next she ordered me & my family to a TSA booth that didn’t have an agent manning it. We stood there briefly, looking to see if an agent was coming. Next we stepped to the next agent to show our ID & boarding passes. She charged over to us and told us to stay where she put us! I pointed out that there was NO agent where she sent us, and she proceeded to start stomping around barking out orders. My husband just told her we were staying in the line we stepped to because the TSA agent was already processing my daughter.",-1
2022-08-25,0.1,Business,1.0,4.0,4.0,1.0,5.0,5.0,4.0,1.0,ill-designed and unfriendly airport,False,"  
Having traveled extensively in my 59 years, I have to say that MSP is one of the most ill-designed and unfriendly airports in the world. Yesterday I walked 2+ miles to my connection, the moving walkways not operating. Every single time I’ve flown to/from/thru MSP in the past 30 years there has been an issue. Entering the States from Europe several times we were detained in security for 3 or more hours, our kids taken to the other side of the room while we were interrogated. Never has this happened at any other airport in the world on our travels. Last time we waited for 20 minutes for a French translator to come to read the label on a can of foie gras to determine if it contained pork.  You need to do better MSP! And get better transport from C20 to F15 (in example) - no one should have to walk miles (literally) to get to their connection flights!",-1
2022-07-11,0.6,Business,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,total of 15 electric parking spots,False,  MSP Airport does a great job with stores and restaurant options and recently completed some moderate improvements in aesthetics to terminal 1. They currently offer a total of 15 electric parking spots which are spread out across 3 sites! It appears the planning team completely overlooked this aspect of the customer experience.,1
2022-06-17,0.6,Business,4.0,5.0,3.0,2.0,4.0,3.0,3.0,3.0,Not a bad airport but not a great one,False,"  Not a bad airport but not a great one. Getting from the outer C Concourse to the main terminal is not intuitive (there is a train I would have missed if not for the help of a local). Directions to Light Rail are not entirely intuitive and the airport maps online are absolutely useless for figuring out how to get from the Light Rail to the gates. The food selection is ok but not what I would expect at a hub airport. Ditto the shopping. Security was quick with little wait in the TSA or regular lines. I used Delta, which is the dominant carrier here. The service was okay. The thing with Delta is that they are pretty inept at their home base in Atlanta, but often better elsewhere, The most remarkable thing here was that one person managed the gate ---this may be a legacy of Northwest (which Delta acquired). Delta's legacy facilities usually have two people at the gate with one often more inept than the other (DCA and ATL). This is an ok airport of you can figure out the logistics.",1
