datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-08-10,1.0,Couple Leisure,5.0,3.0,,5.0,0.0,,,5.0,I am grateful for being helped,False,"  My experience with United Airlines at New Orleans' Louis Armstrong International Airport was ramping up towards a masterclass of poor professional service and lack of customer empathy. When a delay came up for my initial flight, I spoke to a remote agent who ultimately said, ""tough luck"" and didn't provide any options. There was no empathy and no discussion of any options to make it home safely. You can imagine I was scared and anxious when my flight to return home was nowhere in sight. Luckily, at United's desk, the representative Anna, who also worked at United, was present. She is the epitome of the perfect professional. She used critical listening to understand my concern and problem-solved on the spot. She gave me an option to return home safely. This wasn't a testament to United training, because it seems like the rep prior routinely told me ""tough luck,"" but it showed how much of a true professional AND good person Anna is. I am grateful for being helped by Anna at New Orleans' Louis Armstrong International Airport, who works at United Airlines. If any problem arises, and she is present, best believe she will give you the most ultimate and efficient service.",1
2024-04-26,0.7,Business,3.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,one of the nicest and biggest airports,True,"  It was first time at Louis Armstrong New Orleans International Airport; it was is one of the nicest and biggest airports I have come through in the USA. anywhere in the world. This multi level airport has many boarding bridges. There are many shops and restaurants. The staff were friendly and welcoming. The airport is well-decorated and well-maintained and easy to get in or out. Public areas are a huge, clean and bright.",1
2023-07-27,0.1,Family Leisure,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,nothing whatsoever to recommend,False," I've traveled all over the world and probably been to close to 100 different airports. I can confidently say that in terms of international airports this place is probably the worst. There is nothing whatsoever to recommend it. The location is bad. It's been under construction for more than a decade, resulting in the removal of the limited seating and amenities they formerly had in the outer areas where you wait and pick people up. Staff are uniformly rude, uninformed and/or just plain incompetent. It's badly organized and unattractive. There's very little to nothing in the way of assistance for things like ground transport, rental cars and the like. And they don't have that many flights. So the only reason to use this airport is if you absolutely have to go to New Orleans. If you're flying out, including overseas, use Gulfport or somewhere else and avoid this dump.",-1
2023-05-12,0.9,Solo Leisure,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"no problems with queueing anywhere"" ",False,"  Was departing New Orleans two days after jazzfest. Had no problems with queueing anywhere. Had some time to kill before my flight and sat outside in a cool spot close to where buses depart. Spent some time chatting to n airport employee. Absolutely delightful, polite young man.",1
2023-02-15,0.1,Business,4.0,3.0,4.0,4.0,3.0,3.0,,1.0,rude and completely unwilling to help,True," Disgusted by the employees and customer service here. Traveled with someone who left their purse (with identification and the whole nine in it) in a bathroom and we were sent on a wild goose chase to find someone who was even willing to help us retrieve it. We were met with horrible attitudes and treated like a bother by everyone we encountered and were even told by multiple employees “I can’t help you with that”, and after being sent to them by another employee at that! If it weren’t for the law enforcement office we would not have received any help at all. Not being able to help is one thing, but being rude and completely unwilling to help is another. Do better.",-1
2023-01-01,0.1,Couple Leisure,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,poorly thought out billion dollar fiasco,False," Nearly everything is wrong with this airport. But special disdain goes to the rental car location (30 minutes away!) and that the shuttles drop you off at baggage claim for departure. Then there is a long brisk walk and 2 escalators to get to check in where there is a line all the way to the door. We slipped outside and did curbside check in. (The only nice person in the airport was at the curbside check in for Southwest). TSA is very nasty here too, and not empathetic at all. There seems to be tons of wasted space and open areas and very little space that is actually useful. The MSY airport had been remodelled after Hurricane Katrina and it was quite nice back them. Why ruin it for this poorly thought out billion dollar fiasco? It has a very generic look. There is barely any seating except at the terminal. The restaurants and shops are like mall kiosks. For a brand new airport there are few modern conveniences. I feel huge sympathy for anyone elderly or with a disability, this airport is not for you! Really its not for anyone",-1
2022-10-21,0.1,Business,1.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,one hour+ is an average wait time,False,"  This is the worst airport experience I had since I have been traveling. All passengers have to go through big lines, it’s only one way to get to all gate access, one hour+ is an average wait time just to get by the security check and another 30 to 40 minutes for the security check. Most ridiculous set up I have ever seen. I hope I would never have to come back here again. I still at the line writing review … it’s been an hour, I hope I won’t miss my flight. One more thing to add, if you are retiring a rental car that you picked up from another location good luck with that, add some extra time, you will not know where to drop, you be be lost, your phone GPS can be your best option.",-1
2022-05-19,0.1,Family Leisure,4.0,1.0,1.0,1.0,5.0,3.0,,1.0,Words just cannot describe how poor this airport design is,True," Wish I had taken pictures. Words just cannot describe how poor this airport design is. It is almost like a real life experiment on the way an airport could be designed to make customers walk the most, be disorganized, crowded in little walkways that go to plain ugly open spaces, have to be jammed up tightly to retrieve luggage, have a terrible time finding a restroom. Customers with bladder issues need diapers because there will not be a conveniently located restroom. Perhaps they should include a vending machine for them. It is really scary that it isn't an experiment but a new facility, opened November 2019 at a cost of 1.3 billion dollars. If I could rate a negative number I would.",-1
2022-05-19,0.1,Solo Leisure,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,This airport is a total chaotic mess,False,  The wait for the rental car bus is unbearably long. No organization. This airport is a total chaotic mess. The rental car situation adds at least an hour on to your trip whether you are arriving or departing. They need to get their act together.,-1
2022-04-09,0.1,Family Leisure,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Totally ridiculous,True," My 15 yo daughter and I were made to feel as though we were being prepared for a maximum security federal prison sentence. This is not the first time NOLA TSA has made us feel this way but I can say with certainty it will be the last, we will never fly from this airport again. They were rude (as usual), cold, uncaring and borderline verbally abusive. You feel like you are in a foreign country with laws you may not understand that could cause you to be arrested. My daughter had fresh torn ligaments and had an orthopedic boot in place. She was barely able to walk on it but managed so we didn’t have the extra burden of crutches. When we approached the first TSA “Agent”, and I use that term loosely, he was so inhuman, unkind and snapped at me about where to place my phone to have my boarding pass scanned. The TSA agent repeating the same unclear instructions again does not explain to me how to do something. Then we had to prepare to be x-rayed, we placed our items in the bins (do that right or you will get yelled at- speaking from previous experience), my daughter was told to take off her shoe but she could leave the boot. She did as told. Entering x-ray, the other very young, poorly trained, rude TSA agent instructed her to remove the ortho boot. I explained she can not do that, she can not stand without the boot. She made her do it anyway, they sent it thought the conveyer x-ray. She stood there approx 3 min, alone, with no support (they would not allow me in to assist her and they would rather die than show some compassion and offer a chair or a helping hand) her right leg was trembling, her affected ankle was in pain from removing the orthopedic boot, I was left to feel helpless. Finally wen the boot scan was complete, I was able to assist with putting it back on. It was extremely painful. In my profession, we are required to go through sensitivity training to make sure our customers always feels safe and to understand how to treat people with respect and kindness. NOLA TSA needs sensitivity training and they to be held accountable for their terrible treatment to passengers! They act as though they are the highest authority in the land and they are untouchable. Totally ridiculous. We rarely travel and to have them start my vacation like that was just unnecessary. If the government officials cared anything about that city, they would prevent their citizens and visitors from being treating like this.",-1
