datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-07-23,1.0,Family Leisure,5.0,5.0,,4.0,0.0,,3.0,5.0,people we spoke to were awesome,True,"  On July 23rd we arrived at in Maui due to flight cancelations during a trip to Kauai. Sadly, my wife misplaced an expensive item in a washroom not discovering it until we had passed through security. We asked staff for assistance and the people we spoke to were awesome. They took our phone number as we're only there 1 day but recovered the item before we even left the airport. You guys most certainly brought some stress down on the start of a Hawaiian vacation for us. Mahalo!",1
2023-02-26,0.5,Family Leisure,4.0,1.0,2.0,5.0,2.0,3.0,2.0,3.0,This airport is desperate for some help,False,  All Day long our family reported gate issues. We had 16 people arrive today. All were parked on the tarmac for at least 30 mins. This airport is desperate for some help. If anyone can get me a gate so I can deplane I’d be grateful.,-1
2023-02-23,0.1,Family Leisure,1.0,2.0,1.0,5.0,0.0,,,1.0,Sat for 45 minutes on the tarmac upon arrival,False,"  How can you accept planes and not have a gate to deplane? Sat for 45 minutes on the tarmac upon arrival and then was delayed 3.5 hours on departure. Once we boarded, we had to wait another 45 minutes for someone to put gas in our plane. Baggage claim was a hot mess. Multiple passengers getting only some of their bags. We needed to wait for two other planes to unload their luggage before getting our second bag. Hundreds of people waiting for flights that disappeared from flight boards. Lines of customers waiting to speak to service agents that came and left the area without explanation or serviced people outside of the established lines. There was another desk with three uniformed staff members carrying on conversations amongst themselves and a sign stating the desk was closed. Sassy, condescending updates far and few between. TSA line longer that regular check in.",-1
2023-01-21,0.1,Business,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,the worst of the worst,False,"  I travel for a living and have been through most of the international airports in the US. Kahului Maui Airport, is hands down the worst of the worst. Visiting Maui isn't worth having to go through the airport here. I'll avoid it for layovers in the future as well. Save your self and avoid at all costs.",-1
2022-09-23,0.1,Couple Leisure,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,plain horrible in every regard,False," Just plain horrible in every regard. Arrival: waited 20 minutes on the tarmac for a gate to open, waited another 20 minutes at carousel for baggage (even after a bathroom stop!). Departure: Absolutely pointless agriculture inspection (agents don't even look!), Long line at security checkpoint, EXTREMELY rude TSA agent at escalator, our gate was not marked in main hallway - had to hunt and peck to find it, boarding agent was nothing short of a jerk, and this is the most rundown airport I have ever seen. In case you didn't get the gist of this review, this airport sucks!!!",-1
2022-04-10,0.3,Family Leisure,2.0,3.0,4.0,2.0,0.0,,3.0,1.0,worst TSA experience we have ever had,False,"  The worst TSA experience we have ever had. All three TSA agents were incredibly rude, even to my 9 year old son. They lacked any customer service skills at all. I have never seen such a rude security staff.",-1
2021-12-14,0.3,Couple Leisure,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,OGG really needs updating and a better design,False,"  My wife I have been coming to Maui each year for 39 years. When we first came, the airport was wide open, no real gates, no real baggage claim. Now, there are buildings but it is unwieldy. As an example, the United counter is at the far right end of the terminal, TSA is then 2/3 of the way to the left. Your first very long walk. No pre-check. Very limited food options when you finish with the TSA. Then what seems like a one mile walk to Gate 1 or 1 mile the other way to gate 39. Very few moving sidewalks especially in the lower gate numbers. OGG really needs updating and a better design. Less walking. More food. Better security checkpoint. The airport is recommended only because there is no other way to fly commercially to or from Maui.",1
2021-09-24,0.1,Couple Leisure,1.0,3.0,2.0,3.0,0.0,,2.0,1.0,Security line was outrageous,True," Security line was outrageous. Longest security line ever encountered in my life. So many passengers in the airport missed their flights, I bet it must have set a record. Some airlines like American delayed their departure, but of all airlines, you’d think Hawaiian would have delayed theirs, but no. The airport was filled with passengers who missed their flights on all airlines due to the ineptness of the airport. This needs to be addressed. This is a disgrace! This cost how many people extra $$$ without any sympathy from the airport.",-1
2021-08-05,0.4,Family Leisure,4.0,1.0,5.0,1.0,5.0,5.0,,2.0,Staff were extremely rude and obnoxious,False,"  The airport itself was nice but the TSA was horrible. Staff were extremely rude and obnoxious. If you asked any questions about the process they mocked you and made you feel stupid even though there were no signs posted about what you can and can not bring on a plane. I was told by one staffer that bottled water has never been allowed on planes since the beginning of time, which is a lie. The floors where you have to walk barefoot was very dirty and sticky and they treat you like cattle, yelling and pointing at you like a prisoner. They would throw your carry on luggage around like a beach ball. Once you get past that it’s a nice airport.",-1
2021-08-01,0.1,Couple Leisure,1.0,1.0,1.0,1.0,0.0,,,,this airport is a super spreader event in progress,False,"  During covid pandemic huge lines - no distancing in lines or seating or on flight. No mask enforcement. Basically this airport is a super spreader event in progress. Shame on the state of Hawaii, shame on the county of Maui, shame on Maui airport and shame on Southwest Airlines. Understaffed, impatient and rude at all levels Maybe this review should be titled - there’s a pandemic but what the heck we can still milk profits. 600,000 dead - what’s a few more.",-1
