datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-08-30,0.3,Business,3,2,2.0,4.0,2.0,2.0,,1.0,not helpful security staff,False, Super arrogant and not helpful security staff. Cannot imagine going through security check not being able to understand english. The staff I encountered was the worst person ever!,-1
2024-08-16,0.2,Family Leisure,1,2,2.0,1.0,2.0,,,3.0,"Terrible experience"" ",True,"   Terrible experience at this airport! The labeling of the airport transit system is totally confusing. The train stations are labeled 1,3,4,5. What happened to No. 2? Then there is another station after 5 but not labeled with a name! That’s the station we needed to get to but it looked like it was Station 5! Also the parking lots should have different naming system from the terminals. We parked in G lot. But G is also one of the terminals! When riding the train, we thought we should get off at station 4 where G terminal is but actually we needed to get off at the last station, the one with no name! The design of the naming system is a mess!",-1
2024-08-03,0.9,Couple Leisure,5,3,5.0,4.0,0.0,,3.0,5.0,give credit where it was due,False,   We found one particular member of ground staff at the automatic check in extremely helpful & friendly as we were having difficulty using it.. Also for my first time I needed wheelchair assistance ( twisted knee). These staff also were helpful thro security and to the gate. Most customers are quick to complain but slow to compliment so I wanted to give credit where it was due!,1
2024-03-27,0.4,Family Leisure,1,1,2.0,3.0,1.0,1.0,2.0,1.0,"lack of cleanliness"" ",False,"   As a lifelong Chicagoan, I was embarrassed at the lack of cleanliness outside the terminals at O'Hare. Please power wash the sidewalks and paint structures. Gum is stuck all over the sidewalk and its filthy. Mayor Daley would never have put up with this!  I wish I had taken photos.",-1
2024-03-27,0.1,Family Leisure,3,2,3.0,2.0,,,,1.0,does not justify her behavior,False,  I’m an international student and I had to stop at Chicago airport to get a flight to LAX and my mom was with me. We needed to recheck in our bags and I mistakenly went to the wrong room. Since I was the only one who spoke the language I went to an old lady to ask her where I could recheck in my bags and then she questioned me and started to scream at me and my mom who doesn’t know the language. Then we went back in and checked our bags again. After I left I went to apologize to her and she told me to “go and learn”! Like I get it that I made a mistake but that does not justify her behavior towards me and my mom,-1
2024-03-11,0.1,Couple Leisure,1,2,,2.0,0.0,,,2.0,terrible experience transiting,True,"  We had a terrible experience transiting at this so called airport. At security checking we ended up queing twice in the wrong queue because they only informed us as you get nearby the entrance! The time wasted meant we go without washroom breaks and any shopping, else we miss our flight. We arrived at gate B14 and departed at C11, a very long walk. Also need to point out, for some reason the man doing the security checks in our cue was extremely slow at his job, we could hear other passengers also saying “why is this man so slow at his job”. Why was there no supervisor present to notice these inconsistencies. We will be avoiding US airports in future travels.",-1
2024-02-04,0.1,Business,1,2,1.0,1.0,1.0,1.0,1.0,2.0,“Avoid this airport”,False," Avoid this airport, disaster at every opportunity. I understand it’s a very big and busy place but management has their heads so far up their keysters they can’t see the light of day. Make a strategic effort management take a step back and replan, redo and re-execute the entire operation from beginning to end. Give the customer what they need and deserve.",-1
2024-01-17,0.2,Solo Leisure,1,1,1.0,4.0,4.0,,1.0,2.0,“staff not willing to assist”,False," Unable to find an outlet that was functioning to charge my phone, staff not willing to assist, very dirty, multiple gate changes and poorly updated on gate changes.",-1
2023-12-26,0.2,Couple Leisure,2,3,,1.0,0.0,,,1.0,"It was unfriendly, confusing"" ",True,"  My husband and I were traveling home from European vacation. Our flight itinerary included a connection to final flight home (Orlando) through O'Hare. The entire experience was a complete cluster with no clear direction or informative staff. The process for visitors to exit the customs area from international arrivals was embarrassingly long and lacking in clear directions. I was chatting up a baggage handler to get some logistical direction for how to proceed from the customs verification area. The long, long line of people trying to get out of terminal 5 and make their way toward connecting flight terminals or even to exit airport was appalling. There should have been multilingual employees serving as ambassadors to assist passengers who did not speak English well or at all. We had to pick up our luggage and literally re-check it AND go through security protocol all over again as if we had just walked in off the street to begin our journey. We had to interrupt airport staff from personal conversations to ask for direction! We had to ask several times from more than one person who we assumed worked for the airport, which way to get to our terminal (had to move from terminal 5 to 1 to catch connecting flight), which way to TSA pre-check for security, and which line to get in when there appeared to be redundant, contradicting signs. There needs to be some intensive review of the entire customer experience for this airport. It was unfriendly, confusing, and left much to be desired for welcoming international guests. Logisics is #1 need followed by customer service training as #2.",-1
2023-12-13,0.3,Family Leisure,2,1,3.0,1.0,3.0,4.0,3.0,3.0,Confusing and absent signage,False,"  Better than Midway, but that’s an extremely low bar. Confusing and absent signage. Not enough elevators for people with disabilities or strollers. Some staff extremely helpful while others couldn’t care less. This place can be hectic and crowded on any given day, but overall it seems disorganized between check in and baggage. I would say the biggest issue is spread out layout, and need to travel really far to get to one place and then another. Missed more than one flight because elevators were full and people standing around in line blocking walking paths. Needs to be streamlined and simpler. Who designed this corn maze of an airport anyway?",-1
