datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-09-19,0.4,Family Leisure,2,4,4.0,1.0,1.0,1.0,4.0,4.0,“very confusing to navigate”,False," I found Philadelphia International Airport very confusing to navigate. Fortunately, we had requested wheelchair assistance for my mum who has limited mobility. The guy Cordell who helped us was friendly, approachable and kind which made our experience so much more pleasant!",-1
2024-08-31,0.1,Solo Leisure,1,2,1.0,1.0,,,,1.0,"scanner was obviously malfunctioning"" ",False,"   I was subjected to a very intimate search three times by two different TSA agents. The scanner was obviously malfunctioning. How do I know? Well, I was clean but it kept saying I wasn't.  Then, walking on the tarmac to the plane, a baggage handler insisted that I had to ""valet"" my carry-on bag. Once inside, seeing the mostly empty luggage bays, I complained to the flight attendant. She went and brought the bag to me with apologies Arrival was okay, but the I had to follow a ""bread crumb"" trail of corridor, stairs and turns -- all with inadequate signage. Eventually I arrived at two luggage bays and was (at first) relieved to see my flight posted as ""unloading."" But it turned out that we did not get our luggage in hand for 1hr 50mins. No information from the uncommunicative employee in the Baggage Office. She said they were trying to find the agent to ""see if he has any more bags."" (I'm being generous here). She told me to scan a lost baggage claim code -- which did not work.",-1
2024-08-23,0.1,Family Leisure,4,2,1.0,4.0,3.0,,,,no peace or calm between flights,False," They play non stop super LOUD ads at the gates while you wait. That with the combination of fluorescent lights, It creates the absolute worst atmosphere that you can imagine. There’s no peace or calm between flights while you wait.",-1
2024-08-20,0.2,Solo Leisure,1,1,1.0,3.0,1.0,,3.0,1.0,cleanliness of the gate was atrocious,False,  I have been waiting in terminal b gate b8 since 4pm 8/19/24 for a flight which has been delayed 4 times and by 7 and 1/2 hrs. No information given over the speakers as to any changes. We have to constantly check the app. No airline attendants at the gate at all to ask any questions. (This is for aa flight 437). The lounge air was freezing and people were not prepared for that. Also the food areas that the airport offers in this section have no prices in the menu and he. You look it up online who the heck is paying $25 for a burger. Not even in London airports are they that expensive. And the cleanliness of the gate was atrocious. No one came by to clean up the trash all over the floor. It just seems like the airport did not care enough to provide good customer service. And the airline was a joke in giving us current information over the speaker system. I am rating this a 2/10 and that is generous!,-1
2024-06-24,0.1,Couple Leisure,2,1,1.0,3.0,3.0,,,,cleanliness is embarrassing,True,  Over an hour wait for a gate. Seems like it happens every time. Apart from the wait - the condition of the public restrooms and general cleanliness is embarrassing. The Philly airport aligns with Philly’s nickname - Filthadelpehia - why can’t we be better than this? Ideas - larger bathroom stalls so an individual traveling by their self can enter with their luggage? Warm water and soap to wash hands. Sensors that actually work and stay on while you are washing. Better coordination of empty gates. Clean more frequently. Power wash the exterior - gum and cigarette butts everywhere - yuck Ban smoking within 200 yards of the terminal Plant flowers,-1
2024-05-24,0.3,Family Leisure,2,1,2.0,4.0,2.0,,2.0,2.0,such deplorable conditions,False,"   Specifically Terminal C: ladies rooms were filthy dirty and smelled terribly. Gate lounges were dirty and no trash picked up. Quick food place by gate 19 had gross looking sandwiches behind case, husband saw worker touch garbage then pick up slices of ham without washing his hands. Workers, including stores, restaurants, airline workers had bad attitudes, some not even acknowledging you spoke to them or asked a question of them. I have honestly never seen such deplorable conditions at an airport, hope basic manners and cleanliness return soon.",-1
2024-04-26,0.2,Couple Leisure,1,2,1.0,1.0,0.0,,2.0,1.0,"shocked at how few seats there were"" ",True,"   My first impression of this airport was the huge queue for passport control. I counted three desks open for hundreds of arriving passengers, it took around an hour to get to the front where I was greeted by a surly immigration officer. No smile, no ""hello"", just barking demands. Once I was through that I needed to change terminal to get my connection to Knoxville, which led to another problem, a distinct lack of signs. Eventually I found the shuttle bus and proceeded to security where a female employee was screaming, actually screaming at passengers. I overheard another employee ask her to dial it down but she ignored him and continued the screaming. Brilliant. Eventually made it to my gate only to find there was a distinct lack of seating, with people standing here there and everywhere. On my return trip I was heading to LHR on an AA 787, and was shocked at how few seats there were at the gate. Overall, it's a big airport with the staffing levels and seating provision of a small airport which also assumes passengers know the airport inside out and don't need signs to get where they need to be.",-1
2024-04-21,0.1,Family Leisure,1,1,3.0,3.0,2.0,2.0,3.0,1.0,"Worst airport, worst service",False,"   Me and my son arrived from Doha via American airlines on April 20, 2024 at 2:55 pm. We had a connecting flight Air Canada same day at 4.35PM. We had to pick up our bags and go thru security check again. They sent us thru a second Agriculture security check. We begged them that we are Canadian citizens but they would not allow us to bypass the queue for inspection of bags. We missed our onwards flight. We dropped of our bags after security and bags left for Toronto on April 20 and we were left behind. We check into a hotel as there was no night flight, bought new American Airlines tickets and left on April 21 at 8.35am.We lost $1600 for no fault of ours. Worst airport, worst service and very rude staff. Avoid this airport if you can,",-1
2024-04-18,0.1,Business,1,2,1.0,3.0,2.0,1.0,,1.0,“lack of transparency and honesty”,False,"  Baggage claim, terminal A- 3 carousels but only one in use. Hundreds of people clamoring for luggage. Then our luggage was lost- INSIDE THE AIRPORT. AirTag and the AA app confirmed the luggage had arrived. But the geniuses at American couldn’t locate it. We all waited 2 hours for them to finally find the bags they misplaced. The lack of transparency and honesty made it worse than it had to be. PHL sucks.",-1
2024-04-10,0.1,Solo Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,lack any kind of civil behavior,False,"   They have staff who are fairly adept at their job but have accepted that the airport is abysmal, its pretty sad, that no one is responsible or has any idea on what to do. Their general demeanour is passing the buck to someone else. It would be generous to say they had any idea of how baggage control works. They have passengers running from one belt to another, like musical belts early in the morning or late in the evening, often losing passengers baggage because of connecting flights with the very lethargic excuse, well its not here. As someone who has never had missing baggage prior to my experience in Philadelphia, I was disappointed. There are one or two young members who were exceptional in the baggage area, one young man and a young lady working for Air Lingus, really adept at their work inspite of their young age. The rest of the Airport is hopeless, from security to check in to any other member of staff, completely lack any kind of civil behavior.",-1
