datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-09-09,1.0,Couple Leisure,5,5,5.0,5.0,5.0,5.0,5.0,5.0,"Thanks TSA - I made my flight"" ",False,"   Forgot my identification. TSA usually gets a bad rap, but I'm here to tell you they were awesome today. I was taken to the side where an alternate route of id verification was sought. I was treated promptly and with the utmost in professionalism. Thanks TSA - I made my flight.",1
2024-07-15,0.9,Business,5,5,3.0,5.0,5.0,3.0,5.0,5.0,terminal 3 is really excellent,True,  Phoenix is the easiest of all major US airport to get in and out of. I picked Phoenix as my home based in part because I needed a reliable airport considering how often I fly and PHX does not disappoint. The new terminal 3 is really excellent and the improved lounge situation at Terminal 4 is really appreciated.,1
2024-03-12,0.1,Business,1,2,1.0,2.0,1.0,1.0,1.0,1.0,“Easily the worst airport”,False," Easily the worst airport I have ever traveled through. To transfer from one US flight to another flight wholly in the US you have to reclear TSA. They don't have free wifi, Anchorage Alaska can manage free wifi WTF Phoenix. The airport is so spread out and disconnected forget getting something from another terminal.",-1
2024-01-08,0.3,Couple Leisure,5,5,1.0,1.0,0.0,,,1.0,"fails to live up to its false moniker"" ",True,"  ""America's Friendliest Airport"" is false advertisement. Phoenix Sky Harbor is anything but and fails to live up to its false moniker. From baggage claim, it is impossible to find the Rental Car Center on your own because the signage for such could not be found. At 10:30 PM, I could find no airport personnel to help and an airline employee whom I was able to find seemed genuinely annoyed and displeased that I was asking him for assistance. Upon my return, the rental car return was extremely confusing and nobody from the rental car agency could be found to assist me. I just dropped my car and prayed that I had left it in the right spot and wouldn't incur any additional charges. Once I arrived at my terminal from the Sky Train, signage initially directed me to ticketing and check-in, but then the signage abruptly stopped when I reached the escalators and a four-way intersection. I looked all over and there was no more signage to tell me where to go. Another passenger saw my confusion and directed me where to go. Once I received directions, I looked for additional signage in the direction I was sent, and could find none.",-1
2023-08-07,1.0,Solo Leisure,5,5,5.0,5.0,5.0,5.0,5.0,5.0,I will never forget her,True,"  I truly believe that the woman at Passport Control saved my life on Thursday, July 20, 2023. After being the last to disembark from a British Airways flight from London, I mustered up what little strength I had as I approached Passport Control. The woman at the entrance to Passport Control took one look at me and said, ""You are having a medical emergency. Come with me to the wheelchair line."" She whisked me to the front of that line and waited for the EMT staff to wait on me. I was taken to the Banner Medical Center via ambulance where we discovered I had an acute case of Pulmonary Embolism. I was going to try to push through my final flight to Tucson and get tomy home city. Had she not recognized the acute state of emergency I was in and taken me to get care, I may well have died. I will never forget her.",1
2023-04-21,0.1,Business,1,2,1.0,2.0,1.0,1.0,1.0,1.0,One of the worst airports,False,"  One of the worst airports I’ve been to. Surly employees, no bars only cheap food in overpriced chain style beer pubs or family grab and go’s. And not one place to get a drink in Terminal 3.",-1
2023-03-03,0.1,Business,1,1,3.0,1.0,2.0,2.0,5.0,1.0,Half the restaurants were closed,True,"  Terminal 3 restroom across from gate 6 was filthy and there wasn’t any paper towels to dry your hands. Half the restaurants were closed, not enough choices although it was only 6:30pm.",1
2023-02-28,0.2,Solo Leisure,3,4,3.0,3.0,4.0,,3.0,3.0,40 minutes for wheelchair assistance,True,  Phoenix Sky Harbor is not set up up to accommodate people with injuries or disabilities. I flew in and out of there in January and February with an injury and had bad experiences. In January I had to walk long ways to get from rental car return to Sky Train and then waited 40 minutes for wheelchair assistance. In February walked long distances again. There needs to be assistance provided from rental cars to airline ticket desk.,-1
2023-01-15,0.8,Family Leisure,5,5,5.0,3.0,5.0,5.0,5.0,5.0,like consideration for announcements in English and Spanish,False,  Very good service but would like consideration for announcements in both English and Spanish. We are proud Arizonans for over 20 years having retired from the Army in southern Arizona.,1
2023-01-12,0.1,Business,5,5,5.0,5.0,5.0,5.0,1.0,1.0,the worst TSA experience,True,"  The TSA agents were the rudest I have ever encountered. I'm not sure if the TSA here trains their agents to intimidate passengers - like drill instructors in the military - but I met a few today that seem to have forgotten they are interacting with people just trying to get on an airplane to get home to their family. Very scary, unnerving experience and I will go out of my way to avoid this airport in the future. (Otherwise, service inside was lovely, great restaurant selection, super friendly people, clean and pretty airport. But the worst TSA experience of my life)",-1
