datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-07-14,0.2,Family Leisure,5,4,5.0,4,1.0,1.0,5.0,3.0,stores at SFO do not have stated prices,False,"   The stores at SFO do not have stated prices for most of the products they sell. We wanted to buy some candies and little presents for family and friends and found out that the choice is very poor for such an airport and a lot of prices were not stated, only savings if you buy two, three or more. The staff at the stores were also very rude when asked for the prices.",-1
2024-04-27,0.1,Couple Leisure,1,5,,1,0.0,,,1.0,Did not help or direct us,True,  This the worst transition flight I have ever had. Every single worker was absolutely disrespectful and rude. Did not help or direct us in the right direction. If I had the choice I would never come through here again.,-1
2024-04-25,0.2,Solo Leisure,3,3,1.0,3,2.0,2.0,4.0,1.0,pathetic excuse for an airport,True,"  A pathetic excuse for an airport. After departures, eating options are limited and to make matters worse, everything shuts at midnight, which is no good if you have a midnight flight that is delayed for 2 hours or longer. The information provided as well was non-existent, other than by Philippine Airlines. San Francisco is supposed to be a global hub, so surely they could afford to make more effort for their passengers in terms of facilities, especially shopping and dining, after midnight. Staff could also be more helpful.",-1
2024-03-01,0.9,Couple Leisure,4,5,5.0,5,4.0,4.0,5.0,4.0,“well organized and easy to navigate”,True," This airport is well organized and easy to navigate; it's become one of my favorite airports in the world. On this trip (JFK>SFO>TPE), I flew into and also left from Terminal One, recently renovated, attractive and spacious. It also contains quite a few spaces for relaxation, plus many restaurants and shops. On arrival, my bag arrived before I did. On departure, I checked in at the Interational Terminal, which is connected to Terminal One. Going through security at International was fast and easy. The only negative was that several of the restaurants in Terminal One were closed in the evening.",1
2024-02-11,0.9,Solo Leisure,4,5,5.0,4,0.0,,5.0,5.0,share my exceptional experience,True,"  I am delighted to share my exceptional experience with Officer Lucas at San Francisco International Airport. His assistance in locating my lost phone and guiding me to the correct boarding gate was invaluable. Not only did he ensure I found my belongings, but he also took the time to ensure my well-being before departing. I am sincerely grateful for his kindness and assistance.",1
2023-08-18,0.1,Solo Leisure,1,5,5.0,5,3.0,3.0,5.0,3.0,there was lack of workers,True,"  Horrible. I was late for my transit because the line was huge. I had 2 hours for transit and I was in the middle of the line. Even though I was able to shortcut it and asked people to let me go, when an hour was left before the flight, I couldn’t check in for my flight due to the another line. In both check out and check in areas there was lack of workers! So after I missed my flight, I got new ticket for the next day at 8:45am flight number UA5872. I had to spend more than 10 hours in San Francisco and my airline didn’t provide any accommodation or compensation. I paid from my pocket! This is why I give 3 stars to airport staff and queuing time. Some staff workers were trying to help me, but there was lack of them so they couldn’t do much.",-1
2023-08-18,0.2,Family Leisure,1,2,1.0,5,1.0,,,1.0,1h30m and nothing is moving,True," We got here with more than 2 hours delay due to weather conditions, landing at 9:30PM. SFO did not plan any crew to take care of the suitcases and we ended up laying down on the floor next to a stopped carousel at the baggage claim. There is no seat here. No vending machine. We heard unclear messages but it's already 1 hour and 30 minutes and nothing is moving. Not serious at all",-1
2023-07-17,0.1,Business,1,2,2.0,2,1.0,1.0,3.0,1.0,the rudest airport I have encountered,False,"  I am quite disappointed about how I was treated by the ""people with power"" here at SFO, namely immigration officers and employees at security. Perhaps these people have an inflated sense of their own importance, shouting out orders, asking questions in a suspicious tone, and not seeing the need for the most basic politenesses (no ""please"", no ""hi"", no ""thank you"", no smiles). Perhaps it would be good for their employers to remind these people that they are dealing with TRAVELERS, not PRISON INMATES. While I have noticed rudeness at other airports, San Francisco is now the winner - as the rudest airport I have encountered.",-1
2023-01-13,0.5,Solo Leisure,3,4,4.0,3,4.0,4.0,3.0,2.0,functional and clean enough,True,"  The airport itself is functional and clean enough for an American airport. The transit is a drag, especially if you're going south, but you can survive. There are some nice (even if overpriced) restaurants as well. One unexpected experience was with the Global Entry program. I had applied to it earlier in 2022 so that I could get enrollment on arrival interview. Instead, the agent told us that they were not offering any interviews at this time and that we should schedule an appointment elsewhere (they seemed to be telling the same thing to everyone else). This seems to contradict what they say on their official website (which lists SFO and no other enrollment centers in the vicinity). I understand there is a surge in applications, but it felt disingenuous for a government agency to be refusing service it is promising to deliver on their official website.",-1
2023-01-10,0.6,Solo Leisure,3,3,4.0,4,3.0,3.0,4.0,3.0,Two contrasting experiences,False,"  Two contrasting experiences within two weeks. I was a transit passenger (AKL-SFO-LHR then back again), and knowing that transit doesn't exist at most US airports in the sense that they do at most non-US international hubs, I didn't check in bags but loaded up the hand luggage instead. Thus, I didn't experience the inanity of having to get my luggage and put it back on a conveyor belt landside. On my first trip, it took 65 minutes from disembarkation to clear immigration at 6:45am in the International Terminal, G-Wing. Long queues and few immigration staff on duty. Going back through security into the same wing, the staff were poor. They were shouting at various people who had English as a second language - because that generally works - and giving instructions that contradicted the screens above their heads. (Sample screen message: 'Have your boarding pass and passport ready to show the officer.' Officer: ""Don't show me your ticket!"" Nice one, champ.) I made the mistake of having my passport in my back pocket when I was about to go through the scanner. I realised at the last second, so went to put it in the tray and got full barrels from one chap who clearly hates his job. I acknowledged my error, told him it was an oversight, that I'd just been on a 12-hour flight, and that different airports have different rules. He then started berating an elderly Indian man for putting his shoes in the tray at the wrong angle. Mate, if you do don't have patience for people, get a job where you don't have to deal with them. On the way back, totally different: eight minutes from disembarkation to clearing immigration, lots of desks open at noon, friendly and helpful staff. Within the G-wing, there's an outdoor area with not much of a view, but which affords a good burst of fresh air, which is nice when you're on a plane or in an airport for 30-odd hours. I had a 10-hour layover on the way back and liked the big chairs. Got some good sleep in them. Shops were fine: typically overpriced but it's an airport so you'd expect no less. Landside, before security, there's some pretty cool yesteryear display cabinets, showing menus and service on flights in the 70s and 80s, and some pretty interesting art / design displays too. Signage seemed straightforward enough to me. Showers / nap rooms were extortionate. You need a mortgage. In the past, I've done all I can to avoid transiting through the US. Hong Kong, Tokyo, or Singapore are much more straightforward and amenable, but when I booked the flights, HKG and Tokyo were still closed, and Singapore Airlines were a bit expensive. Nothing about SFO would make me favour it over those other three, but I'd recommend it over LAX as an international transit airport.",1
2022-11-18,0.2,Solo Leisure,3,4,,1,0.0,,,1.0,improve your signage in the terminal,False,"  My 83 year old mother and I flew into SF Airport from a vacation in Puerto Vallarta, on our way home to Seattle. As it was our first port of entry we had to go through customs. Other than the rude and curt attendants organizing the lines, the customs process went pretty smoothly. Then the chaos ensued. We picked up our luggage and from there we had a very challenging time trying to figure out where to go next. There was virtually no signage about where to go or what to do. There was a baggage recheck station, staffed by a nice enough young man who had no clue where we should go or what we should do (and told us the exact opposite train to take to get to the Alaska terminal). Every person we asked gave us a different answer. We finally managed to get to the terminal that houses Alaska Airlines. We were told by one ""helpful"" airport personnel that we were already too late for our flight. We decided to try anyway. The Alaska assistance person said we had two minutes to get through TSA and board our flight to Seattle. We again decided to go for it. Luckily, I saw a fellow passenger from our first flight also in the TSA line; she said she was also on the Seattle flight and we still had a half hour. Good thing! Both my mother and I had to have every single carry on item go through the scanner twice, including removing her C-Pap, my bluetooth speaker, and my iPad. All had to go through x-ray again, separately. I was patted down. We were the very last people to get on our plane. Luckily, our luggage made it onto the plane, but my mom's suitcase never made it to the carousel in Seattle. If I could give some advice to SFO, please improve your signage in the terminal and on your shuttle train. (The train in Seattle was so clear about next stops, whereas the reader board in SFO gave zero information other than ""arriving."") Some remedial training on airport personnel might be helpful, as well.",-1
2022-10-26,1.0,Solo Leisure,5,5,5.0,5,5.0,5.0,5.0,5.0,went above and beyond for me,True,"  I arrived very tired after a long flight from Ireland. It was difficult for me to use the escalators as I had a very large suitcase and a smaller one plus my duty free, A super nice guy there from the Security helped me navigate the escalators. He actually took my big suitcase from me and showed me where to go to get my connecting flight. He was coming off his break. This was on Saturday 22 October around 4-5 pm. He went above and beyond for me and I just wanted to give him a shout out. Travelling is so difficult these days that to get some assistance like this means a lot.",1
2022-10-07,0.7,Solo Leisure,4,4,4.0,3,0.0,,5.0,4.0,E gate concourse in Terminal 3 is gorgeous,True,"  This review is limited to arrival/departure experience from Terminal 3. The lighting exiting the Terminal and around check in areas is not very bright. Signage and Directions to the Air Tram to Rental Car garage were not very clear. The Air Tram service is very good. On departure from SFO the terminal was very crowded for the peak afternoon travel period. Thanks to TSA-Pre, getting through security was a breeze. The E gate concourse in Terminal 3 is gorgeous. The concourse is wide and brightly lit. The large windows bring in additional light. There is a smattering of eateries and shops. The bathrooms are very clean. Seating is plentiful at the gates with many having power ports. SFO provides free Wi-Fi for all passengers. The Wi-Fi connected easily and is fast.",1
2021-12-30,0.1,Couple Leisure,1,3,2.0,5,1.0,1.0,3.0,1.0,Everything was outrageously priced,True, The airport leaked. There were buckets everywhere you looked. No place comfortable to sleep if your flight was cancelled. Everything was outrageously priced. I personally would never book a flight to this airport again.,-1
