datePublished,ratingValue,travellerType,queueTime,terminalCleanliness,terminalSeating,terminalSign,foodBeverage,airportShopping,wifiConnectivity,airportStaff,commentHeader,tripVerified,reviewContent,sentiment
2024-07-28,0.3,Family Leisure,5,5,5.0,5.0,1.0,,1.0,3.0,Terrible airport,True,"  Terrible airport, no food on Sunday, folks working everywhere are lazy with a slow pace. If you want any food can’t find it until 1130, unbelievable. Bring your own food!",-1
2024-05-15,0.1,Family Leisure,1,2,1.0,1.0,3.0,3.0,3.0,1.0,“the worst experience”,True," This was the worst experience trying to board the flight! The ticket agent didn't understand, or speak, English! She was saying 'no 1' over and over. She was trying to tell us to get at the end of the line because we were in the wrong zone! Then, they made us throw away our belongings even though the Cleveland airport had no problems with the same bags! I will never use this airport again!",-1
2024-01-28,0.1,Family Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,"Quality of food abysmal"" ",True,"  Took over an hour to get through security.  Quality of food abysmal. Terminal was changed several times for no reason forcing us to run across the airport then when we finally arrived at the last relocation (over an hour early) there were no seats left forcing us to stand or sit on the floor. For the WiFi they try to get you to fill out a full survey with contact information. Also to make everything somehow even worse there isn’t any sort of usable map available online, simply states “food” for restaurant locations. Good thing this place is a monopoly because otherwise they’d go under in a week.",-1
2023-04-11,0.5,Family Leisure,5,4,5.0,5.0,3.0,4.0,,1.0,extremely rude with an attitude,True,  I was flying out of Puerto Rico through American Airlines and I must say this is the worst airport when it comes to customer service. I ask an American airline employee for help as I was trying to check my bag and she was extremely rude she told me no I don’t speak English. I then asked her in Spanish and she got irritated and told me no I don’t think so. Once I got to the counter the guy that check my bag was extremely rude with an attitude.  I’ve traveled through plenty of airports and this airport is cleaner than others airports I’ve been to. It’s not a lot of good variety of food.,1
2022-08-07,0.3,Couple Leisure,3,2,3.0,3.0,1.0,3.0,1.0,3.0,water fountains are disgusting,False,"  San Juan airport’s water fountains are disgusting. They are dirty and many are non-working. When they do work the water tastes like it came from a sewer. Since you have to dump liquids at security your only choice is to buy bottles of water. Two 16 oz bottles of Dasani are $8.96. That is obscene. Decent airports have water available in drinking fountains and refill stations for free. In addition to the obscene cost it is an environmental issue. We carry refillable Yeti bottles but the water is unfit for consumption. This opinion about the water quality is from a 20 year infantry US Marine who has drunk some pretty disgusting water. Clean, potable water is a basic function like toilets.",-1
2022-07-17,0.1,Family Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,Be prepared to starve and be frustrated,True," Worst airport. Dirty. Layout makes no sense. Shops close at 6pm. Airport Staff rude and useless. TSA and USDA unprofessional and have no idea what they are doing. Food choices horrible. No real charging stations, have to sit on the floor. Have been to airports in 3rd world countries that are way better. If you ever go through this airport, come before 6pm so you don’t starve or better yet skip Puerto Rico and I’m ashamed to say I’m Puerto Rican and this is an embarrassment. Be prepared to starve and be frustrated.",-1
2022-06-01,0.1,Solo Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,"No urgency, no customer service, no humility",True," Let me just say, this airport sucks! TSA literally has every single flight going through one TSA point. The agents are rude and I am just not sure what issue Puerto Rico has with Americans, like you do know we all don’t create policies and laws that may affect your country right? Don’t take the governments actions out on us. That being said, this airport moves slower than molasses. No urgency, no customer service, no humility. That airport is the most disgusting airport ever and whoever is over it should be ashamed of yourself.",-1
2022-03-20,0.1,Family Leisure,2,3,1.0,2.0,1.0,3.0,4.0,2.0,food venues close at 6pm on a Saturday night,True," Bad service, food venues close at 6pm on a Saturday night during spring break. Traveling with kids flight delayed no food venues open, it doesn’t even makes sense. Not enough charging stations.",-1
2022-03-19,0.1,Couple Leisure,1,1,1.0,1.0,1.0,1.0,1.0,1.0,one of the worst airports ever,False,"  This has to be one of the worst airports ever - on arrival in the middle of the night there was no one to ask for any help but the worst time was on departure the left luggage was full so we couldn’t leave our items and had to wait 8 hours in the airport, no internet at all even to pay for! Who doesn’t have internet, it’s dangerous especially when you have to sort out locator forms we had to pay for internet time at the airport hotel to ensure we could check in - no seats available at the airport and it was dirty and simply awful. Never again such a shame",-1
2022-02-28,0.1,Business,2,2,2.0,2.0,1.0,1.0,1.0,1.0,service at this airport is bad,True,  The service at this airport is bad and they don’t know how to treat customers. The service at store coffee roasters is very slow and the employees don’t treat customers good. Hope people buy their coffee at other concessions with better customer service.,-1
